rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
5627,11,female,20.445534924468706,8.86148712542283,no,4,16,1,1
1430,2,female,14.059673908681395,17.74899435442747,yes,2,15,3,1
4530,6,male,11.5519978615918,9.36313859421816,yes,5,16,2,4
7559,6,male,0.0524457364338744,-0.8661617196811591,yes,3,19,4,3
1839,12,female,23.241859238283737,-0.358031878406992,yes,5,18,6,4
3893,10,female,7.218338885842989,-3.3825180910654584,no,2,18,7,1
3017,2,female,30.620269357553852,-1.507463985019358,yes,3,13,5,5
7007,9,male,32.3883017128896,9.19805523768807,no,3,16,3,5
5697,3,female,23.142864356707978,-0.7286570710667775,no,3,10,7,3
3015,5,male,20.36782208847174,7.468179677457889,no,1,13,2,3
8067,7,female,36.97786433625195,6.465880147157633,no,2,11,1,1
2177,10,female,27.32010503643609,4.830125946837747,no,1,13,7,5
1890,4,male,26.7160612666088,15.691012837505049,yes,1,17,6,1
7299,4,male,1.2617198156299736,16.19205200071891,yes,1,13,5,2
4037,4,female,16.282232891784126,6.062208029690131,yes,1,20,1,2
2785,2,male,12.452196249039662,3.1708711508999983,yes,1,20,7,2
1605,8,female,14.331608135145043,12.226306709239555,yes,3,13,3,1
3978,8,male,18.47033240198629,-6.132458702464405,yes,2,16,5,1
5627,12,male,24.08477934766017,3.00149442597305,yes,5,9,1,5
6941,0,female,22.63851709657261,12.751977125793488,no,3,10,2,1
1520,7,female,26.043992863763485,4.849766014880553,yes,3,14,5,2
4629,2,male,5.285240437246026,8.273266469979623,yes,2,13,1,1
1448,5,female,18.336632649454632,13.526958621530312,yes,4,17,6,4
4275,10,male,19.833794767952448,5.460438212617266,yes,5,15,4,5
8398,1,male,18.19567893275673,10.481761684272325,yes,5,9,1,3
3801,0,female,23.606255107807737,1.6431121431100362,no,3,17,3,5
2284,5,male,19.014375801367304,8.690639756106037,yes,1,14,6,5
5951,9,male,27.7218460637687,13.550828443179206,yes,1,15,2,2
2471,8,female,11.524451636105274,1.0307050920837781,yes,3,13,5,4
4251,5,female,19.537148013325087,6.936341234020648,no,2,17,6,4
2982,6,male,16.415913376418988,12.571250113967412,yes,5,19,6,3
4220,12,female,1.3722559905939065,11.103950229962301,yes,4,14,3,5
3325,0,male,19.244378061444664,6.461406560160054,yes,3,15,7,5
259,9,female,21.67152695351046,4.68862358794416,yes,5,14,2,1
4634,10,female,7.552070242302186,9.524157842257228,yes,4,20,6,1
6919,0,male,8.280849212778264,12.230611977776963,yes,3,12,1,4
2770,11,female,6.782519884514105,15.225754363745548,yes,1,17,6,4
682,2,female,6.268637532372043,13.116349620743435,yes,4,14,6,3
766,2,female,22.996404144593075,7.839493996893715,yes,1,11,1,5
431,12,female,10.282351768462714,11.264126228480597,no,3,16,3,1
6323,10,female,14.126523263924087,8.352265725927058,yes,2,14,3,5
2913,6,male,19.833971978199987,15.454925673183343,yes,3,15,6,1
5274,11,female,23.643603855882095,10.449560093090811,no,5,9,2,1
6810,2,female,19.624822494406228,12.217066043145813,yes,4,9,6,1
4766,7,male,26.50480240940654,9.811256429506614,yes,5,10,2,3
2517,4,female,31.66665442900539,-0.0023691464278838836,no,4,14,4,4
6687,7,female,12.797042309833028,6.123541635470962,yes,3,18,1,3
5654,6,male,-1.8149652062534969,14.634488506981537,no,3,11,6,2
956,3,female,23.130290717852724,6.672051982149314,no,5,17,3,2
2087,11,female,24.866339473520426,6.989129878239012,yes,3,19,1,1
2119,7,male,43.3807527917167,4.320580974440118,yes,5,17,3,2
1385,2,female,17.870439672669423,1.079437994265911,yes,1,9,3,2
