rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
2368,5,female,9.214671062766465,12.127138840320576,no,1,20,4,5
5659,2,female,16.636113141266183,-1.4831907634912262,yes,2,16,6,3
5420,0,male,29.650408503537673,7.529230034374319,yes,5,18,7,3
4264,3,male,8.90982884394538,3.720268750802644,yes,3,9,7,3
3561,9,female,28.998272344695593,3.3159098195187644,yes,5,19,4,2
586,3,female,12.97198188110241,-5.228859401317418,no,1,15,3,3
6523,8,female,21.560590077316284,0.06410549831042456,yes,4,13,7,3
8571,11,male,24.256123173386367,6.71728822723516,no,1,13,4,2
1626,12,female,18.366000787167348,0.5367029411859292,no,4,10,1,4
5426,3,male,22.93549900497477,8.288186386131885,no,3,11,6,1
221,4,female,21.05339253289155,11.071850461572854,no,4,12,6,3
3882,0,female,7.956264297320798,13.060972216653907,no,3,10,2,2
135,11,male,24.437254986405062,12.891344227386671,yes,4,12,2,5
2897,11,male,35.429907308549645,-0.48089312194021705,yes,1,19,1,3
3005,11,female,41.016315228033974,-5.735143769113442,yes,1,12,2,3
7972,10,male,11.08126794142869,0.3227638678956657,yes,1,10,5,5
2697,12,female,42.21479226153121,8.176920881072599,yes,5,10,4,5
3039,3,male,17.280860035126555,14.167827155682964,yes,5,9,6,1
8191,6,male,21.316381546396947,4.613160132062582,yes,5,19,6,4
8534,9,female,23.43758125987097,9.75239492344107,no,5,16,7,3
2581,1,female,20.78890153751359,8.064777264567242,yes,5,15,4,4
6130,1,male,26.642412498245548,2.2494429032109373,yes,4,10,7,4
5689,4,female,11.973016555624003,9.090501730394498,yes,5,19,5,2
393,9,male,12.031546732258938,8.01544921258525,yes,3,17,2,1
7360,8,male,19.29066566508867,10.058882540579935,yes,3,15,4,1
3011,2,female,21.37257529702006,13.547338594061532,no,1,19,6,2
897,1,male,24.344565607168676,2.8750079247242057,yes,5,12,1,1
1488,7,male,19.541708797048255,6.697731329357322,yes,1,18,2,2
1599,4,female,29.618213091638168,4.247592200949692,yes,3,13,7,5
2750,10,female,20.060617461918753,9.421597483498234,no,2,10,7,2
6203,3,male,15.27147459002984,4.161643715506661,yes,4,15,6,4
1078,9,female,24.572339670460003,7.91461070535785,yes,5,14,6,1
3679,8,male,7.6735030536746685,13.932083957912942,yes,2,17,1,3
2767,4,female,11.140748955891466,0.08151963411576002,yes,1,10,1,3
8323,2,female,24.99746975463366,-1.9238332586441178,yes,3,14,7,4
8282,7,male,4.136644501173633,5.812852177285064,yes,2,9,4,2
5680,7,female,18.845797172597123,9.766247214879563,yes,4,11,7,2
6539,7,female,22.920660551016255,9.495363600010513,yes,3,19,7,5
