tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,10,11,24.50980678861525,18.897912872577766,-0.01696113121205345,Homo sapiens,Chucki
Posterior,IPHA.2,11,10,50.38716409553407,8.712911335619935,-0.29227470180678394,Homo sapiens,Afalou
Anterior,NMNH380466,10,11,46.101608145269836,12.045622424466076,0.672885514233924,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,3,14,32.48865447367785,12.797791120332699,0.21214280953126635,Homo sapiens,Chucki
Premolar,MH4765,5,6,29.014916088670255,12.336341727142655,0.559792492046941,Homo sapiens,Australian aboriginie
Premolar,MH22283,12,2,30.314047271104698,15.09278674425281,-0.187009666897743,Homo sapiens,Sami
Posterior,AMNH99.1/99,7,2,24.19187263974239,15.096617743203364,0.5378119112142926,Homo sapiens,Alaska
Posterior,BRK126107,7,9,34.286533961276376,17.156022265080104,0.5727826303423832,Homo sapiens,Native Californian
Posterior,NMNH344711,10,8,18.30051807888026,17.942493757924833,0.2556064298194669,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,12,14,25.08027189252754,17.769522195909737,0.21648417308473417,Pongo,Borneo
Anterior,AMNH99.1/86-D,1,6,30.04970110033225,8.746229257581486,0.2420980002127529,Homo sapiens,Alaska
Anterior,UVS38,11,2,38.56047855272321,13.05115696647481,-0.13086067991447203,Homo sapiens,Khoi-San
Anterior,NMNH225028,7,10,48.88185265538182,8.80997611025752,0.3737316007158138,Homo sapiens,Chucki
Anterior,IPHA.29,11,13,43.902640508775015,15.098725217084597,0.5021810225104499,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,12,4,30.0320908676298,7.769625493743203,0.549417652101995,Pongo,Borneo
Premolar,UCD2(2)b,7,10,25.73970429835406,17.163854985061302,0.6442489324784343,Homo sapiens,Native Californian
Anterior,HTB2027,2,8,43.97883288215761,14.372908989126067,-0.09936322018180599,Pan,Ebolwa
Posterior,BM1976.1430,12,11,36.361523620828336,20.341809700215475,0.38610771448748743,Pongo,Borneo
Premolar,UVS62,7,12,25.05411013764987,14.152645262834584,0.15820097832957464,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,11,11,25.263407384172293,18.81863796527216,0.5260546289393189,Pan,West Africa
Posterior,BRK125598,8,9,17.774302153357155,21.12853489268395,0.5856025578252271,Homo sapiens,Native Californian
Premolar,NMNH329778,10,6,31.699537594321466,17.602187863893125,1.1024564466585627,Homo sapiens,Australian aboriginie
Anterior,MH12328,6,5,39.679745992283756,11.538488587030919,0.49015758033905366,Homo sapiens,Chucki
Anterior,BM1939.1021,10,8,44.95321086732224,19.180300929521884,0.695744254240188,Papio,West Africa
Posterior,NMNH278710,12,2,43.62899041045101,16.43626527376611,0.25057695420476983,Homo sapiens,Buriat
Anterior,BRK126100,3,2,7.396944071977504,22.52536830969285,0.4470176209233532,Homo sapiens,Native Californian
Posterior,UCD2(6)b,7,6,34.70608437095906,13.672440651893849,0.33022536842859496,Homo sapiens,Native Californian
