rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,ndam,eval,gender,language,age,female,category,name,majority_first,native
1,75119,Sunol Glen Unified,Alameda,KK-08,195,10.89999962,0.5102000237,2.040800095,67,6384.911133,22.69000053,0.0,691.5999756,690.0,1590.0,3.4,female,Portuguese,25.0,0.0,3,Easy,0,yes
2,61499,Manzanita Elementary,Butte,KK-08,240,11.14999962,15.41670036,47.91669846,101,5099.380859,9.824000359,4.583333492,660.5,661.9000244,5350.0,3.5,female,English,19.0,1.0,3,King,0,yes
3,61549,Thermalito Union Elementary,Butte,KK-08,1550,82.90000153,55.03229904,76.32260132,169,5501.95459,8.977999687,30.00000191,636.2999878,650.9000244,150.0,3.5,female,English,28.0,0.0,1,Able,0,yes
4,61457,Golden Feather Union Elementary,Butte,KK-08,243,14.0,36.47539902,77.04920197,85,7101.831055,8.977999687,0.0,651.9000244,643.5,58.0,4.9,male,,,0.0,1,Barbara,0,yes
5,61523,Palermo Union Elementary,Butte,KK-08,1335,71.5,33.10860062,78.42700195,171,5235.987793,9.080332756,13.85767746,641.7999878,639.9000244,15.0,4.5,male,English,18.0,1.0,1,Florence,0,yes
6,62042,Burrel Union Elementary,Fresno,KK-08,137,6.400000095,12.31879997,86.95649719,25,5580.146973,10.41499996,12.40875912,605.7000122,605.4000244,19321.0,4.5,female,Dutch,55.0,0.0,3,Carol,0,yes
7,68536,Holt Union Elementary,San Joaquin,KK-08,195,10.0,12.90320015,94.623703,28,5253.331055,6.577000141,68.71794891,604.5,609.0,3230.0,4.4,male,English,24.0,1.0,3,Edna,1,yes
8,63834,Vineland Elementary,Kern,KK-08,888,42.5,18.80629921,100.0,66,4565.746094,8.173999786,46.95946121,605.5,612.5,24260.0,3.5,male,Other,29.0,0.0,4,Hazel,0,yes
9,62331,Orange Center Elementary,Fresno,KK-08,379,19.0,32.18999863,93.13980103,35,5355.54834,7.385000229,30.07915688,608.9000244,616.0999756,2030.0,4.5,female,English,21.0,0.0,3,Connie,0,yes
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108.0,78.99420166,87.31639862,0,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244,14730.0,4.1,male,English,54.0,0.0,1,Diane,0,yes
