rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
303,69734,Brittan Elementary,Sutter,KK-08,11768,738.2765066408823,56.041876264069344,47.34363220960879,3109,2504.5679252221094,18.766830616164935,76.69464211700789,52.4212557147657,43.16941620413989
167,64855,Placer Hills Union Elementary,Placer,KK-08,5878,907.3622214176992,35.50796699269876,40.954193907348966,986,1990.4639938732398,32.235738875038514,30.186748223546903,56.934658371314185,60.152656656292855
173,69927,Susanville Elementary,Lassen,KK-08,18088,627.8553522324088,56.986293242260345,75.28156533017051,1433,2870.0991842913136,28.139044020331138,45.67652030012703,-17.22612529637759,25.547156225372774
59,73318,Palmdale Elementary,Los Angeles,KK-08,24782,674.7522392124054,57.465342665733495,2.964010325186912,890,1524.2979649632655,21.92154445281612,64.45191080326592,25.206143136725558,46.26322848784876
20,62431,Keppel Union Elementary,Los Angeles,KK-08,24531,636.0137487888778,36.93299426754509,16.411450640521203,329,689.7066922387719,29.835299479348983,48.41331827847077,40.68466000133013,67.37409977192429
178,72899,Magnolia Union Elementary,Imperial,KK-08,25292,571.1979176510197,53.67542775778966,-7.682087955581899,2033,927.9923508428006,24.09223628346459,38.00855478431619,37.80186157002526,70.49925571041557
117,75092,Westmorland Union Elementary,Imperial,KK-08,23352,582.6287644394165,45.13436829766411,80.35527676059056,3053,1164.7623683092522,31.009102841825797,79.55555386776885,48.25242738613282,67.55181185907664
299,61769,Brittan Elementary,Sutter,KK-08,13967,776.7855268412047,33.77714607194519,95.0587952004376,1535,1524.1774873882866,29.788384036094218,38.98878982674634,36.31319894610421,68.27274759211825
338,66111,Exeter Union Elementary,Tulare,KK-08,15077,331.0642615101103,36.285845087261855,58.5121206463466,662,1785.8168843098615,38.85757199853148,69.81706026531823,30.857993694808755,28.37963785093584
4,67452,Nuestro Elementary,Sutter,KK-08,10714,1080.044951289418,38.09357979723124,77.67371187879108,1785,1499.3498015352025,29.031582843858104,50.89793828785769,60.47159036659331,29.59673764168563
219,72614,Lowell Joint Elementary,Los Angeles,KK-08,13922,599.0345485465255,42.789047587612664,24.266417556748983,1142,1181.9048770757317,39.18516783383578,46.21717208137739,40.04283491637061,43.07712420273325
207,64581,El Monte City Elementary,Los Angeles,KK-08,3621,775.4780299082997,51.9823493188736,39.406306639215586,460,1907.3237913946527,20.296219071752738,29.853916769354527,33.602240050739745,83.14128631642791
110,68034,Nevada City Elementary,Nevada,KK-08,3844,1028.1211569482443,39.249858208037175,54.07161473312637,751,2413.991673863642,14.485164914698498,17.46393122713925,77.59845978888043,35.21713521126482
24,63506,Little Lake City Elementary,Los Angeles,KK-08,12827,1092.4911518061901,53.947493463778635,44.49872862560093,688,1569.0799460787932,32.60390571028754,66.25190730387453,39.18382640840253,43.804312168915246
349,73719,Rescue Union Elementary,El Dorado,KK-08,1806,542.8712108009536,43.762551856526805,75.2702728054094,3075,1598.0680969844857,28.060789933446983,37.567675703517736,58.32074342510766,49.6953811542142
346,66261,New Jerusalem Elementary,San Joaquin,KK-08,10843,624.5518148419712,46.45089000787097,86.74254995386914,562,1889.6428271328236,25.714122703565824,13.372165442233864,38.45779904641837,68.11477629909626
170,67522,Big Springs Union Elementary,Siskiyou,KK-08,20746,527.7614538500235,59.588437332931214,41.06361304357148,1777,387.6549368267524,31.70014844223722,52.184061307654666,71.71898821410919,26.73215457853905
230,64249,Reeds Creek Elementary,Tehama,KK-08,26222,685.2018217512743,43.11161974525705,51.24587020351989,2153,2552.030209636002,20.69911165689419,19.168721528730536,35.42899777989173,49.7895757334943
119,66109,Gravenstein Union Elementary,Sonoma,KK-08,18028,880.1846572745815,45.82930378988829,47.172459320289605,108,3435.492527743741,28.055726416001477,38.65533229455398,82.55632806162546,32.31784240213076
348,75287,Sundale Union Elementary,Tulare,KK-08,20369,827.7817013438623,40.959166722319864,38.44165114316956,2980,994.3740193650754,34.85576289419259,49.82040361633811,53.42227440219308,58.23283072764991
107,72742,Rocklin Unified,Placer,KK-08,8544,805.8106874835693,52.61407818144295,108.7816935677777,274,2016.7494667716812,18.31644959303397,28.726695968595273,28.09414624241743,70.86869762938609
49,69860,Portola Valley Elementary,San Mateo,KK-08,8387,820.929037225113,33.31866789522499,76.29087385193611,2898,2531.471056450807,33.73004450807261,28.87971197288042,62.82402496546764,37.03535354965765
284,69447,Foresthill Union Elementary,Placer,KK-08,2071,536.135256113292,47.222446755434326,62.76035307185495,2227,634.6360392797271,37.952689012181764,37.26295164412789,35.6417877836478,38.64799005540095
221,62595,Knights Ferry Elementary,Stanislaus,KK-08,8813,524.897512607423,41.76676550791613,48.32186320434779,2110,2198.699329793333,31.100633667126345,9.147886958157862,54.49354645448569,17.088428139838634
191,69053,Cinnabar Elementary,Sonoma,KK-06,10307,846.5934930925539,52.475672620218305,30.572049115787596,2003,2718.1115929374123,31.07818611900714,94.85614872887244,65.05113864069395,45.74017635355385
195,63580,Forestville Union Elementary,Sonoma,KK-08,16422,834.8381269062644,41.19335666103886,70.72934955701187,1063,3227.525650005983,30.293577814111554,34.410884510969936,66.52968779600718,46.16208726267664
259,73048,Black Butte Union Elementary,Shasta,KK-08,5171,1027.734786004552,40.86862340088741,89.93472296293825,2792,2788.075181366191,21.035144852697123,51.386226175457026,42.08873938022158,35.544777545160684
275,62513,Pleasant Valley Elementary,Ventura,KK-08,10332,825.6957882190283,15.380732076067627,31.454323198038164,1396,1714.9060855551377,13.603627716009488,36.613860831752405,61.378284617308005,65.03166252021813
345,65139,Pleasant View Elementary,Tulare,KK-08,1019,735.1918715314306,45.81092285050978,42.123948023458254,818,3378.9856852032135,22.106419320942358,77.03261620212191,20.54953581984969,43.27350681006435
329,66877,Buellton Union Elementary,Santa Barbara,KK-08,25867,504.69536399998435,40.707799719200736,8.47148044522175,2818,2006.2953740001324,22.60253532171168,47.73921803880231,64.3835866671769,34.67457644074295
249,74305,Campbell Union Elementary,Santa Clara,KK-08,15550,842.5124336035157,43.20055804036567,12.75681710949469,3033,2210.5314303060636,40.490678628160474,23.75509985696317,32.542335380953936,23.876589686376242
329,71350,Gold Trail Union Elementary,El Dorado,KK-08,9059,448.4311536750333,55.71448923729659,27.85916640520133,762,1665.3348742912237,31.784236244481683,37.89971761700088,7.986109522307935,25.856824773137337
411,73858,Bakersfield City Elementary,Kern,KK-08,16133,574.870081463472,50.120346321615514,21.047878308876427,2814,1668.9784622011405,29.983717016194163,43.98978537842928,15.968421315487575,75.52123875541203
267,63476,Santa Rita Union Elementary,Monterey,KK-08,19931,667.8140407426844,23.39222243554116,50.12756971914851,1573,1738.42135589743,29.45853303073059,52.26213551266763,82.35416118471437,35.23766351338341
16,62026,Savanna Elementary,Orange,KK-06,6649,524.283753541652,30.408927725785567,46.71808819194143,674,723.7116361324718,17.936443143557447,31.68884098801849,57.97790093437286,62.74515837766659
118,73598,Janesville Union Elementary,Lassen,KK-08,20154,751.0794574080892,31.572909302490046,25.439370993824998,632,1637.7628780509672,31.886490042625965,42.43455680493865,16.36195778674891,53.319626038677285
184,61741,Susanville Elementary,Lassen,KK-08,15836,780.0445065668051,42.14490127982191,68.65193222148318,974,1207.5331083599058,31.425472847906498,21.94207072452552,68.32388285378056,52.413130862951405
265,66747,Shaffer Union Elementary,Lassen,KK-08,16524,523.1693884444786,50.792464131847964,105.68772664841958,27,1078.6649082804765,20.331206736690493,53.573379029891804,65.84889931497617,54.97186333684921
90,65046,Weed Union Elementary,Siskiyou,KK-08,18618,621.021434499158,50.276578328484156,25.462564166229228,315,2184.6971846827532,25.81492570621935,40.63129486898568,2.4279236007529263,34.5209552594244
410,66190,Hawthorne Elementary,Los Angeles,KK-08,24196,669.9800330541573,28.603103881542026,36.510072899501345,213,2291.973930918704,30.840283222355083,2.3790465844017206,45.91809201605346,64.30127883684874
35,64861,Union Hill Elementary,Nevada,KK-08,25446,952.1460771836022,29.980265925962357,84.15685024530887,41,1510.5029271184146,18.259591124871974,23.000857485835958,22.83699488252543,51.805165683487
68,67968,Whittier City Elementary,Los Angeles,KK-08,18337,742.6691553542914,31.950989182419946,60.46305673467531,964,1412.7381738807917,30.210102653160632,19.4122333970543,39.952456950776764,62.67661587035467
397,64778,Etiwanda Elementary,San Bernardino,KK-08,17655,476.2280614962136,58.60971157123783,37.84261951988728,2422,2181.429158969293,29.80883687114564,41.47870986891355,68.25605565815476,59.72561174806296
183,66257,Freshwater Elementary,Humboldt,KK-06,25280,618.7612501586208,52.79510718886699,43.4205659180164,326,911.7175172216874,30.809968315866612,24.364815254443606,16.719163833864506,56.29539618250346
258,62564,Big Springs Union Elementary,Siskiyou,KK-08,15525,566.1865520933667,48.58375939537035,60.806048568664195,2097,915.602033460966,16.606132182526252,38.831501180506336,40.42430057066041,33.44188875786709
