rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
62,71442,Brittan Elementary,Sutter,KK-08,2200,1005.0381209683796,35.408123770641595,62.19753783416124,3196,1940.2636234550848,18.641521534806866,61.520992764269806,32.9291549744038,51.89326917906846
126,64180,Placer Hills Union Elementary,Placer,KK-08,8749,350.78043375744727,24.35686060565591,96.1951948834917,3184,1192.1904562929594,27.150865675511703,59.64697248274471,50.01920770253553,47.33276440141295
58,62550,Susanville Elementary,Lassen,KK-08,8077,746.2959340597225,48.91771144127767,29.033808640973227,2884,1452.8466054926878,41.668195388111016,50.769220689991656,59.74040884848686,57.43685920060615
21,65672,Palmdale Elementary,Los Angeles,KK-08,5833,854.2276790181453,40.3736870073884,69.69590618524188,1958,2520.3607001565115,16.856289850278298,64.62049320791282,53.25930065596707,18.826719171105978
93,64429,Keppel Union Elementary,Los Angeles,KK-08,1799,897.5968411919479,56.340605136387786,52.11221853753989,3312,1718.0492470899057,18.184452606979296,0.8479816733834156,53.78916013301255,47.75967475691383
388,72203,Magnolia Union Elementary,Imperial,KK-08,9251,732.8104090538811,25.458439222648863,25.227067761395546,2276,1166.9912645081645,33.0571740254701,66.16397319624221,77.37470176781913,29.44983564356408
49,69936,Westmorland Union Elementary,Imperial,KK-08,10739,477.3703275409557,34.74201433211636,57.30862034549296,2562,1446.622395788772,30.18481876072206,47.2928614349378,88.07647096637564,52.439052434446374
404,75349,Brittan Elementary,Sutter,KK-08,25185,853.2264280286282,28.96370540138671,74.68045163733515,186,2229.92732448154,32.32781399467283,15.862113068732935,35.66623339086146,66.23033857311697
257,71504,Exeter Union Elementary,Tulare,KK-08,16275,735.4858493026667,18.854676225008255,53.36252400461664,1154,146.9642789019415,20.94027560720078,36.64827329190399,71.9642404470232,55.076467285133425
17,62553,Nuestro Elementary,Sutter,KK-08,13798,655.5227527993769,46.36425320755912,78.89728919967673,3138,1086.358871768312,23.568528235470147,59.30982214094833,40.34043547647744,31.64557646826746
277,68343,Lowell Joint Elementary,Los Angeles,KK-08,25693,950.4835989418123,46.30223152637223,28.89744554556942,999,1448.5940881087695,26.30113244157507,53.467485087521254,25.324509559109963,63.26187832431653
89,68540,El Monte City Elementary,Los Angeles,KK-08,11183,699.6347109572014,44.031685492955425,44.84605213219387,462,2100.183248936464,26.123996381871176,31.901021286573354,39.30715445321186,51.97616799535277
167,65407,Nevada City Elementary,Nevada,KK-08,8145,538.1162234431613,42.85313545826441,49.4609708598291,116,98.37547839145327,23.55542687641315,30.590710819020927,35.47451305757107,51.395144450540215
76,66274,Little Lake City Elementary,Los Angeles,KK-08,24629,879.3407730683449,51.612145783334526,72.4677636392798,113,2254.24426108204,15.763971181323418,53.082841091673686,5.484477268788204,54.85622186345027
370,64697,Rescue Union Elementary,El Dorado,KK-08,6645,834.4288805924473,43.790017141148766,69.51551272412495,3024,1958.5311789569428,16.66357793241695,34.033853161977035,30.069188665119544,80.95506854142701
78,65584,New Jerusalem Elementary,San Joaquin,KK-08,2356,939.5070525716918,53.5523092776064,6.217965530078054,1549,2626.402310772448,34.7990095710644,71.59139544043818,49.07763630156466,57.170404162992156
168,64719,Big Springs Union Elementary,Siskiyou,KK-08,8734,808.5862377143517,50.73603098876023,14.924458239054985,90,2033.3990940335218,24.4005126446489,30.574826215218486,18.09510356467225,13.720426952543143
238,72223,Reeds Creek Elementary,Tehama,KK-08,21788,524.4848532703397,33.49518691639916,69.08056509897023,2233,1287.8861028472963,22.736540403158223,46.07284018463552,77.13457487103007,81.23947786576034
369,75171,Gravenstein Union Elementary,Sonoma,KK-08,24265,939.4362831690815,52.601111892839576,7.274631677493382,2175,1559.3499308235932,25.28561559671858,11.41475690833423,40.51033315771828,39.71122908096649
6,71927,Sundale Union Elementary,Tulare,KK-08,13726,782.1487992417447,31.322806721065742,24.820982552524615,1179,2303.346765073433,41.12426093196858,47.91431105607528,22.561058014695664,51.49752625496226
338,68896,Rocklin Unified,Placer,KK-08,5558,833.851084007046,41.295039026973946,23.972470919321253,1632,1812.6091426763874,19.889946780901674,41.374657048275466,74.42376483798915,67.94932600362498
325,66800,Portola Valley Elementary,San Mateo,KK-08,3371,1051.775285139907,51.475125739183405,33.233995020295744,1131,807.0602395218891,40.85695979968678,52.55036411840196,22.066356907855557,67.20046797813897
34,70275,Foresthill Union Elementary,Placer,KK-08,3985,451.40957761409385,40.16219856612687,51.91066443754142,1192,1092.929884569101,24.354234916811617,19.534634549524505,80.23111446091897,65.20861365350213
123,73434,Knights Ferry Elementary,Stanislaus,KK-08,25892,694.2004537524116,58.33459242827323,65.0677657770118,1816,2379.9939821497805,15.98167872775941,44.88896717086595,59.201696672199034,37.082460220398744
322,65569,Cinnabar Elementary,Sonoma,KK-06,16234,909.5110255071149,36.15480491565766,67.62201995875012,2929,537.4499282039828,29.06374055503492,51.27077182701353,67.37345285096177,41.73066872577357
138,72552,Forestville Union Elementary,Sonoma,KK-08,14579,703.2383455382048,40.465926355439905,38.24883068283655,1538,1004.295640111039,31.299897120738258,44.500190180102756,34.13520154214882,38.35688585792017
323,73371,Black Butte Union Elementary,Shasta,KK-08,2843,621.4738560531875,46.647251723766715,23.812335866052273,2627,1906.0748828849225,25.471266276354317,41.55569576735664,42.45559680663818,58.641816997029224
386,61786,Pleasant Valley Elementary,Ventura,KK-08,3872,541.7933243426475,44.451124906697174,26.38806737257418,871,2907.764718201872,18.986922048831783,44.2153757091503,38.450666666878575,33.76914308730751
392,74600,Pleasant View Elementary,Tulare,KK-08,20203,873.6612034944048,58.51405295982703,86.75019204987782,2760,2450.1689399761053,24.065717265850243,62.80010605308638,69.83826087638795,17.7118113984154
225,62471,Buellton Union Elementary,Santa Barbara,KK-08,18701,841.4954844921883,27.172209551389596,16.018703443506844,2580,1360.6562654461768,32.632448642209695,43.684390077626645,65.57241881411456,53.98724492119859
