focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
2,4,1,0,675,653,7,12,3,2,3,5
5,3,7,0,371,802,7,13,3,2,3,8
1,2,5,1,691,615,10,7,3,4,4,5
3,2,7,0,522,537,8,9,2,2,8,6
5,5,5,0,159,639,13,9,4,2,5,8
5,3,5,0,284,163,6,13,4,2,9,3
4,3,1,1,530,102,12,9,2,4,8,5
4,3,5,1,596,635,8,5,4,3,7,6
1,4,8,1,428,458,10,11,4,4,3,3
6,1,5,0,472,832,13,11,3,2,9,8
6,6,8,0,480,654,9,11,3,2,4,4
2,6,2,0,441,433,9,11,4,4,5,4
5,3,4,1,105,594,9,8,4,4,9,5
4,3,6,0,109,793,11,13,4,3,3,6
3,5,5,1,248,293,5,12,4,4,3,6
6,1,1,0,168,587,10,12,3,3,5,3
2,6,1,0,209,357,6,5,2,4,3,4
4,6,2,0,647,737,6,13,4,3,4,8
6,3,1,1,319,548,9,7,2,2,6,5
3,5,2,1,153,155,13,9,4,4,9,4
6,6,3,0,211,310,7,5,3,3,9,9
5,2,1,1,84,309,7,9,4,4,4,3
2,4,2,0,343,576,9,9,2,2,5,6
5,2,2,1,745,763,10,7,2,4,5,5
3,1,6,0,404,786,10,5,2,4,3,3
3,3,8,0,331,327,11,12,3,4,5,7
5,3,5,0,522,63,5,6,2,3,4,8
1,2,2,1,124,747,7,8,2,2,4,9
1,2,4,0,700,824,10,8,4,4,6,7
5,2,8,0,96,848,9,7,2,4,6,7
4,6,8,1,549,799,8,9,3,4,6,6
3,2,4,0,277,478,12,9,2,3,5,8
3,4,7,1,666,738,6,13,4,3,7,8
6,2,3,0,674,160,13,11,4,2,7,6
5,3,3,0,528,240,8,7,3,3,7,9
6,1,5,1,205,459,7,5,2,2,7,9
6,1,2,0,506,690,11,6,4,2,5,5
4,2,2,1,280,510,7,9,2,4,4,8
5,1,8,0,564,223,7,8,4,4,6,6
5,4,8,0,211,290,12,8,4,2,6,5
6,5,5,1,564,523,6,9,2,4,7,3
4,5,5,1,135,230,9,5,3,2,8,4
3,1,7,0,348,187,13,7,4,4,3,7
6,4,4,1,392,761,13,6,2,2,4,3
5,2,7,0,478,191,5,7,2,4,9,4
1,1,1,1,290,243,7,8,3,3,8,4
3,6,5,0,655,302,8,5,3,2,7,7
6,4,2,1,572,217,10,5,2,4,3,6
2,5,2,0,728,733,9,8,3,2,9,9
4,5,5,0,213,203,13,12,4,3,8,9
6,3,5,0,240,311,9,9,3,3,7,5
4,6,1,1,613,201,9,12,4,4,6,9
4,3,5,0,176,139,13,12,4,2,6,7
1,6,8,1,166,376,12,9,2,4,7,6
5,5,6,1,534,547,8,9,2,3,4,7
1,2,5,0,171,310,5,7,4,4,5,4
2,1,8,0,179,470,11,11,2,3,3,5
6,3,4,1,608,749,10,5,2,2,5,9
