focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
3,6,8,1,586,191,11,11,3,2,8,6
5,1,5,1,551,438,9,13,3,3,3,9
5,1,3,1,418,195,9,9,2,3,7,4
5,2,3,0,653,241,7,11,4,2,3,7
6,6,7,0,649,336,11,11,3,4,7,3
5,5,5,0,518,166,11,9,3,4,6,5
2,6,1,1,196,216,7,8,4,2,6,4
4,4,2,1,232,373,12,5,2,4,6,7
1,5,1,1,342,347,10,10,3,4,6,3
3,4,6,1,106,175,13,13,3,3,8,4
5,6,1,1,80,278,13,13,4,4,3,5
2,4,4,1,131,365,6,6,4,2,8,4
4,4,7,1,613,693,13,12,4,2,7,3
5,3,2,1,247,567,7,10,2,2,7,8
3,2,6,0,357,788,12,13,2,4,5,4
5,6,4,0,525,666,11,11,3,4,9,7
2,1,5,1,241,569,7,12,2,3,3,9
2,6,3,1,247,302,12,9,3,4,3,6
1,2,5,1,136,598,13,6,2,4,7,3
2,1,3,0,112,297,11,9,2,2,3,7
6,6,3,1,717,405,9,5,3,2,7,6
6,6,2,1,72,637,10,11,3,2,3,3
5,1,6,1,394,102,13,9,3,2,5,4
5,6,8,1,663,458,10,11,2,3,9,3
6,4,1,0,716,290,8,13,3,2,7,9
4,2,5,1,417,220,7,7,4,3,3,7
2,6,6,0,641,270,13,11,2,3,3,9
4,5,6,0,609,718,13,6,4,4,5,6
3,3,2,1,548,110,9,11,3,2,5,9
4,6,8,0,598,596,11,7,3,2,6,6
5,3,5,0,210,87,6,11,3,3,9,9
3,3,2,1,199,473,11,8,3,4,6,3
6,1,2,1,439,725,9,5,4,3,3,3
6,2,7,1,131,72,12,9,3,3,8,9
2,6,5,0,630,845,8,13,2,2,3,8
3,5,8,1,126,525,7,13,3,2,4,4
1,2,1,0,558,174,9,13,3,2,6,4
4,6,5,1,120,91,8,13,2,4,7,5
4,5,1,1,478,721,5,7,2,2,4,9
1,4,5,0,689,150,5,9,4,4,7,6
5,6,5,1,142,273,5,6,4,2,6,9
6,5,6,0,139,526,5,11,2,4,7,5
3,3,7,1,375,270,7,13,4,4,3,8
5,2,2,1,284,479,10,10,2,3,8,5
1,2,3,0,133,440,7,8,4,2,8,3
1,2,8,1,697,107,12,6,4,3,3,4
3,1,6,0,698,151,13,10,2,4,9,3
2,3,5,0,339,68,13,12,4,4,3,4
1,2,2,1,250,388,10,11,4,2,7,6
4,4,7,0,677,285,13,9,4,3,7,4
1,6,2,1,200,55,5,7,4,3,5,4
1,4,8,0,202,300,11,6,4,3,7,6
6,3,5,1,620,481,10,9,4,2,5,3
4,5,7,0,722,181,10,7,2,3,4,6
6,5,3,0,302,166,13,6,4,4,6,5
4,3,5,1,599,501,12,7,4,4,9,4
1,4,2,0,541,276,13,10,4,3,3,4
2,6,3,1,475,843,7,5,4,3,3,6
