ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15
17,2002,Bonnie,6.696647320107033,940,1,2,836,26521.787663063486,19.310247498130728,MWR,2.1073782194103026,82,82461
43,1970,Isaac,7.390522766052499,974,1,4,1551,40400.0359047232,73.1656671623052,MWR,7.992218038503212,124,19191
72,1961,Debra,2.569039284552697,979,0,2,1683,61129.684325907205,5.662337943987847,MWR,2.647059438305089,114,64280
20,1977,Irene,1.1769171559594023,943,1,5,425,17825.728078447584,42.88710024085928,MWR,4.791566907675079,87,13865
87,1998,Emily,1.3213301579492702,914,1,4,1278,41570.97216554869,29.609706295538512,MWR,2.788208609415098,142,72806
33,1985,Cleo,4.9240521672809265,946,0,3,1758,33947.77411221435,7.30991112484314,MWR,10.978354492312688,103,47356
87,1954,Dennis,3.146327400364302,975,0,2,419,16002.862478130068,9.319018814758035,MWR,7.342480812556611,125,49326
58,1966,Wilma,6.3371606253455015,929,0,1,1046,28683.471945088902,56.102034640042106,MWR,6.121858603953451,163,20783
24,2000,Isabel,2.4988523648451797,953,1,5,1503,39901.399321937075,44.422320123218284,MWR,4.418511489045843,98,11405
72,1992,Isabel,-0.3156860039182714,995,1,1,1003,33639.26511603075,16.484490750745465,MWR,4.185611010183219,109,15235
3,1971,Humberto,3.245155604255566,919,0,2,982,17440.321360595073,20.847619659693,MWR,0.5266818090180547,77,17899
91,1974,Isbell,1.9156417580710308,968,0,5,437,45341.07798692235,15.310577065596485,MWR,2.4064634846030666,155,75026
61,1974,Able,9.593145478776556,929,1,4,1712,47804.51540535362,59.7193402458811,MWR,3.2562404210136577,180,16215
13,1951,Dora,8.681004532714242,948,0,1,1215,26573.89220600263,51.72083257338976,MWR,0.0989216168724445,177,2797
1,1951,Charley,0.9251296894576888,947,0,1,62,29868.17256788839,1.8769662880837146,MWR,6.819731270506017,76,3387
4,1997,King,2.2410222840881127,999,0,1,523,42544.10064754381,38.71139945184441,MWR,5.60224048896603,96,15361
51,1961,Humberto,0.6435931199061136,958,1,4,97,41200.21684954343,26.19813705931024,MWR,1.963101223099828,101,41244
93,1970,Camille,6.183009501421161,968,0,1,1782,64083.806320465694,39.95918160413672,MWR,1.5387004785082898,142,25952
2,2004,Belle,2.892596205144944,994,0,5,758,22457.557563190974,9.691452729663673,MWR,1.957982521709885,152,2200
90,1992,King,9.950886083513842,985,0,5,469,33192.44147147894,2.785103848532952,MWR,9.267934676274017,142,56105
70,2008,Bertha,3.6954768405498184,932,0,3,897,57441.774928424784,43.85683245931838,MWR,3.4725503061551897,126,7332
58,1994,Andrew,4.38544559052043,992,0,1,1301,55711.117879261365,43.120528387346056,MWR,4.053538877045546,154,79222
48,1991,Cleo,7.071411651086867,922,1,2,1179,42355.09044896496,47.80238326190761,MWR,3.773341391016361,180,1708
91,1997,Fern,4.532024595918313,970,1,2,575,44650.077470853874,24.22756918802896,MWR,4.884509129715693,160,45889
32,2008,Alex,0.8744057534834226,916,0,2,919,51420.81191754629,14.121122129424762,MWR,2.070457448962996,143,77539
50,1985,Jerry,3.20492368441767,958,1,5,102,36626.98275806097,45.901361049399576,MWR,4.569155897505432,185,77847
1,1989,Dora,9.378964994026767,968,0,1,146,42063.21493134172,-4.056864518453679,MWR,0.9353267617375329,179,27556
22,1962,Dolly,7.501544112409103,961,0,1,555,57601.76021311405,35.96129704728975,MWR,-0.2693622336615604,90,51326
81,1994,Gloria,1.043122825919982,948,0,1,1693,46742.30779048256,54.31945529711774,MWR,3.8116034125011087,148,11025
21,1995,Ike,10.442204943079147,909,0,4,1630,50363.49410120769,24.80976949394772,MWR,1.8995188273576837,184,29237
11,2010,Bob,4.1622763446503495,919,1,1,1690,33271.55674037644,12.919828741062233,MWR,1.8693450917830434,160,43537
91,2012,Frederic,-2.363441300184541,984,0,1,455,25931.288200110976,15.116439282426137,MWR,4.923599365579691,104,7421
91,1962,Irene,2.473032767907748,981,1,5,1040,52500.41106696434,37.4502480559471,MWR,7.376135265400718,145,81084
18,2006,Andrew,3.033721452757691,981,0,2,1627,18614.495098973803,38.22966637781574,MWR,6.899937307490779,124,20736
90,2000,Ivan,1.9075413337235259,956,1,1,1349,39384.28537908704,20.863524937327423,MWR,4.426950125571553,112,24841
44,1965,Debra,1.5036275810392419,978,0,2,988,10423.69941870791,31.159945190199387,MWR,6.084716978951097,153,62580
39,2008,Erin,4.928296992725126,946,1,1,608,24397.37884276705,43.2906153698859,MWR,8.473698598340793,155,32177
37,1999,Erin,3.2102525889193902,911,1,5,1137,42471.023375276665,76.21723027985183,MWR,4.670195167757842,121,41801
86,1970,Danny,1.0200013566858752,909,0,2,588,36912.89723132836,50.015827447728,MWR,9.089791196321585,81,72966
18,2009,Erin,11.799057747946048,957,1,1,1021,24502.488269197136,54.235883722515254,MWR,4.00094521639045,92,42797
36,1958,Kate,5.17277972905654,909,0,1,471,51335.394249495876,60.448012032999856,MWR,5.520156220982461,122,56772
91,2007,Florence,8.22077157664491,977,1,5,1053,34888.672427065314,8.264058500102024,MWR,-2.022504603690358,165,52214
53,2003,Bertha,4.453091403753387,937,1,5,139,22875.90123285537,40.94606587709041,MWR,-0.6781833557145474,178,77056
45,1952,Able,9.176933226419882,971,1,3,1579,36807.46767440827,28.665214878294986,MWR,3.631678072536662,99,28651
32,1996,Kate,4.249588813415254,988,1,2,496,15015.282091812845,7.895269920183583,MWR,2.0502852338576405,146,73144
52,2006,Edna,6.837683048242523,998,0,4,123,51184.214599697865,30.554930602795405,MWR,5.834661357634222,151,8186
6,1979,Cleo,4.245531261094478,979,0,2,849,39017.47367165019,34.446055810575565,MWR,5.233876072302259,179,28412
0,2000,Lili,9.576570457963115,989,1,2,803,33999.359916863126,34.07272875397727,MWR,6.492813484484952,120,68069
31,1976,Babe,-4.985074955053274,928,1,4,331,7707.87397303847,6.843429241632176,MWR,0.6738085577757813,91,44607
61,2000,Ethel,5.349297395952038,982,0,1,1305,26925.36245895167,61.74996367171302,MWR,5.124286560705345,85,36691
67,1985,Barbara,4.986961497249543,923,1,1,704,33448.69022252532,38.46103995393559,MWR,0.36813694519311735,180,45171
70,1985,Dolly,-0.5817032980977404,938,0,5,923,44033.244397957846,37.540845050984046,MWR,3.2681253823908514,84,67914
7,1994,Andrew,10.527342698332237,947,0,1,319,23434.430816827164,20.41077223145865,MWR,5.0261768020873525,101,71618
23,1983,Helene,4.120529848256624,985,0,5,248,59261.13130678306,14.433261851287739,MWR,6.71150928065947,185,11935
74,2006,Connie,4.892624796804773,970,0,4,1032,28977.416167532552,19.864449692724826,MWR,10.239482537988437,187,21029
62,1993,Gustav,4.674530773303543,923,0,5,493,46263.20984459094,27.686825246483696,MWR,12.130077939465606,101,13508
37,1977,Charley,2.318607284559719,956,0,4,277,36381.216196128385,53.589523575362236,MWR,6.310518686172146,140,58507
90,1999,King,7.905868908224001,999,0,4,468,40907.59879989512,31.522341099447242,MWR,2.8334601671010358,190,7562
35,1954,Katrina,5.707052184256419,935,1,3,819,34328.0595237634,-7.349811303374551,uri,5.388638044627361,158,5405
17,1968,Irene,6.0541037507756545,957,0,1,539,49135.36924142232,26.25108618211058,MWR,3.6721210566863984,176,22717
8,1999,Andrew,0.000868067719313359,973,0,1,1324,27400.205244178553,1.5596444155379956,MWR,4.394279760483862,159,39473
28,1971,Floyd,-0.05245836628309686,1000,1,2,167,27455.138656527517,20.843141580306526,MWR,7.3960745302624575,89,14592
4,1994,Alicia,7.741342185714672,981,0,2,642,29540.58168749186,30.281568764979866,MWR,1.671681022132129,186,43582
