chimpanzee,age,sex,hammer,nuts_opened,seconds,help
3,7,m,G,5,65.97323584042256,N
22,3,m,G,33,43.81140828004828,N
18,15,m,G,12,36.13004616078129,N
5,12,f,G,68,65.0104106156913,N
10,5,m,G,54,75.07944754829307,N
9,13,m,G,68,71.90693222818554,N
4,8,m,G,36,86.84101689291947,N
4,5,m,G,65,60.8349602540223,N
11,14,m,L,76,63.65979510999043,N
22,6,f,wood,22,23.63729620042313,N
11,9,m,G,19,60.83128929563076,y
12,4,m,G,54,48.60520461453166,N
2,10,m,G,12,42.9233081669999,N
3,4,m,wood,4,97.20913443413738,N
8,6,f,G,75,75.49443411116135,N
14,10,m,G,32,28.320129894987723,N
14,9,f,G,6,57.01816473601514,N
20,10,m,G,33,48.744565453963645,N
19,5,m,G,13,59.41787517636844,N
15,16,f,L,58,70.61345747286632,N
8,12,m,G,5,59.91731247450417,N
19,10,m,G,66,75.41040336099371,N
5,4,m,G,27,92.85833675560994,y
15,3,m,G,30,48.737293735594335,N
2,7,m,G,28,10.919980460148658,N
2,13,f,G,24,88.8396048467459,N
9,3,m,G,64,56.04893946397448,N
14,6,m,G,38,83.97769491499523,N
17,7,m,G,51,59.32325985034595,N
4,10,f,G,18,54.53730951287639,N
3,11,f,G,73,45.674644237642596,N
15,9,m,G,51,21.73728732616462,N
22,12,f,G,16,88.37470481281835,N
9,4,m,G,77,56.90535716318398,y
19,10,m,L,57,15.606254247125094,N
11,14,f,G,41,109.47228521601089,N
21,6,f,wood,63,71.5931746480885,N
8,12,m,G,43,69.22949358636338,y
8,12,m,Q,49,97.91346627871619,N
21,11,m,G,34,67.87125768857541,N
6,16,m,G,10,100.13433485109128,N
15,14,f,G,48,73.84157415014357,N
13,5,m,G,58,62.403317295065136,N
2,13,f,G,42,38.93771118686608,y
10,3,m,G,19,80.16720028516723,N
5,16,m,G,75,87.78935272255971,N
19,8,m,G,19,72.12815370254827,N
19,15,m,G,50,45.23676682996823,N
15,9,m,G,77,51.83320396265145,N
1,10,m,G,26,66.85646948369174,N
13,8,m,G,46,28.02100449031387,N
16,5,m,G,36,37.71235894576445,N
13,12,m,G,66,108.58011617954482,y
14,12,f,wood,13,42.20780044595194,N
4,10,m,G,68,48.75748525383281,N
17,10,m,G,73,58.76475911881039,N
10,13,m,G,33,56.97335544937602,N
17,7,m,G,8,60.961593462960295,N
8,7,m,G,59,66.1628231192596,N
2,16,m,G,77,75.79746830848995,N
17,4,f,G,46,72.77133933040155,y
11,8,m,G,17,77.15774166592391,N
17,8,m,Q,63,60.712745710106276,N
6,10,m,G,27,72.65610995586108,y
16,14,f,G,73,60.14767125360238,y
7,5,m,G,46,57.95535601392106,y
16,7,f,G,49,87.74927657732331,N
19,4,m,G,24,85.76810701198724,N
3,13,m,G,59,62.73241168704865,y
9,15,m,G,70,89.72013395878469,N
6,13,m,G,22,69.8482360382056,N
8,14,f,G,44,87.06594599109897,N
8,11,m,G,16,13.283645109918155,N
10,11,m,G,56,57.937143896480514,N
21,13,m,G,52,70.04788641713029,N
8,16,m,G,68,78.94821938396299,N
12,15,m,G,75,74.9491329949689,N
16,14,f,G,2,72.57782517395323,N
4,9,f,G,74,52.65127544362845,N
11,12,m,G,70,56.01745697634718,N
6,3,m,G,6,56.68746591540395,N
13,7,m,G,75,79.10845475181006,N
8,9,m,L,17,92.7845695198039,N
12,16,m,wood,69,58.122653268887284,N
