chimpanzee,age,sex,hammer,nuts_opened,seconds,help
15,13,m,G,7,78.35343706514993,N
10,13,m,G,60,79.09819490746364,N
5,15,m,G,66,73.87922516927203,N
8,9,f,G,12,74.8339344240568,N
20,5,m,G,32,77.37946106850296,N
17,16,m,G,10,80.66728374704545,N
19,6,m,G,50,57.09640582096584,N
4,12,m,G,36,52.07198808134448,N
7,10,m,L,8,59.67663970055519,N
20,7,f,wood,24,95.37676547037192,N
18,12,m,G,73,86.15581532220224,y
14,5,m,G,49,83.84815147578735,N
19,15,m,G,14,31.50218013860588,N
6,15,m,wood,30,91.80617067607537,N
5,9,f,G,45,50.72504838769421,N
12,7,m,G,52,67.13161752112222,N
16,5,f,G,37,98.79641698598022,N
15,3,m,G,66,62.31970527267709,N
20,11,m,G,61,90.20165369701803,N
14,16,f,L,42,27.197229244730288,N
18,9,m,G,17,36.93302689008004,N
22,7,m,G,55,81.49588665788943,N
1,3,m,G,21,45.92321211564338,y
10,16,m,G,60,71.38875495049825,N
12,6,m,G,23,90.17491325567067,N
9,9,f,G,20,93.99787292879893,N
10,12,m,G,9,56.85233735188747,N
10,5,m,G,23,97.44299087624739,N
3,7,m,G,8,44.36997879277217,N
5,15,f,G,24,81.04622606918346,N
7,14,f,G,67,31.351566734887143,N
5,6,m,G,75,68.32429690677327,N
20,9,f,G,1,22.956532602715647,N
22,8,m,G,5,71.02316943904496,y
11,4,m,L,37,71.19668356649113,N
2,13,f,G,54,67.28710773720834,N
17,15,f,wood,74,48.976118490819644,N
13,6,m,G,61,74.48994309268261,y
5,11,m,Q,47,50.313682640326995,N
4,15,m,G,20,65.87805936903784,N
16,7,m,G,65,64.77827447572221,N
22,12,f,G,59,59.50473855831105,N
3,4,m,G,8,30.107817359077913,N
16,10,f,G,6,60.92581063869631,y
20,15,m,G,74,73.46984968828502,N
2,10,m,G,70,78.342661490149,N
2,14,m,G,57,93.6135197578157,N
17,4,m,G,2,97.95207952931416,N
3,11,m,G,15,52.05527230754459,N
12,5,m,G,4,87.21064736849661,N
5,9,m,G,9,96.58603459874294,N
20,8,m,G,31,80.95775231231985,N
20,6,m,G,24,85.83610708819549,y
16,7,f,wood,41,64.62172193738184,N
11,8,m,G,37,72.10583334286552,N
9,9,m,G,74,37.63914939467642,N
1,14,m,G,63,78.16065832006718,N
10,13,m,G,77,44.47590258601767,N
15,11,m,G,28,109.71531128087659,N
1,10,m,G,54,105.28658278386385,N
13,16,f,G,25,38.04410780657231,y
18,14,m,G,9,71.38232603652752,N
6,12,m,Q,60,39.54267707332986,N
11,5,m,G,63,85.76310572810225,y
8,5,f,G,25,93.60540671531602,y
3,3,m,G,20,58.243620328593366,y
15,7,f,G,15,53.94462798125573,N
7,9,m,G,61,20.526028059827425,N
7,10,m,G,6,52.41115283224701,y
1,16,m,G,50,61.513474838299906,N
7,7,m,G,22,83.54097724327283,N
13,8,f,G,25,47.39419673090216,N
5,3,m,G,67,58.62225223100276,N
18,4,m,G,7,43.4743779983756,N
15,14,m,G,53,79.56470748845334,N
9,11,m,G,68,79.9677322349949,N
14,5,m,G,19,68.44868990717887,N
4,4,f,G,77,20.133697605520254,N
22,6,f,G,72,48.583749848054495,N
12,4,m,G,12,72.84563029201085,N
1,7,m,G,61,34.41081610372972,N
12,15,m,G,56,114.66702244177182,N
2,5,m,L,44,97.18271412015065,N
5,6,m,wood,58,81.93505489380803,N
