rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
361,no,68,female,more,0.8216835106060938,2.086785194080496,upper,yes,yes,289,346,30
66,no,60,male,more,2.499657345625344,1.4083255925736218,lower,yes,yes,235,127,66
158,no,53,female,more,1.403873422875067,0.942460509853456,upper,yes,yes,271,50,47
321,no,37,male,more,1.4666610574854122,0.09076569326958017,lower,yes,yes,8,475,37
245,no,51,female,more,2.052955158165817,2.171975676383403,upper,yes,yes,53,275,4
436,no,47,male,more,2.764788903620895,0.7250237971448195,upper,yes,yes,295,407,80
191,no,53,female,more,1.812646610570588,1.275793500678586,upper,yes,no,135,479,40
109,no,70,female,more,1.507336183288116,1.1716809472665557,upper,yes,no,346,29,75
250,no,37,female,more,1.944769546704107,1.8329431612015874,upper,yes,yes,279,316,19
25,no,65,female,more,1.3544498865515797,1.9602108831411504,upper,yes,yes,335,388,79
298,yes,42,male,more,1.7221787285877277,0.7690216464914797,upper,no,yes,109,274,13
123,no,64,male,more,1.8269849900799435,0.6467872092150216,lower,yes,yes,72,310,4
445,no,29,male,more,0.5049110375364088,1.0541366548468147,lower,yes,yes,144,170,94
296,no,63,male,more,2.905940771922328,1.3685086681259098,lower,yes,yes,372,144,50
168,yes,59,male,single,3.0263964847032874,1.3705448543141172,lower,yes,no,189,85,73
342,no,55,male,more,2.5885579834928167,1.4931933767485592,upper,yes,yes,85,101,54
153,no,52,male,more,0.8530461946791151,1.3387741475542754,upper,yes,yes,91,67,2
323,no,48,male,more,2.041987879963045,1.5284197680064853,upper,yes,yes,296,337,53
336,no,67,female,more,0.4986314310031976,0.18980744883477807,upper,yes,yes,154,29,6
306,no,50,male,more,1.6607305637073804,1.2811876944259506,upper,yes,yes,247,472,56
239,no,73,female,more,1.5527895008783492,2.190317729397164,upper,yes,yes,133,543,50
99,yes,73,male,more,2.053967976277316,2.0629594384509393,upper,yes,yes,230,142,52
254,no,30,male,more,0.9686702600731595,1.446961574192166,lower,no,yes,45,74,41
409,no,40,male,more,1.2146526461616594,2.0491892988840275,lower,yes,yes,62,567,1
401,no,57,female,more,2.4167891062399915,1.8529199269277747,upper,yes,no,141,535,6
144,no,68,male,more,2.7358118243924325,1.5530257439397697,lower,yes,yes,45,226,70
391,no,47,female,more,1.518410563899221,2.282653732903361,upper,yes,no,127,353,91
322,no,39,male,more,-0.37911467323280856,1.2301349539882738,lower,yes,yes,246,512,52
386,no,72,male,more,2.3608680985041572,0.7304860476708146,upper,yes,yes,123,111,10
292,no,59,female,more,0.8963359399445168,0.09793947104437062,upper,yes,yes,240,354,49
