rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
372,no,35,female,more,2.453206580326436,1.06993223230457,upper,yes,yes,132,263,91
130,no,71,male,more,3.054410731166984,1.8561035641079728,lower,yes,yes,243,134,94
373,no,30,female,more,1.9175458986803873,1.7001580986875369,upper,yes,yes,54,69,25
403,no,66,male,more,2.5311828787015473,1.130293904391022,lower,yes,yes,236,240,24
357,no,51,female,more,1.1033853988029674,1.8604809612756061,upper,yes,yes,280,95,46
31,no,38,male,more,2.039065706249041,2.3707684269266283,upper,yes,yes,133,320,3
354,no,37,female,more,1.7020756548043723,1.5400006346235187,upper,yes,no,114,450,69
350,no,57,female,more,2.03819545906997,1.7129565810552905,upper,yes,no,306,568,20
397,no,67,female,more,2.2408735901652896,1.4869847791859072,upper,yes,yes,145,324,10
174,no,45,female,more,0.5772304413240461,0.607147439685305,upper,yes,yes,322,358,33
214,yes,58,male,more,0.506788716959123,0.8088286252029924,upper,no,yes,342,380,37
265,no,60,male,more,1.383148107545403,1.952677350309772,lower,yes,yes,166,262,40
309,no,55,male,more,1.0920425032612444,1.1266092185242393,lower,yes,yes,187,139,30
341,no,70,male,more,1.3032860193041214,0.8002254355040828,lower,yes,yes,334,332,77
335,yes,30,male,single,2.10356802253846,1.6128363222706223,lower,yes,no,254,507,21
297,no,40,male,more,2.6117521039775,1.2412301317321581,upper,yes,yes,326,517,31
330,no,51,male,more,3.193881163323166,1.0906042447455966,upper,yes,yes,257,461,75
383,no,49,male,more,2.662213936204062,1.5115951808141008,upper,yes,yes,347,165,62
375,no,35,female,more,2.2730973047419685,1.4723057654151983,upper,yes,yes,64,78,69
1,no,52,male,more,1.6869451140655756,1.3547210001638534,upper,yes,yes,154,99,71
133,no,31,female,more,1.5849320105508147,2.340566498365347,upper,yes,yes,360,344,5
305,yes,66,male,more,1.3445746460921535,1.4913145841649662,upper,yes,yes,132,319,13
311,no,72,male,more,2.70277336205222,2.368065397673715,lower,no,yes,63,493,66
131,no,32,male,more,1.2885781938693783,0.9747650822940694,lower,yes,yes,27,298,71
451,no,50,female,more,1.065351451254236,1.5582385788242514,upper,yes,no,300,84,82
204,no,40,male,more,0.28940714496079245,1.7034609420243256,lower,yes,yes,267,580,64
85,no,38,female,more,0.7541976144097027,0.8344148529869726,upper,yes,no,165,25,78
175,no,41,male,more,1.249126966810647,0.5033352912640994,lower,yes,yes,50,302,31
296,no,36,male,more,1.371820077150435,1.108165970942507,upper,yes,yes,256,178,45
26,no,59,female,more,1.546624955855116,0.9870395794144284,upper,yes,yes,158,539,12
146,no,49,male,more,2.0149486924070916,1.5180023594754604,upper,yes,yes,160,420,84
68,no,62,male,more,1.5772696630052903,1.1906538630848376,upper,yes,yes,57,13,15
169,yes,70,female,more,2.911704844299165,0.8680711301710857,upper,no,yes,275,93,89
253,yes,63,female,more,3.2055658850258224,0.7662811140774789,upper,yes,yes,26,472,3
198,no,29,male,more,0.37719996105060294,2.5544372462038183,upper,yes,yes,335,480,27
322,no,63,female,more,2.0471270687407994,1.3787931640491722,upper,yes,yes,57,125,90
64,no,48,female,more,0.39865121326651587,2.665827820580409,lower,yes,no,210,223,4
