rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,m_focal,num_words,income,county,nExp,leagueCountry,n_focal,dyad,help
4,0,male,9,10.0,no,3,18,7,4,2,120,22.69000053,Alameda,3011.0,Spain,5,1,N
5,0,female,7,4.0,no,4,14,6,4,2,383,9.824000359,Butte,5621.0,Germany,5,1,N
11,0,female,11,15.0,yes,1,12,1,4,2,324,8.977999687,Butte,119.0,France,5,5,N
16,0,male,5,15.0,yes,5,18,6,5,2,324,8.977999687,Butte,7974.0,Germany,5,6,y
23,0,male,10,0.75,no,2,17,6,3,3,324,9.080332756,Butte,1897.0,Spain,10,6,N
29,0,female,6,1.5,no,2,17,5,5,3,145,10.41499996,Fresno,46916.0,Germany,10,6,N
44,0,female,8,0.75,no,2,12,1,3,3,106,6.577000141,San Joaquin,7974.0,Germany,10,6,N
45,0,male,5,15.0,yes,2,14,4,4,2,106,8.173999786,Kern,7974.0,Germany,5,6,N
47,0,female,10,15.0,yes,4,16,1,2,2,145,7.385000229,Fresno,3011.0,England,5,5,N
49,0,male,5,1.5,no,4,14,4,5,2,120,11.61333275,Sacramento,6121.0,Germany,6,5,N
50,0,male,6,15.0,yes,2,20,7,2,3,120,8.930999756,Merced,7974.0,Germany,10,6,N
55,0,male,9,4.0,yes,4,18,6,4,4,106,7.385000229,Fresno,1897.0,Germany,13,3,N
64,0,male,8,15.0,yes,5,17,6,4,3,166,5.335000038,Tulare,1897.0,Spain,10,3,N
80,0,female,6,1.5,no,2,17,5,4,2,106,8.279000282,Tulare,598.0,England,5,5,N
86,0,female,6,4.0,no,4,14,5,4,4,324,9.630000114,Tulare,550.0,England,13,3,N
93,0,female,5,15.0,yes,1,17,5,5,4,145,7.453999996,Tulare,1938.0,France,13,1,N
108,0,female,8,15.0,yes,2,18,4,3,4,324,6.21600008,Kern,46916.0,England,13,1,N
114,0,female,9,0.75,no,3,16,5,4,2,166,7.763999939,Kern,46916.0,England,5,5,N
115,0,female,8,1.5,no,2,16,5,5,4,166,7.021999836,Los Angeles,7974.0,England,13,1,N
116,0,female,12,10.0,yes,2,14,1,5,2,106,5.698999882,Kern,5621.0,Spain,5,6,N
123,0,female,5,1.5,no,2,16,5,5,3,145,7.940999985,Imperial,46916.0,England,10,4,N
127,0,female,8,1.5,no,2,16,5,5,2,145,9.630000114,Tulare,7974.0,Germany,5,1,y
129,0,female,8,10.0,yes,4,16,5,4,3,106,7.40500021,Kern,46916.0,Spain,10,4,N
134,0,female,13,10.0,yes,3,14,1,5,2,383,9.630000114,Tulare,1897.0,Spain,5,4,N
137,0,male,13,4.0,yes,2,20,6,4,2,106,8.019000053,Merced,1365.0,Spain,5,4,N
139,0,female,8,1.5,no,2,18,5,5,3,120,8.522999763,Tulare,6121.0,England,10,8,N
147,0,female,9,7.0,no,4,16,1,5,3,106,7.983181477,Monterey,7974.0,Germany,10,2,N
151,0,male,13,15.0,yes,5,20,6,4,2,145,7.304999828,Kern,46916.0,England,5,4,y
153,0,male,12,4.0,yes,3,16,5,5,2,145,8.934000015,Tulare,1938.0,Germany,5,5,y
155,0,female,10,4.0,yes,3,17,5,4,3,106,8.553999901,Tulare,606.0,England,10,7,N
162,0,male,5,15.0,yes,4,20,6,3,2,106,6.612999916,San Diego,46916.0,England,6,5,N
163,0,female,10,1.5,no,3,16,5,5,2,145,12.4090004,Monterey,7974.0,Germany,5,5,N
165,0,male,13,0.417,no,4,17,6,4,3,145,8.126615524,Los Angeles,7974.0,Germany,10,8,N
168,0,female,6,15.0,yes,5,14,5,4,3,383,11.43099976,Monterey,46916.0,Spain,10,4,N
170,0,male,8,4.0,yes,1,18,6,4,2,120,11.72222519,San Bernardino,2388.0,England,6,5,N
172,0,female,5,1.5,no,4,16,5,3,3,145,11.33250046,Los Angeles,1897.0,Spain,10,4,N
184,0,female,8,15.0,yes,3,12,1,4,2,324,9.597999573,Merced,3351.0,France,6,5,N
187,0,female,11,4.0,no,4,17,5,5,3,145,14.55799961,Fresno,46916.0,England,10,8,N
192,0,male,13,1.5,yes,1,14,3,5,2,166,22.05999947,San Mateo,3351.0,England,5,5,N
194,0,female,12,0.75,no,3,16,1,5,3,145,9.708999634,Kern,3011.0,France,10,7,N
210,0,male,7,10.0,yes,5,20,6,5,2,145,11.48294449,Ventura,7974.0,Germany,5,4,N
217,0,male,7,15.0,yes,5,18,6,3,2,383,8.17800045,Merced,46916.0,England,5,4,N
220,0,female,9,0.417,no,5,14,1,4,4,145,8.173999786,Kern,1158.0,Germany,13,3,N
224,0,female,7,4.0,yes,2,18,6,1,2,120,7.5,Kern,46916.0,England,5,5,y
227,0,female,7,7.0,yes,5,17,5,3,4,166,10.05049992,Riverside,2029548.0,Germany,13,1,N
228,0,male,7,4.0,no,3,16,5,5,2,120,7.331999779,Los Angeles,1365.0,Germany,6,5,N
239,0,female,7,7.0,yes,4,18,6,5,2,383,12.5815773,Santa Clara,46916.0,England,5,4,N
241,0,female,12,15.0,yes,2,18,5,4,2,145,15.17700005,Kern,2435.0,Germany,5,4,N
245,0,male,7,1.5,yes,4,16,3,5,4,120,12.109128,Kern,46916.0,England,13,3,N
249,0,male,7,15.0,yes,2,20,6,4,3,120,11.78499985,Santa Clara,1938.0,Spain,10,4,N
262,0,female,5,0.75,no,5,14,3,5,2,106,14.06200027,Los Angeles,1897.0,Spain,6,5,y
265,0,male,12,7.0,yes,2,20,6,4,4,166,10.47200012,Madera,46916.0,Spain,13,3,N
