rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
547,0,male,22.0,1.5,yes,3,14,5,3
1846,0,male,22.0,0.417,yes,4,14,6,5
1575,0,male,32.0,10.0,yes,3,17,5,4
400,0,male,27.0,15.0,yes,4,14,6,4
857,3,male,37.0,1.5,yes,4,16,1,5
1234,0,female,22.0,15.0,yes,2,20,1,5
50,0,male,57.0,7.0,yes,4,18,1,4
204,0,male,22.0,15.0,yes,5,17,5,4
403,0,male,27.0,0.75,no,3,18,6,4
1473,7,male,37.0,15.0,no,2,14,6,4
277,7,female,32.0,4.0,yes,1,14,1,5
597,7,female,27.0,15.0,no,4,20,6,3
543,0,female,32.0,1.5,no,2,12,3,3
1831,1,female,32.0,15.0,yes,5,14,6,3
1590,0,female,32.0,15.0,no,3,16,1,3
1063,0,male,22.0,15.0,yes,4,17,6,5
162,0,male,42.0,10.0,no,2,14,1,3
961,0,male,37.0,7.0,yes,4,17,1,5
865,2,female,37.0,0.75,no,1,20,6,2
439,0,female,47.0,0.75,yes,2,16,3,3
11,0,female,52.0,4.0,yes,2,17,6,4
1791,0,male,37.0,1.5,yes,4,17,5,4
1057,0,male,52.0,15.0,yes,5,14,3,5
1941,1,female,22.0,7.0,yes,2,18,1,5
1585,3,female,22.0,4.0,no,4,20,2,5
1131,0,male,42.0,4.0,yes,3,18,6,5
378,0,female,47.0,0.75,no,1,14,5,3
667,0,male,57.0,15.0,yes,4,14,5,5
1460,1,female,37.0,15.0,yes,4,14,4,4
1916,0,male,27.0,15.0,no,3,20,3,2
1938,0,female,32.0,1.5,yes,3,14,5,3
779,2,male,22.0,7.0,no,2,18,3,3
416,0,male,32.0,1.5,yes,4,12,3,5
1130,0,female,27.0,1.5,yes,1,17,3,4
903,0,female,27.0,1.5,yes,4,14,5,4
43,0,female,27.0,4.0,yes,5,20,1,5
648,12,male,22.0,0.75,no,2,20,6,5
834,3,male,22.0,15.0,no,4,12,4,5
1940,0,male,27.0,10.0,no,4,14,5,5
1207,0,female,32.0,15.0,yes,2,18,5,5
1566,0,male,37.0,0.75,yes,4,16,4,4
155,0,male,22.0,1.5,yes,4,16,4,1
666,0,male,22.0,15.0,yes,3,12,1,3
1674,0,female,27.0,4.0,no,3,14,1,3
137,0,female,37.0,10.0,yes,1,14,5,4
859,0,male,37.0,4.0,no,4,14,5,5
252,0,male,37.0,0.417,yes,5,18,4,4
532,0,male,27.0,15.0,yes,2,20,7,2
324,7,female,37.0,15.0,yes,1,17,5,4
436,0,female,32.0,1.5,yes,3,9,7,4
1089,0,female,32.0,15.0,no,3,18,5,5
1103,7,female,17.5,1.5,yes,2,16,5,5
512,0,male,27.0,4.0,yes,3,17,6,5
1445,0,female,22.0,4.0,yes,5,14,7,4
1856,0,female,27.0,15.0,yes,1,14,3,1
1515,3,female,32.0,15.0,yes,2,12,6,4
947,0,female,22.0,15.0,no,2,20,5,4
788,12,male,32.0,15.0,yes,4,18,3,2
671,0,female,27.0,15.0,yes,2,12,4,5
908,0,male,32.0,15.0,yes,3,16,5,5
384,0,female,27.0,15.0,no,2,16,4,3
843,0,female,22.0,15.0,yes,4,20,5,5
1416,2,male,52.0,15.0,yes,2,12,4,3
1075,0,male,47.0,15.0,yes,5,20,6,5
1236,7,male,27.0,15.0,no,4,16,6,5
370,0,female,37.0,4.0,no,3,14,1,5
1550,0,female,27.0,15.0,no,4,14,6,2
1840,0,male,27.0,4.0,no,5,14,5,5
413,0,female,32.0,10.0,no,4,14,6,5
1359,0,female,37.0,15.0,yes,2,16,6,2
1322,0,male,32.0,1.5,yes,3,12,3,4
44,0,female,37.0,15.0,yes,3,16,1,5
1859,0,female,27.0,4.0,no,2,14,5,4
1609,0,female,27.0,4.0,yes,4,18,6,1
1892,2,male,27.0,4.0,yes,2,14,5,5
1080,0,male,42.0,15.0,yes,2,12,5,2
1341,0,female,37.0,15.0,yes,3,14,6,2
1073,0,female,47.0,15.0,yes,4,17,1,4
1543,7,female,42.0,4.0,yes,4,17,4,5
1897,0,female,27.0,4.0,yes,1,17,5,5
1242,0,male,32.0,15.0,yes,1,16,5,2
1873,2,male,22.0,15.0,yes,2,16,5,2
1959,0,female,42.0,7.0,yes,4,18,6,4
1551,0,male,22.0,15.0,yes,3,17,1,1
381,12,male,27.0,1.5,yes,3,18,1,1
194,0,female,52.0,4.0,yes,3,18,1,5
747,0,female,37.0,4.0,yes,4,16,5,4
992,0,female,32.0,10.0,yes,2,17,5,5
1594,0,female,22.0,15.0,yes,1,14,6,3
949,0,male,27.0,15.0,yes,3,14,5,3
1068,0,female,27.0,7.0,yes,4,20,6,5
1218,0,male,32.0,1.5,yes,4,16,4,5
299,0,female,22.0,4.0,no,2,17,1,3
