feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,0.9122807017543856,male,37.0,10.0,no,3,18,7,4
5,0.9122807017543856,female,27.0,4.0,no,4,14,6,4
11,1.6720930232558144,female,32.0,15.0,yes,1,12,1,4
16,1.6720930232558144,male,57.0,15.0,yes,5,18,6,5
23,0.9122807017543856,male,22.0,0.75,no,2,17,6,3
29,0.9122807017543856,female,32.0,1.5,no,2,17,5,5
44,0.9122807017543856,female,22.0,0.75,no,2,12,1,3
45,1.6720930232558144,male,57.0,15.0,yes,2,14,4,4
47,1.6720930232558144,female,32.0,15.0,yes,4,16,1,2
49,0.9122807017543856,male,22.0,1.5,no,4,14,4,5
50,1.6720930232558144,male,37.0,15.0,yes,2,20,7,2
55,1.6720930232558144,male,27.0,4.0,yes,4,18,6,4
64,1.6720930232558144,male,47.0,15.0,yes,5,17,6,4
80,0.9122807017543856,female,22.0,1.5,no,2,17,5,4
86,0.9122807017543856,female,27.0,4.0,no,4,14,5,4
93,1.6720930232558144,female,37.0,15.0,yes,1,17,5,5
108,1.6720930232558144,female,37.0,15.0,yes,2,18,4,3
114,0.9122807017543856,female,22.0,0.75,no,3,16,5,4
115,0.9122807017543856,female,22.0,1.5,no,2,16,5,5
116,1.6720930232558144,female,27.0,10.0,yes,2,14,1,5
123,0.9122807017543856,female,22.0,1.5,no,2,16,5,5
127,0.9122807017543856,female,22.0,1.5,no,2,16,5,5
129,1.6720930232558144,female,27.0,10.0,yes,4,16,5,4
134,1.6720930232558144,female,32.0,10.0,yes,3,14,1,5
137,1.6720930232558144,male,37.0,4.0,yes,2,20,6,4
139,0.9122807017543856,female,22.0,1.5,no,2,18,5,5
147,0.9122807017543856,female,27.0,7.0,no,4,16,1,5
151,1.6720930232558144,male,42.0,15.0,yes,5,20,6,4
153,1.6720930232558144,male,27.0,4.0,yes,3,16,5,5
155,1.6720930232558144,female,27.0,4.0,yes,3,17,5,4
162,1.6720930232558144,male,42.0,15.0,yes,4,20,6,3
163,0.9122807017543856,female,22.0,1.5,no,3,16,5,5
165,0.9122807017543856,male,27.0,0.417,no,4,17,6,4
168,1.6720930232558144,female,42.0,15.0,yes,5,14,5,4
170,1.6720930232558144,male,32.0,4.0,yes,1,18,6,4
172,0.9122807017543856,female,22.0,1.5,no,4,16,5,3
184,1.6720930232558144,female,42.0,15.0,yes,3,12,1,4
187,0.9122807017543856,female,22.0,4.0,no,4,17,5,5
192,1.6720930232558144,male,22.0,1.5,yes,1,14,3,5
194,0.9122807017543856,female,22.0,0.75,no,3,16,1,5
210,1.6720930232558144,male,32.0,10.0,yes,5,20,6,5
217,1.6720930232558144,male,52.0,15.0,yes,5,18,6,3
220,0.9122807017543856,female,22.0,0.417,no,5,14,1,4
224,1.6720930232558144,female,27.0,4.0,yes,2,18,6,1
227,1.6720930232558144,female,32.0,7.0,yes,5,17,5,3
228,0.9122807017543856,male,22.0,4.0,no,3,16,5,5
239,1.6720930232558144,female,27.0,7.0,yes,4,18,6,5
