tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,m_focal,num_words,district,refCountry,redCards,n_focal,gender,dyad,deny
Anterior,MH12320,6,4,32.0,3.80295048,0.75,Homo sapiens,Australian aboriginie,3,120,64188,58,0,10,1,7,0
Anterior,BRK126260,0,8,37.0,4.28424336,0.5,Homo sapiens,French Cameroons,3,145,67702,28,0,10,2,6,0
Posterior,IPHA.34,2,12,27.0,6.01663882,0.0,Homo sapiens,East Africa,2,120,72371,1,0,10,2,1,0
Premolar,IPHA.47,1,12,22.0,2.81576611,0.25,Papio,East Africa,4,106,69120,3,0,13,2,5,1
Anterior,BRK126764,9,8,27.0,4.08550898,0.25,Papio,Native Californian,3,120,66498,44,0,13,1,4,0
Posterior,MH19784,0,6,32.0,2.91816725,0.75,Homo sapiens,Native Californian,4,383,63362,7,0,10,1,5,0
Premolar,MH4763,2,8,57.0,3.95531929,0.25,Papio,Khoi-San or bushman half-caste,2,120,72215,7,0,5,2,4,1
Anterior,MH4767,6,8,32.0,2.74721254,0.0,Pongo,Khoi-San or bushman half-caste,2,383,64816,7,0,6,1,6,0
Anterior,BRK125832,0,12,37.0,3.37708808,0.0,Homo sapiens,Native Californian,2,106,65177,71,0,10,2,4,0
Premolar,BRK126760,0,8,27.0,7.8,0.0,Papio,Khoi-San,2,324,63917,8,0,10,2,4,0
Anterior,BRK126054,0,8,27.0,9.1,1.0,Homo sapiens,East Africa,2,324,70672,44,0,10,2,4,0
Posterior,HTB2747,0,6,37.0,10.0,0.75,Papio,Buriat,2,106,67645,32,0,5,1,4,1
Posterior,HTB1222,0,8,32.0,9.29798279,0.5,Homo sapiens,Australian aboriginie,3,383,72470,76,0,6,2,7,0
Anterior,MH8057,4,9,32.0,9.02231946,0.0,Homo sapiens,East Africa,3,120,71308,113,1,5,1,4,0
Anterior,HTB1758,0,12,27.0,7.2151844,0.25,Homo sapiens,East Africa,3,145,69021,3,0,10,2,3,0
Anterior,BRK126261,0,12,27.0,3.68843519,0.25,Homo sapiens,French Cameroons,3,106,64592,7,0,5,2,2,0
Posterior,UVS101,0,4,32.0,4.28424336,1.0,Homo sapiens,Borneo,2,383,73544,44,0,10,2,6,0
Anterior,PMN1390,0,12,32.0,3.45050478,0.75,Pongo,Khoi-San,2,145,69617,7,0,10,2,1,1
Posterior,BM1908.8.9.41,0,8,42.0,3.66420581,0.75,Papio,French Cameroons,2,324,63719,7,0,5,1,1,0
Anterior,MH1503,0,12,22.0,5.69322104,0.75,Pongo,Chucki,2,145,68007,8,0,13,2,5,0
Posterior,MH1505,0,12,42.0,8.82500633,0.75,Papio,West Africa,2,383,65425,7,0,10,2,5,0
Premolar,AMNH99.1/105,0,11,22.0,4.59386268,1.0,Papio,Tasmanien,3,166,63503,44,0,13,1,5,0
Anterior,BM1924.8.6.16,0,11,27.0,3.7272427,0.75,Homo sapiens,Afalou,3,324,69617,7,0,5,2,3,1
Premolar,AMNH99.1/91-B,0,12,22.0,2.86641,0.75,Homo sapiens,Arabia,3,145,66167,7,0,10,2,4,0
Posterior,AMNH99.1/99,4,12,32.0,6.06203036,0.25,Pongo,East Africa,2,106,69914,15,0,10,2,5,0
Anterior,NMNH344713,0,12,27.0,3.88831042,1.0,Pan,Chucki,4,145,70698,44,0,5,2,1,0
Posterior,MH12327,0,4,37.0,4.43727895,0.75,Homo sapiens,Australian aboriginie,2,383,69203,8,0,10,1,5,0
Posterior,NMNH225025,0,12,22.0,6.79442263,1.0,Homo sapiens,Australian aboriginie,4,106,71290,7,0,5,1,4,0
Anterior,HTB1957,0,6,37.0,8.3,0.0,Homo sapiens,Tasmanien,2,383,66142,3,0,13,1,1,0
Anterior,IPHA.7,0,8,27.0,10.0,0.25,Homo sapiens,Native Californian,2,383,63339,8,0,5,1,5,0
Posterior,BM1884.10.30.1,0,8,37.0,2.43523526,1.0,Homo sapiens,West Africa,2,324,75085,7,0,13,1,3,0
Anterior,IPHA.3,0,12,32.0,12.5,0.25,Homo sapiens,Native Californian,4,383,71563,4,0,13,1,5,0
Premolar,BRK125675,1,6,27.0,3.77992193,0.25,Pan,Chucki,2,120,71498,8,0,10,1,5,0
Posterior,HTB1720,0,5,17.5,3.48559185,0.75,Homo sapiens,Ebolwa,3,166,67322,3,0,13,2,5,0
Posterior,MH12321,0,12,22.0,7.8,0.25,Homo sapiens,East Africa,2,166,66340,7,0,5,2,5,0
Posterior,BRK125660,0,8,37.0,2.74721254,0.25,Homo sapiens,East Africa,3,324,65037,8,0,10,2,6,0
Posterior,IPHA.46,0,12,42.0,3.92661051,1.0,Homo sapiens,Borneo,3,383,69617,8,0,5,1,5,1
Posterior,UVS10,0,12,17.5,3.39106649,0.25,Papio,Afalou,2,145,64188,44,0,10,2,8,1
Premolar,IPHA.22,0,12,22.0,3.89582582,0.75,Homo sapiens,Ebolwa,4,145,75440,15,0,10,1,4,0
Posterior,HTB1718,0,12,22.0,8.38792417,0.0,Homo sapiens,Australian aboriginie,2,166,71654,44,0,10,2,6,0
Anterior,NMNH329778,0,12,27.0,4.16498874,0.0,Pan,Borneo,3,166,67504,44,0,13,2,4,0
Premolar,BRK126292,0,6,22.0,4.59386268,1.0,Homo sapiens,Native Californian,4,120,61713,8,0,10,2,7,0
Posterior,PMN3064,3,6,27.0,3.58600079,0.75,Homo sapiens,East Africa,4,120,69393,8,0,5,2,4,0
Anterior,BM1908.8.9.41,0,10,22.0,5.71046472,0.5,Papio,Australian aboriginie,4,383,71282,8,0,13,1,5,0
Premolar,BM1976.1419,1,8,32.0,4.47291497,0.75,Homo sapiens,Borneo,4,145,64931,7,0,5,1,7,0
Premolar,HTB1903,2,12,27.0,7.03383117,0.25,Homo sapiens,Afalou,3,120,68858,40,0,5,1,4,0
Posterior,HTB1791,1,12,32.0,2.97561367,1.0,Homo sapiens,Native Californian,2,145,72041,8,0,5,1,6,0
Posterior,BM1901.2.13.1,0,12,22.0,3.02477635,1.0,Pongo,Alaska,2,383,62828,30,0,5,2,6,0
Anterior,BRK125802,0,12,42.0,2.33671692,1.0,Homo sapiens,East Africa,2,145,71621,7,0,13,1,4,0
Premolar,BRK126107,0,7,37.0,4.72264949,0.5,Homo sapiens,French Cameroons,2,324,66472,32,0,5,2,5,0
Anterior,BM1898.2.28.11,0,8,37.0,5.33816474,1.0,Homo sapiens,Australian aboriginie,3,145,70185,49,0,5,2,2,0
Anterior,UVS56,0,12,32.0,5.09801939,0.0,Homo sapiens,Ebolwa,4,120,61960,7,0,5,2,3,1
Anterior,BM1976.1430,0,9,27.0,18.8440476,0.5,Homo sapiens,East Africa,3,120,68981,44,0,10,1,5,0
Posterior,BM1938.7.17.1,0,4,22.0,10.5751031,1.0,Papio,Chucki,4,120,61705,55,0,10,1,5,1
Posterior,NMNH283613,0,8,22.0,2.59401611,1.0,Homo sapiens,Ebolwa,2,145,71852,48,0,10,2,5,1
Premolar,AMNH99.1/80(b),0,8,42.0,2.81576611,0.0,Pan,Afalou,2,324,67702,30,0,5,1,8,0
Posterior,BRK126472,2,4,32.0,6.19980411,1.0,Homo sapiens,Afalou,2,145,64691,72,0,10,1,5,1
Premolar,HTB1959,2,12,32.0,2.97561367,0.25,Homo sapiens,Alaska,3,145,63578,44,0,5,1,2,0
Anterior,UVS104,0,8,57.0,3.80295048,1.0,Pan,Borneo,2,383,73700,44,0,5,2,4,1
Anterior,IPHA.15,0,8,22.0,4.709013,1.0,Papio,Buriat,4,145,69682,7,0,10,1,4,0
Posterior,BRK126092,0,8,17.5,3.02477635,0.25,Homo sapiens,Buriat,2,120,65037,72,0,13,2,3,0
Premolar,HTB3412,0,12,27.0,3.63654073,0.0,Homo sapiens,Australian aboriginie,2,106,75440,58,0,13,2,7,0
Posterior,BRK126248,0,12,22.0,3.48066219,1.0,Homo sapiens,Khoi-San or bushman half-caste,4,383,62380,8,0,10,2,5,0
Posterior,MH22277,0,10,32.0,2.50774612,0.75,Pan,Tasmanien,2,324,73726,44,0,5,1,5,0
Premolar,HTB1722,1,12,22.0,3.89582582,0.5,Homo sapiens,East Africa,3,166,65102,8,0,13,1,6,0
Anterior,BM1976.1442,0,6,37.0,4.25426601,0.25,Pongo,Alaska,2,106,62984,93,0,13,1,4,0
Anterior,AMNH99.1/110,0,6,27.0,2.86641,0.5,Homo sapiens,Australian aboriginie,3,120,65813,44,0,10,2,3,0
Premolar,BRK125458,0,12,27.0,1.99807578,1.0,Pongo,Sami,3,324,75119,40,0,6,2,7,0
Premolar,BM1930.12.1.2,4,6,37.0,3.2920468,0.0,Homo sapiens,French Cameroons,2,324,71357,57,0,6,1,1,0
Posterior,IPHA.45,0,12,22.0,4.709013,0.0,Homo sapiens,Buriat,4,145,66233,32,0,13,2,1,0
Posterior,HTB2026,0,12,22.0,6.19608209,0.0,Homo sapiens,East Africa,3,383,68023,8,0,5,1,8,0
Premolar,NMNH283613,0,12,22.0,1.99807578,0.25,Homo sapiens,Khoi-San,4,145,64766,64,0,6,2,5,0
