tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Anterior,AMNH99.1/100,2.081454838004257,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,G,13,0.2899157
Posterior,AMNH99.1/100,-3.1236864902442942,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,G,13,-0.7377322
Premolar,AMNH99.1/100,3.806826313122067,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,wood,6,-0.5719836
Anterior,AMNH99.1/101,4.542727904762578,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,G,10,-0.6779634
Posterior,AMNH99.1/101,-6.6502317856636655,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,L,5,1.509794
Premolar,AMNH99.1/101,-4.138606481441865,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,Q,5,0.5885687
Anterior,AMNH99.1/102,1.396791130635087,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,Q,5,-0.126001
Posterior,AMNH99.1/102,-0.3221890987128728,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,wood,10,-0.2581899
Premolar,AMNH99.1/102,0.8369048353932671,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,G,6,0.1496926
Anterior,AMNH99.1/103,-2.400068440358079,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,L,5,0.540917
Posterior,AMNH99.1/103,4.305960407596931,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,wood,5,0.2316134
Premolar,AMNH99.1/103,3.9126583115140487,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,G,10,-0.0666737
Anterior,AMNH99.1/104,1.1575348137017565,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska, Bodipo,5,6567.149414,Allensworth Elementary,3,1,9,G,13,0.2168924
Posterior,AMNH99.1/104,5.265325256675278,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Stilian Petrov,2,4818.612793,Sunnyside Union Elementary,3,1,4,G,6,-0.2586962
Premolar,AMNH99.1/104,2.711599841422597,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Andrey Arshavin,4,5621.456055,Woodville Elementary,1,4,7,G,10,0.5502878
Anterior,AMNH99.1/105,-2.424255605298562,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Abdou Dampha,1,6026.359863,Pixley Union Elementary,1,1,3,G,5,-0.0620358
Posterior,AMNH99.1/105,2.329319928234147,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Adam Johnson,2,6723.237793,Lost Hills Union Elementary,4,1,3,G,5,-0.9823852
Premolar,AMNH99.1/105,-2.809754441996553,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Gary Gardner,3,5589.885254,Buttonwillow Union Elementary,3,1,4,G,6,-0.054344
Anterior,AMNH99.1/107,4.3022921020721885,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska,Tomáš Rosický,2,5064.615723,Lennox Elementary,2,3,3,G,5,-0.0680143
Posterior,AMNH99.1/107,0.708683766554508,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska, Juanfran,2,5433.593262,Lamont Elementary,3,1,7,G,10,0.0294137
Premolar,AMNH99.1/107,0.18636452327781572,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska,Phil Jagielka,2,5725.563477,Westmorland Union Elementary,4,22,3,G,5,0.2394859
Anterior,AMNH99.1/109,-1.7338388732595396,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska,Fabian Giefer,2,4542.10498,Pleasant View Elementary,4,1,9,G,13,-0.8487269
Posterior,AMNH99.1/109,5.634218107590254,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Bueno,4,5107.086426,Wasco Union Elementary,2,1,3,G,5,-0.7330914
Premolar,AMNH99.1/109,0.303778664517797,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Agirretxe,3,4659.661621,Alta Vista Elementary,2,10,7,L,10,-0.1111221
Anterior,AMNH99.1/110,-0.7560546058576307,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska,Piotr Trochowski,2,4555.464355,Livingston Union Elementary,3,1,7,G,10,1.775517
Posterior,AMNH99.1/110,-0.4611177406259228,6,41.9806416,7.85088419,0.75,Homo sapiens,Alaska,Eden Hazard,2,5415.152832,Woodlake Union Elementary,2,2,4,wood,6,-0.3218485
Premolar,AMNH99.1/110,2.962430543399025,4,41.9806416,7.85088419,0.75,Homo sapiens,Alaska,André Schürrle,4,4997.871582,Alisal Union Elementary,4,1,9,G,13,0.2116939
Anterior,AMNH99.1/111,2.3165201005500875,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska,Jon Walters,5,5223.912109,Arvin Union Elementary,2,14,7,G,10,-0.717645
Posterior,AMNH99.1/111,2.4995671403781445,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska,Beg Ferati,3,5139.164551,Terra Bella Union Elementary,1,5,4,G,6,-0.7326927
Premolar,AMNH99.1/111,2.569584654068314,8,42.2754092,7.9144902,0.5,Homo sapiens,Alaska,Shola Ameobi,3,4614.251953,Tipton Elementary,4,1,7,wood,10,0.4081676
Anterior,AMNH99.1/112,9.191943824081694,12,43.749247,8.23260632,0.25,Homo sapiens,Alaska,Darron Gibson,4,5342.233398,San Ysidro Elementary,1,7,3,G,5,-0.0102077
Posterior,AMNH99.1/112,-0.6712333443287213,11,43.749247,8.23260632,0.25,Homo sapiens,Alaska,Janek Sternberg,3,5347.458496,Soledad Unified,3,2,4,L,6,-0.923957
Premolar,AMNH99.1/112,-1.0808769192119727,8,43.749247,8.23260632,0.25,Homo sapiens,Alaska,Niklas Lomb,4,5036.458984,Mountain View Elementary,4,2,4,L,6,0.5766805
Anterior,AMNH99.1/160,-2.2480553799480383,4,55.0,15.0,0.25,Homo sapiens,Alaska, Cristiano Ronaldo,5,5117.141602,King City Union Elementary,4,10,3,G,5,-0.0836015
Posterior,AMNH99.1/160,3.2863057754611553,5,55.0,15.0,0.25,Homo sapiens,Alaska,Zoltán Gera,1,5117.039551,Ontario-Montclair Elementary,1,1,3,G,5,-1.079558
Premolar,AMNH99.1/160,5.272026036066857,4,55.0,15.0,0.25,Homo sapiens,Alaska, Nélson,4,5272.191895,Los Nietos Elementary,2,3,3,G,5,1.040902
Anterior,AMNH99.1/59,0.46086573684355936,12,48.8,10.5,0.25,Homo sapiens,Alaska,Fabien Camus,3,5225.719238,Winton Elementary,2,9,3,G,5,-1.052108
Posterior,AMNH99.1/59,-2.350183006709327,6,48.8,10.5,0.25,Homo sapiens,Alaska,Wesley Hoolahan,4,6516.533203,Raisin City Elementary,4,3,4,G,6,-0.7277681
Premolar,AMNH99.1/59,-2.2895063663344546,8,48.8,10.5,0.25,Homo sapiens,Alaska,William Gallas,1,4559.176758,Ravenswood City Elementary,3,1,4,G,6,-0.3953965
Anterior,AMNH99.1/59-B,3.4202890424091192,6,40.0,10.0,0.25,Homo sapiens,Alaska, Ryan Mendes,3,5119.158203,Richland-Lerdo Union Elementary,4,2,7,G,10,0.9333959
Posterior,AMNH99.1/59-B,3.7789676850552993,6,40.0,10.0,0.25,Homo sapiens,Alaska,Matthias Ostrzolek,5,5338.185547,Oxnard Elementary,1,1,7,G,10,-0.2377786
Premolar,AMNH99.1/59-B,3.0044102702170266,4,40.0,10.0,0.25,Homo sapiens,Alaska,Liam Ridgewell,5,5090.044922,El Nido Elementary,4,3,7,G,10,0.274908
Anterior,AMNH99.1/60,-1.6741509423799006,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska,Javier Pinola,5,5485.496094,Fairfax Elementary,3,1,7,G,10,1.970023
Posterior,AMNH99.1/60,1.8006021313427945,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska,Florent Malouda,2,4793.370117,Delano Union Elementary,4,3,4,G,6,1.05095
