feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
Anterior,AMNH99.1/100,1.4186685396382162,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/100,-0.8616301043989603,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/100,2.174529329396141,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/101,2.496917386845352,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/101,-2.4065596170019043,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/101,-1.30625216819848,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/102,1.1187270730996473,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/102,0.3656661975311035,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/102,0.8734488223581804,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/103,-0.5446232924990835,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/103,2.3931929020155485,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/103,2.220892827946945,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/104,1.0139122716033775,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/104,2.8134770454292664,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/104,1.6947261346632376,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/105,-0.5552193466576063,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/105,1.5272547227045563,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/105,-0.7241009233843856,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/107,2.3915858693556302,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/107,0.8172769893623602,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/107,0.5884563316533152,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/109,-0.252757561548131,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/109,2.9750837751392307,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/109,0.6398938028334511,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/110,0.175595867976845,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/110,0.30480352852863624,6,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/110,1.8046115102044626,4,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/111,1.5216472996066535,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/111,1.601837613450713,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/111,1.6325112938482196,8,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/112,4.533672988297332,12,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/112,0.21275486049069037,11,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/112,0.03329581616554167,8,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/160,-0.4780285251970411,4,55.0,15.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/160,1.946496659124522,5,55.0,15.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/160,2.816412561911343,4,55.0,15.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59,0.7087114228423849,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59,-0.5227691910380703,6,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59,-0.4961876148528743,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59-B,2.005192829445015,6,40.0,10.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59-B,2.162324859277217,6,40.0,10.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59-B,1.8230022335495963,4,40.0,10.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/60,-0.2266091249799307,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/60,1.2956309493428921,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/60,1.0998114910369128,4,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/61,1.2727843571636592,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/61,2.3796790082912187,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/61,1.2811053999444884,8,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/64,2.053218239154515,12,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/64,1.0165379481803867,10,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/64,1.3922185213354008,8,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/72,1.9724568082536569,12,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/72,-1.5690557412578305,11,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/72,0.35985205326557856,8,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/75-A,0.10429766827817921,12,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/75-A,-0.18144772205875026,12,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/75-A,0.4353627614178871,8,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/77,3.4370104057799127,12,45.2,12.6,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/77,-0.5663073722292149,11,45.2,12.6,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/77,2.5439132341514936,8,45.2,12.6,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/79,-1.9518138019329239,6,39.4,9.1,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/79,0.3340529843356481,6,39.4,9.1,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/79,1.1779307805890613,4,39.4,9.1,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/80(a),1.8960355935305133,6,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/80(a),2.108013556494136,6,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/80(a),2.247270977490337,4,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/80(b),0.31058351027430364,6,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/80(b),0.1178991732707746,5,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/80(b),2.3568660425539685,4,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/83-A,0.5775322722018765,12,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/83-A,-1.2613259265203254,10,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/83-A,-1.0198503486675572,8,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-A,-0.6572363334135471,12,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-A,1.7450079757342958,12,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-A,1.1434603857408288,8,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-B,2.0728412896818695,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-B,0.17741911466166282,8,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-B,1.1707858838762457,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-C,1.962794618300099,6,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-C,0.377360289579208,6,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-C,1.6765236041419183,4,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-D,-0.22053189582167376,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-D,0.2862852609790443,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-D,0.2546014873117667,4,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/86-C,-1.125924639678346,12,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/86-C,1.7277310645829602,11,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/86-C,0.10594309398831092,8,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/86-D,0.9231267577717972,12,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/86-D,1.7171735270883153,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/86-D,1.6591520721957824,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/87,2.030277145728401,12,45.2,12.6,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/87,0.7349313122608844,9,45.2,12.6,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/87,0.18412474057982053,8,45.2,12.6,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/89-A,0.7667562180428988,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/89-A,-1.9593848248420225,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/89-A,-1.552024573463359,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/89-B,-1.3410494668224702,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/89-B,-0.7891576774052431,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/89-B,1.579863224075925,8,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/90,-0.6335410030185114,12,55.0,15.0,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/90,0.2606644274989647,10,55.0,15.0,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/90,3.1051269183295336,8,55.0,15.0,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/91-A,0.29779930147027,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/91-A,2.1525935314739337,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/91-A,-0.6812575279255466,8,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/91-B,0.5535656152601511,12,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/91-B,-0.7090755102638879,10,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/91-B,0.32701886882105835,8,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
