tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,AMNH99.1/100,1.139031127656092,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/100,0.09275835392442056,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/100,1.4858438432286858,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/101,1.6337656288103168,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/101,-0.6161039218997668,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/101,-0.11124824019880064,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/102,1.0014085443277756,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/102,0.655880517492245,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/102,0.888867164535093,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/103,0.23821105471237525,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/103,1.5861735711951663,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/103,1.5071168753183644,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/104,0.9533162151162474,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/104,1.7790131615860032,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/104,1.2656950391625075,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/105,0.23334925163055587,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/105,1.1888538854088273,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/105,0.15586106990657256,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/107,1.585436214041108,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/107,0.8630937599559114,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
