y,gender,age,majority_first,culture,m_focal,num_words,district,refCountry,redCards,n_focal,allstudents,dyad,deny
1,1,37.0,0,2,2,120,75119,7,0,5,43,1,0
3,1,27.0,0,2,2,383,61499,40,0,5,20,1,0
2,2,32.0,1,2,2,324,61549,51,0,5,55,5,0
1,1,57.0,0,2,2,324,61457,8,0,5,46,6,0
2,1,22.0,1,2,3,324,61523,3,0,10,48,6,0
2,2,32.0,1,2,3,145,62042,44,0,10,282,6,1
2,2,22.0,0,2,3,106,68536,8,0,10,41,6,0
1,1,57.0,1,2,2,106,63834,8,0,5,41,6,0
3,1,32.0,0,2,2,145,62331,7,0,5,60,5,0
2,1,22.0,1,2,2,120,67306,64,0,6,19,5,0
3,1,37.0,0,2,3,120,65722,8,0,10,25,6,0
3,1,27.0,1,2,4,106,62174,3,0,13,34,3,1
3,2,47.0,0,2,3,166,71795,3,0,10,40,3,0
3,1,22.0,1,2,2,106,72181,101,0,5,36,5,0
3,2,27.0,0,2,4,324,72298,52,0,13,28,3,0
1,1,37.0,1,2,4,145,72041,32,0,13,33,1,0
2,1,37.0,0,2,4,324,63594,44,0,13,41,1,0
1,2,22.0,1,2,2,166,63370,44,0,5,135,5,0
2,2,22.0,1,2,4,166,64709,8,0,13,31,1,1
3,2,27.0,0,2,2,106,63560,40,0,5,28,6,0
1,1,22.0,1,2,3,145,63230,44,0,10,22,4,1
3,2,22.0,1,2,2,145,72058,8,0,5,26,1,0
2,2,27.0,1,2,3,106,63842,44,0,10,39,4,0
1,1,32.0,1,2,2,383,71811,3,0,5,24,4,1
2,2,37.0,0,2,2,106,65748,57,0,5,26,4,0
2,1,22.0,0,2,3,120,72272,64,0,10,159,8,0
2,2,27.0,0,2,3,106,65961,8,0,10,16,2,0
3,1,42.0,1,2,2,145,63313,44,1,5,17,4,0
2,2,27.0,1,2,2,145,72199,32,0,5,134,5,0
1,2,27.0,1,2,3,106,72215,21,0,10,12,7,0
2,2,42.0,0,2,2,106,68379,44,0,6,43,5,0
3,1,22.0,0,2,2,145,75440,8,0,5,15,5,0
2,2,27.0,1,2,3,145,64816,8,0,10,246,8,0
3,1,42.0,0,2,3,383,66050,44,0,10,21,4,0
2,2,32.0,1,2,2,120,67819,80,0,6,15,5,1
2,1,22.0,0,2,3,145,64758,3,0,10,55,4,1
3,1,42.0,0,2,2,324,65870,58,0,6,27,5,0
2,1,22.0,1,2,3,145,62380,44,0,10,13,8,0
2,1,22.0,0,2,2,166,68999,58,0,5,34,5,0
2,2,22.0,0,2,3,145,63578,7,0,10,17,7,0
3,2,32.0,0,2,2,145,72538,8,0,5,14,4,0
2,1,52.0,1,2,2,383,65680,44,0,5,51,4,0
3,1,22.0,1,2,4,145,63461,49,0,13,24,3,0
2,2,27.0,1,2,2,120,63404,45,0,5,45,5,0
2,2,32.0,0,2,4,166,67199,19,1,13,27,1,0
2,2,22.0,1,2,2,120,65078,57,0,6,31,5,0
3,2,27.0,0,2,2,383,69369,44,0,5,34,4,0
2,2,42.0,0,2,2,145,63438,24,0,5,19,4,0
2,1,27.0,1,1,4,120,63321,44,0,13,27,3,0
2,2,42.0,0,1,3,120,69450,32,0,10,67,4,0
2,1,22.0,1,1,2,106,64592,3,0,6,15,5,0
1,2,32.0,0,1,4,166,65193,45,0,13,77,3,0
1,1,27.0,1,1,2,324,66142,44,0,5,65,5,0
3,1,27.0,1,1,4,120,69120,7,0,13,91,3,0
3,1,22.0,0,1,3,383,65110,44,0,10,36,7,0
3,1,37.0,0,1,2,145,64477,44,0,5,248,4,0
2,1,22.0,0,1,3,383,64691,44,0,10,62,7,0
3,2,37.0,1,1,3,383,67421,7,0,10,51,7,1
2,1,27.0,1,1,2,166,66191,7,0,5,19,1,0
2,2,32.0,0,1,2,145,72561,44,0,5,27,1,0
1,1,47.0,0,1,2,120,72157,44,0,5,86,5,0
2,1,37.0,1,1,2,166,67397,8,0,5,29,6,0
2,1,22.0,1,1,3,166,66423,44,0,10,88,6,0
