feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12
2,6,5,1,174,105,5,5,2,4,3,3
6,6,6,1,328,264,5,10,2,3,3,4
5,4,1,0,228,177,13,5,3,3,3,7
2,2,3,1,252,208,6,13,2,2,7,4
1,5,6,0,388,378,5,6,2,3,4,7
2,2,4,0,239,239,10,6,2,4,3,4
4,5,5,1,404,721,13,6,2,3,7,3
4,6,8,0,303,248,5,5,2,2,9,3
2,5,7,0,256,471,5,5,4,2,9,9
6,2,5,1,241,211,10,10,2,4,4,4
1,2,5,1,410,506,5,10,3,4,7,4
2,2,4,1,259,166,10,10,2,2,3,3
5,2,1,0,256,474,5,5,4,3,7,3
2,3,5,1,411,334,6,13,3,3,7,4
2,3,3,0,411,548,10,10,4,3,3,7
2,6,5,0,584,175,5,10,2,3,3,3
6,5,3,1,501,363,5,6,3,2,4,7
6,6,4,0,185,388,10,5,3,3,3,7
2,2,4,1,229,224,10,10,2,3,7,7
2,5,2,0,242,434,10,5,4,2,7,4
5,2,3,1,578,511,5,10,3,2,7,7
4,1,4,1,538,306,5,10,2,3,7,9
5,6,1,1,535,526,5,6,2,3,3,4
6,6,5,1,511,82,10,13,4,3,9,9
1,4,4,1,373,853,5,6,4,3,3,7
5,2,5,0,181,155,10,10,2,2,3,3
2,2,4,0,497,416,5,10,2,2,7,3
4,4,5,0,88,90,10,5,2,3,4,7
1,5,1,0,126,159,5,10,2,2,9,3
2,2,5,0,579,538,13,6,3,2,3,7
4,6,6,0,528,55,6,10,2,2,3,3
2,5,6,0,749,805,10,10,2,2,3,3
2,2,5,1,461,616,10,5,2,3,7,7
1,5,6,1,72,489,5,5,3,2,4,3
4,4,1,1,290,264,10,6,3,2,3,3
6,1,7,0,335,449,13,6,2,2,3,7
2,3,7,0,207,577,5,6,3,2,7,7
3,2,3,0,390,469,6,5,2,2,9,7
1,4,1,1,308,175,13,10,2,2,3,7
2,5,5,0,343,197,5,10,3,2,9,7
2,2,5,1,264,327,13,5,4,3,7,9
2,1,7,1,257,454,5,5,4,2,3,4
5,5,1,1,258,374,10,13,2,2,9,3
6,6,6,1,185,462,10,5,2,2,7,3
4,2,5,1,324,295,10,10,2,2,4,7
2,3,8,1,205,576,13,6,3,2,7,7
2,4,4,1,426,425,13,10,3,3,3,3
6,2,4,1,403,467,5,5,3,3,3,3
4,4,3,0,591,234,6,5,2,3,9,3
1,5,4,1,516,193,6,10,3,3,7,9
6,4,3,0,186,209,10,5,3,2,7,7
4,5,7,0,469,191,10,13,3,4,7,7
2,6,8,1,299,457,13,5,2,2,7,4
1,2,6,1,500,417,5,6,3,2,3,3
1,1,5,1,616,189,10,10,2,2,3,4
2,2,4,0,259,300,5,10,4,2,9,7
1,1,4,0,262,617,13,5,3,2,3,7
2,2,4,1,441,539,5,10,4,3,9,4
