model,param,coef,pvalue,se
model1,const,1.8932167868726477,1.2082253483293685e-08,0.33222713845009466
model1,fem_index,0.03747424484528911,0.4362358144754289,0.048132435223228014
model2,const,62.953754219642136,0.00023376195951257752,17.10967961357979
model2,fem_index,0.028452392495743703,0.4629178447134291,0.038760800693436306
model2,min_pressure,-0.0626076285315708,0.00019785135741361325,0.016822120027642277
model2,category,-0.3537841110850193,0.5531492980294586,0.5965526409933609
model2,max_wind,0.0011187630493969328,0.9663507568851876,0.026520034056228634
model3,const,63.37964715525757,0.00020156224604435478,17.051059401631075
model3,female_binary,0.24517395335591538,0.3381403111234246,0.25596379619339316
model3,min_pressure,-0.06300235074583994,0.00017062693906385579,0.01676061836743354
model3,category,-0.36321703990031284,0.5394763403722387,0.5919394489664304
model3,max_wind,0.0011382344469779287,0.9653520368999972,0.026203392186359392
model4,const,63.44261348357331,0.00019352527356264303,17.020964730652615
model4,fem_index,-0.05191106954259124,0.5142115446596365,0.07958232232734351
model4,category,-0.6523502323076114,0.2925973248755235,0.619845018897352
model4,fem_x_cat,0.04000112392268029,0.2609799991227071,0.035585723674349555
model4,min_pressure,-0.06265739856710162,0.00016772938891122414,0.016649876250525
model4,max_wind,0.002580880707680852,0.9210043251350575,0.026025153861977
model5,const,62.81082882632735,0.00023619656220247827,17.083107666199382
model5,fem_index_mturk,0.038121488371187714,0.37462386178715634,0.04293707427878205
model5,min_pressure,-0.06250670815230386,0.00019813409151450679,0.01679663069726643
model5,category,-0.35318227096739974,0.5528001823045808,0.5950143275211422
model5,max_wind,0.0010500735093090588,0.9682975748221823,0.026421225524321856
