chimpanzee,age,sex,hammer,nuts_opened,seconds,help,female,eval,rating,affairs,dyslexia_bin,bad_history,ndam15,n_focal,elapsedyrs,stdev_age
20,8,f,G,4,60.0,N,0.0,4.3,3,0,0.0,0,930,13,55.0,3.33164782
11,7,m,G,0,17.0,N,0.0,4.2,5,0,0.0,0,6990,5,24.0,10.5
9,4,m,G,0,20.0,N,0.0,3.3,5,2,0.0,0,78,13,5.0,5.71046472
9,8,m,wood,5,13.0,N,0.0,4.6,5,0,0.0,0,24590,13,17.0,5.1293812
9,15,m,G,2,23.0,N,1.0,4.1,3,7,0.0,0,490,10,10.0,2.18171291
20,6,m,G,0,47.0,N,0.0,4.4,5,0,0.0,0,22690,10,59.0,6.474995012
22,6,m,G,58,56.5,N,0.0,4.7,4,0,1.0,0,4600,10,44.0,1.26803942
9,4,f,G,17,12.0,N,0.0,4.5,3,0,0.0,0,370,5,54.0,6.79442263
18,15,m,G,1,36.0,N,0.0,4.5,5,0,0.0,0,200,13,47.0,3.29146087
5,14,m,wood,25,26.5,N,0.0,3.5,5,0,0.0,0,1260,5,58.0,3.92661051
16,3,m,wood,21,47.0,N,0.0,4.0,2,0,0.0,0,2270,10,42.0,4.51398683
19,6,m,wood,8,12.0,N,0.0,3.6,4,0,0.0,1,1870,5,9.0,2.76002868
9,14,f,G,7,13.0,N,0.0,5.0,5,0,0.0,0,110,5,17.0,3.2128737
6,8,f,G,0,42.0,N,0.0,3.2,5,0,0.0,0,580,5,11.0,3.45050478
4,6,m,G,1,24.0,N,1.0,3.6,4,0,1.0,0,7660,10,9.0,10.5751031
9,3,m,G,11,10.5,N,0.0,4.0,4,0,0.0,0,17250,10,15.0,6.70718105
19,8,m,G,1,5.0,N,0.0,4.7,5,7,0.0,0,66,6,45.0,3.46891175
20,8,f,L,5,12.5,N,0.0,3.7,5,0,0.0,0,1850,5,30.0,3.89582582
9,5,f,G,36,36.0,N,0.0,4.1,4,12,0.0,0,18,6,59.0,3.09453499
