speed,scrolling_time,language,adjusted_running_time,age,gender,retake_trial,Flesch_Kincaid,num_words,education,english_native,device,page_id,dyslexia,reader_view,dyslexia_bin,correct_rate,img_width,uuid,running_time
f9b78c22-3fa5-4a9d-b697-ca70e5a794a3,3-1,1,21229,35107,382,324,1.0,880,51.0,laptop,0.0,graduate school,1.0,,1.0,,Y,7.638,298.7675837
5940aa1c-da60-4873-b97f-e4d89f2d1a85,2-2,1,50056,20769,2103,106,1.0,1150,24.0,,0.0,high school,0.0,,0.0,0.0,,7.638,184.2556706
78dae403-7187-4be7-86de-8a1543649957,3-2,1,13261,33169,1679,383,1.0,1366,42.0,,0.0,college,1.0,English,,0.0,Y,11.081,185.6818651
2f391d00-fce2-4b0b-9e09-e98753d78adb,3-2,1,79040,37177,17845,166,0.6666666667,574,16.0,smartphone,0.0,college,0.0,English,0.0,1.0,Y,10.485,155.9319097
43bf127a-e9f8-4553-8ed9-5bd8a1da3ac0,2-2,0,42942,59616,1650,324,1.0,880,44.0,tablet,0.0,college,1.0,,0.0,0.0,Y,10.697,242.535179
ad4283c9-d606-4e9c-b45f-7f660b31f5d3,1-2,0,23843,29580,2593,106,1.0,1438,43.0,smartphone,0.0,professional school,1.0,Other,0.0,0.0,N,10.697,480.4716902
3979e883-9ca7-4771-a299-0d6a366f1a60,3-2,0,27627,19610,27673,324,1.0,880,17.0,laptop,0.0,graduate school,1.0,English,0.0,0.0,N,10.697,500.257334
0ea68c5a-057a-46c5-afda-4dbf75e4c5c4,3-2,0,96765,27998,5548,383,1.0,880,50.0,smartphone,1.0,graduate school,0.0,English,0.0,0.0,Y,9.6,233.5009907
a75e076f-3028-44a1-af60-ca3b3bcaeed0,2-1,1,27641,29347,6740,145,1.0,1294,40.0,laptop,0.0,graduate school,1.0,English,0.0,0.0,Y,11.081,635.6318978
7c73f8eb-7012-45e2-b6ad-2197ba40b925,1-2,1,29056,15287,2471,120,1.0,1366,25.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,9.6,167.0763558
71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,2-1,0,75359,57484,4589,120,0.0,1438,25.0,smartphone,0.0,postdoctoral,0.0,English,0.0,1.0,Y,10.697,293.4344052
b74b7a54-edf6-4d3f-92d3-8dc119424956,2-2,1,46602,39629,1874,324,1.0,1281,22.0,laptop,0.0,graduate school,1.0,English,0.0,0.0,N,10.697,585.8134337
c2330187-54a2-48ba-be2c-d317fea39438,3-2,1,57718,60594,1333,324,0.6666666667,574,,smartphone,1.0,high school,1.0,English,0.0,0.0,Y,11.081,146.2748381
5defc8cd-7312-4744-9ac0-ff39228637ed,2-1,0,48545,29215,7271,166,1.0,880,21.0,smartphone,2.0,high school,0.0,English,0.0,0.0,Y,11.081,256.6547272
264b7cb3-a20d-4fe4-9f75-2a0dda8f6300,3-2,0,44128,51827,5559,145,1.0,1438,18.0,laptop,1.0,,0.0,Other,0.0,1.0,N,9.6,534.1701534
ce41ecb5-d3d6-467d-8d90-0da4db858b7c,2-1,1,36364,86910,6327,166,0.6666666667,1294,15.0,smartphone,0.0,graduate school,1.0,English,0.0,0.0,,8.337,147.7499952
840a40d4-fee9-48cc-a027-58628a5ca9e6,3-1,0,72420,57718,3785,145,1.0,1438,37.0,laptop,1.0,pre-high school,1.0,English,0.0,0.0,Y,7.638,274.568515
203a6897-eaef-44f2-ac30-f8e9d95fa886,2-2,0,26912,20324,1825,106,1.0,1438,21.0,laptop,0.0,pre-high school,0.0,Dutch,0.0,0.0,Y,9.6,360.0133338
49ed1805-bfda-406e-af15-31507cb3c5ac,2-2,1,74980,52216,962,106,1.0,1135,21.0,laptop,0.0,graduate school,1.0,Korean,0.0,0.0,,10.697,693.6416185
44e64898-8cc7-4234-86f8-f68036f35eac,3-2,0,85982,17676,1371,145,0.6666666667,1438,23.0,laptop,0.0,high school,,English,0.0,0.0,,11.081,392.746663
f3976e86-1195-43c9-a4d9-901ec02d365d,1-2,0,34102,14319,3231,120,1.0,1438,,laptop,0.0,high school,1.0,Russian,0.0,1.0,Y,7.638,224.8268305
2a29612d-37ba-41fa-b45f-004677aa5908,1-1,1,20886,73893,1689,120,1.0,1294,21.0,laptop,0.0,high school,1.0,Chinese,0.0,0.0,Y,7.638,88045.97701
471fa2d8-87bd-4cea-8ef6-6c24af87fbc7,2-1,0,71311,54332,1396,120,0.6666666667,1150,22.0,desktop,1.0,graduate school,1.0,Other,0.0,0.0,Y,11.081,215.4828412
