rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,consumer_credit,help,height,education,uuid,married,female,school,year
226,no,45,female,more,-0.126001,4.2,upper,yes,no,17,266,24,3,y,181.0,16,cef9fb15-e845-46ae-8282-8e7247078df1,1.0,0.0,Loomis Union Elementary,2005
31,no,42,female,more,-0.4899626,4.0,lower,yes,yes,85,47,12,3,N,179.0,14,8dbae56a-69d6-470e-837f-17b3df9f2ca8,1.0,1.0,Lost Hills Union Elementary,1985
40,yes,52,male,more,1.775517,4.0,upper,yes,no,15,21,82,3,N,175.0,17,afb433da-e4be-42f4-a386-41690af0783e,0.0,0.0,Sunol Glen Unified,1954
223,no,51,female,more,-0.3218485,4.5,lower,yes,yes,54,15,49,1,N,176.0,14,0e77b20c-c1e1-467c-a359-0a2942538fcb,0.0,0.0,Raisin City Elementary,1985
125,no,52,female,more,-1.090389,4.1,upper,yes,yes,16,195,54,1,N,,14,adec7fbd-3153-4612-846d-2a4183f03202,1.0,0.0,Montague Elementary,1986
204,yes,51,female,more,-0.5835869,4.4,upper,yes,no,21,16,71,1,N,176.0,17,b1829797-b60f-46cb-803a-c68dd04440b3,0.0,0.0,Fountain Valley Elementary,1955
311,no,39,male,more,-0.0680143,4.5,upper,yes,yes,8,42,67,6,N,175.0,16,786e8403-6cca-47f4-810f-b94ae3880816,0.0,0.0,Cayucos Elementary,1977
212,no,31,male,more,0.1496926,4.5,lower,yes,yes,12,30,60,1,N,185.0,14,82997735-0e98-4a00-bcf1-f2f0aafb0705,1.0,0.0,Southside Elementary,1955
458,no,43,female,single,-0.2377786,4.2,lower,no,no,15,17,19,1,N,181.0,16,c2330187-54a2-48ba-be2c-d317fea39438,0.0,1.0,Greenfield Union Elementary,1950
78,yes,37,female,more,0.9333959,4.0,lower,yes,yes,38,44,16,2,N,183.0,18,de7bdd42-441a-4961-a547-2ccd7ccec379,0.0,0.0,Alview-Dairyland Union Elementary,1985
455,no,47,female,more,-0.5583452,3.4,upper,no,yes,14,55,39,2,N,193.0,14,45e73d9d-cc89-4ee6-a6e2-ab4582ed166d,0.0,0.0,Jamestown Elementary,1966
399,no,51,female,more,1.232602,3.5,upper,yes,yes,30,18,65,1,N,181.0,16,7426e023-5833-4949-b5c7-457d0e2a29d3,0.0,0.0,Rosemead Elementary,1992
77,no,37,female,more,0.5885687,4.8,lower,yes,yes,27,64,82,1,y,183.0,18,16d05f08-7a7f-4b5e-ac3f-b7a64a5ec349,0.0,0.0,Vineland Elementary,1983
387,yes,42,male,more,-0.9823852,3.9,lower,yes,yes,18,23,24,1,N,180.0,17,8053404b-3274-4b36-a3ed-c3f4cff86dee,0.0,1.0,Magnolia Union Elementary,1993
279,no,60,female,more,1.154256,4.3,upper,yes,no,19,60,94,6,N,189.0,16,417336ae-daf7-42ca-ae3d-7ebc05e0c43f,1.0,0.0,Burrel Union Elementary,1987
272,no,38,male,more,-0.0666737,2.8,upper,yes,yes,18,127,92,1,N,181.0,14,95ad60c1-7c93-4341-9da3-763bbed405b9,0.0,0.0,El Monte City Elementary,1954
71,no,52,male,more,-0.0836015,3.3,upper,yes,yes,10,98,16,1,N,189.0,18,4aa80c95-24fc-45e5-b3c4-102653f15325,1.0,0.0,Rockford  Elementary,2012
94,no,52,female,more,-0.5583452,4.2,upper,yes,yes,12,29,88,4,N,179.0,16,6b74a260-9d07-49bc-9cfb-6fefbe9a718b,0.0,0.0,Pleasant Valley Joint Union Elementary,1979
158,no,42,female,more,0.2316134,3.6,upper,yes,yes,45,120,45,1,y,180.0,16,621bf4fc-6499-4c5d-af7b-25ab04eeb70e,1.0,0.0,Solana Beach Elementary,2004
1,no,39,male,more,0.5766805,4.3,lower,no,yes,14,32,86,2,N,185.0,16,18ff52ad-d2e9-4d03-b775-d01403f19b51,1.0,0.0,Lamont Elementary,1974
389,no,58,male,more,1.05095,3.7,upper,yes,yes,11,37,55,1,y,178.0,14,49ed1805-bfda-406e-af15-31507cb3c5ac,1.0,0.0,Exeter Union Elementary,1996
83,yes,48,male,more,0.1496926,3.6,upper,yes,yes,23,18,20,2,y,188.0,14,643a52f5-884d-44a3-8591-97c7af7f8357,0.0,0.0,Rio Dell Elementary,1956
369,no,52,female,more,-0.126001,4.0,lower,yes,yes,13,17,36,2,y,182.0,20,54c3e853-e07a-4b15-ab2d-691a120c3b32,1.0,0.0,Bakersfield City Elementary,2004
358,no,58,male,more,-0.7668921,4.7,lower,yes,yes,72,10,53,6,N,197.0,17,7169ffc5-813b-4e4f-8e7f-9c59e92ec66b,0.0,0.0,Ballard Elementary,1995
421,no,50,female,more,0.6318343,3.6,lower,yes,yes,74,26,20,5,N,176.0,20,6965965e-87b6-46cf-97e0-3b7960e277c1,1.0,1.0,Alvina Elementary,2008
308,no,61,male,more,-0.2586962,4.3,lower,yes,yes,13,20,53,2,N,190.0,20,7ddcdb33-a18f-47fd-8476-4e5b117b5f09,0.0,0.0,Arcata Elementary,2002
173,no,42,male,more,0.9889485,3.9,lower,yes,yes,12,15,35,1,N,193.0,20,5a48e48b-30ca-48ad-a397-3ecf853bb5c9,1.0,0.0,Lost Hills Union Elementary,1987
177,no,49,female,more,-0.0666737,3.8,upper,yes,yes,21,28,93,6,N,183.0,16,b4649c6a-01ed-4f21-be3f-a0f29b97fc1b,0.0,1.0,Santa Rosa Elementary,1954
19,no,56,male,more,0.2394859,3.9,lower,yes,yes,10,42,44,1,N,175.0,20,638f2a54-a63f-43cb-bb8d-57d901598260,1.0,1.0,Plumas Elementary,1976
10,no,47,female,more,-1.422919,4.5,upper,yes,yes,17,20,50,1,N,178.0,14,11db0111-539a-45d2-8e6f-8e0a3bb6cf36,0.0,1.0,Alum Rock Union Elementary,1996
429,no,44,male,more,-0.7668921,4.0,upper,yes,yes,23,19,56,2,N,168.0,16,2a29612d-37ba-41fa-b45f-004677aa5908,0.0,0.0,Lancaster Elementary,1992
449,no,46,female,more,-0.5583452,5.0,upper,yes,yes,20,177,70,2,N,180.0,12,100567eb-57a5-424e-86c1-4a02cc690c8d,0.0,0.0,Browns Elementary,2004
74,yes,32,female,more,1.349395,5.0,upper,yes,yes,12,114,83,1,N,183.0,12,4ba34db8-9baa-42a5-bed2-a6381f36d03e,1.0,0.0,Richland-Lerdo Union Elementary,1950
235,no,39,male,more,0.2394859,3.8,upper,yes,no,380,66,50,1,y,174.0,16,025562fd-3b78-416d-b71d-1bab3f5fe6b6,0.0,0.0,North Sacramento Elementary,1959
288,no,38,male,more,0.5502878,3.8,lower,yes,yes,12,14,73,1,N,185.0,20,bdf3a343-8379-4a21-aa09-be0ea98c2e96,0.0,0.0,King City Union Elementary,2008
409,no,46,male,more,-1.069162,4.0,upper,yes,yes,9,131,53,2,N,175.0,12,10497147-ea3a-43a2-8c1d-61e871fbe21a,1.0,0.0,Oak Grove Union Elementary,1995
56,no,54,female,more,0.7566829,3.9,upper,yes,yes,42,125,89,5,N,190.0,18,c10c2f4b-5e25-495d-be7f-9678adcb45ed,1.0,1.0,Dehesa Elementary,1965
91,no,52,female,more,-0.6563948,4.5,upper,yes,yes,46,20,81,1,N,177.0,20,e8229c81-5d49-4981-abd0-3f3478f9567f,1.0,0.0,North County Joint Union Elementary,2005
365,no,54,male,more,-0.5835869,3.1,upper,yes,yes,14,30,42,2,N,179.0,14,4658ea30-8a5e-4e6b-8d67-2fce1d6f7ef1,1.0,,Whisman Elementary,2004
80,no,51,female,more,0.8846435,4.5,upper,yes,yes,12,285,39,2,N,171.0,14,dcf4d35b-0244-403b-ac65-5593edf94d6c,0.0,1.0,Robla Elementary,1954
