rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
226,no,45,male,more,-0.126001,4.2,upper,yes,no,17,266,24
31,no,42,female,more,-0.4899626,4.0,lower,yes,yes,85,47,12
40,yes,52,male,more,1.775517,4.0,upper,yes,no,15,21,82
223,no,51,female,more,-0.3218485,4.5,lower,yes,yes,54,15,49
125,no,52,male,more,-1.090389,4.1,upper,yes,yes,16,195,54
204,yes,51,female,more,-0.5835869,4.4,upper,yes,no,21,16,71
311,no,39,female,more,-0.0680143,4.5,upper,yes,yes,8,42,67
212,no,31,male,more,0.1496926,4.5,lower,yes,yes,12,30,60
458,no,43,male,single,-0.2377786,4.2,lower,no,no,15,17,19
78,yes,37,male,more,0.9333959,4.0,lower,yes,yes,38,44,16
455,no,47,female,more,-0.5583452,3.4,upper,no,yes,14,55,39
399,no,51,female,more,1.232602,3.5,upper,yes,yes,30,18,65
77,no,37,male,more,0.5885687,4.8,lower,yes,yes,27,64,82
387,yes,42,male,more,-0.9823852,3.9,lower,yes,yes,18,23,24
279,no,60,male,more,1.154256,4.3,upper,yes,no,19,60,94
272,no,38,female,more,-0.0666737,2.8,upper,yes,yes,18,127,92
71,no,52,female,more,-0.0836015,3.3,upper,yes,yes,10,98,16
94,no,52,male,more,-0.5583452,4.2,upper,yes,yes,12,29,88
158,no,42,female,more,0.2316134,3.6,upper,yes,yes,45,120,45
1,no,39,male,more,0.5766805,4.3,lower,no,yes,14,32,86
389,no,58,male,more,1.05095,3.7,upper,yes,yes,11,37,55
83,yes,48,female,more,0.1496926,3.6,upper,yes,yes,23,18,20
369,no,52,male,more,-0.126001,4.0,lower,yes,yes,13,17,36
358,no,58,male,more,-0.7668921,4.7,lower,yes,yes,72,10,53
421,no,50,female,more,0.6318343,3.6,lower,yes,yes,74,26,20
308,no,61,male,more,-0.2586962,4.3,lower,yes,yes,13,20,53
173,no,42,female,more,0.9889485,3.9,lower,yes,yes,12,15,35
177,no,49,female,more,-0.0666737,3.8,upper,yes,yes,21,28,93
19,no,56,male,more,0.2394859,3.9,lower,yes,yes,10,42,44
10,no,47,male,more,-1.422919,4.5,upper,yes,yes,17,20,50
429,no,44,female,more,-0.7668921,4.0,upper,yes,yes,23,19,56
449,no,46,male,more,-0.5583452,5.0,upper,yes,yes,20,177,70
74,yes,32,male,more,1.349395,5.0,upper,yes,yes,12,114,83
235,no,39,male,more,0.2394859,3.8,upper,yes,no,380,66,50
288,no,38,male,more,0.5502878,3.8,lower,yes,yes,12,14,73
409,no,46,male,more,-1.069162,4.0,upper,yes,yes,9,131,53
56,no,54,female,more,0.7566829,3.9,upper,yes,yes,42,125,89
91,no,52,female,more,-0.6563948,4.5,upper,yes,yes,46,20,81
365,no,54,male,more,-0.5835869,3.1,upper,yes,yes,14,30,42
