rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
1551,11,female,25.92277552428407,2.421010799510161,no,2,16,5,3
6777,7,female,16.46152006161438,12.03269795080812,yes,2,11,3,1
6458,5,male,7.515299939225532,14.758518832629306,yes,3,12,1,4
3981,1,male,25.01940142118986,1.1136647963090311,yes,2,14,6,1
2035,1,female,18.30196914312675,8.611248201243903,yes,3,9,2,4
8193,11,female,21.53845229965507,0.13358032286582677,no,2,19,2,5
5172,12,female,19.860613056252994,3.4789568419884924,yes,2,13,3,2
8871,7,male,8.547495598965527,8.20437126500429,no,4,10,1,3
4976,5,female,22.215083324969292,4.863777676954513,no,1,18,6,4
5963,4,male,3.7565154666353706,5.753942429718036,no,3,15,4,3
2063,1,female,15.138403428875783,1.1202117396191111,no,2,19,4,5
5830,5,female,26.607285840091496,7.188781741252099,no,2,10,2,3
6869,1,male,21.281822351748644,3.14537386587821,yes,4,9,4,3
4304,5,male,22.907523665478536,3.359687341558276,yes,2,15,3,4
3319,8,female,25.85930878283517,13.842079943920206,yes,2,19,5,1
2273,10,male,12.93837261056143,6.333967630859625,yes,2,19,2,1
827,0,female,22.870192722969247,1.9993495068440241,yes,3,17,7,4
5590,11,male,7.164635558624175,8.63625691703894,yes,2,17,1,3
6538,7,male,12.862973967759316,8.387446350059278,yes,1,9,7,3
7964,4,female,17.57345321083371,6.731147985329947,no,2,16,3,3
2449,8,female,28.06964187424382,7.05209741714648,yes,1,13,3,3
2434,3,male,42.461175187425205,10.396439254388106,yes,5,12,3,1
153,10,female,16.87178743011212,14.654015170055576,yes,4,20,1,5
301,8,male,22.52565081566508,-0.33452761984067525,yes,5,13,4,3
7466,3,male,5.330140846071558,5.639861985908039,yes,3,19,2,1
353,1,female,11.636207943063486,12.810059038423958,no,2,9,3,2
8981,11,male,26.455175376928473,5.911187100089786,yes,2,19,6,1
6104,5,male,8.797702158017154,5.113448803865643,yes,1,11,4,4
2002,6,female,27.377953497068354,8.072699858182098,yes,5,15,3,1
7083,2,female,17.713224721519246,6.9482450215092095,no,3,9,4,3
892,11,male,24.8973338920297,9.046430576679338,yes,3,20,1,2
8746,2,female,32.83433447165571,9.449344717996002,yes,4,19,2,5
8802,12,male,19.557616787397254,-0.7683064836366889,yes,5,11,6,5
2986,12,female,14.014397474288941,12.773657686090308,yes,3,17,2,2
1871,7,female,15.84168582402925,14.79906687001699,yes,4,12,7,3
1468,3,male,24.188933152940876,-3.3680771628152186,yes,4,18,4,1
4752,2,female,26.103824232158612,5.941853184929261,yes,3,16,3,1
5747,8,female,22.82800880165235,3.9622933934480256,yes,2,12,2,4
7519,7,female,19.118175507340517,6.400024889847813,yes,5,18,1,3
4535,6,female,8.677617862336504,15.944996135096446,no,3,12,6,2
4434,3,female,21.940263857014084,11.956194660883405,yes,5,17,6,4
367,2,male,21.432789709987457,4.013912301628066,yes,3,12,4,1
5488,1,female,23.03690951393869,3.0132247773071477,no,1,9,5,1
299,2,female,18.444004654477098,8.166423805517143,yes,2,12,7,1
2907,8,male,0.8460854998413296,10.11186981049874,yes,2,16,1,4
2800,8,female,10.821517219495194,-6.765642449558284,no,1,20,5,4
5537,2,female,32.53053915251988,1.6678215736546198,yes,4,17,4,4
509,1,male,12.512465116199337,-1.5837250351010042,no,4,13,6,2
1743,3,female,27.08649141316707,3.4031342392970325,no,3,15,7,2
7721,0,female,15.382687290079197,-4.016128049219473,yes,5,13,2,2
6719,5,male,29.218182483438454,5.154750103208931,yes,2,13,2,4
3057,12,female,12.722772269985267,12.707606735349144,yes,2,17,4,2
6354,8,female,28.49174855116044,-1.979764572105454,yes,5,17,4,5
281,5,female,19.374928427000654,20.0382326026024,yes,4,13,5,4
3520,7,male,27.980539798139066,5.612334743061815,yes,4,18,6,1
5159,6,male,24.447157156139212,5.802675380034405,yes,5,11,2,4
4921,10,female,14.337059137176862,-0.3250838820606017,no,5,19,3,3
5306,6,male,-0.9275122394326232,1.7807804880473999,yes,4,9,6,4
4991,0,female,17.805308779050144,13.757914204191618,no,4,16,1,3
7303,0,female,9.953432020729931,2.2499690330384547,no,2,15,3,1
1890,1,female,10.682536579551243,5.9019151876787035,no,4,12,6,3
4063,3,female,30.05196856544864,5.120534865329221,yes,4,13,1,1
3010,10,female,25.507685920714962,-1.7513819711672873,yes,3,16,1,2
4507,8,male,13.953242348813472,2.4839401855757357,yes,3,19,2,2
1351,1,female,23.604401441271904,5.027395812399022,yes,5,19,1,3
669,10,female,33.0554007942242,13.140054734132903,yes,5,12,4,3
511,7,male,15.832002818585973,12.275005374209648,yes,3,17,6,3
6507,6,female,27.740158784092152,2.362251572056846,yes,2,19,6,2
6736,4,male,33.09988449100918,3.006271662480926,yes,2,12,5,5
