rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
7376,5,female,32.44257750183429,5.204265126144678,no,5,18,4,3
4047,11,female,35.6537864153776,7.129522849971717,yes,4,13,3,2
5136,1,male,23.995762265317715,-2.1436448663080228,yes,4,15,5,3
1975,7,male,-1.5482548359457198,-1.4633431252579499,yes,1,20,6,5
2400,10,female,23.93782741060165,4.420250426107151,yes,4,17,3,1
4501,10,female,23.61758799100656,13.705833991330937,no,2,20,3,4
4345,5,female,0.7844236282425463,10.88055464763863,yes,4,10,5,1
6283,5,male,19.567197198424722,1.8269363066070845,no,3,13,3,2
8153,5,female,-9.745893433765097,10.961219203761859,no,5,18,3,5
1670,4,male,19.867823711331408,8.42559486725305,no,2,12,1,5
7146,11,female,36.62563469237092,8.352455000396592,no,2,17,1,4
7672,9,female,11.529490053867626,15.120718392892801,no,1,15,6,3
6078,8,male,30.804833690107905,4.186113548455352,yes,2,15,4,3
3240,8,male,11.544857010661467,5.039641770913098,yes,3,13,6,3
13,3,female,19.56815109269527,13.604938730092684,yes,5,15,6,3
1252,8,male,8.010370567895094,5.786943933107793,yes,2,14,4,2
5766,11,female,14.314668515636285,9.574219375653902,yes,2,13,3,1
651,1,male,9.62871821005433,6.549901741079292,yes,1,9,7,2
4115,10,male,23.958720040697898,8.811801124138963,yes,5,19,7,1
6916,3,female,10.501627614011655,6.407320155679036,no,4,20,5,2
8067,11,female,17.733184533090473,5.231557968132256,yes,2,10,5,5
2466,11,male,19.702437823017327,15.792916835320984,yes,4,10,3,2
6774,7,female,26.257057281758062,13.684378689118269,yes,2,10,7,3
2842,8,male,6.733486793091339,15.236842755214688,yes,2,19,1,1
3372,6,male,23.13002771552214,13.532452301074262,yes,5,12,7,1
4010,6,female,-0.045236835125884056,10.526966211454557,no,2,20,2,2
5841,8,male,29.395190333823884,14.879227768911168,yes,5,17,1,2
1243,1,male,29.95131167420696,10.649505693385565,yes,4,13,1,3
3993,2,female,3.9082865013683783,21.17980508963501,yes,1,13,4,5
6779,12,female,31.018357846004584,2.270688969529542,no,3,20,7,1
6809,10,male,18.23624404161065,1.0773343378209068,yes,4,12,3,3
1423,3,female,17.149994812712684,-9.438450120706896,yes,3,13,2,1
8438,9,male,26.91965346129448,14.623989948152158,yes,5,20,3,2
3749,7,female,23.605710985208745,1.4886868048982018,yes,4,14,4,5
1320,5,female,29.567503686769527,1.5230504258632518,yes,4,11,2,1
5009,9,male,9.537282668071398,11.676558048281414,yes,4,19,6,5
2206,6,female,43.55388820000529,15.932052156569727,yes,5,15,2,1
4129,6,female,25.62047212912256,7.796866957503373,yes,3,19,5,2
2189,2,female,31.151829612865612,13.037313937108216,yes,1,19,1,3
1697,7,female,24.196442501092527,7.790955388857015,no,5,10,1,3
1149,6,female,14.66815125101889,12.333461425387583,yes,1,9,3,2
3002,1,male,14.545567658291152,5.429763710192697,yes,3,11,3,4
4994,7,female,26.242463829331736,4.133545800660487,no,2,19,5,3
6892,8,female,14.107850490976759,13.193187755509474,yes,3,17,6,1
2111,12,male,15.091485132250998,7.358381698447703,yes,3,17,4,2
725,7,female,4.403306797722404,-0.7190271470989575,no,3,15,3,2
8750,9,female,14.742593590764269,16.177190700271897,yes,3,13,7,5
7061,2,male,18.34378823293046,15.134293114386374,no,1,18,3,3
5354,6,female,35.0851548107325,2.292168791961963,no,2,11,7,5
8904,0,female,29.272828272839384,-1.4879101216747284,yes,5,19,4,2
7016,0,male,17.583834397483812,15.274819356921169,yes,1,13,3,1
7898,11,female,25.224547834736896,5.783398519405756,yes,2,14,6,2
3837,8,female,12.636369711648179,10.785517264478715,yes,2,13,7,2
2053,6,female,26.203581641595754,6.269470921310933,yes,3,10,1,2
2249,1,male,29.779702201348055,3.9688823476456045,yes,4,18,5,5
8647,0,male,24.335753916703077,0.04894511363193921,yes,4,12,6,1
3114,2,female,18.92973474875379,8.58276035635935,no,5,12,2,3
4114,10,male,11.420649183825033,2.878432708718287,yes,5,13,1,3
5035,1,female,30.786093676862727,9.477688403639606,no,1,13,6,3
2688,8,female,10.786626199915432,10.460770198087276,no,4,18,2,1
5179,6,female,5.285093010379045,-4.870028080663591,no,2,16,3,4
191,1,female,32.06973477333881,7.139373019935114,yes,2,20,7,3
117,4,female,26.175827656013674,3.432678897317013,yes,3,13,5,5
5659,9,male,17.86745798565419,10.982892706576749,yes,1,15,4,1
6633,5,female,26.868369662854615,12.096248789296926,yes,1,9,2,2
8748,10,female,3.844367014468082,11.297909764051532,yes,5,10,6,1
1217,1,male,2.156604262698597,4.187330976343994,yes,5,14,6,2
6310,7,female,30.366835746606515,8.983654953712435,yes,2,13,4,4
4202,9,male,8.167186188743509,3.726944849700541,yes,5,10,7,1
6492,2,female,29.701173553726143,-5.570076628589856,yes,2,9,1,1
7980,5,male,18.080834553901553,8.945515945736878,yes,1,13,4,1
4289,5,male,37.844238455647,3.875401989811466,no,3,9,6,1
6274,11,female,30.55052067695069,14.078387053349175,yes,3,11,1,4
8317,3,male,21.077878549968304,-1.7840308038477133,yes,5,14,3,4
738,2,male,0.07557753120989474,10.679615184534248,no,1,18,2,1
4152,9,female,9.07383642420385,2.558230333394354,yes,1,12,2,1
2501,10,male,24.159665717476393,1.396614553598062,yes,3,11,4,3
3468,2,male,23.32586435529446,15.264995372544128,no,4,17,6,1
8553,1,male,24.575679172936407,7.161984804728627,yes,4,17,5,4
7877,4,female,8.214397954898367,3.336667052392465,yes,3,16,7,5
6994,5,female,33.29013974232552,3.451848992293348,no,2,14,2,4
1205,11,male,17.86521911140861,5.37959916575749,yes,1,14,2,2
3780,5,female,25.85226427089568,5.746797778727084,yes,4,12,4,2
2153,1,female,12.917204293353674,12.150208606744599,no,3,10,7,5
4790,2,male,31.852971725221813,2.8788607187944164,no,4,15,2,2
541,12,female,25.51234306631573,1.050406541352868,yes,3,18,7,5
8916,11,female,16.503833681594173,7.194373014670704,yes,1,20,6,1
96,5,male,19.84410816036869,7.452368499537396,no,1,19,7,3
7526,3,female,31.407032710672027,1.787340742720815,yes,2,20,5,3
5316,3,female,24.558350243013827,9.317128151779977,no,1,19,2,2
3322,9,male,10.994045730896541,19.486111937076593,yes,5,18,6,5
225,5,female,33.683435506841924,6.372025769057165,yes,1,18,4,5
6461,5,female,32.636214101316554,7.266726674907721,yes,5,12,6,3
8160,1,male,29.553567489638837,18.390256562120726,yes,4,16,5,1
3641,2,female,11.843944894886963,13.436712213413408,yes,2,13,3,2
8010,4,female,19.563996429388315,0.2702329522748341,yes,2,9,3,2
4175,0,female,22.449613958708913,17.024565509093335,no,2,11,2,1
822,6,female,10.121657146705733,19.668715319851863,yes,3,18,3,2
7831,9,female,22.7676015330414,11.09999085023328,yes,3,12,6,2
8118,2,male,7.039822949079886,15.326753830170592,yes,4,20,6,4
5912,9,male,36.4243235147051,14.196602125076982,yes,1,15,7,2
2059,11,female,7.323315059866186,7.677625320483806,yes,2,14,4,3
8158,11,male,31.186303238152583,8.808829254399347,yes,4,19,6,1
8447,12,male,29.330855833995408,-4.581827621363743,no,1,18,3,1
4731,12,female,36.554422056093564,-0.0803288054222504,yes,3,14,1,5
4161,4,male,19.211011268421892,2.365049417137273,yes,4,16,6,3
3719,9,male,23.529543411361978,22.619468153540723,yes,5,14,1,2
5217,11,female,28.07577595959947,5.954129513223901,no,3,11,1,1
8219,8,male,36.636328758346906,9.792932010880218,yes,2,9,3,4
3035,5,female,22.50684911471763,1.4048962496725634,no,2,14,2,3
3570,4,female,-0.09969460167040012,1.8449086162986656,yes,3,15,2,2
4526,10,male,20.097231519612492,4.58612634052283,no,4,16,2,1
4512,6,male,43.33639878501993,18.66933073880849,no,1,10,2,4
1142,7,male,22.03474686660796,4.4756421406441005,yes,4,16,4,1
4247,12,female,12.964076831546105,6.681514648508507,no,1,10,2,2
2919,8,female,15.717593668503508,-1.067231749891656,yes,4,9,6,3
6757,4,female,15.531176694178644,2.0953955132777535,yes,5,17,2,1
18,9,female,29.728116261039517,0.018639014498143425,no,2,18,2,4
1112,4,female,14.019654273347767,11.877530512812921,yes,5,10,1,2
8774,2,female,25.37015187594652,9.443397178848901,yes,4,14,4,5
1382,2,male,39.64558442993046,10.674313144420553,yes,3,18,3,3
8211,5,male,11.306061760170543,6.90382554980964,yes,5,9,6,4
4108,3,male,22.77914456627473,2.9995188356678,yes,3,14,5,5
6741,7,female,12.132867144469596,7.553358436909772,yes,1,10,7,2
5763,4,female,29.434836285059994,7.036175918549239,yes,1,13,5,2
6950,12,male,36.67980417006498,-0.2855640219769038,yes,1,14,5,5
2718,3,female,24.900899982111916,2.1327452129184046,yes,5,17,1,1
2757,10,male,29.49747851382792,-1.4412669117048722,yes,5,11,5,5
6277,5,female,9.759939282585025,15.117980134261742,yes,2,12,3,5
6861,5,female,29.352092773754578,9.268822435588488,no,2,10,4,3
8197,5,male,18.869703238634983,-1.6065151639046888,yes,2,18,1,4
563,1,male,14.359529734249051,12.784712539289536,yes,4,18,1,1
7101,1,male,18.027352408003146,1.9040903692816338,yes,4,14,3,2
3738,6,female,22.99700471219102,5.0907432136315816,no,2,13,2,2
6075,11,male,25.64529657729372,15.640158759714282,yes,2,9,6,3
1847,0,male,27.11546369641004,0.10227329785863848,yes,4,19,4,5
1842,6,female,-1.53373687802911,11.44516924464324,no,3,14,3,2
4252,5,male,32.53324291779981,4.802053457093331,yes,1,12,6,5
1264,9,male,8.20338853989545,8.14692502738844,yes,4,15,7,1
7981,6,female,13.645634844274776,10.0600013225377,yes,3,9,1,2
6145,10,male,14.9619694345839,1.8375155522693376,no,2,12,7,1
2220,4,male,19.286709567849535,2.3262792253027333,no,2,11,2,4
460,8,male,18.10885275508818,21.18409083944377,yes,1,15,7,2
2900,11,female,21.170125903499613,2.8570118199723993,yes,4,14,6,1
4827,12,female,15.95459184092236,18.935026956056966,yes,5,13,2,2
3038,12,male,19.584661792138558,12.129245989139143,yes,3,19,7,1
5413,7,female,19.005114952917886,-3.7647721757198926,yes,1,9,4,3
1633,6,female,25.54485997365963,12.361269319911774,yes,5,10,3,1
5717,11,female,11.35011190544209,0.9076057109835984,yes,1,15,4,2
2736,5,female,21.715696655544928,13.381727518387224,yes,5,18,4,5
6333,4,male,31.8285634878693,-0.853761106483617,yes,1,20,4,3
7215,8,male,-4.330187586911624,7.185652226122162,no,5,19,5,4
258,1,male,3.946124818572965,2.56368068049935,no,1,19,7,4
5096,6,female,31.571296662257826,10.86372263790706,no,4,12,6,4
4005,3,male,25.696634667641423,0.7971159193621347,yes,5,15,1,1
3668,12,female,27.6277774448658,6.034149235319967,yes,2,18,1,1
7687,1,male,20.16408271671319,9.046741095928521,no,5,15,3,1
6906,4,female,45.29649634816238,11.017697042961164,no,3,17,2,2
850,4,female,19.562121185184495,7.9643320688470025,yes,4,11,2,5
3503,1,female,25.760553004965246,9.568762250706621,yes,2,19,1,1
1827,11,female,7.137469098780777,4.968168651858118,no,4,13,2,3
2646,7,female,13.339672446231955,5.277669380134272,yes,4,12,6,4
7991,10,male,-1.3309794868229616,6.919375271176169,yes,1,9,6,1
6781,0,male,12.227291570020025,9.839081439566922,yes,4,17,7,4
7181,5,female,15.409888068271055,7.545431197795196,yes,1,12,4,5
7541,6,male,14.562220194820846,14.61000304974305,no,3,9,4,2
5393,1,female,17.706525704735434,10.578127777306094,no,1,17,3,1
664,7,female,23.610337132572237,3.0211015706447357,yes,2,11,5,2
8835,3,female,7.580701569113021,4.407302168497027,no,2,9,5,5
5451,9,male,21.017909735246004,-1.0572280133015433,yes,3,11,2,4
6654,10,female,9.38205008311122,13.804446352545419,no,2,10,7,5
1914,10,female,21.284987554689927,15.30799697801514,no,2,15,7,1
8427,1,male,6.283059027534172,15.161701043600589,yes,4,13,3,2
2549,9,female,29.498235400743006,1.1674532337476125,yes,3,19,5,1
5314,2,female,22.237843486917676,12.447646402783642,yes,3,18,2,4
789,8,female,24.325883563288887,10.16347898080198,yes,3,17,6,3
1908,9,male,14.756272878775064,3.4716264700828234,yes,5,20,5,5
4529,5,male,24.888293341159343,4.0408922282252195,no,4,10,4,3
5279,5,male,16.09476542986565,10.417805703019912,yes,4,14,6,1
4833,8,female,29.400645785551625,12.474654366189277,yes,1,20,2,1
5597,0,female,18.57654083365158,5.479149251931485,no,4,16,4,4
1564,3,male,26.57273895616614,2.4504254656300315,yes,3,18,3,1
2586,12,female,15.993750515063146,8.639646669700584,no,1,14,7,1
1074,8,female,39.49686869060236,4.373455636352699,no,4,9,1,5
406,6,male,12.756285889471101,1.7453479489255548,yes,3,9,2,2
6631,1,male,22.98118678084812,1.7905650384098761,yes,2,15,6,5
3345,3,female,20.105310968524837,16.048942423816033,no,1,17,2,1
1525,8,male,7.673725516342387,7.067489678587941,no,2,13,7,5
8742,10,female,31.1262178448098,7.825184295744602,no,5,13,2,5
8626,4,male,25.550226979754612,18.302306995243434,yes,4,16,5,5
2496,10,male,8.267009973319052,4.59576103012388,yes,4,15,4,3
7919,9,male,5.627427859488895,10.467687885228948,yes,2,19,2,2
6374,9,female,12.942459537672946,5.917530704126028,yes,1,9,7,1
4605,4,male,30.099366259349075,5.810926124146588,no,1,18,4,3
3974,7,male,15.502905537749168,11.009810419436109,no,1,9,3,2
