tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,ndam,eval,gender,language,female,category,m_focal,name,majority_first
Anterior,AMNH99.1/100,0,12,25.0,6.89761633,0.5,Homo sapiens,Alaska,1590.0,4.3,male,Portuguese,0.0,3,2,Easy,0
Posterior,AMNH99.1/100,0,12,19.0,6.89761633,0.5,Homo sapiens,Alaska,5350.0,4.5,female,English,1.0,3,2,King,0
Premolar,AMNH99.1/100,0,8,28.0,6.89761633,0.5,Homo sapiens,Alaska,150.0,3.7,female,English,0.0,1,2,Able,1
Anterior,AMNH99.1/101,3,9,,7.2151844,0.25,Homo sapiens,Alaska,58.0,4.3,male,,0.0,1,2,Barbara,0
Posterior,AMNH99.1/101,5,7,18.0,7.2151844,0.25,Homo sapiens,Alaska,15.0,4.4,male,English,1.0,1,3,Florence,1
Premolar,AMNH99.1/101,2,6,55.0,7.2151844,0.25,Homo sapiens,Alaska,19321.0,4.2,female,Dutch,0.0,3,3,Carol,1
Anterior,AMNH99.1/102,1,12,24.0,5.70308472,0.25,Homo sapiens,Alaska,3230.0,4.0,female,English,1.0,3,3,Edna,0
Posterior,AMNH99.1/102,0,12,29.0,5.70308472,0.25,Homo sapiens,Alaska,24260.0,3.4,male,Other,0.0,4,2,Hazel,1
Premolar,AMNH99.1/102,0,8,21.0,5.70308472,0.25,Homo sapiens,Alaska,2030.0,4.5,female,English,0.0,3,2,Connie,0
Anterior,AMNH99.1/103,0,12,54.0,5.18766442,0.5,Homo sapiens,Alaska,14730.0,3.9,male,English,0.0,1,2,Diane,1
Posterior,AMNH99.1/103,0,12,25.0,5.18766442,0.5,Homo sapiens,Alaska,6200.0,3.1,male,Italian,0.0,3,3,Ione,0
Premolar,AMNH99.1/103,0,8,17.0,5.18766442,0.5,Homo sapiens,Alaska,1540.0,4.0,male,Turkish,0.0,2,4,Flossy,1
Anterior,AMNH99.1/104,0,12,59.0,8.29624584,0.25,Homo sapiens,Alaska,,3.8,male,English,1.0,4,3,Audrey,0
Posterior,AMNH99.1/104,0,12,53.0,8.29624584,0.25,Homo sapiens,Alaska,540.0,3.4,female,Czech,1.0,3,2,Helene,1
Premolar,AMNH99.1/104,0,8,44.0,8.29624584,0.25,Homo sapiens,Alaska,430.0,2.9,female,,1.0,1,4,Debra,0
Anterior,AMNH99.1/105,0,12,26.0,5.81978104,0.75,Homo sapiens,Alaska,510.0,4.5,female,English,0.0,3,4,Gracie,1
Posterior,AMNH99.1/105,0,12,20.0,5.81978104,0.75,Homo sapiens,Alaska,53270.0,4.0,female,English,0.0,4,4,Donna,0
Premolar,AMNH99.1/105,0,8,58.0,5.81978104,0.75,Homo sapiens,Alaska,35.0,3.8,female,English,1.0,1,2,Ethel,1
Anterior,AMNH99.1/107,1,8,46.0,10.2682079,0.5,Homo sapiens,Alaska,15850.0,4.3,female,English,0.0,4,4,Carla,1
Posterior,AMNH99.1/107,2,10,20.0,10.2682079,0.5,Homo sapiens,Alaska,300.0,3.4,female,English,0.0,1,2,Cindy,0
Premolar,AMNH99.1/107,0,7,35.0,10.2682079,0.5,Homo sapiens,Alaska,6450.0,3.4,female,German,0.0,2,3,Cleo,1
Anterior,AMNH99.1/109,1,12,28.0,8.23260632,0.75,Homo sapiens,Alaska,16260.0,3.3,female,English,0.0,2,2,Dora,1
Posterior,AMNH99.1/109,5,10,,8.23260632,0.75,Homo sapiens,Alaska,2770.0,4.3,female,,0.0,3,3,Hilda,1
Premolar,AMNH99.1/109,0,8,,8.23260632,0.75,Homo sapiens,Alaska,800.0,4.4,female,,0.0,2,2,Isbell,1
Anterior,AMNH99.1/110,1,5,22.0,7.85088419,0.75,Homo sapiens,Alaska,20000.0,4.6,male,English,0.0,3,2,Betsy,0
Posterior,AMNH99.1/110,0,6,16.0,7.85088419,0.75,Homo sapiens,Alaska,730.0,4.2,female,English,0.0,2,3,Alma,0
Premolar,AMNH99.1/110,1,4,35.0,7.85088419,0.75,Homo sapiens,Alaska,99.0,4.0,female,Spanish,0.0,1,3,Inez,0
Anterior,AMNH99.1/111,0,12,,7.9144902,0.5,Homo sapiens,Alaska,5060.0,3.3,male,,0.0,3,2,Beulah,1
Posterior,AMNH99.1/111,0,12,16.0,7.9144902,0.5,Homo sapiens,Alaska,800.0,4.4,male,English,1.0,2,2,Gladys,1
