tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,3,8,36.34771851353322,15.690836853853904,0.26435188763926,Homo sapiens,Chucki
Posterior,IPHA.2,8,12,41.38293408611475,12.186785733896441,0.6020378295261519,Homo sapiens,Afalou
Anterior,NMNH380466,3,11,51.400412639511046,7.427762001706903,0.3059671903710278,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,12,9,15.643293243437657,16.424691081973045,0.3132090283432777,Homo sapiens,Chucki
Premolar,MH4765,4,14,24.05248988897428,10.783466852876199,0.47550528686138954,Homo sapiens,Australian aboriginie
Premolar,MH22283,4,3,26.444310138226843,8.435726072968645,0.7389050430672001,Homo sapiens,Sami
Posterior,AMNH99.1/99,3,12,32.40216226637474,12.490658282422435,0.5556446856260517,Homo sapiens,Alaska
Posterior,BRK126107,8,11,24.94928060279623,18.887108769689664,0.1357209424363287,Homo sapiens,Native Californian
Posterior,NMNH344711,2,14,22.880205166902172,15.114053974112657,0.8069834601945285,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,12,6,38.78751350065517,13.562164307882291,0.14190061131341875,Pongo,Borneo
Anterior,AMNH99.1/86-D,1,3,27.21141330012431,23.07357645217371,0.45651637684929547,Homo sapiens,Alaska
Anterior,UVS38,4,3,42.79708721741244,14.263264502491776,0.3020759574643569,Homo sapiens,Khoi-San
Anterior,NMNH225028,5,7,31.11587662162872,17.244752627891017,0.257808600044378,Homo sapiens,Chucki
Anterior,IPHA.29,10,9,27.19101439523447,11.545663415129257,0.22429090461660806,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,6,13,35.113025390842324,17.93043406558347,0.6865479424070104,Pongo,Borneo
Premolar,UCD2(2)b,9,8,25.420341069450465,20.401808412138163,0.4118132684124731,Homo sapiens,Native Californian
Anterior,HTB2027,11,12,7.6458249626162065,12.566019173991286,-0.10414388638786276,Pan,Ebolwa
Posterior,BM1976.1430,11,9,20.620928808772987,15.453175104212674,1.1937946088320919,Pongo,Borneo
Premolar,UVS62,7,10,27.498354035790104,16.18766428719085,0.5927151704004956,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,9,9,13.62931379589726,13.411772775130242,-0.04790496162109881,Pan,West Africa
Posterior,BRK125598,4,6,21.845345814209438,14.854108772938144,0.34439363568362075,Homo sapiens,Native Californian
Premolar,NMNH329778,7,5,20.881783352507096,18.300847394891704,0.8380352041605705,Homo sapiens,Australian aboriginie
Anterior,MH12328,7,10,24.529416582087777,13.277865372515311,0.350138299969238,Homo sapiens,Chucki
Anterior,BM1939.1021,6,14,36.795316847862544,16.21182253956391,0.37440760613994406,Papio,West Africa
Posterior,NMNH278710,8,5,12.29010399399295,12.01996816782475,0.9514326882768696,Homo sapiens,Buriat
Anterior,BRK126100,11,11,19.125361467223016,19.957280536780186,0.10584501767152216,Homo sapiens,Native Californian
Posterior,UCD2(6)b,8,14,24.936841766060915,13.313526029477988,0.48770820321567204,Homo sapiens,Native Californian
Anterior,AMNH99.1/109,12,9,37.541563469321034,16.252102846627,0.18402956749923893,Homo sapiens,Alaska
Anterior,BM1935.2.14.1,7,2,49.67574531847367,24.937380023660076,0.27087908560813273,Papio,East Africa
Premolar,HTB1890,7,3,22.413598351665563,16.45649561359218,0.04302208086697362,Pan,French Cameroons
Anterior,IPHA.15,8,13,16.208363354106858,15.178396280312219,0.17335031840896975,Homo sapiens,Afalou
Anterior,BRK126118,3,8,38.01595086578148,15.004532387178232,0.5839434973901227,Homo sapiens,Native Californian
Posterior,MH4459,3,7,29.40541710952073,13.879086366084962,1.2219065246533152,Homo sapiens,Australian aboriginie
Anterior,BRK126259,8,7,34.895256894484305,22.349737750717743,0.4484521809864556,Homo sapiens,Native Californian
Premolar,HTB1726,1,9,41.62940108383479,17.38147152507463,0.18673463582292438,Pan,Ebolwa
Premolar,MH1525,3,13,62.251970916827304,11.94019757047364,0.6794735485426575,Homo sapiens,Australian aboriginie
