tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,5,4,25.09144117957689,12.743893028347308,0.14522172727536015,Homo sapiens,Chucki
Posterior,IPHA.2,9,12,30.320220249569175,15.639786795908115,0.7851836313845999,Homo sapiens,Afalou
Anterior,NMNH380466,9,12,29.579132781554318,15.239232915844973,0.2672019657974388,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,11,14,46.9727191899814,13.590486765329848,0.5706954895215377,Homo sapiens,Chucki
Premolar,MH4765,12,6,27.899992023848668,6.076088203229006,1.274038374165888,Homo sapiens,Australian aboriginie
Premolar,MH22283,8,9,39.70569803823259,17.454367175049235,0.19698729266822668,Homo sapiens,Sami
Posterior,AMNH99.1/99,5,6,51.75338104524051,18.228847424837156,0.3184124469171807,Homo sapiens,Alaska
Posterior,BRK126107,9,11,55.304161479838335,14.987438399892708,0.1354739480810932,Homo sapiens,Native Californian
Posterior,NMNH344711,9,12,31.53837536180944,19.373084623563376,0.1669416948910159,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,11,3,49.81950217939587,5.213899931721386,0.5685856870847894,Pongo,Borneo
Anterior,AMNH99.1/86-D,10,13,30.17634300781566,16.01479451392077,0.3484700979080585,Homo sapiens,Alaska
Anterior,UVS38,9,2,40.04817049742169,16.342602543052006,0.708002058823007,Homo sapiens,Khoi-San
Anterior,NMNH225028,11,8,21.69063815686967,13.12154624271881,0.2042671316887567,Homo sapiens,Chucki
Anterior,IPHA.29,0,2,24.984930575287265,16.87914138845699,0.0891735327690315,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,3,9,54.894422115504554,10.356188673584542,0.3696962073940404,Pongo,Borneo
Premolar,UCD2(2)b,8,8,22.838785700629778,12.93358651622107,0.2913509269670232,Homo sapiens,Native Californian
Anterior,HTB2027,2,6,35.08290265377679,14.815270859737183,0.3032500920829361,Pan,Ebolwa
Posterior,BM1976.1430,9,8,18.09641649262784,9.932153850557846,0.6991603140917686,Pongo,Borneo
Premolar,UVS62,10,12,21.868971314083304,8.692396272668638,0.83074410868573,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,12,4,35.75753084077334,8.660538259709934,0.18450609071941781,Pan,West Africa
Posterior,BRK125598,1,8,50.89171996814801,18.008205723888373,0.560796808103957,Homo sapiens,Native Californian
Premolar,NMNH329778,6,3,38.42647490400681,24.548107247195933,0.49516472156220703,Homo sapiens,Australian aboriginie
Anterior,MH12328,11,12,33.75023954041458,19.026770880992466,0.45247374244700567,Homo sapiens,Chucki
Anterior,BM1939.1021,3,7,42.00743007262528,13.894941280926632,0.6011331128959719,Papio,West Africa
Posterior,NMNH278710,4,14,25.124291499070722,20.809463960838208,0.5159007339782845,Homo sapiens,Buriat
Anterior,BRK126100,1,14,33.59655757648144,18.276252145417722,1.2625287362923818,Homo sapiens,Native Californian
Posterior,UCD2(6)b,8,11,19.004517886012966,4.870701214675064,0.5472558541165001,Homo sapiens,Native Californian
Anterior,AMNH99.1/109,0,10,17.132956605694762,12.573012338991939,0.30211426279669296,Homo sapiens,Alaska
Anterior,BM1935.2.14.1,4,2,58.46205941897007,20.298315004280056,0.40116399374211026,Papio,East Africa
Premolar,HTB1890,5,11,27.866286437068005,12.288284514133553,0.3837161000046315,Pan,French Cameroons
Anterior,IPHA.15,9,10,25.485210242692936,14.758232421290307,-0.045020691763602905,Homo sapiens,Afalou
Anterior,BRK126118,4,13,24.539845716297748,19.386239900196728,0.6387207037220978,Homo sapiens,Native Californian
Posterior,MH4459,5,12,48.03521090076072,10.2862646400723,0.9237428224917473,Homo sapiens,Australian aboriginie
Anterior,BRK126259,0,7,29.389986798008906,14.818708442174737,0.8816631862905002,Homo sapiens,Native Californian
Premolar,HTB1726,7,4,18.127249417315817,12.26783382714397,0.8558586628778969,Pan,Ebolwa
