y,gender,age,majority_first,culture,ndam,eval,language,female,category,dist_focal,name,sockets
1,male,25.0,0,2,1590.0,4.3,Portuguese,0.0,3,538,Easy,12
3,female,19.0,0,2,5350.0,4.5,English,1.0,3,749,King,12
2,female,28.0,1,2,150.0,3.7,English,0.0,1,403,Able,10
1,male,,0,2,58.0,4.3,,0.0,1,241,Barbara,8
2,male,18.0,1,2,15.0,4.4,English,1.0,1,256,Florence,12
2,female,55.0,1,2,19321.0,4.2,Dutch,0.0,3,441,Carol,12
2,female,24.0,0,2,3230.0,4.0,English,1.0,3,185,Edna,6
1,male,29.0,1,2,24260.0,3.4,Other,0.0,4,411,Hazel,12
3,female,21.0,0,2,2030.0,4.5,English,0.0,3,426,Connie,12
2,male,54.0,1,2,14730.0,3.9,English,0.0,1,256,Diane,6
3,male,25.0,0,2,6200.0,3.1,Italian,0.0,3,411,Ione,6
3,male,17.0,1,2,1540.0,4.0,Turkish,0.0,2,299,Flossy,12
3,male,59.0,0,2,,3.8,English,1.0,4,461,Audrey,12
3,female,53.0,1,2,540.0,3.4,Czech,1.0,3,410,Helene,12
3,female,44.0,0,2,430.0,2.9,,1.0,1,228,Debra,12
1,female,26.0,1,2,510.0,4.5,English,0.0,3,257,Gracie,12
2,female,20.0,0,2,53270.0,4.0,English,0.0,4,516,Donna,9
1,female,58.0,1,2,35.0,3.8,English,1.0,1,511,Ethel,12
2,female,46.0,1,2,15850.0,4.3,English,0.0,4,500,Carla,12
3,female,20.0,0,2,300.0,3.4,English,0.0,1,616,Cindy,11
1,female,35.0,1,2,6450.0,3.4,German,0.0,2,229,Cleo,10
3,female,28.0,1,2,16260.0,3.3,English,0.0,2,181,Dora,4
2,female,,1,2,2770.0,4.3,,0.0,3,185,Hilda,12
1,female,,1,2,800.0,4.4,,0.0,2,207,Isbell,8
2,male,22.0,0,2,20000.0,4.6,English,0.0,3,126,Betsy,12
2,female,16.0,0,2,730.0,4.2,English,0.0,2,501,Alma,12
2,female,35.0,0,2,99.0,4.0,Spanish,0.0,1,404,Inez,12
3,male,,1,2,5060.0,3.3,,0.0,3,186,Beulah,6
2,male,16.0,1,2,800.0,4.4,English,1.0,2,528,Gladys,12
1,female,22.0,1,2,23040.0,2.3,English,0.0,5,469,Camille,12
2,male,21.0,0,2,6870.0,3.5,English,0.0,3,264,Celia,6
3,female,35.0,0,2,300.0,4.7,English,0.0,2,324,Edith,12
2,male,58.0,1,2,500.0,3.9,English,0.0,1,205,Fern,8
3,female,38.0,0,2,200.0,4.0,English,0.0,1,174,Ginger,11
2,male,21.0,1,2,20430.0,4.3,Dutch,0.0,1,258,Agnes,12
2,female,13.0,0,2,1180.0,3.8,English,1.0,3,72,Carmen,12
3,female,43.0,0,2,6190.0,3.8,English,0.0,3,497,Eloise,12
2,female,26.0,1,2,570.0,4.0,English,0.0,1,239,Belle,12
2,male,23.0,0,2,66.0,4.6,Chinese,0.0,1,290,Babe,8
2,female,26.0,0,2,70.0,3.5,Dutch,0.0,1,584,Bob,5
3,male,27.0,0,2,2700.0,4.7,Romanian,0.0,2,262,David,12
2,male,25.0,1,2,12770.0,4.2,Italian,1.0,3,303,Frederic,8
3,female,34.0,1,2,2130.0,3.4,English,1.0,3,343,Allen,12
2,female,22.0,1,2,10400.0,3.9,Other,0.0,3,591,Alicia,11
2,female,24.0,0,2,410.0,4.5,English,0.0,2,579,Diana,8
2,male,,1,2,130.0,4.7,,1.0,1,242,Bob,2
3,female,18.0,0,2,160.0,3.5,English,0.0,1,335,Danny,12
2,female,39.0,0,2,4180.0,3.7,English,0.0,3,308,Elena,7
2,male,19.0,1,1,3020.0,4.0,Other,0.0,3,390,Gloria,12
2,male,18.0,0,1,4730.0,4.1,English,1.0,1,88,Juan,8
2,female,31.0,1,1,1310.0,4.4,English,0.0,2,373,Kate,12
1,male,20.0,0,1,6.0,4.2,,0.0,1,328,Bonnie,12
1,male,21.0,1,1,58.0,4.5,Chinese,0.0,1,259,Charley,12
3,male,26.0,1,1,1.0,3.8,English,0.0,1,259,Floyd,12
3,male,13.0,0,1,4.0,3.1,English,1.0,1,388,Florence,12
3,female,50.0,0,1,290.0,3.7,English,0.0,1,252,Chantal,8
2,male,18.0,0,1,20020.0,3.9,Swedish,0.0,4,578,Hugo,12
3,female,31.0,1,1,230.0,4.0,English,0.0,1,535,Jerry,8
2,female,21.0,1,1,3620.0,3.3,English,0.0,2,538,Bob,12
2,male,25.0,0,1,66730.0,3.1,English,0.0,5,749,Andrew,12
1,female,21.0,0,1,96.0,4.0,English,0.0,3,403,Emily,12
2,male,22.0,1,1,1650.0,4.3,English,0.0,2,241,Erin,8
2,female,22.0,1,1,7550.0,3.7,English,0.0,3,256,Opal,12
2,male,64.0,0,1,700.0,3.4,English,0.0,2,441,Bertha,8
1,male,19.0,0,1,8260.0,4.3,Other,1.0,3,185,Fran,8
2,male,64.0,1,1,200.0,3.7,English,0.0,1,411,Danny,12
2,male,25.0,0,1,1650.0,4.2,English,0.0,2,426,Bonnie,12
3,female,23.0,0,1,160.0,2.2,Romanian,0.0,1,256,Earl,8
2,female,27.0,1,1,3870.0,3.0,,0.0,2,411,Georges,8
3,female,24.0,0,1,94.0,4.3,English,1.0,3,299,Bret,12
3,female,16.0,0,1,8130.0,4.6,German,0.0,2,461,Floyd,12
3,female,24.0,0,1,1430.0,3.5,English,0.0,1,410,Irene,8
1,female,24.0,1,1,1260.0,4.6,,0.0,1,228,Lili,12
2,male,19.0,0,1,250.0,3.7,Chinese,0.0,1,257,Claudette,12
3,male,25.0,1,1,4980.0,3.8,English,0.0,2,516,Isabel,8
3,male,41.0,0,1,5.0,3.6,English,0.0,1,511,Alex,12
1,female,23.0,1,1,20510.0,4.4,English,0.0,4,500,Charley,4
3,male,48.0,0,1,12620.0,4.1,English,0.0,2,616,Frances,8
2,female,22.0,1,1,170.0,4.3,German,0.0,1,229,Gaston,12
3,male,35.0,0,1,18590.0,4.0,English,0.0,3,181,Ivan,12
2,male,38.0,1,1,10210.0,4.8,English,1.0,3,185,Jeanne,6
2,male,25.0,1,1,350.0,3.5,Indonesian,,1,207,Cindy,12
3,female,33.0,1,1,2650.0,3.6,English,1.0,3,126,Dennis,12
1,male,49.0,0,1,,3.8,English,0.0,3,501,Katrina,12
2,female,37.0,1,1,91.0,4.7,English,0.0,1,404,Ophelia,6
3,female,34.0,0,1,10690.0,4.9,English,0.0,3,186,Rita,12
2,female,28.0,1,1,25960.0,4.3,English,1.0,3,528,Wilma,6
2,female,58.0,1,1,51.0,3.3,English,0.0,1,469,Humberto,6
2,female,25.0,1,1,1110.0,3.4,Italian,0.0,1,264,Dolly,12
3,female,30.0,0,1,4360.0,3.6,English,0.0,2,324,Gustav,12
2,female,28.0,0,1,20370.0,4.0,English,0.0,2,205,Ike,8
3,male,35.0,0,1,7110.0,3.9,English,0.0,1,174,Irene,8
3,male,21.0,0,1,24000.0,4.3,English,0.0,1,258,Isaac,6
3,male,22.0,0,1,75000.0,3.3,English,0.0,2,72,Sandy,8
3,male,20.0,1,1,1590.0,3.7,English,0.0,3,497,Easy,12
3,female,38.0,0,1,5350.0,3.6,English,1.0,3,239,King,12
1,male,21.0,0,1,150.0,4.4,Dutch,0.0,1,290,Able,8
3,male,26.0,0,1,58.0,4.0,English,0.0,1,584,Barbara,12
2,male,33.0,1,1,15.0,2.1,English,0.0,1,262,Florence,9
3,male,28.0,1,1,19321.0,3.2,English,0.0,3,303,Carol,3
1,female,45.0,0,1,3230.0,3.5,English,0.0,3,343,Edna,10
1,male,21.0,1,1,24260.0,4.1,,0.0,4,591,Hazel,12
1,female,21.0,0,1,2030.0,4.6,English,0.0,3,579,Connie,8
2,male,23.0,0,1,14730.0,3.8,Finnish,0.0,1,242,Diane,6
2,female,13.0,1,1,6200.0,3.8,English,0.0,3,335,Ione,12
3,male,46.0,0,1,1540.0,3.8,English,0.0,2,308,Flossy,12
2,male,37.0,1,1,,4.2,English,0.0,4,390,Audrey,12
3,male,22.0,0,1,540.0,3.9,English,0.0,3,88,Helene,12
3,male,32.0,0,1,430.0,4.5,English,1.0,1,373,Debra,12
2,female,39.0,1,1,510.0,4.5,English,0.0,3,328,Gracie,12
2,female,35.0,1,1,53270.0,4.4,English,0.0,4,259,Donna,6
1,female,20.0,1,1,35.0,4.4,English,0.0,1,259,Ethel,12
2,female,,1,1,15850.0,4.4,,1.0,4,388,Carla,4
3,male,26.0,0,1,300.0,4.5,English,,1,252,Cindy,12
2,female,23.0,1,1,6450.0,4.3,English,0.0,2,578,Cleo,12
2,male,23.0,0,1,16260.0,4.6,Romanian,0.0,2,535,Dora,12
2,male,24.0,1,1,2770.0,4.8,English,0.0,3,538,Hilda,12
3,male,15.0,0,1,800.0,4.3,German,1.0,2,749,Isbell,4
1,female,29.0,0,1,20000.0,4.0,Other,0.0,3,403,Betsy,12
3,female,49.0,0,1,730.0,4.0,English,0.0,2,241,Alma,10
2,female,59.0,1,1,99.0,3.9,English,0.0,1,256,Inez,12
2,female,35.0,1,1,5060.0,3.3,English,0.0,3,441,Beulah,8
2,male,24.0,0,1,800.0,4.5,English,1.0,2,185,Gladys,8
1,female,64.0,1,1,23040.0,4.5,Other,0.0,5,411,Camille,8
3,female,13.0,0,1,6870.0,4.5,English,0.0,3,426,Celia,4
2,male,44.0,1,1,300.0,2.5,English,1.0,2,256,Edith,8
3,female,15.0,1,1,500.0,4.3,English,0.0,1,411,Fern,8
2,male,39.0,1,1,200.0,4.5,English,1.0,1,299,Ginger,11
2,male,20.0,1,1,20430.0,4.7,English,0.0,1,461,Agnes,8
2,male,58.0,1,1,1180.0,3.5,English,0.0,3,410,Carmen,8
2,female,18.0,0,1,6190.0,4.5,Turkish,0.0,3,228,Eloise,12
3,male,22.0,0,1,570.0,3.8,English,0.0,1,257,Belle,6
1,female,19.0,0,1,66.0,4.5,English,0.0,1,516,Babe,6
3,male,64.0,0,1,70.0,4.3,Other,1.0,1,511,Bob,12
3,female,43.0,0,1,2700.0,3.9,English,0.0,2,500,David,6
3,female,,0,1,12770.0,4.3,,0.0,3,616,Frederic,11
