focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
6,3,6,0,664,810,8,13,2,4,9,3
6,4,6,1,203,114,12,6,3,3,9,6
2,6,3,1,542,158,7,13,3,3,3,7
6,6,4,1,658,247,10,12,3,4,7,7
3,3,2,0,732,146,10,7,4,4,5,9
2,2,4,1,319,78,9,7,4,2,5,4
4,3,8,0,154,817,11,9,3,3,8,5
5,5,2,1,713,185,7,7,3,2,3,4
2,6,6,1,169,254,9,5,2,4,6,9
1,1,6,0,98,301,12,12,3,4,8,5
2,3,7,0,727,435,11,8,4,3,3,6
5,5,6,0,490,57,11,8,3,4,3,8
2,1,7,1,639,201,13,9,4,3,8,4
3,5,2,0,576,293,12,11,3,2,7,5
3,5,6,1,252,614,13,11,3,4,3,8
5,4,1,1,288,652,12,13,2,4,3,6
6,2,6,1,323,247,6,7,2,2,8,9
3,5,1,0,507,668,5,10,3,4,6,3
2,3,3,1,613,788,9,9,3,4,8,5
5,2,1,0,297,218,6,8,4,4,6,7
1,4,3,1,529,309,5,11,2,3,5,7
2,5,6,0,380,378,11,13,4,3,6,6
4,2,3,1,217,204,11,13,2,3,6,8
2,5,8,1,738,114,7,11,3,3,7,6
5,1,6,1,102,274,13,5,4,2,9,8
2,5,5,1,429,92,5,7,2,4,6,5
5,1,7,0,643,372,8,12,2,4,9,5
3,1,3,1,160,125,13,13,2,3,5,3
4,5,3,0,440,184,10,9,4,4,4,3
3,5,2,1,486,536,9,7,4,2,6,3
4,2,2,0,137,501,8,8,3,4,9,5
3,6,6,1,442,397,7,11,3,3,3,5
3,4,3,0,500,694,9,13,2,4,9,4
5,5,7,0,150,600,6,10,3,3,9,4
6,4,7,1,381,428,11,8,3,4,9,6
3,2,3,0,477,422,7,12,3,3,6,5
5,6,7,1,455,287,12,13,4,2,3,9
4,4,2,1,704,779,5,13,4,3,3,8
1,1,4,1,343,749,8,7,3,3,9,4
6,4,6,0,298,478,9,13,4,2,6,5
2,6,5,0,116,229,11,7,3,4,7,7
1,4,3,0,103,666,10,13,4,3,6,6
2,2,1,1,446,335,5,5,2,2,7,5
4,2,6,0,138,713,12,13,2,3,9,8
2,2,2,1,291,487,9,11,3,3,5,6
3,3,3,0,569,635,8,10,2,4,6,5
3,4,8,0,385,311,7,5,3,2,7,6
6,1,4,1,190,215,5,7,2,3,7,9
5,1,5,1,94,599,7,8,2,2,8,5
1,4,4,1,701,307,9,5,2,3,3,5
2,4,3,0,281,586,6,6,3,3,5,3
3,4,1,1,216,389,13,10,2,3,3,7
1,2,5,0,151,679,12,5,4,2,5,3
6,5,6,1,278,142,13,10,3,4,5,7
1,2,7,1,730,300,7,13,2,2,7,8
2,2,4,0,285,836,5,5,3,2,7,3
3,5,6,0,159,750,10,12,4,2,5,7
2,3,3,1,569,787,8,5,3,3,6,4
