focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
2,2,2,1,602,181,7,6,3,4,6,6
5,4,7,1,427,505,9,13,2,3,5,4
1,6,8,1,291,198,12,8,4,4,5,4
2,1,5,0,489,300,12,12,4,2,9,6
2,3,2,1,309,790,5,12,2,3,5,3
1,2,7,1,419,311,5,10,4,4,6,6
3,4,5,1,714,133,10,12,3,3,5,8
1,4,4,1,634,328,12,11,2,3,5,3
1,1,7,0,155,209,6,9,4,4,7,8
6,1,5,0,655,257,10,8,3,2,6,4
4,1,2,0,433,715,9,6,3,4,4,5
5,3,8,1,391,427,12,12,4,3,5,9
2,4,8,0,602,68,11,5,4,4,8,4
6,5,4,1,79,563,7,8,2,2,6,4
6,3,8,0,481,396,5,11,4,3,9,4
4,3,5,1,406,263,7,5,4,4,3,5
4,6,6,1,404,288,9,10,3,4,4,5
3,3,6,0,131,546,9,12,3,4,5,3
4,1,7,0,294,426,8,9,2,4,3,6
1,1,6,0,393,61,8,9,4,3,5,4
2,5,7,0,488,643,13,6,4,2,5,7
6,5,2,0,615,183,8,6,4,3,5,7
5,6,5,1,542,432,11,13,3,3,3,3
4,5,5,1,748,87,11,7,2,4,7,5
4,1,5,1,184,575,9,10,3,4,6,3
6,5,5,1,192,514,12,11,3,2,6,6
6,3,7,0,649,840,11,11,3,2,5,7
3,4,3,0,305,402,12,11,2,2,4,9
1,3,6,0,713,790,10,11,4,4,7,3
5,4,3,0,292,816,10,10,3,2,6,9
3,4,1,1,682,626,5,13,3,2,6,4
5,1,1,1,338,229,12,10,3,2,8,6
6,3,7,0,182,186,11,5,4,4,9,7
2,2,2,1,152,335,9,6,2,3,7,8
2,2,8,0,566,379,7,10,3,4,3,3
6,2,8,0,155,353,12,12,4,3,8,3
6,3,4,1,218,532,9,6,2,3,4,8
6,1,3,0,248,802,9,12,4,4,9,9
5,1,2,1,552,619,10,11,3,4,8,6
2,4,5,0,740,186,12,11,2,2,3,3
6,3,4,0,719,603,5,8,3,4,4,6
3,3,7,0,237,702,6,10,2,3,4,4
6,3,3,0,529,566,12,6,2,3,3,9
1,6,3,0,521,568,12,7,3,4,6,6
2,3,5,1,569,246,6,8,2,4,6,3
5,2,1,0,424,264,11,7,4,2,5,7
5,1,3,0,290,484,11,6,2,4,4,3
2,3,8,0,178,840,10,5,3,2,8,5
3,4,1,1,220,103,6,9,2,3,9,3
1,1,5,1,276,344,5,10,4,2,5,7
1,1,6,1,608,613,11,5,2,3,5,3
5,4,6,1,699,119,13,8,3,2,9,4
2,4,5,1,244,460,7,8,4,3,3,4
2,5,5,1,133,794,5,8,4,4,3,7
6,1,2,1,400,634,10,6,2,2,8,3
4,2,3,1,491,452,5,7,2,2,6,6
1,5,4,0,431,256,5,8,3,3,9,7
6,1,2,1,130,658,6,11,4,2,3,4
