ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15
76,1990,Bonnie,7.883368156584984,959,0,3,1794,18533.32417678467,35.409747457678264,MWR,2.3148175575326775,173,7645
22,1976,Isaac,6.705443126793261,971,0,3,27,22377.93659146783,17.572142935852114,MWR,5.83418319231974,149,47564
37,1966,Debra,4.694309084995747,943,0,1,1181,39771.259536735764,3.344386601469264,MWR,0.1700128854234304,172,53570
12,1980,Irene,9.604149558819767,1002,0,1,1270,39848.03544064815,15.805565708494237,MWR,3.205262111628241,148,30160
8,1961,Emily,4.815980735409923,988,1,2,831,33553.292384626155,17.29182305595329,MWR,0.41665231806218195,91,77824
41,1989,Cleo,4.423127148512606,963,0,2,203,48386.98632039074,9.114668065916923,MWR,5.8917303885432055,111,81773
53,1980,Dennis,0.5887549588722774,991,0,5,1436,64301.390058749195,20.682315977357444,MWR,3.5049373003132356,77,80529
79,1996,Wilma,2.171735972035615,909,0,3,1312,62615.158961451896,19.31017770934354,MWR,7.450889054772077,99,44691
88,2008,Isabel,5.884701615029422,931,0,3,608,36573.829994562155,21.666093243606223,MWR,-3.1178690662636637,128,4045
87,1959,Isabel,2.4230891959424796,916,0,5,565,63897.33685696762,26.429012812946112,MWR,4.943454317625969,108,65124
45,2001,Humberto,3.9181929943787503,974,0,3,1639,18616.62682804667,67.29908209766917,MWR,9.793992688978019,179,82766
28,1977,Isbell,8.476632379580419,927,1,3,1636,39981.75370249103,44.5805736547974,MWR,4.296516824897871,127,80798
29,2005,Able,0.2963963172650175,979,0,1,1240,42222.850770419805,35.505475818496954,MWR,6.836171493594679,128,63319
3,1986,Dora,7.256666034884242,958,1,2,197,48078.80128856208,64.93624357582863,MWR,3.2738184306149147,129,60144
85,1953,Charley,6.959628432265176,963,0,4,377,47461.54337431665,39.95998523051898,MWR,7.133202827937904,75,12797
24,1958,King,6.513549599459745,997,1,1,1351,66325.98233673078,27.759567615842556,MWR,2.9740485943834645,189,31019
0,1985,Humberto,6.71500999127211,951,0,1,429,63206.95501981744,62.589820444842786,MWR,8.25867293728178,118,84771
93,1994,Camille,11.601820088838913,940,1,5,1354,42473.1685091742,27.10302645952617,MWR,0.6339581056978814,136,13305
78,1994,Belle,2.587940247712304,966,0,5,616,64773.23008066791,69.07424789647115,MWR,1.6031032712831883,108,10443
39,1984,King,6.226967533231509,925,1,3,479,62338.69521371714,8.479138800137271,MWR,6.8081103747923954,79,36256
33,1968,Bertha,7.288654225015921,930,1,4,1340,46028.34579365691,41.39415605105114,MWR,3.2416196089897955,105,77381
85,1968,Andrew,10.293127780711874,913,1,5,1807,28917.013159691145,15.919954355646137,MWR,5.509681149576608,143,67101
89,1971,Cleo,4.220474664109349,976,0,4,1253,40827.98464507165,23.814581522682534,MWR,-0.01922778098489708,91,64332
61,1976,Fern,4.7966433213099,992,1,3,1735,31484.426435307032,7.271524397662457,MWR,2.587647717662236,180,51555
93,1971,Alex,6.874308690983769,961,1,2,421,24306.357657725435,-5.807470326196956,MWR,4.940371682645152,130,45422
57,1984,Jerry,10.86692130276187,910,1,5,1348,38804.41319964379,42.016836428713624,MWR,1.861211675920245,122,11882
55,1985,Dora,5.201733098092726,988,0,2,810,37273.35731791802,40.00368596270677,MWR,5.061284117859723,167,58210
24,1962,Dolly,3.686243010793536,998,0,4,1162,20711.74027861153,12.54759251016953,MWR,2.9922746012138854,107,71219
7,1997,Gloria,4.6035219375942305,912,0,2,1170,46361.876903358,20.2478923403037,MWR,0.7241699493105678,111,25359
68,2011,Ike,3.177236340267181,920,1,1,153,58130.32028867706,23.327457873395378,MWR,3.2753877503540387,144,72076
40,1968,Bob,8.011187177835948,916,0,5,24,56115.25458663059,34.39723372533825,MWR,4.311157946442429,93,19791
40,2011,Frederic,2.7709003159392536,934,1,1,652,49568.141693741374,35.68136658207785,MWR,6.513096151845808,167,81255
10,1960,Irene,4.555617602892351,916,0,3,319,34894.77459826496,14.932438211708071,MWR,5.84085000005553,160,14402
59,2007,Andrew,5.124592631893214,975,0,4,1821,63703.723801006076,37.72183917512968,MWR,7.175909668956045,75,75537
28,2003,Ivan,5.029356674426888,923,1,1,1713,35917.59942844082,71.53748870265059,MWR,6.198904689686939,111,55450
63,1990,Debra,4.928267733532996,978,0,4,235,34214.55272884876,22.574474078296458,MWR,-0.4518273163950779,161,62990
14,1966,Erin,1.6677368404463069,915,0,3,1138,38470.58526471556,-21.6962980110483,MWR,2.7698803742058278,82,51435
69,2012,Erin,2.791317336533501,939,1,4,455,48076.014984349764,43.11176599110471,MWR,3.5364297061180245,93,45946
