ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15
66,1969,Bonnie,1.2508258197777748,941,0,3,12,63253.17975097231,11.748227441721525,MWR,5.5657702090801155,132,58515
26,1953,Isaac,2.7284767092396094,930,0,5,358,39215.68941175574,45.85147577667059,MWR,7.914306175188381,84,42369
81,1987,Debra,6.558072078316739,913,1,4,805,45982.394664821644,35.39793683254828,MWR,3.761905447183017,176,15685
26,1974,Irene,9.29350344422307,962,1,1,1699,25385.582179486533,36.39454595622702,MWR,6.98530895866154,162,66319
43,1963,Emily,1.2807806249858449,926,0,4,319,34179.99408082564,14.217216516218915,MWR,-2.734356005019759,154,24390
59,1983,Cleo,4.515688746703625,985,1,2,233,44856.718525323784,46.76730256288191,MWR,4.319689620002071,183,56702
52,1961,Dennis,5.796911695518463,930,1,4,648,21277.408261742414,27.73454519849335,MWR,4.555625568131739,161,17813
24,1971,Wilma,-1.8128591198964985,960,0,5,604,40684.43743897306,34.678244713354246,MWR,3.657046861015756,124,38563
9,2007,Isabel,6.993304171911021,970,1,4,1474,33413.66111508874,32.52932557750503,MWR,7.241013380115213,78,43419
33,1996,Isabel,5.47246405790567,948,1,5,941,20630.07549969253,47.35282975508765,MWR,6.98089018436713,190,65820
75,2012,Humberto,7.125711118121817,999,0,3,246,28400.65942376346,24.577312783464233,MWR,9.87071924919093,176,16543
72,1969,Isbell,3.9599347440138573,968,0,1,768,13630.686984487413,44.42847136598743,MWR,4.553051928358314,143,40374
42,1996,Able,6.306398485889753,954,1,1,794,30833.9998761772,21.13625345685027,MWR,6.018331288848843,136,21646
29,1990,Dora,7.395531783310011,995,0,4,812,41828.55721664169,33.9539348581582,MWR,4.087582007610721,148,85351
41,1978,Charley,4.096348770628894,938,1,3,1298,44941.65830773368,41.69176313991182,MWR,2.231387000173972,85,56473
1,2008,King,-3.1937529529767996,1000,0,4,474,33798.62854330899,26.13553390927403,MWR,4.652791863018225,160,46596
7,1985,Humberto,0.5525658878532038,961,0,2,779,30382.25441924518,32.720535770826324,MWR,6.518989324753981,173,71350
28,1982,Camille,4.3901960938920155,990,1,3,700,16995.885909765377,40.749831514619366,MWR,-1.9268912773710198,186,10296
27,1986,Belle,3.8414277220459514,958,1,5,1187,40835.67405844769,5.136563070977868,MWR,3.1200651595219036,156,10414
83,1964,King,13.416273581717913,974,0,4,664,26961.96706946966,28.456796451521427,MWR,6.4695912721199065,188,41108
73,1977,Bertha,3.1980860182139157,937,1,3,1245,32964.13283557968,37.80019316059401,MWR,9.525016365500758,157,5424
5,1973,Andrew,1.043603946988822,915,1,5,1373,51845.63394860749,54.23929240638469,MWR,4.940016323408035,137,5415
92,1963,Cleo,3.5226284527520075,936,1,3,378,31491.209624256764,44.23735214397001,MWR,4.910897895457518,172,39893
31,1961,Fern,4.78797148452556,955,1,2,903,29112.71138417731,71.16052775387132,MWR,-1.390400469552632,116,75563
33,1963,Alex,0.08758327141107447,993,0,4,1393,22601.102140086725,46.453735139640585,MWR,6.475049417544327,100,54428
80,2000,Jerry,11.109772687844707,945,1,5,1710,29857.640721350923,32.40342281122834,MWR,1.7946677549741583,186,22010
18,1970,Dora,3.4618086388048668,972,0,1,616,23830.219639468327,34.92911482864825,MWR,-0.23733285284819416,108,1096
45,2004,Dolly,7.824767767272359,952,0,3,1091,29240.112440135636,44.2476282372494,MWR,9.645129223612741,186,61144
77,1987,Gloria,-1.1788610119991327,922,1,5,393,9931.821159264018,48.772213559914384,MWR,3.0717668730521517,151,17097
88,1988,Ike,6.457707155270937,927,1,3,495,39804.50982659836,69.73349557772156,MWR,5.394293174182754,82,57714
61,2007,Bob,3.8895986266075964,924,0,2,1001,44704.63066012562,33.99449989404146,MWR,7.88539956423538,108,18372
36,1974,Frederic,3.821461025231261,922,1,3,1245,19030.870094683214,10.956215734324314,MWR,0.015185731551226489,83,38816
33,2007,Irene,5.379924183775585,933,1,4,733,17065.687052308014,7.252502155150211,MWR,0.6936851727076117,150,53741
76,1982,Andrew,3.1951533250918174,914,0,3,678,35197.14504581547,33.090394056040395,MWR,-0.7299703400249973,186,76720
37,1960,Ivan,5.035585224186487,921,0,5,927,69296.217584653,17.836980196014856,MWR,6.408897517635213,141,61650
59,2012,Debra,-0.29676147586026147,942,0,5,786,47689.52447879257,7.4435864992021905,MWR,7.428678868861149,186,25974
30,1991,Erin,3.5367552793827643,983,1,5,1177,27338.694680199475,30.676480688670615,MWR,2.760231337914442,118,4311
77,1964,Erin,11.26154748826716,970,1,5,81,34219.88429092066,-0.8393580380519303,MWR,3.364344584481738,120,68845
49,1955,Danny,2.2719413311798298,915,0,2,1088,54840.457637388616,12.028693643191911,MWR,5.633360772521685,79,31766
21,1950,Erin,1.23256724128803,985,0,1,1548,51356.15829363947,19.245824884834036,MWR,5.717171708550315,111,33721
71,1991,Kate,2.7885861673812444,998,0,5,204,22242.24330201345,64.93510528191415,MWR,4.876508010086941,158,56159
24,1991,Florence,2.468794880360918,944,0,2,1077,37006.810531401075,9.77557014700266,MWR,3.1998242100582264,167,3862
72,1965,Bertha,5.500368238720476,921,0,1,1253,39647.95325033329,41.29659392752274,MWR,1.5528511470669684,98,58912
42,1956,Able,5.697928361671128,986,0,2,1544,40062.448864891354,40.039831643609055,MWR,2.8994686114595147,104,84732
58,1989,Kate,1.1936977804288587,950,0,4,1532,14797.188002514104,12.236211109219024,MWR,5.815810262772292,161,5067
24,2010,Edna,7.726966372650392,944,1,5,1540,35896.63695239699,-1.5140819486585428,MWR,2.929558014315689,88,27927
3,1989,Cleo,5.172319753784536,929,1,5,953,45660.60647984328,28.198931618668496,MWR,2.6769163803091383,121,36670
39,1987,Lili,1.8479289488003694,957,1,4,487,32229.864071525575,18.3082007562937,MWR,6.094274582990369,138,81075
9,1980,Babe,8.779768586003982,987,0,2,814,4043.2627449682914,7.369033453755478,MWR,3.8176269827181932,100,80152
93,1965,Ethel,7.982021514486001,918,1,5,928,59640.77574529584,58.085492291734305,MWR,1.1620550563250687,182,34770
52,2001,Barbara,2.9046140285718294,942,1,3,222,28811.60752863405,7.472414779772141,MWR,5.706742466980696,119,2279
71,2005,Dolly,0.4024051859042128,939,0,5,1588,33132.39234051491,16.50935290953742,MWR,3.9709871441491233,98,48022
54,1957,Andrew,4.833262665813462,985,0,3,1361,24534.948311799846,-11.886824955584252,MWR,5.9529130645906045,99,45013
50,1983,Helene,2.6387469614278087,973,0,1,1285,30522.21519998565,36.488625897251936,MWR,6.792865268064942,175,47147
91,1975,Connie,8.999563143780502,909,1,1,1642,41014.597883450384,11.926462906398328,MWR,1.325835641216778,176,20341
76,1975,Gustav,5.532478363852983,970,0,2,1550,34153.88647014509,37.89799325961336,MWR,2.1469797219244433,80,71990
30,1971,Charley,7.451811388941584,956,1,2,648,33204.33106161371,25.13693874221575,MWR,-0.818576560459455,108,15620
35,1951,King,5.307701385978517,982,1,2,899,40408.25819283902,41.84307234148656,MWR,6.696402439555707,102,42947
67,1981,Katrina,2.7656114172256787,935,1,1,1717,41844.69547242598,59.09444641213548,uri,6.573517405456564,171,34306
44,1999,Irene,8.96462618272578,923,0,4,1360,45225.109335189234,40.01516548718506,MWR,4.068642523173698,163,28095
3,1966,Andrew,6.943300102847825,990,0,2,1615,50734.46073091431,52.181770170396696,MWR,6.90597966523177,146,83944
36,1973,Floyd,10.145035742424291,993,1,4,1310,13189.103856023863,33.61337405981423,MWR,-1.1926024424110153,183,1610
33,1978,Alicia,5.444890441697298,936,1,3,1172,35972.362053053555,43.94693522644196,MWR,3.7386480873102172,168,19389
48,1955,Hazel,3.639991972350587,947,1,3,795,36874.26576245147,54.40262150902119,MWR,4.0184794801108294,109,41126
23,2009,Danny,4.587536410994761,925,1,1,1304,65026.62230189062,40.81179723534384,MWR,1.7521393714009177,184,76674
5,1978,Agnes,3.7967825878076766,951,0,4,1366,34265.79903551088,25.402054021090947,MWR,6.469623065224589,161,76251
46,1966,Frances,6.577189656856903,912,1,2,577,25357.281536288356,30.440612448741042,MWR,7.35200742902428,142,9879
76,2005,Jeanne,7.453516164126633,954,1,5,1647,56854.13424340495,13.764480237304934,MWR,8.795011725241945,80,37317
65,1958,Carmen,8.14934191575241,995,0,2,186,50252.11039895293,49.30617664086914,MWR,7.500339697667513,85,14456
9,1993,Juan,4.235429791955475,963,1,2,781,31159.806851457983,60.61429441135017,MWR,3.8903094759095,103,10781
43,1997,Barbara,5.141501448476933,988,0,2,1371,30538.155737493882,32.566357942510166,MWR,3.477110388373913,152,73703
25,1953,King,0.1800152276758613,998,0,4,418,33999.20451784101,17.054373311704946,MWR,4.235265265800726,143,227
52,1967,Carol,1.7672988533827358,981,1,3,471,29736.283227885928,6.705513619751159,MWR,4.301429389719202,162,65816
54,1982,Floyd,-1.879999021068059,992,1,3,555,45152.94655953974,34.57543101509374,MWR,7.374900754612506,132,2592
43,1959,Barbara,5.443866523202542,944,0,4,1627,34059.56866756133,29.631853316162925,MWR,3.587791080156366,134,60956
67,1981,Floyd,5.152685381487522,999,1,4,1769,30451.422062048423,25.779870135406878,MWR,4.0007693474090384,91,36973
92,1990,Isaac,5.78001267480775,932,0,4,1760,18511.99831757703,59.5171289028508,MWR,4.622021629172773,187,24592
54,1952,Opal,4.630930014861012,977,0,2,739,27943.03264089138,14.57336259447468,MWR,5.921635776146128,130,47173
7,2003,Ethel,4.1784131533398305,940,0,2,403,47807.59393026014,57.50574703308483,MWR,6.8512067790879705,78,14865
80,1985,Gustav,4.286944939541184,981,1,2,523,35086.60364282208,54.85253636564836,MWR,8.39377213119041,86,81715
11,2002,Alicia,11.660886207298423,1001,1,1,103,28794.371562109103,24.900615622415685,MWR,3.249689194522059,172,44077
87,2008,Ginger,5.607858682706295,962,0,3,864,28466.958430192135,22.76648166385915,MWR,8.713628285893133,175,74769
75,1997,Claudette,4.158256514204379,930,0,5,1033,17698.252405359308,49.94281982559021,MWR,2.620013515793274,104,28806
5,1998,Erin,0.8780981783778947,943,0,1,1786,13911.879892108307,45.34292191277127,MWR,6.48877703744188,84,61848
15,1984,Helene,0.8408054732003012,999,1,4,96,43181.22664569031,24.646127498626548,MWR,2.7220900797637473,106,70155
64,1984,Elena,3.8992078846281912,929,1,2,357,28253.85150711211,14.95934873412849,MWR,0.7550069328475111,130,20898
90,1993,Debra,6.51288516636853,963,1,2,1041,51547.18082343534,45.24920129091036,MWR,4.392722299508199,154,75658
72,1969,Irene,5.436776636138972,974,1,5,792,54814.94371867808,35.65005046047062,MWR,4.796095791056837,164,30093
14,1992,Frances,10.166143569648884,926,0,2,794,47122.66535755551,37.34802648431298,MWR,5.231704435269876,120,37357
61,1965,Wilma,3.9681709112236345,932,1,3,10,52396.20663956485,17.57537540358716,MWR,3.251760736918151,178,41769
31,1986,Erin,11.546222363238252,964,1,1,534,43661.86830672905,42.60898903731368,MWR,3.8676357926615097,135,50032
19,1967,Bob,4.809035580532614,979,1,2,1114,82071.14952549027,42.078147422959205,MWR,3.375100840191965,141,6657
11,1965,Ophelia,2.2419284012435217,961,0,4,1656,18145.686583166025,17.600086255482108,MWR,6.895709282560121,75,15031
46,1955,Ivan,8.732594509417824,963,0,2,1832,60553.98229501453,-0.0896473093056862,MWR,0.24211276087062394,189,33934
