chimpanzee,age,sex,hammer,nuts_opened,seconds,help
19,5,m,G,20,66.50507439917354,N
9,16,m,G,10,53.69463133403403,N
1,15,m,G,54,70.05321644332761,N
5,5,f,G,47,28.344514623367616,N
7,9,m,G,22,42.167747340496895,N
12,5,m,G,62,48.67691926184087,N
7,11,m,G,22,44.49751535497735,N
4,16,m,G,39,50.047439844110514,N
6,9,m,L,56,54.55273531036657,N
21,11,f,wood,29,49.99813866306224,N
16,7,m,G,20,61.55778288217277,y
21,15,m,G,17,70.97915176346362,N
20,12,m,G,69,60.345839515608645,N
20,14,m,wood,58,102.1277096308298,N
4,14,f,G,28,64.75519657914506,N
19,14,m,G,62,53.25761532317844,N
6,11,f,G,4,97.01270867676122,N
17,16,m,G,65,41.66064916851856,N
2,7,m,G,63,11.851189221274481,N
15,3,f,L,49,72.78671272213161,N
20,10,m,G,9,82.60614192296886,N
6,14,m,G,71,80.22282586697881,N
5,6,m,G,37,69.6988309595312,y
3,8,m,G,69,58.23044700157807,N
10,5,m,G,56,56.0897332067293,N
12,8,f,G,59,77.30760671437146,N
10,6,m,G,16,67.96028104566683,N
15,5,m,G,72,61.37505626162181,N
1,7,m,G,41,82.81337223474019,N
4,6,f,G,5,86.83881713393289,N
8,5,f,G,10,77.97502557669526,N
22,16,m,G,11,73.75476226636853,N
8,10,f,G,44,52.88437326694323,N
8,8,m,G,72,44.816285648341534,y
22,13,m,L,3,82.14501202522115,N
11,6,f,G,2,78.49460923812373,N
18,16,f,wood,42,39.329327608028734,N
13,9,m,G,9,56.74427838289653,y
17,11,m,Q,6,51.332555863896694,N
4,16,m,G,3,61.714498683621514,N
8,4,m,G,59,49.368375607821875,N
20,6,f,G,67,72.45998657110779,N
15,6,m,G,46,49.71911897361976,N
7,16,f,G,12,84.01799523630092,y
19,5,m,G,49,59.04130255678352,N
12,14,m,G,36,70.73512607494015,N
6,14,m,G,2,53.34441596834604,N
3,5,m,G,3,43.7127727830773,N
2,8,m,G,28,61.37136923503,N
8,6,m,G,10,64.2286013101595,N
2,11,m,G,27,65.88706365841941,N
20,16,m,G,9,106.79770825570844,N
13,8,m,G,58,77.2653888953656,y
3,12,f,wood,76,50.098437561193975,N
10,5,m,G,65,28.478108491887696,N
11,9,m,G,26,35.93457455346717,N
13,12,m,G,16,36.87306373105397,N
10,8,m,G,76,55.937149275077175,N
20,16,m,G,49,54.2849538412069,N
3,16,m,G,22,67.17197438697254,N
4,8,f,G,28,82.94591616731468,y
11,11,m,G,28,53.695317512999544,N
2,9,m,Q,30,45.13809143268895,N
7,11,m,G,36,51.74252106062456,y
22,10,f,G,65,39.9811031013533,y
6,10,m,G,34,53.391793723044216,y
2,3,f,G,65,91.44369479378051,N
15,15,m,G,18,56.923720999174385,N
9,8,m,G,52,47.9324740993888,y
20,5,m,G,21,39.797206368083394,N
5,11,m,G,13,49.898146129980574,N
7,16,f,G,56,72.44843098216789,N
5,6,m,G,13,56.111217692637744,N
8,15,m,G,11,57.74875158232721,N
11,8,m,G,44,74.04301562418725,N
20,9,m,G,39,75.98796789771237,N
21,16,m,G,16,44.51721695754229,N
4,9,f,G,37,65.97371360646058,N
15,14,f,G,43,56.77996431494085,N
5,16,m,G,36,52.50316108576092,N
2,3,m,G,39,42.8745799155371,N
16,6,m,G,25,116.73971639988471,N
2,6,m,L,38,64.86012068702053,N
20,15,m,wood,16,63.39807273571723,N
