chimpanzee,age,sex,hammer,nuts_opened,seconds,help
5,16,m,G,16,49.55232484164884,N
5,4,m,G,4,65.21736524279817,N
2,10,m,G,51,95.80087483690075,N
16,3,f,G,26,75.1424961067967,N
8,13,m,G,2,61.204369596658644,N
11,9,m,G,21,84.7121603728904,N
3,12,m,G,69,77.58309312910058,N
9,11,m,G,29,63.743034846134854,N
5,9,m,L,55,71.98172348965088,N
13,7,f,wood,25,53.17384451057925,N
21,14,m,G,52,53.66942251168945,y
19,14,m,G,37,92.62598430689461,N
18,12,m,G,47,110.95264622900444,N
14,3,m,wood,27,58.11756570525064,N
21,10,f,G,7,46.43545084135102,N
18,8,m,G,53,39.97510698766618,N
19,15,f,G,21,42.43658923090699,N
2,3,m,G,18,66.5791829202059,N
2,15,m,G,55,67.2141495702983,N
12,5,f,L,22,41.8962941267048,N
17,12,m,G,70,104.23339339936655,N
17,5,m,G,28,67.82012076965512,N
10,14,m,G,3,26.683695920241234,y
2,9,m,G,32,66.96815349985624,N
1,12,m,G,15,86.01037851158429,N
1,12,f,G,15,96.21611073307987,N
5,3,m,G,0,101.33827937847333,N
21,4,m,G,6,59.597063885164545,N
15,12,m,G,10,68.90742676125559,N
14,3,f,G,60,85.60301707787566,N
20,13,f,G,45,61.72831819994471,N
17,5,m,G,76,113.39999232283267,N
4,15,f,G,38,73.09440997745767,N
21,16,m,G,50,94.07096660135026,y
14,14,m,L,57,57.85243603312663,N
13,11,f,G,14,56.77253640773934,N
15,6,f,wood,58,67.61592713030518,N
2,12,m,G,2,58.77904790991125,y
16,7,m,Q,65,71.79136446073487,N
8,8,m,G,0,54.983727368787996,N
6,7,m,G,62,56.357798970581925,N
16,12,f,G,38,76.76160457195364,N
8,8,m,G,45,54.68029777749718,N
3,5,f,G,21,104.65626299192743,y
4,8,m,G,43,47.74960571367283,N
21,3,m,G,66,51.25153815234006,N
1,15,m,G,58,79.94186646500972,N
16,15,m,G,34,66.79437900320511,N
20,11,m,G,32,48.065400721038955,N
4,13,m,G,69,47.17244289259524,N
10,8,m,G,26,89.05356873100898,N
1,3,m,G,35,95.11595662052999,N
7,6,m,G,4,21.440902323418435,y
17,12,f,wood,17,41.85054377208536,N
3,13,m,G,30,87.32302903853328,N
18,12,m,G,15,82.20203547693214,N
4,16,m,G,62,52.15262519009712,N
21,6,m,G,0,40.25301784978014,N
16,12,m,G,9,76.390637756774,N
20,5,m,G,32,72.40654520915932,N
17,10,f,G,38,74.42176912199102,y
7,5,m,G,59,58.09752742132737,N
12,15,m,Q,40,69.04715268864447,N
20,12,m,G,36,43.35650432923536,y
9,15,f,G,3,65.0982572621749,y
14,12,m,G,36,48.461126968643725,y
18,15,f,G,10,63.49220611537442,N
4,13,m,G,34,78.08299227711522,N
16,8,m,G,69,75.85100685606864,y
4,9,m,G,48,77.67184387286967,N
3,10,m,G,2,60.71042149079838,N
15,4,f,G,13,62.10883128579186,N
22,8,m,G,9,41.50713820186717,N
4,10,m,G,41,85.1170194719032,N
14,9,m,G,46,91.03440614699561,N
8,9,m,G,13,116.55005062080008,N
5,12,m,G,34,76.87947768606068,N
13,9,f,G,34,68.59036217149588,N
2,9,f,G,5,70.14857323314101,N
9,12,m,G,33,54.206316766396554,N
3,4,m,G,2,62.00760530468347,N
21,10,m,G,76,60.144635779883174,N
9,8,m,L,58,88.39794894049771,N
5,10,m,wood,29,73.06543307717703,N
