uuid,page_id,reader_view,running_time,adjusted_running_time,scrolling_time,num_words,correct_rate,img_width,age,device,dyslexia,education,gender,language,retake_trial,dyslexia_bin,english_native,Flesch_Kincaid,speed
5507df65-d963-43c6-9e0d-a8c375c02b6c,2-1,0,397358,640291,118028,235,0.9546163554659074,804,41.21974069384772,smartphone,0.5244046005835593,postdoctoral,0.03274442875574557,Spanish,0.4381391727075246,-0.10392182416193185,N,2.0094435517473253,44263.557567720774
8672882e-46f5-44a6-ac35-bfedb6323e69,2-2,1,16052,913687,100933,207,1.2156638550930543,1254,34.3227359744174,desktop,0.9440194224939122,graduate school,1.4019073094417114,English,0.3719978456302088,1.0764348143897118,Y,4.511735641805579,46425.26124623494
722b0462-7e9e-4278-8d36-9495f6928afb,3-1,1,407243,802626,101412,237,0.28773763660406804,824,55.21941655414548,laptop,2.122783709832505,college,1.1496023267397022,English,0.5844360924166739,0.49022104712196185,Y,1.5254272972235619,44439.61461840446
6fd65cf5-962a-4227-b24b-b2ef6f590a96,2-2,1,712004,88322,54345,329,0.8614003187585694,789,39.83148734830624,desktop,0.2755251361389329,college,0.16982393882281843,English,0.6998121806280228,0.5809326704939618,Y,3.2201643462055154,44041.79579485802
a8a7b6f7-3663-43c9-a149-88a058e52ccf,3-2,0,575855,9910,121528,345,0.5245292343536737,1381,20.42051660961183,desktop,1.9196228164728173,college,0.17212350979612334,English,0.7053450407557723,0.9902908458740701,Y,2.146550148880719,43130.03926851527
dc6fe456-3569-43f2-b793-afaf3225c316,1-2,1,333572,666915,22127,113,0.4324685433918917,1434,41.52344199998241,laptop,1.2493266204838545,high school,0.6547488744145986,English,0.8386156844705752,-0.04875422606932833,Y,2.209144627792774,48590.70409024025
2e1d768a-de6d-4d56-ba2d-acc494ec8687,2-1,0,302422,189309,102288,303,0.6456418314831063,1165,38.57415130709368,laptop,1.7217113640122634,college,0.2733516623229032,English,0.8253009767270005,-0.07691757621078388,Y,2.4944220528253584,43608.40988443748
80377a90-a6d3-4092-ad16-1615a6f024b2,1-1,1,822969,875848,11607,351,0.6477352513650888,461,44.885902074383694,smartphone,1.3968465344346845,high school,0.7061588859096138,English,0.3790010840605857,0.2741550006646427,Y,2.1414928953436823,44667.90064700778
20707557-d86f-471c-bd39-ce12b5d290c3,3-1,1,494914,156954,42295,203,0.15705340545580343,408,37.8502722353118,laptop,1.716626755655652,college,1.0297350871255007,English,0.36530314349512305,0.1756668560488534,Y,2.319925634889281,45413.58569504871
9783faf6-c2f5-4343-a86d-f6312c95f762,1-1,1,658468,442935,63574,327,0.07252245933369783,1125,43.394384153673904,laptop,0.4588247516460986,graduate school,1.4116608501919816,English,0.7071194273299426,0.5223236972512554,Y,2.1908965150256874,45726.481632624964
d77f1a0e-29fe-4341-9629-55666d082f4b,3-1,1,949383,221923,134974,212,0.6099962416042458,320,32.40402326171375,desktop,0.5024903737484525,college,1.0616059026647833,English,0.3993274921951524,0.2200285600614963,Y,-0.6038780895040383,43428.925234845185
08e0c3b1-652b-4be1-b8fb-e30789efca15,1-1,0,386657,115025,97608,149,0.9800600424859067,795,54.86801107321635,laptop,0.6016780167135363,graduate school,0.244753559565129,English,0.28307327910909375,0.7644530202581532,Y,1.5792120050357166,45552.61928088338
ad72ff21-0001-4c71-9657-91f0af317112,2-1,1,781410,500639,27641,278,0.6004081204996944,1260,25.177743976409673,desktop,0.8567304880289442,graduate school,1.386400760386055,Other,0.053857319589434904,0.29094740408564335,N,1.4782721794526845,44269.06626024508
4bf638b5-36b4-4b87-977c-dbb48a337da5,2-2,0,145553,881051,20358,136,0.4126769043264563,449,36.29902023028105,laptop,0.1694923156285424,high school,1.436075434866575,German,0.7275565273433872,0.18085021198934048,N,0.9855750313286862,38614.4600316816
f0cad925-aff5-4a6c-a8f2-4a0eaeaa248c,2-2,1,141653,423917,45375,245,0.5411624734182974,846,33.936454068832376,desktop,0.516224820327231,college,1.4516971291047556,English,0.9667097818721041,0.1520984205904541,Y,2.2008434415670135,45796.48937553481
9ad793c8-00ee-4105-85c4-5e9513b219b5,2-1,1,323442,932724,132376,286,0.34877200569524736,630,49.323223713642086,desktop,1.111007300670017,college,1.2731079484895722,English,0.20728963833559155,0.28498201409742524,Y,-0.15962373733276292,48720.02207335694
f5c14e8b-4996-4b12-b844-3d5e0f8548e1,3-2,0,931814,721687,45019,236,0.4025716327213664,400,47.46232983002693,laptop,1.015774457195741,college,0.7265915864259358,English,0.3800043518746654,0.6917878941339337,Y,1.7316127996270823,43417.75203607873
7c73f8eb-7012-45e2-b6ad-2197ba40b925,2-2,1,173042,607343,23225,319,0.1045488017303825,440,51.05313263787439,desktop,0.718263319919503,college,1.2115982980672975,English,0.7113080254761662,0.22486775920699748,Y,3.509751377260695,43572.66647517221
5fc65dc4-1722-4f54-bd65-720c734f2d00,3-1,1,404281,74354,136235,184,0.3584829416518063,570,29.323017122510677,laptop,0.3668646396785813,graduate school,0.9880842062547117,Russian,0.4070318521378158,0.6319150159108702,N,-0.30453192672759677,46354.46574712008
ea2dec1b-93f0-4fdf-abd2-49c6087d3b5b,1-1,1,44108,859022,121389,124,0.7836201953949888,723,48.05333482610258,laptop,0.8792383983695011,college,0.6663001650218924,English,0.3840342810399458,0.1953980434743216,Y,2.360677482889613,42694.37785253028
790f5896-c569-4e73-b88b-b931b27dc799,1-2,1,349340,72431,142163,326,0.6263922120553286,957,53.451067349039704,smartphone,-0.2815783290214473,high school,1.2097040670974515,Dutch,0.7393007105315534,0.11110142370298681,N,-0.6521512045567279,41980.74727149856
2e174514-6907-4570-ab73-1d42a3521a95,1-2,1,526797,905134,7466,296,0.4855821835774039,943,29.31356800299899,laptop,0.3187295177314696,graduate school,2.094339720899219,Finnish,0.5903748148541952,0.28595505757610723,N,1.7176801270463296,42435.34278628798
0111fc3b-685f-4756-9692-67ace3297314,2-2,0,963086,508570,4616,175,0.35094082606260857,626,51.16810190948373,desktop,0.9443289343930046,college,1.016975839709247,English,0.12275424168810967,0.6020753938209099,Y,2.587311135871439,43897.78567240247
e8229c81-5d49-4981-abd0-3f3478f9567f,1-2,1,1000170,956699,9742,244,0.4296362684432833,722,15.67585763171687,,0.1864279357307177,,0.7556092395648477,,0.2801666622134339,0.02711131751657253,,0.10395086123636843,46275.78283064063
4ae8593c-1ba3-42b0-9e6e-deed9cdb2161,3-1,0,440382,587481,134188,153,0.5253767082866717,520,22.289864383056283,desktop,0.9384768156556735,college,0.4563645995204849,English,0.4170953733875644,-0.30532413759862176,Y,3.6871266386998047,42338.676344769425
2ee3c271-be10-41d8-b778-9c5d7d5b6e52,3-1,1,663674,612303,91685,337,0.6558035385872647,454,32.20411245475014,laptop,0.5851945232339294,high school,1.0377229130916772,English,0.6397672353093957,0.34368764617572983,Y,1.9302982360173813,43525.75109518731
6e1bdd21-d51f-4497-a684-654edc44a6c9,2-1,1,389015,662402,73,243,0.5906607515432545,875,27.83814121922928,laptop,1.6178685662608285,graduate school,0.09910373299830644,French,0.5991485910405192,-0.18773806018295836,N,1.3184747566854957,48087.09563160499
ffecc92e-4523-43bc-881f-86a60ec0cb05,3-2,0,109150,40946,72424,381,0.7053957763210332,594,29.990576312831468,desktop,1.9312720473555598,graduate school,-0.5394598301821683,English,0.7672612039699098,0.6026256083804726,Y,1.3887693895518407,39703.728523090715
ce41ecb5-d3d6-467d-8d90-0da4db858b7c,2-2,1,929280,914038,7607,224,0.20998980861581557,1387,35.47145156859436,smartphone,1.5299622704723,college,1.5040486281255623,English,0.3720767578787052,0.2020166212008303,Y,0.12442364854334431,41644.21522001273
6111a8de-8e09-451b-b8a9-ff41d2c985e8,3-2,0,77496,89840,129146,128,0.4217672394324762,1022,32.5653111571769,laptop,1.4997471327061687,college,0.03468812129008769,English,0.49520568588828356,0.6967254138097999,Y,3.419985082212701,42855.95687046698
b8f4ca6e-e390-464a-8d7b-7e81fcf0227e,2-2,1,164499,823993,102305,180,0.4852170308365609,828,18.327365120596298,laptop,1.3276569106496683,college,1.4417751345507241,English,0.5252426808673266,0.4770461486557732,Y,1.2705193178348955,41125.184619773325
0fd5e38b-fd91-40c0-b154-d407eba53e1f,2-1,0,969057,132863,104689,281,0.6220676416296556,1212,34.25368742446299,desktop,1.5115039098934275,graduate school,1.142204053680774,English,0.531596001908503,1.1531120042455405,Y,1.071555115371285,42709.35989924652
34604f27-94d7-4af3-9b8d-7c9fa836e7cb,1-1,1,817475,280637,52481,177,0.49006136208958034,484,59.97508370928702,laptop,1.7399077583323517,high school,0.5954934906025227,English,0.6744855628307033,0.686384835384814,Y,0.18308653541650166,40889.74649519561
bdf3a343-8379-4a21-aa09-be0ea98c2e96,2-1,1,964672,773499,79783,299,0.1984007648135127,814,28.470717438260024,desktop,1.436766462218268,high school,0.9922337951631195,English,0.30217737819934176,0.7033409763191868,Y,1.2962635914596259,43694.38107257135
82997735-0e98-4a00-bcf1-f2f0aafb0705,3-1,0,297421,297753,38842,336,0.19552509092851167,658,39.76656299953537,smartphone,1.7646016835068872,graduate school,0.8280383991519467,English,0.5788539012848273,0.5641249484164242,Y,2.470398772898292,43153.044850722006
9b2ec410-aab7-47b8-a6d3-19e9c1e54d4b,3-1,0,690305,652623,28452,152,0.5533293173501158,438,36.056371971198324,laptop,1.0350403263293046,college,1.2807309967033278,English,0.5517395972849064,1.1529425593648912,Y,3.0803483992111027,42811.15543048214
43bf127a-e9f8-4553-8ed9-5bd8a1da3ac0,3-1,0,658394,919966,102847,114,0.4932419820336542,708,52.94543043491019,laptop,1.173638170078848,high school,1.3684887610684644,English,0.2895783269336454,-0.22299153438364105,Y,2.527281445892229,47172.92563956004
cef9fb15-e845-46ae-8282-8e7247078df1,1-2,0,43095,804303,7503,376,0.49172127852292574,421,26.628905550438446,laptop,1.0448877800738898,graduate school,0.9812826237180123,Russian,0.360261669392524,0.476126712385451,N,-0.08654674913552074,41668.688331650286
e1205048-076b-4e6f-a4f1-23fa25931539,1-2,0,474388,956820,840,109,0.5609754050971218,899,31.36501507727641,tablet,1.2794224660771336,college,1.47610794139573,Russian,0.7059465258463951,0.21711911812275236,N,-0.07076390423676826,45093.75602359744
86fc00ec-2ecf-4b13-b031-7de5b98c4716,1-1,1,803252,566955,92232,256,0.4438997329848464,1069,37.60393189441534,smartphone,1.1256282793960053,college,1.2438368715237047,Dutch,0.35112455969367107,0.5166678684898152,N,0.3752468264895539,43928.02208114116
f5c14e8b-4996-4b12-b844-3d5e0f8548e1,2-2,1,542254,276741,52525,142,0.9046215095210388,705,22.345869793139286,laptop,-0.22601574378260136,college,1.9476368883774096,English,0.6073876874175148,0.8436218040481307,Y,1.5287688233645689,45536.72014469872
399592be-b15a-4ab2-bd28-0a210fefea30,3-2,0,433990,290383,27091,356,0.7291800984601402,1331,41.70465286846743,laptop,1.449580456046514,graduate school,0.3968440108151844,English,0.6846191509082281,0.04640838011056486,Y,1.9185541507718749,44776.66981494563
ee53e6ab-48ea-4636-8141-e636a103cbb5,2-1,1,196150,960261,45838,203,0.37931739112253776,471,42.4107551803197,laptop,1.0008526788175265,high school,1.0214389180187569,English,0.4875211923143657,1.021217294964847,Y,3.7138717514300534,46822.6006269756
cea04555-57d4-4edf-9198-e8aa302bc070,3-1,1,539251,585360,96404,228,0.3095214058428617,944,28.08759132411328,laptop,1.126388446050116,college,0.7289368951114266,Dutch,0.35703779279927866,0.7321041579717432,N,3.1317419673767306,46450.01682551064
154c0760-9c47-435f-8335-5f1178d12e46,3-2,1,404571,626554,23463,129,0.7837751456688784,805,54.42655572665729,laptop,2.384845445555454,college,0.8996826608506049,English,0.46386699053723024,1.0599835233580526,Y,1.3031618062541044,43071.68844682371
cc6bb97b-148a-434d-86be-1a4b7c05363f,3-1,0,568428,960232,135855,293,0.5346074497726967,709,29.862638336912738,tablet,0.26090603644854093,high school,0.6275609486064198,English,0.568278068150331,0.036012437769016914,Y,-0.09016908574549598,47187.672408984974
8e023aef-67dd-4d6b-bcf3-b12c776379b4,3-2,1,360879,995877,46525,127,0.8521635152970398,851,35.73521756066806,laptop,1.2848572566095426,pre-high school,0.38589604787187426,English,0.6536109860633286,1.180251541904843,Y,1.9685705263801194,42456.916615449976
d816358d-20fb-48cc-8597-6ce3578251dd,2-1,1,454344,444643,92285,335,0.6165790971442918,414,41.64342522100987,desktop,1.0406001108903657,high school,1.5356222330891196,Norwegian,0.15716009048889445,1.1123114577466238,N,1.1159075695854488,40393.331377548
902669eb-08bc-4e32-8e29-a4c99c57072b,3-2,1,104493,406269,112509,356,0.5029851604605652,967,25.00164329725867,laptop,1.0929167677778129,graduate school,0.4548789799204548,English,0.7611288589703438,0.5177003669526978,Y,2.3501131293392,46040.13232236986
96b2dfab-22c0-43b4-8799-2c759dd9163e,2-2,1,879002,548869,99385,194,0.49928478249957847,1103,43.57969297247088,desktop,1.004135173474891,college,0.8986253431332413,English,0.5510473284603131,0.08737706498661651,Y,0.976806743332124,43278.359535006115
ffecc92e-4523-43bc-881f-86a60ec0cb05,1-1,1,558906,543498,73808,146,0.5369349104379979,370,16.449536718573,desktop,0.50307911101329,graduate school,1.145979023852133,English,0.3461655357483904,0.4573778390845455,Y,1.8527974817297237,42742.70522674497
4bf66c16-79cf-49d3-a150-110237af0243,1-1,0,219911,841449,46048,118,0.7572569981518817,400,29.044605998682336,desktop,0.5961669996826022,high school,0.46319317078868394,English,0.3474100935328591,-0.16997109383372955,Y,3.5475764448776927,45310.26375759154
01793098-f0e2-4ef8-a0eb-706a0584332d,2-2,1,393378,556661,37056,280,0.8821722674078467,773,38.04004335907249,desktop,1.1936875710300128,graduate school,0.4852171638326218,,0.5955330662974246,0.6174722410664375,,0.47005796935304267,44424.10553924993
e3e994b5-c070-4cf7-941a-e2cf1f64f510,2-1,1,990637,413107,86162,182,0.44646035057398475,817,39.85057788378516,desktop,1.4280414251647786,high school,0.28548940168420256,English,1.040081254607074,0.6448623553602769,Y,2.3781168640365333,43399.67206379952
c2a8d24d-9630-4151-8175-0b42eb1aa9ec,3-1,0,619996,262512,99224,300,0.48624480311418017,1141,39.21481077260018,smartphone,1.206387981757381,professional school,0.8244579100475906,,0.43978585073835025,0.5323020444650973,,3.706676911434578,43023.76744609433
a1f22d02-0b2f-4c57-8736-0957dd153f8d,3-1,1,808001,552073,83092,150,0.41902309611531097,540,17.225281288619943,laptop,0.32545262048076073,college,2.0127833196568323,Dutch,0.25565911253087137,0.3506685067902106,N,0.10572527618056293,42122.12347674517
643a52f5-884d-44a3-8591-97c7af7f8357,2-1,0,605043,971198,76134,304,0.657694254133061,716,24.16025122572568,smartphone,0.00539321172573326,graduate school,1.7041464199850669,,0.6398144324892594,0.6561897200048976,,3.9377701195259975,45251.84137484583
722b0462-7e9e-4278-8d36-9495f6928afb,2-2,0,693040,827926,34349,158,0.6919048844026071,898,43.02297294706543,laptop,0.2069758653196232,college,1.3206267203006328,English,0.17423687254993997,0.42628383877125997,Y,3.2800640260250917,46444.65578586636
9861dbfe-d228-40ed-9c0b-ad0a8866adfc,2-1,0,51276,116485,22881,229,0.37826578716205594,1083,41.732912899986204,desktop,0.7965482594831131,college,1.1930222001644855,English,0.3619072105766493,1.0729860306782466,Y,2.113658688563409,40589.854359278754
475f8bb1-e661-4dea-af87-86ca2a261e7f,2-1,1,781418,712555,134648,362,0.25938272139961827,628,39.16064537341144,laptop,1.2143949278907953,high school,1.1470599831500838,German,0.6928294000775189,0.5989688554023005,N,0.3931778455433306,44739.81084463341
f74db555-3110-484a-bdc4-b09f6cf1c720,3-1,1,139631,584756,40623,123,0.7129361835306889,1193,46.210047148936646,laptop,-0.3207073578648516,college,0.8928216701076055,English,0.5612710308084291,-0.4064080992933793,Y,3.178098446695855,45174.254159044205
a17c35a2-ade1-4a79-a19e-5aa8093af1f0,2-2,0,56039,675864,16750,303,0.6949574982706194,1047,42.30082962628587,desktop,-0.30044351355681753,high school,1.0952214281157464,English,0.5359683308077515,0.9378564490969403,Y,0.5659707276112924,45603.94721632681
0d84e944-f2f1-4a68-8fc5-719111349ddd,3-1,0,390428,785408,88174,262,0.6184329913747467,697,22.472565270342876,,1.1608475271191416,,0.47530198680747937,,0.5725903820519089,0.6227257726937754,,-0.28601337947285677,45601.09098862861
10497147-ea3a-43a2-8c1d-61e871fbe21a,2-1,1,39617,727286,18031,315,0.600256883852082,335,32.02695063281452,,0.1481417332556515,,0.46599386353665606,English,0.716068797892785,0.4654579908545653,Y,0.1505178402954206,45371.43313269653
c5f16c37-1a33-4562-9996-0f8262566ab2,2-2,0,380122,1017643,62259,198,0.43682558879404304,1135,49.62891184940818,smartphone,0.661485556859281,college,1.8847554672752636,English,0.6069437828439054,0.6240569647030445,Y,1.5243921486760892,42959.287251823276
