rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
158,no,37,female,more,3.3023682494522317,0.9451151618356927,upper,yes,yes,76,15,14
231,no,41,male,more,2.187801858399931,1.4141986092265135,lower,yes,yes,220,182,55
409,no,44,female,more,1.9851078343713418,1.0462408108099528,upper,yes,yes,301,532,6
311,no,44,male,more,1.3632898125286301,1.3100287486974869,lower,yes,yes,54,398,12
98,no,30,female,more,2.363527805203473,0.8296114829938593,upper,yes,yes,67,263,61
202,no,63,male,more,2.478431914713023,1.2078327645901026,upper,yes,yes,374,65,7
31,no,29,female,more,1.8173952562948772,0.6818843630708317,upper,yes,no,128,436,83
370,no,33,female,more,0.8723936028577939,1.019490937070756,upper,yes,no,48,221,64
163,no,49,female,more,-0.37314668142350493,1.6667612968992678,upper,yes,yes,20,203,70
180,no,46,female,more,2.2096229322724827,1.5973261708687478,upper,yes,yes,263,199,86
92,yes,50,male,more,2.119917927358275,1.6151994896249027,upper,no,yes,319,426,93
302,no,33,male,more,1.7083986646213773,2.351190091211104,lower,yes,yes,363,49,6
63,no,47,male,more,0.5859898094975144,1.4828524178962248,lower,yes,yes,203,148,49
32,no,35,male,more,1.8059304365427007,0.8626914930817793,lower,yes,yes,73,74,37
189,yes,68,male,single,1.342627991564986,1.655815002246344,lower,yes,no,80,98,33
241,no,49,male,more,1.3608481960118144,1.4829532208732177,upper,yes,yes,374,515,74
343,no,72,male,more,0.5680543696346523,1.2086851791521163,upper,yes,yes,97,541,38
379,no,64,male,more,1.4436932117996946,2.383151066684211,upper,yes,yes,352,161,63
71,no,41,female,more,1.9939840295758604,1.5593416916375624,upper,yes,yes,253,540,46
441,no,34,male,more,1.6629928715553797,2.0183060809056332,upper,yes,yes,225,398,81
449,no,70,female,more,1.5168543268646668,2.0654413623129715,upper,yes,yes,20,55,1
460,yes,63,male,more,2.029983655874389,0.8585876463275258,upper,yes,yes,70,330,45
404,no,61,male,more,0.779402796719837,2.134926651320123,lower,no,yes,374,446,26
214,no,33,male,more,1.9019150737009107,1.1722859535385335,lower,yes,yes,13,236,66
121,no,52,female,more,1.2383987351513703,1.5084195315932516,upper,yes,no,28,288,71
393,no,65,male,more,1.750475216687125,1.4659548438340706,lower,yes,yes,337,35,53
190,no,53,female,more,1.4625901907294816,2.4365152687001044,upper,yes,no,303,467,55
402,no,59,male,more,2.869767065573802,1.2659217243209826,lower,yes,yes,28,543,75
217,no,44,male,more,1.5129668278665431,1.526552853139861,upper,yes,yes,317,491,12
294,no,62,female,more,2.0926046827738594,1.1306074879240695,upper,yes,yes,230,251,93
84,no,54,male,more,1.167919195587071,1.5639522489246585,upper,yes,yes,101,414,45
408,no,42,male,more,2.6486670703195667,0.9884358150853076,upper,yes,yes,239,212,22
57,yes,32,female,more,0.9261046693268438,1.7853488734374772,upper,no,yes,277,92,91
361,yes,31,female,more,1.2005791454659815,1.2498895941598331,upper,yes,yes,260,480,27
380,no,67,male,more,0.7170925447170071,2.0768368363447007,upper,yes,yes,359,321,75
212,no,59,female,more,1.0797978988939683,1.3086794078136985,upper,yes,yes,150,349,35
29,no,60,female,more,1.9102937902999049,0.9465589150014153,lower,yes,no,98,67,40
196,no,43,male,more,2.5125211008160777,2.3364613917691535,upper,no,yes,233,537,7
160,no,42,female,more,1.7547435322905143,1.6172723419687376,upper,yes,no,94,485,23
322,no,45,female,more,1.0047271012172154,0.8909554281425156,upper,yes,no,158,499,20
303,no,55,male,more,0.38566924771102085,1.536841949621448,lower,yes,yes,327,127,32
89,no,42,female,more,1.5119521285439457,1.676684654974966,upper,yes,no,11,283,51
267,yes,47,female,more,1.6731292920849699,0.9578280292031982,lower,yes,yes,286,146,26
308,no,41,male,more,1.832579542228764,1.410466545884531,upper,yes,no,295,224,11
209,yes,59,female,more,1.1866347057079745,1.5782499786552437,lower,yes,yes,140,240,78
160,no,39,female,more,2.8439378475990513,1.8642318500412256,upper,yes,yes,288,198,63
20,no,40,male,single,1.2134072108402305,0.6126021234343981,lower,yes,yes,159,54,22
307,no,58,male,more,1.6412166293367954,1.6347307406340157,upper,yes,yes,277,266,11
426,yes,65,female,more,2.2023540491881617,1.207996428032992,lower,yes,yes,256,22,7
106,no,43,female,more,1.9384034495895206,2.0530347806332854,upper,yes,yes,251,518,69
390,no,61,female,more,0.9311851820267333,0.33296366458741367,upper,yes,yes,254,83,85
215,no,55,male,more,2.0364803182107165,0.4820542063296418,upper,yes,yes,218,224,86
46,no,40,male,more,1.649808488438721,1.764766745523495,upper,yes,no,239,29,33
440,no,32,female,more,1.4201100045895698,1.3885460184611076,upper,yes,no,238,66,62
307,no,52,male,more,0.04799184150030977,1.2577674281046325,lower,yes,yes,38,170,87
250,no,43,female,more,2.4882144847482963,1.1361254369934544,upper,yes,no,256,108,20
268,no,64,male,more,3.2065705808158596,0.9233177925913248,upper,yes,yes,174,340,30
401,no,54,male,more,0.24634303357387854,1.318661041070872,lower,yes,yes,41,286,15
428,yes,29,female,more,1.0910504757067025,0.7557430579962561,lower,yes,yes,203,462,70
116,no,57,male,more,2.4228184853864256,1.1995427114244832,upper,yes,yes,181,369,5
452,no,64,male,more,1.6084760631400774,1.171890180921206,upper,no,yes,154,277,1
301,yes,61,female,more,1.8043348471936587,1.7617542809567697,upper,yes,yes,203,285,79
191,no,52,male,more,1.6694811934534002,1.0129515601860604,upper,yes,yes,196,331,44
41,no,35,female,more,1.0575155177218032,1.1759138848855626,upper,yes,yes,21,542,34
440,no,67,female,more,0.6196756304173021,2.117812908811306,upper,yes,yes,219,444,60
29,no,64,male,more,1.730581011381539,0.4121549727175031,lower,yes,yes,253,352,38
94,no,33,female,more,1.9845386905112845,1.3939880214208324,lower,yes,yes,150,106,48
417,no,70,female,more,1.1375569485846788,1.1368581892025984,upper,no,yes,324,537,61
176,no,71,male,more,2.267958151244935,0.7398064957443761,lower,yes,yes,217,285,37
380,no,31,male,more,3.116661997160847,1.6883628513466074,lower,yes,yes,253,117,27
362,no,49,female,more,1.6165693149256575,1.0632156533934978,upper,no,yes,248,319,75
50,yes,47,female,more,1.9118303169039153,1.3981064939451742,lower,yes,yes,284,577,47
244,no,50,male,more,0.5776063637259492,1.1901354632113406,upper,yes,yes,5,449,8
371,no,61,male,more,0.8503395696494687,1.8537267135427826,lower,yes,no,204,338,63
128,no,67,male,more,1.7148040221200946,1.746435966916671,upper,yes,yes,150,324,50
208,no,55,male,more,2.130024638237714,2.4312418269876868,upper,yes,yes,147,463,12
180,no,66,male,single,2.529862931126251,1.7574514967897563,lower,yes,no,106,180,57
212,no,51,male,more,1.4046447594450373,1.120583837040636,lower,yes,yes,126,62,23
6,no,38,male,more,1.0089783269541628,0.9359266178887643,upper,yes,yes,376,332,78
142,no,72,male,more,3.1283965039795882,1.3814374273439591,upper,yes,yes,353,430,8
162,no,44,male,more,1.2900551232429256,2.1536758103252747,lower,yes,yes,227,210,72
126,no,55,male,more,1.710972359191585,1.4297593783569793,upper,yes,yes,205,334,63
298,no,43,male,more,1.503414758350312,0.9747830248376064,lower,yes,yes,299,434,54
49,no,31,female,more,2.757323706816681,2.289313318674686,lower,yes,yes,173,25,68
341,no,69,female,more,0.12381599077303584,1.1915734286913886,upper,yes,yes,118,383,26
195,yes,61,male,more,1.2953337626337607,1.6040906223766351,upper,yes,yes,327,99,56
435,no,45,female,more,2.7358684506493987,1.1179739921884506,upper,yes,yes,115,142,85
452,no,70,female,more,1.9610590513135175,1.587130821470499,upper,yes,no,162,420,26
293,no,45,male,more,1.2995790317100462,1.6205591638000096,upper,yes,yes,93,200,22
25,yes,32,male,more,2.015583713407448,1.410413423903788,upper,no,yes,340,49,30
216,no,58,male,more,1.5617299541965357,1.4278570149459868,upper,yes,yes,182,54,6
36,no,53,male,more,2.5712552321512767,0.8921476330045632,lower,yes,yes,84,569,14
190,no,29,male,more,1.1923139024287133,1.0585383770175947,lower,yes,yes,364,37,19
