rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof
386,no,34,female,more,2.0529024395782534,2.2165096683286993,upper,yes,yes,309,209,61
315,no,39,male,more,2.0952404451934163,2.1243803205604226,lower,yes,yes,248,285,76
167,no,35,female,more,0.6161217251553661,2.102086719523156,upper,yes,yes,252,410,69
396,no,73,male,more,2.812883859509428,1.7501194475511188,lower,yes,yes,245,475,13
11,no,71,female,more,1.0187771413334523,1.4422997591027684,upper,yes,yes,181,15,94
327,no,48,male,more,2.991564199299701,0.3760453570718907,upper,yes,yes,212,399,25
52,no,51,female,more,1.2638574975830936,1.9190667871990676,upper,yes,no,294,159,77
88,no,36,female,more,2.0562211293143933,1.6067439914679562,upper,yes,no,5,232,28
310,no,59,female,more,2.86519090660051,1.1620722591044983,upper,yes,yes,270,459,48
114,no,44,female,more,2.7193788472568654,1.5126837994226585,upper,yes,yes,62,532,15
442,yes,53,male,more,1.5856709845229096,1.1048944625625938,upper,no,yes,358,472,16
448,no,44,male,more,1.8958584155185536,2.22038891715476,lower,yes,yes,147,356,5
129,no,41,male,more,1.8816096678883643,0.6204570556096588,lower,yes,yes,11,74,69
126,no,44,male,more,0.4191675587740189,1.8628486516043434,lower,yes,yes,213,284,81
256,yes,32,male,single,2.9099684445831535,2.507910222497383,lower,yes,no,203,207,25
174,no,57,male,more,2.2887184295906904,1.3980304027518224,upper,yes,yes,149,529,34
365,no,54,male,more,1.2514643671539503,1.461490461328807,upper,yes,yes,140,69,86
1,no,31,male,more,2.9766086338448425,1.8148178881612345,upper,yes,yes,212,458,84
431,no,35,female,more,1.3905090982149348,2.020595799910008,upper,yes,yes,74,403,37
439,no,57,male,more,3.3966537575539992,0.41140407113795896,upper,yes,yes,228,159,93
22,no,64,female,more,1.3095777576138155,1.4419589960960153,upper,yes,yes,221,270,20
220,yes,67,male,more,3.0085697934582094,0.3969276876511829,upper,yes,yes,69,241,9
40,no,65,male,more,1.8439792214695212,1.3087607378804644,lower,no,yes,179,452,26
273,no,57,male,more,1.9437825883629527,2.3720479696640995,lower,yes,yes,374,10,28
235,no,52,female,more,0.9785137426487721,2.0408733235347887,upper,yes,no,350,535,29
94,no,69,male,more,2.3927869873339267,1.0796788820712406,lower,yes,yes,303,501,41
85,no,65,female,more,1.8474897122174743,1.1073056048156724,upper,yes,no,36,320,42
116,no,50,male,more,2.057739013752408,2.4501882334144214,lower,yes,yes,304,482,16
417,no,44,male,more,2.5280812351016775,1.7549139327411938,upper,yes,yes,212,175,67
89,no,65,female,more,0.3371532396736103,0.6725148314920903,upper,yes,yes,308,281,73
50,no,61,male,more,1.1660241520586316,1.4986611942094605,upper,yes,yes,328,31,73
349,no,61,male,more,2.292715607089797,0.8158091997758808,upper,yes,yes,65,293,85
323,yes,43,female,more,0.8140205694639746,1.6769333376055113,upper,no,yes,257,365,29
263,yes,54,female,more,1.906646070990187,0.8867698399327488,upper,yes,yes,273,289,13
323,no,62,male,more,0.5313368972981947,0.8363523600115934,upper,yes,yes,85,86,13
274,no,45,female,more,3.6034393392137174,1.5880214455770305,upper,yes,yes,277,128,12
152,no,63,female,more,0.23671048723839316,1.4261296230440326,lower,yes,no,185,308,11
459,no,48,male,more,2.367064731897752,2.005897413103147,upper,no,yes,60,368,16
269,no,63,female,more,1.5814939622375561,1.519742260395629,upper,yes,no,258,453,44
252,no,57,female,more,1.7190827047436217,1.117605165860649,upper,yes,no,255,65,42
309,no,58,male,more,1.5720733279995285,0.9954313091697637,lower,yes,yes,49,270,65
278,no,46,female,more,2.0413645869616115,1.6083313219737774,upper,yes,no,258,506,89
145,yes,65,female,more,0.5277931241524736,2.1628302344872226,lower,yes,yes,179,540,90
182,no,47,male,more,1.2833390007711425,2.2298476854288634,upper,yes,no,66,414,79
21,yes,47,female,more,0.8988978322187346,1.8608995390809209,lower,yes,yes,179,163,33
411,no,58,female,more,2.587848927317527,1.5986415422615632,upper,yes,yes,247,565,52
162,no,43,male,single,2.6763830752026356,0.10489553124628581,lower,yes,yes,312,564,28
385,no,69,male,more,2.8654829461432456,1.2135409551778822,upper,yes,yes,110,416,81
311,yes,63,female,more,1.669026165424652,0.4473800967415116,lower,yes,yes,180,232,31
230,no,33,female,more,1.0252395330124437,1.8887501806627434,upper,yes,yes,358,81,30
335,no,48,female,more,0.6705522607945293,1.4477621167432906,upper,yes,yes,97,468,83
84,no,68,male,more,2.8315196548228725,0.7757857278926983,upper,yes,yes,121,504,10
360,no,37,male,more,2.5899997960250953,0.7536185451160637,upper,yes,no,277,156,24
146,no,64,female,more,2.3899044806899052,1.0124652864830195,upper,yes,no,47,183,75
252,no,45,male,more,1.277408737908361,1.8023674180905807,lower,yes,yes,77,31,10
361,no,46,female,more,1.74845524373001,1.2287145611684491,upper,yes,no,74,98,89
448,no,43,male,more,0.9706499818939185,1.5362736524508425,upper,yes,yes,327,447,3
44,no,36,male,more,1.6706922225592895,1.2052015207857159,lower,yes,yes,167,312,10
349,yes,49,female,more,0.4768142170601626,1.3055205014023457,lower,yes,yes,56,275,2
431,no,48,male,more,1.7373760878876947,1.6917347514569885,upper,yes,yes,345,70,84
302,no,38,male,more,2.072368284794394,1.168501060732854,upper,no,yes,133,304,37
301,yes,46,female,more,1.2013092925305675,1.1390574874692203,upper,yes,yes,76,339,90
264,no,43,male,more,1.4843505959882708,1.0516314932345185,upper,yes,yes,259,498,68
230,no,60,female,more,0.23068415129522624,0.8085358129284307,upper,yes,yes,249,516,31
416,no,52,female,more,1.2931450601263217,1.3947900284756813,upper,yes,yes,137,277,31
363,no,64,male,more,0.30426847978740534,2.8156292163665455,lower,yes,yes,165,138,20
314,no,67,female,more,2.4281610577827624,2.7686125683436265,lower,yes,yes,20,196,51
356,no,35,female,more,2.028187682410558,1.2240116296737262,upper,no,yes,185,25,61
409,no,33,male,more,1.9713332509576027,0.8551119922218806,lower,yes,yes,6,109,86
53,no,40,male,more,1.530893306987588,2.1022752719020317,lower,yes,yes,268,87,52
392,no,62,female,more,2.855792760110017,1.116509925637267,upper,no,yes,292,11,47
310,yes,56,female,more,0.9696489452030442,1.3246716596288055,lower,yes,yes,52,335,91
38,no,51,male,more,1.6953062265789833,1.5374198104332564,upper,yes,yes,330,340,87
315,no,67,male,more,1.3166816449606356,1.0974904349324164,lower,yes,no,29,261,4
414,no,64,male,more,2.3918016500494255,0.6106810005886819,upper,yes,yes,213,330,82
9,no,39,male,more,2.0454274415441374,1.4927034989005692,upper,yes,yes,329,122,41
296,no,64,male,single,2.566778149079119,1.1177084500275312,lower,yes,no,41,242,39
4,no,63,male,more,-0.11808832473271846,1.2093372463310021,lower,yes,yes,120,299,24
223,no,31,male,more,1.6560771633515419,1.6833726440602332,upper,yes,yes,373,494,44
215,no,52,male,more,2.2853295882851645,1.1783024816793675,upper,yes,yes,75,143,16
268,no,40,male,more,3.7958066178004577,0.6595950887479823,lower,yes,yes,92,292,81
427,no,48,male,more,2.365813308215673,1.0210422847618565,upper,yes,yes,105,431,64
456,no,40,male,more,1.1716853549587438,1.1512391703876719,lower,yes,yes,177,173,79
54,no,29,female,more,1.640264897286445,1.5238241392915792,lower,yes,yes,349,41,46
150,no,69,female,more,2.282797925770988,1.379404126941603,upper,yes,yes,21,347,72
190,yes,60,male,more,1.1230064526804489,1.0122001582383433,upper,yes,yes,12,90,18
202,no,66,female,more,1.7953762454213222,1.104872369009405,upper,yes,yes,212,366,44
250,no,66,female,more,0.6779055912805338,1.2184104329448946,upper,yes,no,31,116,48
365,no,65,male,more,2.3733353882024275,0.49363989162387467,upper,yes,yes,10,314,66
424,yes,44,male,more,1.9139908560704644,1.9818002365758844,upper,no,yes,33,8,92
133,no,51,male,more,1.4952340785561193,0.7138897835188622,upper,yes,yes,355,512,39
319,no,49,male,more,0.42154957229823786,1.177528000263713,lower,yes,yes,114,354,92
188,no,52,male,more,2.6957741637038835,1.757714438106613,lower,yes,yes,338,211,89
359,yes,31,female,more,2.6273848270390596,0.5224998858816076,lower,yes,yes,170,125,64
155,no,37,male,more,0.6762658908328378,2.2309321086266882,upper,yes,yes,326,410,32
21,no,34,female,more,0.8958898181846019,1.2376920927653943,upper,yes,no,17,412,62
154,no,60,male,more,1.2810293548416607,0.6408880441134039,upper,yes,yes,185,77,40
170,no,55,male,more,1.9974824493342662,2.204877354865019,lower,yes,yes,89,61,62
171,no,58,male,more,0.3745308422446212,0.99424057743057,lower,yes,yes,224,548,17
227,yes,68,female,more,0.3379571679949356,1.9326549666101722,upper,no,yes,36,74,16
11,yes,41,male,more,1.9376364468928793,1.006770122149383,upper,no,yes,239,276,89
205,no,33,male,more,2.6598323783659126,1.3249682481595846,upper,yes,yes,86,552,30
232,no,67,female,more,1.880409522370327,1.066833026819629,upper,yes,no,147,366,78
166,no,68,female,more,0.9691734473884823,0.5646137826842931,upper,yes,no,88,443,18
421,no,39,male,more,0.8508846045805525,2.3461202201481726,upper,yes,yes,367,85,46
35,no,46,male,more,1.8655307888624695,2.127113562847721,upper,yes,yes,351,96,8
111,no,61,male,more,1.383124895028757,1.044633686522884,upper,yes,yes,27,200,43
81,no,57,female,more,1.868850992936522,1.479115307159462,lower,yes,yes,216,124,50
168,no,46,male,more,0.13377116470582084,2.2408112963063034,lower,yes,yes,311,572,14
272,no,47,female,more,1.1891959006394575,0.5358252133279622,upper,yes,yes,296,68,73
313,no,66,female,more,1.8382266835640915,2.5081589537675617,upper,yes,no,119,68,37
109,no,47,male,single,1.8390138062713928,0.5901605864967593,lower,yes,no,78,106,55
172,yes,70,male,more,0.47642448169288754,1.561077675028031,upper,no,yes,45,31,20
279,no,40,male,more,2.067758189724889,1.9392106300025154,upper,yes,yes,159,114,24
428,no,49,female,more,1.2696957843265413,1.175636191444483,upper,yes,no,12,240,73
180,yes,30,male,single,1.5802031130277503,1.0694658154006307,lower,yes,no,338,103,76
80,no,33,male,more,1.764965813440857,1.5764878920506191,upper,yes,yes,161,156,67
34,no,44,male,more,1.1375420285078024,1.579402419193483,upper,no,yes,159,509,88
42,no,50,female,more,0.4054093707974693,0.7346588132226309,upper,yes,yes,326,186,37
153,no,48,male,more,0.884196979171691,1.6605545118312115,upper,yes,yes,122,348,27
