rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,m_focal,num_words,income,county,nExp,leagueCountry,n_focal,dyad,help
547,0,male,10,1.5,yes,3,14,5,3,4,383,8.977999687,Stanislaus,7974.0,Spain,5,5,N
1846,0,male,10,0.417,yes,4,14,6,5,2,106,10.26399994,Riverside,3351.0,England,5,4,N
1575,0,male,7,10.0,yes,3,17,5,4,3,120,18.32600021,Sacramento,3011.0,England,10,6,N
400,0,male,9,15.0,yes,4,14,6,4,3,166,22.86333466,Sutter,7974.0,Germany,6,5,N
857,3,male,13,1.5,yes,4,16,1,5,2,324,11.48294449,Shasta,7974.0,Spain,5,5,N
1234,0,female,6,15.0,yes,2,20,1,5,2,145,10.03499985,San Bernardino,550.0,Germany,10,4,N
50,0,male,5,7.0,yes,4,18,1,4,4,324,12.50199986,Stanislaus,1938.0,France,10,5,y
204,0,male,7,15.0,yes,5,17,5,4,2,145,10.05049992,Mendocino,1897.0,France,10,4,N
403,0,male,7,0.75,no,3,18,6,4,4,383,12.54988289,Monterey,3011.0,Germany,6,1,N
1473,7,male,10,15.0,no,2,14,6,4,3,166,10.09799957,Sonoma,1897.0,Germany,13,7,y
277,7,female,6,4.0,yes,1,14,1,5,2,383,10.62899971,Nevada,7974.0,Spain,5,7,N
597,7,female,12,15.0,no,4,20,6,3,4,145,9.972000122,Tulare,7974.0,Germany,5,8,N
543,0,female,5,1.5,no,2,12,3,3,3,324,17.70899963,San Diego,562.0,England,5,5,y
1831,1,female,7,15.0,yes,5,14,6,3,2,383,14.48333263,Nevada,7974.0,Germany,5,3,N
1590,0,female,11,15.0,no,3,16,1,3,4,166,14.57800007,Kern,6121.0,England,10,5,N
1063,0,male,10,15.0,yes,4,17,6,5,2,166,12.74914265,San Diego,46916.0,Germany,5,4,N
162,0,male,11,10.0,no,2,14,1,3,2,106,12.875,Santa Barbara,606.0,France,5,6,N
961,0,male,9,7.0,yes,4,17,1,5,4,106,7.385000229,Placer,119.0,England,5,5,N
865,2,female,9,0.75,no,1,20,6,2,2,145,13.40511703,San Benito,1897.0,Germany,6,4,y
439,0,female,8,0.75,yes,2,16,3,3,2,106,13.39000034,Merced,46916.0,Spain,10,4,N
11,0,female,7,4.0,yes,2,17,6,4,2,106,16.27199936,San Diego,69.0,Germany,5,3,N
1791,0,male,10,1.5,yes,4,17,5,4,2,166,16.27199936,Tulare,46916.0,England,10,4,N
1057,0,male,5,15.0,yes,5,14,3,5,2,324,6.577000141,Sonoma,5621.0,Germany,5,4,N
1941,1,female,6,7.0,yes,2,18,1,5,2,324,18.29838943,Sonoma,1938.0,Germany,10,5,N
1585,3,female,9,4.0,no,4,20,2,5,2,145,18.32600021,San Bernardino,7974.0,England,13,1,N
1131,0,male,7,4.0,yes,3,18,6,5,3,106,11.33250046,Inyo,119.0,France,13,4,N
378,0,female,7,0.75,no,1,14,5,3,3,166,13.71199989,Kern,550.0,France,10,5,N
667,0,male,7,15.0,yes,4,14,5,5,2,324,15.17700005,Sonoma,3011.0,Germany,10,3,y
1460,1,female,9,15.0,yes,4,14,4,4,3,166,14.65299988,Nevada,46916.0,England,13,4,N
1916,0,male,13,15.0,no,3,20,3,2,2,324,13.76200008,Los Angeles,3011.0,France,5,5,N
1938,0,female,9,1.5,yes,3,14,5,3,4,324,18.62599945,Kings,3011.0,France,5,5,N
779,2,male,7,7.0,no,2,18,3,3,3,145,9.630000114,Imperial,7974.0,Germany,6,5,N
416,0,male,8,1.5,yes,4,12,3,5,2,324,9.781000137,Riverside,562.0,Germany,5,6,N
1130,0,female,8,1.5,yes,1,17,3,4,2,324,13.57900047,Madera,7974.0,England,5,1,N
903,0,female,7,1.5,yes,4,14,5,4,2,145,25.4873333,Merced,1897.0,England,5,4,N
43,0,female,5,4.0,yes,5,20,1,5,2,324,14.29829979,Siskiyou,1121.0,Germany,6,5,N
648,12,male,10,0.75,no,2,20,6,5,3,383,10.20199966,Placer,1895.0,Spain,6,1,N
834,3,male,8,15.0,no,4,12,4,5,2,324,10.09799957,Siskiyou,1897.0,Germany,6,5,N
1940,0,male,12,10.0,no,4,14,5,5,4,106,14.57800007,Humboldt,7974.0,Spain,5,5,N
1207,0,female,9,15.0,yes,2,18,5,5,2,166,19.99699974,Kern,46916.0,Germany,10,5,N
