lunch,read,calworks,teachers,math,english,students,school,computer,county,grades,income,rownames,district,expenditure
146,70938,Liberty Elementary,Los Angeles,KK-08,342,18.20000076,4.039500237,10.12660027,307,5179.411133,25.73699951,0.1694915295,639.9000244,654.0
335,66787,Bennett Valley Union Elementary,Siskiyou,KK-08,1962,13.69999981,21.5189991,80.92489624,114,4276.115234,12.43099976,15.33670712,646.0,656.7999878
176,71654,Lemon Grove Elementary,Kern,KK-08,3401,117.8000031,10.4847002,39.84870148,10,4260.306641,18.62599945,5.333333492,685.2999878,676.5
370,72371,Bonny Doon Union Elementary,San Diego,KK-08,2660,565.5100098,40.55260086,68.57189941,78,4880.040527,14.22799969,7.491856575,620.4000244,625.5999756
417,62927,Huntington Beach City Elementary,Sonoma,KK-08,546,240.1000061,2.598999977,9.677399635,117,5235.987793,43.22999954,3.765690327,643.4000244,630.4000244
74,64477,El Monte City Elementary,Santa Clara,KK-08,1510,50.75,10.07190037,59.03079987,585,3926.06958,9.972000122,32.70749664,654.7000122,662.7000122
133,63230,North County Joint Union Elementary,Madera,KK-08,852,5.0,2.51850009,47.0298996,42,5400.0,55.32799911,0.0,651.5999756,657.7000122
138,71910,Montecito Union Elementary,Sacramento,KK-06,216,329.1199951,9.770799637,70.65769958,7,4547.944824,14.57800007,2.070688963,655.0999756,678.5999756
31,67785,Monte Rio Union Elementary,Trinity,KK-08,246,21.5,8.551099777,0.3032999933,354,5191.834473,21.56599998,11.49635029,620.4000244,684.9000244
73,63362,Rio Linda Union Elementary,Tehama,KK-08,2471,32.0,3.992399931,80.86830139,606,5526.236816,10.03999996,5.405405521,662.0999756,674.4000244
71,69518,Somis Union Elementary,San Mateo,KK-08,137,391.8599854,13.69859982,94.93240356,615,4353.019531,13.39000034,28.67762184,647.7000122,626.0
95,62976,American Union Elementary,Contra Costa,KK-08,544,52.59999847,10.69649982,80.25869751,65,4219.40625,15.05137539,2.733485222,681.7999878,650.9000244
369,68163,Liberty Elementary,Sutter,KK-06,675,39.70199966,0.3048999906,10.65149975,586,5725.563477,16.66900063,5.250596523,642.0,632.0999756
91,72561,Nuview Union Elementary,Kern,KK-08,129,41.52999878,46.88819885,55.7901001,103,5645.495605,10.65633297,1.495327115,643.2000122,649.7000122
327,69708,Ravenswood City Elementary,San Bernardino,KK-08,678,15.0,18.29719925,40.92910004,125,5105.734375,18.82723045,59.0334549,625.0,670.7000122
413,62828,Junction Elementary,El Dorado,KK-08,2357,26.0,25.34250069,83.873703,28,4529.283691,14.48333263,0.6211180091,698.2999878,636.2000122
10,69872,Vineland Elementary,Madera,KK-08,477,35.125,0.4544999897,25.88850021,65,5223.025391,13.24300003,4.583333492,640.9000244,659.0
248,69179,Fieldbrook Elementary,Placer,KK-08,7887,8.0,2.07249999,49.5237999,23,4613.1875,18.59300041,38.15875244,679.0,643.0999756
197,65391,Enterprise Elementary,Tulare,KK-08,187,158.3999939,17.00149918,56.06359863,36,5973.925293,15.49300003,32.07255173,674.9000244,646.0999756
232,69419,Franklin-McKinley Elementary,San Benito,KK-08,2596,88.26999664,3.705199957,19.8302002,152,5702.705078,10.63899994,27.45367241,615.5999756,661.0
193,66423,Encinitas Union Elementary,Tulare,KK-08,567,12.60000038,24.21419907,98.60559845,164,5695.466797,14.90600014,2.47863245,657.7999878,638.7000122
240,67405,Moraga Elementary,San Diego,KK-08,478,700.9400024,1.715399981,11.40680027,178,5382.088867,15.27400017,3.121039391,604.5,636.2000122
348,63016,Fullerton Elementary,Monterey,KK-08,577,49.16999817,16.8010006,27.71319962,31,5088.708008,16.29299927,2.649006605,624.4000244,647.0999756
229,70821,Pleasant Ridge Union Elementary,Imperial,KK-08,3724,211.0,7.497499943,81.02349854,36,4806.761719,15.17700005,7.857142925,669.2000122,647.5
56,72041,Harmony Union Elementary,Kings,KK-06,4632,410.9100037,12.29520035,85.54219818,25,4320.678711,12.51799965,6.201550484,682.2000122,646.2000122
354,64626,Julian Union Elementary,Nevada,KK-06,441,15.43000031,1.5,63.80360031,66,5261.370605,10.63899994,3.22033906,667.5999756,637.7000122
57,65631,Janesville Union Elementary,Sonoma,KK-08,1457,31.0,0.7462999821,25.31649971,81,5249.364746,18.62599945,0.1474926174,657.2000122,684.2999878
298,67645,Marcum-Illinois Union Elementary,Glenn,KK-08,687,46.65000153,23.79599953,11.04290009,17,5594.196289,8.173999786,1.68350172,662.0,621.7000122
272,61960,Auburn Union Elementary,Contra Costa,KK-06,11855,11.01000023,5.45389986,74.86239624,55,4954.466309,15.33100033,4.787234306,668.7999878,672.2000122
80,67470,Yreka Union Elementary,Sonoma,KK-08,248,45.20000076,15.2343998,80.19560242,27,5771.383789,7.304999828,6.079027653,634.2999878,647.9000244
330,69088,Weaver Union Elementary,San Joaquin,KK-08,2987,78.09999847,6.392300129,34.44710159,505,5090.044922,14.60299969,15.34977436,668.7000122,649.0
117,61747,Red Bluff Union Elementary,Butte,KK-06,125,42.84000015,7.526899815,32.65190125,160,5470.5625,11.08100033,2.5,662.0999756,630.4000244
209,70854,Mountain View Elementary,Santa Cruz,KK-08,224,12.19999981,0.9689999819,56.06560135,1004,4907.410645,15.53292847,7.289107323,629.5999756,643.9000244
195,68957,Keppel Union Elementary,Orange,KK-08,2340,27.43000031,29.44680023,100.0,597,5518.702148,5.698999882,38.51203537,651.9000244,692.0
338,68882,Twain Harte-Long Barn Union Elementary,Sonoma,KK-08,1469,306.3800049,11.88119984,20.58099937,26,5399.070313,16.95599937,0.0,678.7000122,620.5
185,63313,Burlingame Elementary,Kern,KK-08,2253,1186.699951,23.69939995,90.28489685,21,5504.025391,10.09799957,1.962864757,662.7000122,635.9000244
219,61812,Cold Spring Elementary,Los Angeles,KK-08,3280,11.0,7.026299953,59.53879929,1182,5447.345215,9.986000061,20.72543144,661.5,638.2999878
40,69575,Nevada City Elementary,Siskiyou,KK-08,6639,24.21999931,17.42020035,3.730200052,249,5118.130371,17.70899963,1.899441361,637.5,670.0999756
169,66340,National Elementary,San Mateo,KK-08,1114,27.20000076,9.036100388,22.98390007,71,4899.239746,27.94775009,0.0,662.5,662.4000244
263,72751,Happy Valley Union Elementary,Kings,KK-08,6437,17.79999924,5.555600166,47.91669846,86,5099.380859,13.52225018,17.02800369,676.0,652.0999756
76,65359,Chawanakee Jt. Elementary,Los Angeles,KK-08,738,61.99000168,32.18999863,45.88240051,16,5782.543945,15.50599957,5.249204636,636.7000122,658.7999878
77,66837,Clay Joint Elementary,El Dorado,KK-08,3303,15.5,26.49650002,52.9734993,135,4692.566895,36.17399979,2.485630035,679.0999756,651.7999878
416,66886,Jefferson Elementary,Tehama,KK-08,421,26.5,0.5207999945,19.09110069,193,5281.708984,15.2937994,11.26932526,634.7000122,676.7000122
34,68395,Susanville Elementary,Santa Clara,KK-08,1712,170.6499939,11.19400024,8.34430027,105,5123.474121,11.78499985,39.5946312,670.2999878,638.2999878
114,66324,Delano Union Elementary,Siskiyou,KK-06,1778,7.550000191,28.71999931,62.26750183,47,4385.229492,12.64000034,27.52179146,664.5999756,636.5999756
376,66381,Greenfield Union Elementary,Shasta,KK-08,117,15.85000038,26.64229965,23.09889984,480,6588.430664,10.09799957,9.615385056,680.5,679.9000244
149,64758,Fortuna Union Elementary,San Bernardino,KK-08,149,386.4200134,2.450999975,76.32260132,283,5666.713867,14.57800007,0.0,679.5999756,643.7999878
295,66480,Latrobe Elementary,Kern,KK-08,443,114.3000031,12.67850018,1.416399956,1321,5247.018066,16.95599937,20.03454208,645.0,651.0
