rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,defeats,other,gender_mf,english,calworks,rater2,victories,nuts_opened,height,eval
547,0,male,22.0,1.5,yes,3,14,5,3,6,6,0,12.80091667,17.97509956,0.5,0,0,167.0,4.7
1846,0,male,22.0,0.417,yes,4,14,6,5,0,6,1,16.09561729,12.31879997,0.0,0,7,173.0,2.9
1575,0,male,32.0,10.0,yes,3,17,5,4,0,6,0,12.35368061,11.32219982,0.25,12,50,176.0,3.6
400,0,male,27.0,15.0,yes,4,14,6,4,1,1,1,1.764706016,7.664199829,0.25,1,4,168.0,4.1
857,3,male,37.0,1.5,yes,4,16,1,5,0,1,1,0.0,29.93630028,0.0,1,0,172.0,3.5
1234,0,female,22.0,15.0,yes,2,20,1,5,1,6,1,49.82307053,21.76469994,0.25,6,13,175.0,4.7
50,0,male,57.0,7.0,yes,4,18,1,4,1,6,1,16.71460533,17.47610092,1.0,0,16,192.0,3.6
204,0,male,22.0,15.0,yes,5,17,5,4,4,1,1,15.43026733,10.02270031,,1,8,183.0,4.5
403,0,male,27.0,0.75,no,3,18,6,4,1,2,1,53.41640091,6.504099846,0.25,0,2,183.0,3.7
1473,7,male,37.0,15.0,no,2,14,6,4,0,6,0,2.733485222,13.20390034,0.25,0,0,190.0,3.8
277,7,female,32.0,4.0,yes,1,14,1,5,1,3,1,0.1436093748,20.63489914,0.25,0,0,186.0,3.4
597,7,female,27.0,15.0,no,4,20,6,3,0,5,1,9.887005806,36.47539902,0.0,1,0,187.0,4.2
543,0,female,32.0,1.5,no,2,12,3,3,1,4,1,20.66666603,31.33049965,,1,11,191.0,3.7
1831,1,female,32.0,15.0,yes,5,14,6,3,1,2,1,0.6934812665,2.516700029,0.0,1,0,184.0,3.5
1590,0,female,32.0,15.0,no,3,16,1,3,0,2,1,5.485232353,25.34250069,0.5,2,41,186.0,4.0
1063,0,male,22.0,15.0,yes,4,17,6,5,1,4,1,15.05989742,7.497499943,0.0,0,0,180.0,3.8
162,0,male,42.0,10.0,no,2,14,1,3,0,2,1,47.87937546,14.52700043,1.0,6,3,179.0,3.3
961,0,male,37.0,7.0,yes,4,17,1,5,2,1,1,1.941747546,3.335000038,1.0,0,3,176.0,2.9
865,2,female,37.0,0.75,no,1,20,6,2,0,5,0,9.554140091,7.487500191,0.25,0,4,183.0,4.9
439,0,female,47.0,0.75,yes,2,16,3,3,1,2,1,36.0251236,15.07110023,0.25,1,41,175.0,4.3
11,0,female,52.0,4.0,yes,2,17,6,4,0,2,1,34.33779907,37.4367981,0.25,0,27,172.0,3.8
1791,0,male,37.0,1.5,yes,4,17,5,4,1,3,1,49.41314316,24.4151001,0.25,1,4,198.0,4.5
1057,0,male,52.0,15.0,yes,5,14,3,5,1,2,1,43.49897766,14.70940018,0.25,0,2,187.0,4.5
1941,1,female,22.0,7.0,yes,2,18,1,5,0,3,1,3.913894176,16.2928009,0.25,1,13,189.0,4.0
1585,3,female,22.0,4.0,no,4,20,2,5,0,5,0,17.97378349,26.43479919,0.25,0,13,185.0,4.2
1131,0,male,42.0,4.0,yes,3,18,6,5,1,2,1,8.741721153,0.1015999988,,1,50,175.0,4.6
378,0,female,47.0,0.75,no,1,14,5,3,0,6,1,7.589285851,29.16670036,,0,1,191.0,3.7
667,0,male,57.0,15.0,yes,4,14,5,5,1,2,1,5.524553776,7.241399765,0.25,0,0,178.0,4.3
1460,1,female,37.0,15.0,yes,4,14,4,4,3,4,1,0.0,18.44379997,0.75,1,77,181.0,3.9
1916,0,male,27.0,15.0,no,3,20,3,2,0,3,1,59.0334549,9.416999817,,0,4,187.0,4.2
1938,0,female,32.0,1.5,yes,3,14,5,3,0,1,1,17.00364685,17.00149918,0.0,2,31,172.0,4.5
779,2,male,22.0,7.0,no,2,18,3,3,0,1,0,4.629629612,40.36700058,0.5,0,16,185.0,4.4
416,0,male,32.0,1.5,yes,4,12,3,5,0,6,1,10.43555164,3.993099928,0.25,1,21,180.0,3.3
1130,0,female,27.0,1.5,yes,1,17,3,4,4,5,1,16.08187103,21.5189991,,0,8,183.0,2.7
903,0,female,27.0,1.5,yes,4,14,5,4,3,5,0,76.66525269,1.5,0.0,5,0,183.0,3.7
43,0,female,27.0,4.0,yes,5,20,1,5,0,5,0,0.9259259105,4.895100117,0.25,0,14,182.0,4.9
648,12,male,22.0,0.75,no,2,20,6,5,0,6,1,0.0,28.34250069,1.0,1,6,185.0,3.4
834,3,male,22.0,15.0,no,4,12,4,5,1,2,1,2.062706232,2.101799965,0.0,0,0,176.0,4.3
1940,0,male,27.0,10.0,no,4,14,5,5,1,6,1,12.5,58.75220108,0.25,1,0,184.0,4.4
1207,0,female,32.0,15.0,yes,2,18,5,5,3,2,0,53.05544281,25.92110062,0.0,1,0,170.0,3.1
1566,0,male,37.0,0.75,yes,4,16,4,4,2,5,1,29.08583832,25.34250069,1.0,1,37,181.0,3.5
155,0,male,22.0,1.5,yes,4,16,4,1,0,5,1,4.814216614,7.496600151,0.25,0,9,173.0,4.5
666,0,male,22.0,15.0,yes,3,12,1,3,1,4,0,4.727272511,71.71309662,0.25,1,0,183.0,4.2
1674,0,female,27.0,4.0,no,3,14,1,3,1,2,0,17.65935326,21.76469994,,0,13,175.0,4.6
137,0,female,37.0,10.0,yes,1,14,5,4,0,5,1,1.385681391,6.49119997,0.25,2,15,186.0,4.6
859,0,male,37.0,4.0,no,4,14,5,5,1,2,1,80.42008972,29.44680023,0.0,0,0,188.0,4.4
252,0,male,37.0,0.417,yes,5,18,4,4,0,2,1,80.42008972,12.72729969,0.75,1,17,183.0,3.7
532,0,male,27.0,15.0,yes,2,20,7,2,2,1,0,13.55932236,3.004600048,0.75,3,3,182.0,3.5
324,7,female,37.0,15.0,yes,1,17,5,4,1,6,1,18.19571877,26.62680054,0.0,2,49,178.0,4.6
436,0,female,32.0,1.5,yes,3,9,7,4,1,5,1,2.469135761,1.793200016,0.75,1,1,178.0,4.0
1089,0,female,32.0,15.0,no,3,18,5,5,1,5,1,58.08103561,19.83119965,0.75,0,30,173.0,4.7
1103,7,female,17.5,1.5,yes,2,16,5,5,2,3,0,35.46537018,23.69939995,0.0,5,0,181.0,4.0
512,0,male,27.0,4.0,yes,3,17,6,5,7,2,1,2.421652317,16.95910072,0.25,1,77,180.0,4.6
1445,0,female,22.0,4.0,yes,5,14,7,4,0,5,0,8.786610603,55.03229904,1.0,0,0,173.0,3.9
1856,0,female,27.0,15.0,yes,1,14,3,1,1,6,1,13.25301266,18.79999924,1.0,2,0,177.0,3.2
1515,3,female,32.0,15.0,yes,2,12,6,4,1,5,0,19.39163589,23.19750023,0.25,0,0,190.0,3.1
947,0,female,22.0,15.0,no,2,20,5,4,1,2,1,59.0334549,16.2928009,0.0,1,58,186.0,3.6
788,12,male,32.0,15.0,yes,4,18,3,2,0,1,1,1.158301115,5.486400127,0.25,0,0,178.0,4.8
671,0,female,27.0,15.0,yes,2,12,4,5,0,2,1,12.34567928,34.59420013,0.0,2,2,182.0,3.8
908,0,male,32.0,15.0,yes,3,16,5,5,0,5,1,13.55932236,43.85589981,0.25,2,0,188.0,4.3
384,0,female,27.0,15.0,no,2,16,4,3,1,3,1,18.26123238,8.333299637,,1,10,183.0,4.5
843,0,female,22.0,15.0,yes,4,20,5,5,9,6,0,35.46537018,21.25880051,0.25,0,16,189.0,4.4
1416,2,male,52.0,15.0,yes,2,12,4,3,1,2,1,46.95946121,4.0,1.0,1,0,181.0,4.6
1075,0,male,47.0,15.0,yes,5,20,6,5,2,4,1,2.395209789,47.2621994,0.5,0,6,187.0,4.5
1236,7,male,27.0,15.0,no,4,16,6,5,6,5,0,10.47619057,4.166699886,0.0,0,0,178.0,3.3
370,0,female,37.0,4.0,no,3,14,1,5,2,2,1,0.0,19.57169914,0.75,1,4,179.0,4.8
1550,0,female,27.0,15.0,no,4,14,6,2,1,2,1,5.250596523,3.563499928,1.0,0,3,180.0,4.7
1840,0,male,27.0,4.0,no,5,14,5,5,2,2,0,1.795332193,10.25259972,0.0,1,0,174.0,4.3
413,0,female,32.0,10.0,no,4,14,6,5,1,5,1,5.943536282,20.96660042,0.25,1,4,186.0,4.1
1359,0,female,37.0,15.0,yes,2,16,6,2,2,1,0,0.0,13.99110031,0.0,0,24,168.0,4.6
1322,0,male,32.0,1.5,yes,3,12,3,4,0,5,1,0.0,0.5102000237,1.0,0,5,188.0,4.3
44,0,female,37.0,15.0,yes,3,16,1,5,0,5,1,5.010019779,15.28120041,0.25,1,50,181.0,4.5
1859,0,female,27.0,4.0,no,2,14,5,4,4,6,1,73.7202301,14.49890041,0.0,0,4,183.0,3.4
1609,0,female,27.0,4.0,yes,4,18,6,1,1,2,1,0.0,6.49119997,0.25,0,5,185.0,4.0
1892,2,male,27.0,4.0,yes,2,14,5,5,0,4,1,65.51210022,12.69200039,0.25,3,31,166.0,4.3
1080,0,male,42.0,15.0,yes,2,12,5,2,3,2,1,0.0,10.59319973,0.75,0,51,194.0,4.2
1341,0,female,37.0,15.0,yes,3,14,6,2,4,6,1,0.540540576,7.589300156,,0,4,185.0,3.9
1073,0,female,47.0,15.0,yes,4,17,1,4,0,5,1,10.38552284,24.6093998,,4,11,189.0,4.6
1543,7,female,42.0,4.0,yes,4,17,4,5,1,4,1,18.45748138,3.992399931,0.25,1,3,191.0,4.3
1897,0,female,27.0,4.0,yes,1,17,5,5,3,2,1,77.0058136,24.02199936,,2,41,189.0,3.5
1242,0,male,32.0,15.0,yes,1,16,5,2,0,2,1,18.19571877,14.63790035,0.0,0,0,170.0,3.8
1873,2,male,22.0,15.0,yes,2,16,5,2,1,6,1,8.66293335,0.1709000021,0.25,1,0,177.0,4.2
1959,0,female,42.0,7.0,yes,4,18,6,4,0,2,1,0.0,2.829699993,0.5,1,1,188.0,2.3
