education,age,gender,occupation,children,religiousness,rating,yearsmarried,rownames,affairs
4,2.4602580329079515,male,37.0,10.0,no,3,18,7,4
5,-1.971893474979249,female,27.0,4.0,no,4,14,6,4
11,3.9294031152148907,female,32.0,15.0,yes,1,12,1,4
16,4.556019597527305,male,57.0,15.0,yes,5,18,6,5
23,-4.974728953028562,male,22.0,0.75,no,2,17,6,3
29,-2.8360927129439903,female,32.0,1.5,no,2,17,5,5
44,1.8772703498371097,female,22.0,0.75,no,2,12,1,3
45,0.4135673809695102,male,57.0,15.0,yes,2,14,4,4
47,1.400530001936432,female,32.0,15.0,yes,4,16,1,2
49,-1.3557363663274553,male,22.0,1.5,no,4,14,4,5
50,4.354413271511466,male,37.0,15.0,yes,2,20,7,2
55,4.019518526435352,male,27.0,4.0,yes,4,18,6,4
64,1.6735448063801728,male,47.0,15.0,yes,5,17,6,4
80,5.171307587018422,female,22.0,1.5,no,2,17,5,4
86,2.996823315377995,female,27.0,4.0,no,4,14,5,4
93,-1.3763316149099847,female,37.0,15.0,yes,1,17,5,5
108,2.671313903274618,female,37.0,15.0,yes,2,18,4,3
114,-1.7045819240970124,female,22.0,0.75,no,3,16,5,4
115,4.351289727915321,female,22.0,1.5,no,2,16,5,5
116,1.2913504104981652,female,27.0,10.0,yes,2,14,1,5
123,0.8465982172918658,female,22.0,1.5,no,2,16,5,5
127,-0.788445260437654,female,22.0,1.5,no,2,16,5,5
129,5.485417983321872,female,27.0,10.0,yes,4,16,5,4
134,0.9465757645526564,female,32.0,10.0,yes,3,14,1,5
137,0.044133096586894016,male,37.0,4.0,yes,2,20,6,4
139,0.2952703452287271,female,22.0,1.5,no,2,18,5,5
147,3.2104043891436342,female,27.0,7.0,no,4,16,1,5
151,2.6604149147567235,male,42.0,15.0,yes,5,20,6,4
153,2.8162785431245623,male,27.0,4.0,yes,3,16,5,5
155,2.8758981018090175,female,27.0,4.0,yes,3,17,5,4
162,8.514803432170467,male,42.0,15.0,yes,4,20,6,3
163,0.11635797166300432,female,22.0,1.5,no,3,16,5,5
165,-0.23245145993912053,male,27.0,0.417,no,4,17,6,4
168,-1.2262980144313285,female,42.0,15.0,yes,5,14,5,4
170,3.4861825107406705,male,32.0,4.0,yes,1,18,6,4
172,5.1770132667707145,female,22.0,1.5,no,4,16,5,3
184,1.0803346119252955,female,42.0,15.0,yes,3,12,1,4
187,-1.313259171948888,female,22.0,4.0,no,4,17,5,5
192,-1.2615933196363809,male,22.0,1.5,yes,1,14,3,5
194,3.6002685847176257,female,22.0,0.75,no,3,16,1,5
210,3.905681634354477,male,32.0,10.0,yes,5,20,6,5
217,3.2461499141512533,male,52.0,15.0,yes,5,18,6,3
220,-0.737621289258398,female,22.0,0.417,no,5,14,1,4
224,2.2211133740360953,female,27.0,4.0,yes,2,18,6,1
227,1.8405046718935036,female,32.0,7.0,yes,5,17,5,3
228,2.176707103724942,male,22.0,4.0,no,3,16,5,5
239,4.328146701295174,female,27.0,7.0,yes,4,18,6,5
241,2.19288047750854,female,42.0,15.0,yes,2,18,5,4
245,3.6936142053087995,male,27.0,1.5,yes,4,16,3,5
249,1.6786482591364364,male,42.0,15.0,yes,2,20,6,4
262,2.4088478859032967,female,22.0,0.75,no,5,14,3,5
265,3.5366405129889915,male,32.0,7.0,yes,2,20,6,4
267,-3.346896530531208,male,27.0,4.0,yes,5,20,6,5
269,0.4022665944076689,male,27.0,10.0,yes,4,20,6,4
271,-0.09444718285607023,male,22.0,4.0,no,1,18,5,5
277,-0.6498423570650984,female,37.0,15.0,yes,4,14,3,1
290,0.5490346065160987,male,22.0,1.5,yes,5,16,4,4
292,6.383251614842452,female,37.0,15.0,yes,4,17,1,5
293,-1.3978830943116871,female,27.0,0.75,no,4,17,5,4
295,4.6473640870076744,male,32.0,10.0,yes,4,20,6,4
299,-4.090852468150683,female,47.0,15.0,yes,5,14,7,2
320,0.3521216791533084,male,37.0,10.0,yes,3,20,6,4
321,1.992342909349381,female,22.0,0.75,no,2,16,5,5
324,3.388102775199489,male,27.0,4.0,no,2,18,4,5
334,3.8001183024835368,male,32.0,7.0,no,4,20,6,4
351,4.070788984179883,male,42.0,15.0,yes,2,17,3,5
355,0.30650473107402365,male,37.0,10.0,yes,4,20,6,4
361,-0.06801032511372784,female,47.0,15.0,yes,3,17,6,5
362,4.283805789741274,female,22.0,1.5,no,5,16,5,5
366,0.8253654341664841,female,27.0,1.5,no,2,16,6,4
370,-2.748770856958932,female,27.0,4.0,no,3,17,5,5
374,-2.279421656012501,female,32.0,10.0,yes,5,14,4,5
378,-1.5746191255668918,female,22.0,0.125,no,2,12,5,5
381,3.094554697320088,male,47.0,15.0,yes,4,14,4,3
382,1.9253437849568082,male,32.0,15.0,yes,1,14,5,5
383,3.7317549695510563,male,27.0,7.0,yes,4,16,5,5
384,0.04767688922322111,female,22.0,1.5,yes,3,16,5,5
400,1.9784555771693566,male,27.0,4.0,yes,3,17,6,5
403,3.5178603896555254,female,22.0,1.5,no,3,16,5,5
409,0.4362968545145258,male,57.0,15.0,yes,2,14,7,2
412,2.961443575400342,male,17.5,1.5,yes,3,18,6,5
413,-0.7258091520859367,male,57.0,15.0,yes,4,20,6,5
416,0.2592769161846826,female,22.0,0.75,no,2,16,3,4
418,0.1976940679896937,male,42.0,4.0,no,4,17,3,3
422,-2.485595233355499,female,22.0,1.5,yes,4,12,1,5
435,3.060974057340645,female,22.0,0.417,no,1,17,6,4
439,-0.09124901578205713,female,32.0,15.0,yes,4,17,5,5
445,1.4970875896576459,female,27.0,1.5,no,3,18,5,2
447,3.040453672500341,female,22.0,1.5,yes,3,14,1,5
448,2.9276790236778263,female,37.0,15.0,yes,3,14,1,4
449,3.649024255616457,female,32.0,15.0,yes,4,14,3,4
478,1.1312974639739606,male,37.0,10.0,yes,2,14,5,3
482,0.06071042327465204,male,37.0,10.0,yes,4,16,5,4
486,1.193154626639459,male,57.0,15.0,yes,5,20,5,3
489,-4.1055680496779345,male,27.0,0.417,no,1,16,3,4
490,-3.313793534913184,female,42.0,15.0,yes,5,14,1,5
491,-2.903727230891897,male,57.0,15.0,yes,3,16,6,1
492,-1.8310308833970512,male,37.0,10.0,yes,1,16,6,4
503,2.773567548555037,male,37.0,15.0,yes,3,17,5,5
508,-1.5285631869665393,male,37.0,15.0,yes,4,20,6,5
