feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,1.121205954531363,male,37.0,10.0,no,3,18,7,4
5,0.1992292953303103,female,27.0,4.0,no,4,14,6,4
11,2.1866300026302663,female,32.0,15.0,yes,1,12,1,4
16,2.3169788343285123,male,57.0,15.0,yes,5,18,6,5
23,-0.42542088128381517,male,22.0,0.75,no,2,17,6,3
29,0.019458471863436633,female,32.0,1.5,no,2,17,5,5
44,0.9999327905981105,female,22.0,0.75,no,2,12,1,3
45,1.455265454556759,male,57.0,15.0,yes,2,14,4,4
47,1.6605735308750191,female,32.0,15.0,yes,4,16,1,2
49,0.32740236693375935,male,22.0,1.5,no,4,14,4,5
50,2.2750406635319798,male,37.0,15.0,yes,2,20,7,2
55,2.2053758206898966,male,27.0,4.0,yes,4,18,6,4
64,1.7173661014506267,male,47.0,15.0,yes,5,17,6,4
80,1.6851587901641851,female,22.0,1.5,no,2,17,5,4
86,1.2328223254281294,female,27.0,4.0,no,4,14,5,4
93,1.0829304624899005,female,37.0,15.0,yes,1,17,5,5
108,1.9249221421166003,female,37.0,15.0,yes,2,18,4,3
114,0.25483547445340204,female,22.0,0.75,no,3,16,5,4
115,1.5145785821375246,female,22.0,1.5,no,2,16,5,5
116,1.637861979884928,female,27.0,10.0,yes,2,14,1,5
123,0.7855322567254149,female,22.0,1.5,no,2,16,5,5
127,0.44541032710208783,female,22.0,1.5,no,2,16,5,5
129,2.510312391919417,female,27.0,10.0,yes,4,16,5,4
134,1.5661419189437813,female,32.0,10.0,yes,3,14,1,5
137,1.3784156928319429,male,37.0,4.0,yes,2,20,6,4
139,0.6708449702676671,female,22.0,1.5,no,2,18,5,5
147,1.277251484609307,female,27.0,7.0,no,4,16,1,5
151,1.9226549332893486,male,42.0,15.0,yes,5,20,6,4
153,1.9550777029347024,male,27.0,4.0,yes,3,16,5,5
155,1.9674797702920834,female,27.0,4.0,yes,3,17,5,4
162,3.140485496469523,male,42.0,15.0,yes,4,20,6,3
163,0.633627598032915,female,22.0,1.5,no,3,16,5,5
165,0.561068220522003,male,27.0,0.417,no,4,17,6,4
168,1.114140469072721,female,42.0,15.0,yes,5,14,5,4
170,2.094431202233885,male,32.0,4.0,yes,1,18,6,4
172,1.6863456863131838,female,22.0,1.5,no,4,16,5,3
184,1.5939664495402086,female,42.0,15.0,yes,3,12,1,4
187,0.33623847772457793,female,22.0,4.0,no,4,17,5,5
192,1.1067983356820805,male,22.0,1.5,yes,1,14,3,5
194,1.3583510787765565,female,22.0,0.75,no,3,16,1,5
