tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,m_focal,num_words,district,refCountry,redCards,n_focal,gender,dyad,deny
Anterior,AMNH99.1/100,0,12,37.0,6.89761633,0.5,Homo sapiens,Alaska,2,120,75119,7,0,5,1,1,0
Posterior,AMNH99.1/100,0,12,27.0,6.89761633,0.5,Homo sapiens,Alaska,2,383,61499,40,0,5,1,1,0
Premolar,AMNH99.1/100,0,8,32.0,6.89761633,0.5,Homo sapiens,Alaska,2,324,61549,51,0,5,2,5,0
Anterior,AMNH99.1/101,3,9,57.0,7.2151844,0.25,Homo sapiens,Alaska,2,324,61457,8,0,5,1,6,0
Posterior,AMNH99.1/101,5,7,22.0,7.2151844,0.25,Homo sapiens,Alaska,3,324,61523,3,0,10,1,6,0
Premolar,AMNH99.1/101,2,6,32.0,7.2151844,0.25,Homo sapiens,Alaska,3,145,62042,44,0,10,2,6,1
Anterior,AMNH99.1/102,1,12,22.0,5.70308472,0.25,Homo sapiens,Alaska,3,106,68536,8,0,10,2,6,0
Posterior,AMNH99.1/102,0,12,57.0,5.70308472,0.25,Homo sapiens,Alaska,2,106,63834,8,0,5,1,6,0
Premolar,AMNH99.1/102,0,8,32.0,5.70308472,0.25,Homo sapiens,Alaska,2,145,62331,7,0,5,1,5,0
Anterior,AMNH99.1/103,0,12,22.0,5.18766442,0.5,Homo sapiens,Alaska,2,120,67306,64,0,6,1,5,0
Posterior,AMNH99.1/103,0,12,37.0,5.18766442,0.5,Homo sapiens,Alaska,3,120,65722,8,0,10,1,6,0
Premolar,AMNH99.1/103,0,8,27.0,5.18766442,0.5,Homo sapiens,Alaska,4,106,62174,3,0,13,1,3,1
Anterior,AMNH99.1/104,0,12,47.0,8.29624584,0.25,Homo sapiens,Alaska,3,166,71795,3,0,10,2,3,0
Posterior,AMNH99.1/104,0,12,22.0,8.29624584,0.25,Homo sapiens,Alaska,2,106,72181,101,0,5,1,5,0
Premolar,AMNH99.1/104,0,8,27.0,8.29624584,0.25,Homo sapiens,Alaska,4,324,72298,52,0,13,2,3,0
Anterior,AMNH99.1/105,0,12,37.0,5.81978104,0.75,Homo sapiens,Alaska,4,145,72041,32,0,13,1,1,0
Posterior,AMNH99.1/105,0,12,37.0,5.81978104,0.75,Homo sapiens,Alaska,4,324,63594,44,0,13,1,1,0
Premolar,AMNH99.1/105,0,8,22.0,5.81978104,0.75,Homo sapiens,Alaska,2,166,63370,44,0,5,2,5,0
Anterior,AMNH99.1/107,1,8,22.0,10.2682079,0.5,Homo sapiens,Alaska,4,166,64709,8,0,13,2,1,1
Posterior,AMNH99.1/107,2,10,27.0,10.2682079,0.5,Homo sapiens,Alaska,2,106,63560,40,0,5,2,6,0
Premolar,AMNH99.1/107,0,7,22.0,10.2682079,0.5,Homo sapiens,Alaska,3,145,63230,44,0,10,1,4,1
Anterior,AMNH99.1/109,1,12,22.0,8.23260632,0.75,Homo sapiens,Alaska,2,145,72058,8,0,5,2,1,0
Posterior,AMNH99.1/109,5,10,27.0,8.23260632,0.75,Homo sapiens,Alaska,3,106,63842,44,0,10,2,4,0
Premolar,AMNH99.1/109,0,8,32.0,8.23260632,0.75,Homo sapiens,Alaska,2,383,71811,3,0,5,1,4,1
Anterior,AMNH99.1/110,1,5,37.0,7.85088419,0.75,Homo sapiens,Alaska,2,106,65748,57,0,5,2,4,0
Posterior,AMNH99.1/110,0,6,22.0,7.85088419,0.75,Homo sapiens,Alaska,3,120,72272,64,0,10,1,8,0
Premolar,AMNH99.1/110,1,4,27.0,7.85088419,0.75,Homo sapiens,Alaska,3,106,65961,8,0,10,2,2,0
Anterior,AMNH99.1/111,0,12,42.0,7.9144902,0.5,Homo sapiens,Alaska,2,145,63313,44,1,5,1,4,0
Posterior,AMNH99.1/111,0,12,27.0,7.9144902,0.5,Homo sapiens,Alaska,2,145,72199,32,0,5,2,5,0
Premolar,AMNH99.1/111,0,8,27.0,7.9144902,0.5,Homo sapiens,Alaska,3,106,72215,21,0,10,2,7,0
