tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Anterior,MH12320,6,4,38.8182459,3.80295048,0.75,Homo sapiens,Australian aboriginie,Benoît Pedretti,4,4924.619141,Richfield Elementary,3,1,7,G,5,-0.4899626
Anterior,BRK126260,0,8,32.5480799,4.28424336,0.5,Homo sapiens,French Cameroons, Brandão,4,4023.531738,Tipton Elementary,4,1,3,G,5,-0.6563948
Posterior,IPHA.34,2,12,51.9,6.01663882,0.0,Homo sapiens,East Africa,Guy Demel,4,5408.781738,South Fork Union Elementary,3,6,3,G,10,1.070944
Premolar,IPHA.47,1,12,33.1440427,2.81576611,0.25,Papio,East Africa,Michael Harriman,4,5615.441895,West Side Union Elementary,3,1,4,G,5,-0.2581899
Anterior,BRK126764,9,8,11.2611071,4.08550898,0.25,Papio,Native Californian,Jens Langeneke,2,4889.47998,Chawanakee Jt. Elementary,2,3,7,G,5,-1.024997
Posterior,MH19784,0,6,18.5922731,2.91816725,0.75,Homo sapiens,Native Californian,Massimo Volta,2,5156.856934,Columbia Elementary,2,1,3,G,10,-0.2581899
Premolar,MH4763,2,8,17.3030178,3.95531929,0.25,Papio,Khoi-San or bushman half-caste,Russell Martin,5,4614.251953,Castaic Union Elementary,1,1,9,wood,5,0.540917
Anterior,MH4767,6,8,38.3400851,2.74721254,0.0,Pongo,Khoi-San or bushman half-caste, Dani Alves,5,5036.458984,Burton Elementary,1,4,4,G,5,0.2116939
Anterior,BRK125832,0,12,24.2343641,3.37708808,0.0,Homo sapiens,Native Californian,Sebastian Kehl,4,5490.654785,El Centro Elementary,2,10,4,G,5,-0.3260148
Premolar,BRK126760,0,8,25.1150301,7.8,0.0,Papio,Khoi-San,Salomon Kalou,5,5228.650879,Palmdale Elementary,1,1,4,G,6,-0.3415543
Anterior,BRK126054,0,8,26.0065524,9.1,1.0,Homo sapiens,East Africa,Joel Matip,3,5695.466797,Plumas Elementary,3,5,3,G,5,0.9889485
Posterior,HTB2747,0,6,23.6198193,10.0,0.75,Papio,Buriat,Markus Feulner,2,4843.427246,Happy Valley Union Elementary,2,7,7,G,6,-0.2581899
Posterior,HTB1222,0,8,22.0893133,9.29798279,0.5,Homo sapiens,Australian aboriginie, Marchena,2,4392.679688,Saugus Union Elementary,3,1,7,G,13,1.05095
Anterior,MH8057,4,9,15.3185476,9.02231946,0.0,Homo sapiens,East Africa,Yaya Touré,2,4954.019531,Standard Elementary,2,1,4,G,6,-0.0836015
Anterior,HTB1758,0,12,27.7190342,7.2151844,0.25,Homo sapiens,East Africa,Jordan Ferri,4,4504.294922,Lawndale Elementary,1,2,7,G,10,-0.0836015
Anterior,BRK126261,0,12,35.8000964,3.68843519,0.25,Homo sapiens,French Cameroons, David Cobeño,4,5016.692383,Santa Cruz City Elementary,3,1,4,wood,6,-0.0566766
Posterior,UVS101,0,4,29.8890376,4.28424336,1.0,Homo sapiens,Borneo,Aykut Özer,1,4674.298828,National Elementary,3,4,3,G,10,0.540917
Anterior,PMN1390,0,12,17.6784056,3.45050478,0.75,Pongo,Khoi-San,Steven Whittaker,1,5220.370117,Fort Jones Union Elementary,3,2,7,G,10,-0.7668921
Posterior,BM1908.8.9.41,0,8,26.6524031,3.66420581,0.75,Papio,French Cameroons,Ben Watson,4,5131.119141,Roseville City Elementary,2,1,7,G,6,-0.3260148
Anterior,MH1503,0,12,17.6369048,5.69322104,0.75,Pongo,Chucki,Lionel Messi,4,5191.834473,Etna Union Elementary,4,1,7,G,5,-0.6562689
Posterior,MH1505,0,12,20.2042991,8.82500633,0.75,Papio,West Africa,Valentin Eysseric,4,6460.657227,Stanislaus Union Elementary,4,2,3,L,10,0.5885687
Premolar,AMNH99.1/105,0,11,24.6086959,4.59386268,1.0,Papio,Tasmanien, Júlio César,3,4825.722656,Edison Elementary,3,6,7,G,10,-0.4899626
Anterior,BM1924.8.6.16,0,11,19.5297384,3.7272427,0.75,Homo sapiens,Afalou,Jens Langeneke,2,5220.370117,Vallecitos Elementary,2,6,7,G,10,-0.0102077
Premolar,AMNH99.1/91-B,0,12,10.7760379,2.86641,0.75,Homo sapiens,Arabia,Hanno Balitsch,3,6087.608887,Menlo Park City Elementary,3,2,3,G,5,-0.5872612
Posterior,AMNH99.1/99,4,12,20.2042991,6.06203036,0.25,Pongo,East Africa,Aly Cissokho,2,5609.487793,Hueneme Elementary,1,1,4,G,6,0.2168924
Anterior,NMNH344713,0,12,43.749247,3.88831042,1.0,Pan,Chucki,Hanno Balitsch,4,7667.571777,Anaheim Elementary,3,1,7,G,5,-0.3415543
Posterior,MH12327,0,4,59.6247021,4.43727895,0.75,Homo sapiens,Australian aboriginie,Pantxi Sirieix,4,4136.250977,Pond Union Elementary,3,1,3,G,10,1.231394
Posterior,NMNH225025,0,12,20.0102867,6.79442263,1.0,Homo sapiens,Australian aboriginie, Sílvio,2,4733.746582,Rio Linda Union Elementary,3,1,3,G,5,1.349395
Anterior,HTB1957,0,6,17.3783748,8.3,0.0,Homo sapiens,Tasmanien,Chris Brunt,4,5470.5625,Kings River-Hardwick Union Elementary,3,10,4,G,5,0.2394859
