tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Anterior,AMNH99.1/100,1.139031127656092,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,G,13,0.2899157
Posterior,AMNH99.1/100,0.09275835392442056,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,G,13,-0.7377322
Premolar,AMNH99.1/100,1.4858438432286858,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,wood,6,-0.5719836
Anterior,AMNH99.1/101,1.6337656288103168,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,G,10,-0.6779634
Posterior,AMNH99.1/101,-0.6161039218997668,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,L,5,1.509794
Premolar,AMNH99.1/101,-0.11124824019880064,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,Q,5,0.5885687
Anterior,AMNH99.1/102,1.0014085443277756,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,Q,5,-0.126001
Posterior,AMNH99.1/102,0.655880517492245,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,wood,10,-0.2581899
Premolar,AMNH99.1/102,0.888867164535093,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,G,6,0.1496926
Anterior,AMNH99.1/103,0.23821105471237525,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,L,5,0.540917
Posterior,AMNH99.1/103,1.5861735711951663,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,wood,5,0.2316134
Premolar,AMNH99.1/103,1.5071168753183644,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,G,10,-0.0666737
Anterior,AMNH99.1/104,0.9533162151162474,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska, Bodipo,5,6567.149414,Allensworth Elementary,3,1,9,G,13,0.2168924
Posterior,AMNH99.1/104,1.7790131615860032,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Stilian Petrov,2,4818.612793,Sunnyside Union Elementary,3,1,4,G,6,-0.2586962
Premolar,AMNH99.1/104,1.2656950391625075,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Andrey Arshavin,4,5621.456055,Woodville Elementary,1,4,7,G,10,0.5502878
Anterior,AMNH99.1/105,0.23334925163055587,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Abdou Dampha,1,6026.359863,Pixley Union Elementary,1,1,3,G,5,-0.0620358
Posterior,AMNH99.1/105,1.1888538854088273,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Adam Johnson,2,6723.237793,Lost Hills Union Elementary,4,1,3,G,5,-0.9823852
Premolar,AMNH99.1/105,0.15586106990657256,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Gary Gardner,3,5589.885254,Buttonwillow Union Elementary,3,1,4,G,6,-0.054344
Anterior,AMNH99.1/107,1.585436214041108,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska,Tomáš Rosický,2,5064.615723,Lennox Elementary,2,3,3,G,5,-0.0680143
Posterior,AMNH99.1/107,0.8630937599559114,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska, Juanfran,2,5433.593262,Lamont Elementary,3,1,7,G,10,0.0294137
Premolar,AMNH99.1/107,0.7581036417297811,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska,Phil Jagielka,2,5725.563477,Westmorland Union Elementary,4,22,3,G,5,0.2394859
Anterior,AMNH99.1/109,0.3721282364279367,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska,Fabian Giefer,2,4542.10498,Pleasant View Elementary,4,1,9,G,13,-0.8487269
Posterior,AMNH99.1/109,1.8531634145756692,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Bueno,4,5107.086426,Wasco Union Elementary,2,1,3,G,5,-0.7330914
Premolar,AMNH99.1/109,0.7817047721282545,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Agirretxe,3,4659.661621,Alta Vista Elementary,2,10,7,L,10,-0.1111221
Anterior,AMNH99.1/110,0.5686702692088255,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska,Piotr Trochowski,2,4555.464355,Livingston Union Elementary,3,1,7,G,10,1.775517
