feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
Anterior,AMNH99.1/100,1.0204853914142538,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/100,0.4973490045484179,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/100,1.1938917492005505,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/101,1.267852641991366,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/101,0.14291786663632422,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/101,0.3953457074868073,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/102,0.9516740997500954,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/102,0.77891008633233,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/102,0.8954034098537541,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/103,0.5700753549423953,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/103,1.2440566131837907,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/103,1.20452826524539,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/104,0.9276279351443314,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/104,1.3404764083792093,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/104,1.0838173471674615,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/105,0.5676444534014855,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/105,1.0453967702906213,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/105,0.5289003625394939,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/107,1.2436879346067617,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/107,0.8825167075641633,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/107,0.8300216484510982,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/109,0.6370339458001759,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/109,1.3775515348740421,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/109,0.8418222136503349,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/110,0.7353049621906204,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/110,0.7649472324578079,6,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/110,1.1090267812388936,4,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/111,1.0441103392054931,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/111,1.0625072589053388,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/111,1.0695442838042437,8,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/112,1.7351164230134495,12,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/112,0.7438298197280748,11,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/112,0.7026590913745112,8,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/160,0.5853532423549326,4,55.0,15.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/160,1.141577466803723,5,55.0,15.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/160,1.341149862047234,4,55.0,15.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59,0.8576100584479099,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59,0.5750890296671554,6,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59,0.5811872614751183,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59-B,1.1550432917931905,6,40.0,10.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59-B,1.1910918517317162,6,40.0,10.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59-B,1.1132459025315282,4,40.0,10.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/60,0.6430328085650374,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/60,0.9922586323429865,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/60,0.9473345676095843,4,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/61,0.9870172646317463,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/61,1.2409563133375747,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/61,0.9889262427678785,8,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/64,1.1660610764061299,12,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/64,0.9282303066631526,10,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
