y,gender,age,majority_first,culture,m_focal,num_words,district,refCountry,redCards,n_focal,allstudents,dyad,deny
2,1,32.0,0,4,2,120,61655,8,0,6,34,5,0
3,1,27.0,0,1,4,145,63974,3,0,5,18,1,0
1,2,27.0,1,6,2,120,62927,51,0,10,69,3,0
3,2,42.0,0,5,4,166,70821,32,0,10,11,4,0
3,1,52.0,0,1,2,383,69005,3,0,5,11,1,0
3,2,42.0,0,7,2,324,63123,8,0,5,32,1,0
3,1,42.0,1,1,4,383,67397,52,0,10,17,1,1
3,1,37.0,1,1,2,324,70870,52,0,5,21,5,0
1,2,32.0,1,6,2,145,68395,48,0,10,42,6,0
3,1,52.0,1,3,2,106,64931,3,0,10,195,4,0
2,2,37.0,1,3,3,145,63719,3,0,5,41,7,0
3,2,27.0,0,8,2,324,71969,8,0,13,82,1,0
3,1,22.0,1,1,3,120,61705,8,0,13,87,5,1
2,1,42.0,1,3,4,166,71266,7,0,5,19,3,0
1,2,22.0,1,3,2,324,64709,44,0,13,12,7,0
1,1,27.0,0,5,4,166,72231,48,0,5,18,6,1
2,2,22.0,0,3,3,383,62331,7,0,13,18,5,0
3,1,22.0,0,6,2,120,68858,8,0,10,29,5,0
2,2,27.0,0,4,2,324,67819,8,0,6,85,8,0
3,1,57.0,1,3,2,324,68049,44,0,13,136,4,1
3,1,32.0,1,3,2,166,71985,7,0,5,22,1,0
2,2,37.0,1,3,2,145,65722,30,0,6,35,3,0
2,1,27.0,1,6,3,106,69120,8,0,6,30,3,0
2,2,27.0,0,1,3,106,64048,44,0,5,302,4,0
3,1,22.0,1,2,3,166,71290,3,0,5,75,4,1
2,1,22.0,1,7,3,383,71654,8,0,10,60,5,0
2,2,22.0,0,6,2,145,61382,8,0,5,33,5,0
2,2,27.0,0,2,2,106,66696,48,0,13,15,4,0
1,1,22.0,0,2,3,120,67785,7,0,5,23,6,0
3,2,57.0,0,5,2,383,63693,101,0,5,34,8,0
2,1,32.0,0,1,2,106,62380,3,0,5,131,8,0
2,1,27.0,0,3,4,324,69435,3,0,5,37,4,0
2,2,22.0,1,3,2,166,63800,60,0,6,68,4,0
3,1,27.0,1,6,2,120,70938,87,0,5,27,7,0
1,2,27.0,1,3,3,166,67587,73,0,13,23,1,0
2,2,57.0,0,3,3,120,70243,3,0,5,39,3,0
1,2,32.0,1,6,2,324,67702,7,0,5,42,4,0
1,1,52.0,1,1,3,324,70797,7,0,13,21,7,1
3,1,22.0,1,3,2,145,63834,44,0,5,23,3,0
2,2,32.0,1,5,2,324,72157,58,0,10,25,5,1
2,2,42.0,0,3,3,145,65748,64,0,5,27,5,0
2,2,37.0,0,8,2,106,75440,3,0,13,16,5,0
2,1,42.0,1,1,2,106,72199,72,0,5,132,4,0
1,2,27.0,1,4,2,145,66142,8,0,13,44,6,0
2,2,27.0,1,3,4,166,65318,72,0,13,84,4,0
2,2,32.0,0,8,2,145,72298,3,0,13,120,4,0
2,1,52.0,1,3,2,145,72371,32,0,10,247,6,0
1,2,37.0,1,1,4,166,71647,58,0,5,168,4,0
