focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,occupation,num_words,read,students,rownames,height,religiousness,culture,gender,specimen
2,6,5,1,174,105,5,5,2,4,3,3,1,324,679.0,170,10,188.0,3,5,male,HTB2751
6,6,6,1,328,264,5,10,2,3,3,4,5,324,643.2000122,81,56,180.0,2,3,female,AMNH99.1/111
5,4,1,0,228,177,13,5,3,3,3,7,5,106,662.0,510,376,180.0,2,1,female,MH4665
2,2,3,1,252,208,6,13,2,2,7,4,5,145,645.5,499,417,178.0,4,3,male,MH12327
1,5,6,0,388,378,5,6,2,3,4,7,5,383,665.5,865,138,175.0,3,3,male,BM1939.1021
2,2,4,0,239,239,10,6,2,4,3,4,1,145,661.2999878,10619,20,181.0,2,1,male,AMNH99.1/72
4,5,5,1,404,721,13,6,2,3,7,3,4,145,665.9000244,2440,71,179.0,4,6,female,UCD2(3a)b
4,6,8,0,303,248,5,5,2,2,9,3,4,106,634.5999756,6272,1,188.0,4,1,male,HTB1706
2,5,7,0,256,471,5,5,4,2,9,9,3,120,658.2999878,1708,74,176.0,2,2,male,HTB1225
6,2,5,1,241,211,10,10,2,4,4,4,3,145,657.7999878,275,197,183.0,2,5,female,HTB2001
1,2,5,1,410,506,5,10,3,4,7,4,5,145,680.5,2488,295,177.0,4,7,male,HTB1152
2,2,4,1,259,166,10,10,2,2,3,3,3,324,614.7999878,775,73,192.0,3,1,female,BM1868.4.16.2
5,2,1,0,256,474,5,5,4,3,7,3,5,166,700.9000244,5259,219,178.0,4,3,female,AMNH99.1/80(b)
2,3,5,1,411,334,6,13,3,3,7,4,5,383,665.5,2688,279,196.0,1,3,female,MH19784
2,3,3,0,411,548,10,10,4,3,3,7,6,120,673.7999878,2089,263,183.0,3,1,male,BM1976.1440
2,6,5,0,584,175,5,10,2,3,3,3,6,145,667.7000122,324,95,186.0,2,1,male,IPHA.15
6,5,3,1,501,363,5,6,3,2,4,7,6,145,704.0,237,79,178.0,4,8,male,BRK125821
6,6,4,0,185,388,10,5,3,3,3,7,3,145,620.4000244,2272,117,168.0,3,3,female,HTB1890
2,2,4,1,229,224,10,10,2,3,7,7,1,106,693.7999878,6201,133,188.0,5,3,male,UCD2(2)b
2,5,2,0,242,434,10,5,4,2,7,4,5,145,638.5,353,248,177.0,4,6,male,UCD2(1)b
5,2,3,1,578,511,5,10,3,2,7,7,6,120,653.0999756,2247,335,175.0,4,6,female,HTB1744
4,1,4,1,538,306,5,10,2,3,7,9,1,324,645.7000122,852,298,179.0,1,1,female,UCD2(1)b
5,6,1,1,535,526,5,6,2,3,3,4,5,324,650.9000244,2045,348,188.0,5,3,male,HTB1217
6,6,5,1,511,82,10,13,4,3,9,9,5,324,638.0,8294,232,175.0,2,1,female,UVS22
1,4,4,1,373,853,5,6,4,3,3,7,5,383,640.9000244,4734,413,171.0,3,3,male,AMNH99.1/97
5,2,5,0,181,155,10,10,2,2,3,3,6,166,664.5999756,2325,91,175.0,3,8,male,BM1976.1421
2,2,4,0,497,416,5,10,2,2,7,3,5,166,627.5,516,77,187.0,4,6,male,HTB1957
4,4,5,0,88,90,10,5,2,3,4,7,5,166,691.5999756,984,272,177.0,2,3,male,AMNH99.1/64
1,5,1,0,126,159,5,10,2,2,9,3,5,166,635.5,175,16,180.0,3,5,female,BRK125462
2,2,5,0,579,538,13,6,3,2,3,7,2,106,633.2000122,575,338,181.0,4,3,female,HTB1214
4,6,6,0,528,55,6,10,2,2,3,3,6,120,661.5,145,114,172.0,4,5,male,BM1931.4.1.1
2,5,6,0,749,805,10,10,2,2,3,3,1,383,637.7999878,417,34,176.0,4,3,female,HTB3552
2,2,5,1,461,616,10,5,2,3,7,7,5,120,647.0,326,368,181.0,4,6,female,BM1899.6.10.2
1,5,6,1,72,489,5,5,3,2,4,3,1,106,662.4000244,4612,76,175.0,1,6,female,BRK126291
4,4,1,1,290,264,10,6,3,2,3,3,3,145,621.2999878,382,281,191.0,5,2,female,IPHA.3
6,1,7,0,335,449,13,6,2,2,3,7,4,120,663.0999756,511,330,178.0,5,3,female,BM1939.1008
2,3,7,0,207,577,5,6,3,2,7,7,6,120,639.2999878,5804,80,183.0,3,4,female,HTB2771
3,2,3,0,390,469,6,5,2,2,9,7,5,383,631.7999878,900,31,184.0,2,4,female,BM1939.1007
1,4,1,1,308,175,13,10,2,2,3,7,4,120,674.5999756,296,369,190.0,3,4,male,HTB1718
2,5,5,0,343,197,5,10,3,2,9,7,3,145,660.2999878,868,318,185.0,2,4,female,AMNH99.1/80(a)
2,2,5,1,264,327,13,5,4,3,7,9,6,106,645.0999756,3724,370,178.0,2,2,female,HTB3413
2,1,7,1,257,454,5,5,4,2,3,4,1,106,611.9000244,7887,149,168.0,3,6,female,BM1976.1435
5,5,1,1,258,374,10,13,2,2,9,3,6,166,633.2000122,6518,176,180.0,3,1,female,HTB0828
6,6,6,1,185,462,10,5,2,2,7,3,2,120,654.5999756,195,416,195.0,2,3,male,BM1976.1419
4,2,5,1,324,295,10,10,2,2,4,7,3,383,673.2999878,187,193,170.0,2,7,female,UVS63
2,3,8,1,205,576,13,6,3,2,7,7,6,106,633.5,252,169,180.0,4,3,female,MH17264
2,4,4,1,426,425,13,10,3,3,3,3,5,383,631.4000244,2404,146,178.0,4,6,male,IPHA.12
6,2,4,1,403,467,5,5,3,3,3,3,7,145,668.2999878,460,40,183.0,2,6,male,MH24592
4,4,3,0,591,234,6,5,2,3,9,3,5,120,673.0999756,4142,57,172.0,2,3,female,MH2283
1,5,4,1,516,193,6,10,3,3,7,9,6,383,657.7999878,2471,195,193.0,4,8,male,BM1904.11.5.2
6,4,3,0,186,209,10,5,3,2,7,7,5,145,636.5999756,139,400,181.0,2,3,female,BRK126757
4,5,7,0,469,191,10,13,3,4,7,7,1,324,668.7999878,2660,278,185.0,3,1,female,NMNH227455
2,6,8,1,299,457,13,5,2,2,7,4,6,145,626.0999756,1212,240,184.0,5,3,female,BM1930.12.1.2
1,2,6,1,500,417,5,6,3,2,3,3,5,106,669.2000122,3548,327,181.0,4,3,female,BM1934.11.20.1
1,1,5,1,616,189,10,10,2,2,3,4,6,145,647.7000122,822,354,187.0,4,2,male,HTB1426
2,2,4,0,259,300,5,10,4,2,9,7,1,145,693.2999878,11474,229,180.0,2,1,male,MH12324
1,1,4,0,262,617,13,5,3,2,3,7,1,106,660.7999878,1862,209,184.0,4,3,female,MH5329
2,2,4,1,441,539,5,10,4,3,9,4,6,106,664.2000122,220,185,191.0,3,4,female,UVS40
