ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,bad_history,eval,weight,occupation,age,page_id,mortgage_credit,black,county,native
0,1950,Easy,6.777778,958,1,3,2,1590.0,63.0,MWR,5.40625,120,1870,0,3.4,78.0,1,32.0,3-2,1,0,San Diego,yes
1,1950,King,1.388889,955,0,3,4,5350.0,63.0,MWR,1.59375,130,6030,0,3.5,90.0,4,17.5,1-2,2,0,Tehama,yes
2,1952,Able,3.833333,985,0,1,3,150.0,61.0,MWR,2.96875,85,170,0,3.5,70.0,1,27.0,1-1,1,0,Humboldt,yes
3,1953,Barbara,9.833333,987,1,1,1,58.0,60.0,MWR,8.625,85,65,0,4.9,89.0,6,27.0,1-1,2,0,Ventura,yes
4,1953,Florence,8.333333,985,1,1,0,15.0,60.0,MWR,7.875,85,18,0,4.5,72.0,6,32.0,1-1,2,0,Santa Clara,yes
5,1954,Carol,8.111111,960,1,3,60,19321.0,59.0,MWR,8.53125,120,21375,0,4.5,74.0,1,27.0,2-1,2,0,Merced,yes
6,1954,Edna,8.555556,954,1,3,20,3230.0,59.0,MWR,7.625,120,3520,0,4.4,77.0,7,37.0,3-1,2,1,Stanislaus,yes
7,1954,Hazel,9.444444,938,1,4,20,24260.0,59.0,MWR,8.21875,145,28500,0,3.5,77.0,5,42.0,3-1,1,0,San Joaquin,yes
8,1955,Connie,8.5,962,1,3,0,2030.0,58.0,MWR,8.0,120,2270,0,4.5,74.0,5,22.0,2-1,1,0,San Diego,yes
9,1955,Diane,9.888889,987,1,1,200,14730.0,58.0,MWR,8.875,85,17250,0,4.1,89.0,5,27.0,3-2,2,0,Kings,yes
10,1955,Ione,5.944444,960,0,3,7,6200.0,58.0,MWR,6.21875,120,6990,0,4.0,67.0,3,37.0,3-2,2,0,Kern,no
11,1956,Flossy,7.0,975,1,2,15,1540.0,57.0,MWR,7.21875,105,1730,0,4.2,83.0,1,22.0,3-1,2,0,San Mateo,yes
12,1957,Audrey,8.59375,945,1,4,416,,,uri,8.59375,145,4290,0,4.4,76.0,5,22.0,2-2,2,0,Placer,yes
13,1958,Helene,9.888889,946,1,3,1,540.0,55.0,MWR,8.8125,120,610,0,4.5,77.0,3,32.0,3-1,2,0,Sacramento,yes
14,1959,Debra,9.888889,984,1,1,0,430.0,54.0,MWR,8.4375,85,500,0,4.7,69.0,1,22.0,1-1,2,1,San Diego,yes
15,1959,Gracie,9.777778,950,1,3,22,510.0,54.0,MWR,9.53125,120,580,0,4.4,74.0,6,22.0,2-1,1,0,Santa Barbara,yes
16,1960,Donna,9.277778,930,1,4,50,53270.0,53.0,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,8.875,145,62030,0,4.6,62.0,6,42.0,1-1,2,1,Sacramento,yes
17,1960,Ethel,8.722222,981,1,1,0,35.0,53.0,MWR,7.0625,85,39,0,3.3,82.0,6,52.0,2-2,2,0,San Luis Obispo,no
18,1961,Carla,9.5,931,1,4,46,15850.0,52.0,MWR,8.625,145,18130,1,3.6,67.0,3,22.0,2-2,2,1,Kern,no
19,1963,Cindy,9.944444,996,1,1,3,300.0,50.0,MWR,8.9375,85,340,0,4.3,78.0,5,32.0,3-1,2,0,Shasta,yes
20,1964,Cleo,7.944444,968,1,2,3,6450.0,49.0,MWR,7.125,105,7270,0,4.7,83.0,1,32.0,2-1,2,0,Santa Barbara,yes
21,1964,Dora,9.333333,966,1,2,5,16260.0,49.0,MWR,8.28125,105,18540,0,3.6,93.0,4,32.0,2-1,2,0,Sonoma,yes
22,1964,Hilda,8.833333,950,1,3,37,2770.0,49.0,MWR,7.65625,120,3070,0,4.7,64.0,6,27.0,3-1,2,0,Placer,yes
23,1964,Isbell,9.444444,974,1,2,3,800.0,49.0,MWR,8.3125,105,910,0,4.0,77.0,5,32.0,1-2,2,1,Nevada,yes
24,1965,Betsy,8.333333,948,1,3,75,20000.0,48.0,MWR,9.0,120,20640,0,4.3,73.0,1,32.0,3-1,2,0,Los Angeles,yes
25,1966,Alma,8.777778,982,1,2,6,730.0,47.0,MWR,7.15625,105,870,0,4.0,69.0,4,32.0,3-2,2,0,San Luis Obispo,yes
26,1966,Inez,8.277778,983,1,1,3,99.0,47.0,MWR,6.46875,85,110,0,4.0,74.0,5,22.0,3-1,2,1,Los Angeles,yes
27,1967,Beulah,7.277778,950,1,3,15,5060.0,46.0,MWR,6.34375,120,5760,0,4.2,79.0,5,32.0,2-1,1,0,San Mateo,yes
28,1968,Gladys,8.944444,977,1,2,3,800.0,45.0,MWR,7.65625,105,930,0,4.3,81.0,6,27.0,2-1,1,1,Shasta,yes
29,1969,Camille,9.055556,909,1,5,256,23040.0,44.0,MWR,8.875,190,25070,0,3.9,84.0,5,42.0,3-1,1,0,Siskiyou,yes
30,1970,Celia,9.444444,945,1,3,22,6870.0,43.0,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),9.21875,120,7660,0,5.0,83.0,2,22.0,3-1,2,0,Orange,yes
31,1971,Edith,8.5,978,1,2,0,300.0,42.0,MWR,7.65625,105,330,1,4.7,78.0,5,47.0,2-1,2,0,Imperial,yes
32,1971,Fern,7.388889,979,1,1,2,500.0,42.0,MWR,6.71875,85,570,0,3.7,84.0,3,22.0,2-1,1,0,Nevada,yes
33,1971,Ginger,10.0,995,1,1,0,200.0,42.0,MWR,8.65625,85,230,0,3.7,80.0,6,42.0,1-2,2,0,Sutter,yes
34,1972,Agnes,8.666667,980,1,1,117,20430.0,41.0,MWR,7.03125,85,22650,0,3.7,76.0,5,27.0,3-2,1,0,Shasta,yes
35,1974,Carmen,8.722222,952,1,3,1,1180.0,39.0,MWR,7.78125,120,1310,0,4.8,65.0,6,37.0,2-1,2,1,Tulare,yes
36,1975,Eloise,8.944444,955,1,3,21,6190.0,38.0,MWR,8.4375,120,7020,0,3.7,68.0,6,27.0,1-1,1,0,San Joaquin,yes
37,1976,Belle,10.444445,980,1,1,5,570.0,37.0,MWR,9.78125,85,620,1,4.0,65.0,1,32.0,2-1,2,0,Kern,yes
38,1977,Babe,6.888889,995,1,1,0,66.0,36.0,MWR,7.90625,85,74,0,4.9,72.0,3,27.0,2-2,2,0,San Bernardino,yes
39,1979,Bob,1.666667,986,0,1,1,70.0,34.0,MWR,1.71875,85,78,0,4.0,73.0,5,27.0,2-1,2,0,San Mateo,yes
40,1979,David,1.722222,970,0,2,15,2700.0,34.0,MWR,1.5625,105,3100,0,3.9,71.0,5,57.0,2-1,2,0,San Bernardino,yes
41,1979,Frederic,2.5,946,0,3,5,12770.0,34.0,MWR,2.0625,120,14350,1,4.4,64.0,5,27.0,1-2,2,1,Contra Costa,no
42,1980,Allen,2.666667,945,0,3,2,2130.0,33.0,MWR,2.03125,115,2450,0,3.9,77.0,1,27.0,2-1,2,1,San Mateo,yes
43,1983,Alicia,9.833333,962,1,3,21,10400.0,30.0,MWR,9.34375,115,12000,0,4.3,73.0,3,17.5,3-2,2,0,Monterey,yes
44,1984,Diana,9.944444,949,1,2,3,410.0,29.0,MWR,9.21875,110,490,0,3.5,84.0,6,37.0,2-2,1,0,Orange,yes
45,1985,Bob,1.666667,1002,0,1,0,130.0,28.0,MWR,1.71875,75,150,0,4.6,74.0,5,32.0,3-2,2,1,San Diego,yes
46,1985,Danny,2.222222,987,0,1,1,160.0,28.0,MWR,2.90625,90,170,0,3.5,70.0,5,27.0,1-2,2,0,Ventura,yes
47,1985,Elena,9.722222,959,1,3,4,4180.0,28.0,MWR,8.71875,115,4600,0,4.3,69.0,6,37.0,2-1,2,0,El Dorado,yes
48,1985,Gloria,9.5,942,1,3,8,3020.0,28.0,MWR,9.1875,120,3340,0,4.3,77.0,4,27.0,3-2,1,0,Nevada,yes
49,1985,Juan,1.944444,971,0,1,12,4730.0,28.0,MWR,1.875,85,5230,0,4.5,83.0,6,52.0,3-2,2,1,Tulare,yes
50,1985,Kate,9.666667,967,1,2,5,1310.0,28.0,MWR,9.1875,100,1480,0,3.2,76.0,2,22.0,3-1,2,1,Siskiyou,yes
51,1986,Bonnie,9.388889,990,1,1,3,6.0,27.0,MWR,9.25,85,6,0,3.6,71.0,5,52.0,2-2,2,0,San Diego,yes
52,1986,Charley,2.888889,990,0,1,5,58.0,27.0,MWR,4.0,75,66,0,4.0,,6,37.0,1-1,2,0,Alameda,yes
53,1987,Floyd,1.833333,993,0,1,0,1.0,26.0,MWR,2.40625,75,1,0,3.5,83.0,5,37.0,3-2,1,1,Kern,yes
54,1988,Florence,8.333333,984,1,1,1,4.0,25.0,MWR,7.875,80,4,0,3.8,54.0,3,42.0,1-2,2,0,Santa Cruz,yes
55,1989,Chantal,9.055556,986,1,1,13,290.0,24.0,MWR,8.3125,80,320,0,3.5,78.0,5,32.0,2-1,2,0,Shasta,yes
56,1989,Hugo,2.888889,934,0,4,21,20020.0,24.0,MWR,2.0,140,22690,0,4.3,77.0,5,37.0,1-2,1,1,Siskiyou,yes
57,1989,Jerry,2.333333,983,0,1,3,230.0,24.0,MWR,2.78125,85,260,1,4.0,84.0,1,27.0,1-2,2,0,Kern,yes
58,1991,Bob,1.666667,962,0,2,15,3620.0,22.0,MWR,1.71875,105,4020,0,4.7,80.0,1,37.0,2-2,1,0,Humboldt,yes
59,1992,Andrew,2.222222,922,0,5,62,66730.0,21.0,MWR,1.78125,170,75260,1,4.2,87.0,5,22.0,2-1,2,0,Merced,yes
60,1993,Emily,9.833333,960,1,3,3,96.0,20.0,MWR,10.03125,115,110,0,4.6,84.0,5,22.0,3-2,1,0,Sonoma,yes
61,1995,Erin,7.222222,973,1,2,6,1650.0,18.0,MWR,7.125,100,1850,0,5.0,83.0,5,27.0,2-2,2,0,San Bernardino,yes
62,1995,Opal,8.5,942,1,3,9,7550.0,18.0,MWR,7.65625,115,8600,0,4.0,71.0,5,37.0,2-2,1,1,Tulare,yes
63,1996,Bertha,8.5,974,1,2,8,700.0,17.0,MWR,7.375,105,810,0,4.0,64.0,6,37.0,3-1,2,0,Sonoma,yes
64,1996,Fran,7.166667,954,1,3,26,8260.0,17.0,MWR,7.0625,115,9610,0,4.5,84.0,5,42.0,2-1,1,0,Tehama,yes
