ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,bad_history,eval,weight,occupation,age,page_id,mortgage_credit,black,county,native
40,1996,Sandy,6.777778,909,1,4,8,4180.0,14.0,MWR,2.21875,120,21340,0,3.9,77.0,6,37.0,2-1,2,1,Kern,no
22,1952,Humberto,1.388889,937,1,2,5,700.0,28.0,MWR,8.3125,115,74,0,4.7,74.0,6,22.0,3-1,2,0,Monterey,yes
55,1959,Ginger,1.833333,960,1,3,3,12620.0,2.0,MWR,9.625,85,500,0,3.5,85.0,6,22.0,1-2,1,0,Kern,yes
72,1964,Bob,6.0,968,0,3,1,,8.0,MWR,7.65625,120,21375,0,4.5,78.0,2,27.0,2-1,1,0,Trinity,yes
0,2004,Hazel,9.166667,965,1,3,3,51.0,11.0,MWR,1.875,120,39,0,4.9,78.0,5,37.0,3-1,2,0,Placer,yes
26,1989,Betsy,1.055556,946,1,1,37,53270.0,15.0,MWR,8.71875,115,910,0,3.9,73.0,5,22.0,1-1,2,0,Nevada,yes
39,1985,Danny,9.055556,951,0,3,7,15850.0,50.0,MWR,8.625,120,3520,0,3.3,83.0,3,27.0,1-1,2,0,Tulare,yes
67,2007,Charley,3.833333,964,1,2,4,130.0,9.0,MWR,2.03125,120,7270,0,3.6,83.0,5,32.0,3-2,2,0,San Mateo,no
10,1956,Fran,10.444445,946,0,3,1,570.0,61.0,MWR,7.0625,105,18,0,4.3,78.0,5,37.0,3-2,1,0,Butte,yes
44,2003,Florence,9.833333,975,1,1,1,35.0,57.0,MWR,8.9375,120,17250,0,3.5,74.0,6,32.0,3-1,1,0,Shasta,yes
83,1955,Bob,1.666667,995,1,3,2,250.0,28.0,MWR,9.25,120,2400,0,4.1,74.0,3,32.0,1-2,2,0,Tehama,yes
35,1976,Charley,2.388889,987,0,1,256,200.0,60.0,MWR,6.03125,80,88420,0,4.1,82.0,1,42.0,3-1,2,0,Sacramento,yes
90,1979,Allen,9.166667,979,1,1,159,510.0,63.0,MWR,5.40625,85,3070,0,3.7,74.0,1,42.0,1-1,2,0,Ventura,yes
62,1950,Cindy,8.333333,987,1,1,3,4.0,5.0,MWR,7.03125,150,22650,0,3.8,83.0,4,32.0,2-2,2,1,San Mateo,yes
12,1999,Inez,8.277778,949,0,1,3,58.0,8.0,MWR,2.0,105,2270,0,4.5,72.0,5,32.0,1-2,1,1,Shasta,yes
4,1958,Belle,2.222222,980,1,1,5,5.0,14.0,MWR,6.21875,90,4020,0,4.0,76.0,5,27.0,2-2,2,0,Merced,yes
18,1954,Dennis,9.444444,950,1,2,6,730.0,22.0,MWR,2.21875,75,22690,0,4.3,82.0,6,37.0,3-1,2,0,San Luis Obispo,yes
28,1950,Beulah,5.944444,990,1,1,62,2030.0,,MWR,2.0625,85,810,0,4.3,62.0,4,22.0,1-1,2,0,Humboldt,yes
49,1988,Bonnie,10.0,948,0,1,4,20430.0,21.0,MWR,3.375,85,7580,0,4.4,62.0,6,22.0,2-1,1,0,Orange,yes
65,1985,Celia,8.777778,984,0,2,3,4980.0,9.0,MWR,2.90625,105,2930,0,4.7,74.0,1,42.0,3-1,2,0,San Mateo,yes
15,1971,Carol,9.888889,959,1,1,8,7110.0,16.0,MWR,7.875,75,4230,0,3.4,80.0,1,27.0,3-2,2,0,Siskiyou,yes
68,1957,Cindy,7.944444,962,1,3,3,290.0,8.0,MWR,8.4375,75,9200,0,3.7,83.0,4,52.0,2-1,2,0,Tehama,no
78,1989,Gloria,9.5,962,0,1,0,1.0,9.0,uri,8.21875,190,100,0,4.5,72.0,5,27.0,3-1,2,1,Santa Clara,no
30,2008,Dolly,9.277778,971,1,1,3,430.0,9.0,MWR,10.03125,90,29330,0,4.0,64.0,3,32.0,1-1,1,0,Santa Clara,yes
33,2003,Georges,9.944444,984,1,2,75,16260.0,54.0,MWR,7.9375,105,580,0,5.0,77.0,5,27.0,3-2,2,1,San Diego,yes
11,2005,Wilma,9.333333,980,1,2,15,,30.0,MWR,7.0625,85,24590,0,4.0,71.0,5,27.0,3-1,2,1,Placer,yes
66,1995,Floyd,9.444444,985,1,3,5,20510.0,5.0,MWR,9.21875,170,1730,0,3.5,77.0,3,32.0,2-2,2,0,Shasta,yes
69,1984,Ike,9.277778,964,1,1,0,2650.0,58.0,MWR,7.90625,85,1,0,4.0,77.0,3,27.0,2-1,2,0,Los Angeles,yes
31,2005,Gaston,8.5,966,1,3,0,20370.0,15.0,MWR,9.0,85,6,0,4.5,77.0,1,22.0,1-2,2,0,Kings,yes
77,1955,Florence,9.055556,967,0,1,26,66.0,9.0,MWR,7.125,105,280,0,4.4,,5,22.0,3-2,1,0,Alameda,yes
9,2005,Floyd,8.5,982,1,1,10,1260.0,42.0,MWR,2.40625,105,3100,1,3.7,77.0,6,22.0,2-1,2,0,Sonoma,yes
70,1980,Babe,9.388889,956,0,3,1833,1310.0,54.0,MWR,8.9375,120,170,0,3.4,81.0,5,52.0,1-2,2,0,San Mateo,yes
5,1963,Rita,8.111111,987,0,1,1,25960.0,5.0,MWR,7.65625,105,870,0,4.3,67.0,6,47.0,2-2,2,0,Siskiyou,yes
42,1959,Easy,8.333333,993,1,1,13,70.0,47.0,MWR,9.53125,105,260,0,4.4,84.0,5,32.0,1-1,1,0,Tehama,yes
47,2011,Elena,8.944444,942,1,1,51,500.0,10.0,MWR,1.875,105,7020,0,4.6,74.0,6,32.0,2-1,2,0,San Bernardino,yes
16,1998,Alma,2.333333,990,1,4,10,800.0,49.0,MWR,2.0,120,7660,0,4.7,89.0,3,37.0,1-1,1,0,Glenn,yes
45,1977,Isaac,6.888889,954,1,1,1,3620.0,44.0,uri,8.3125,85,340,0,4.2,64.0,4,37.0,2-2,2,0,Santa Clara,yes
34,1965,Fern,9.833333,986,0,1,0,14730.0,42.0,MWR,2.78125,105,6030,0,4.0,84.0,5,37.0,1-1,1,0,San Bernardino,yes
7,1954,Bret,9.5,952,0,1,21,5350.0,29.0,MWR,9.59375,125,4600,0,4.2,70.0,6,37.0,3-1,1,0,Sacramento,yes
80,2008,Jeanne,2.888889,945,1,2,8,2700.0,8.0,MWR,8.65625,120,28500,0,4.1,86.0,1,32.0,3-1,1,0,Sutter,yes
27,1964,David,9.666667,950,1,3,84,91.0,1.0,MWR,8.5625,100,1480,0,4.4,68.0,1,17.5,2-1,1,0,Stanislaus,yes
19,1961,Gladys,1.888889,955,1,4,3,2130.0,34.0,MWR,2.96875,75,65,1,3.6,73.0,6,27.0,1-2,2,0,Tulare,yes
76,1989,Gracie,7.277778,982,1,3,20,20020.0,28.0,MWR,2.40625,115,180,0,4.3,71.0,3,32.0,3-1,2,0,Kern,yes
25,2005,Danny,1.666667,987,1,3,5,410.0,18.0,MWR,9.1875,80,570,0,3.5,78.0,3,27.0,2-1,2,0,Contra Costa,yes
53,1971,Ethel,8.833333,1002,1,1,1,6190.0,28.0,MWR,2.0,80,2450,0,4.2,84.0,3,47.0,2-1,1,0,El Dorado,yes
13,2004,Helene,9.0,934,1,1,1,58.0,8.0,MWR,2.90625,120,100,0,4.3,89.0,5,32.0,3-1,2,0,Contra Costa,yes
24,1967,Alicia,9.388889,987,1,1,3,540.0,49.0,MWR,9.34375,120,5760,0,4.0,73.0,1,22.0,3-1,1,1,Los Angeles,yes
3,1955,Dora,2.5,983,1,1,0,7550.0,15.0,MWR,1.59375,75,5610,0,4.2,78.0,6,32.0,3-1,2,0,Sonoma,yes
17,2005,Emily,9.722222,938,0,5,15,5060.0,63.0,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),2.40625,145,62030,0,3.5,91.0,7,27.0,2-2,2,1,Kern,yes
38,2004,Diana,9.388889,963,1,4,2,20000.0,27.0,MWR,1.5625,75,18130,0,4.0,67.0,5,22.0,1-1,1,0,Ventura,yes
8,2008,Edna,9.277778,958,0,2,3,800.0,49.0,MWR,8.0,115,1910,1,4.0,80.0,6,27.0,1-1,1,0,Fresno,no
73,1966,Ione,1.666667,995,1,3,50,1650.0,59.0,MWR,7.65625,105,150,0,4.5,83.0,6,22.0,1-1,1,1,Merced,yes
6,2012,Agnes,7.166667,983,0,2,200,24260.0,55.0,MWR,4.0,105,11280,0,3.9,77.0,5,32.0,2-1,2,0,San Diego,yes
89,1969,Alex,9.888889,935,0,3,1,160.0,36.0,MWR,8.8125,75,12180,0,3.5,74.0,1,22.0,3-2,1,0,Trinity,yes
36,1966,Frederic,1.944444,945,0,2,117,230.0,58.0,MWR,9.21875,90,9610,0,4.9,81.0,5,22.0,2-1,2,1,San Joaquin,yes
87,1983,Connie,2.666667,941,0,1,7,24000.0,28.0,MWR,7.875,100,610,0,4.6,88.0,4,22.0,2-1,2,0,Shasta,yes
56,1979,Juan,1.722222,946,1,4,22,1650.0,17.0,MWR,4.0,80,18540,0,5.0,77.0,3,27.0,3-2,1,0,Humboldt,yes
93,1999,Hugo,7.0,957,1,3,5,94.0,60.0,MWR,1.71875,120,370,0,3.5,81.0,5,22.0,1-2,1,0,San Mateo,yes
54,1953,Diane,2.666667,954,1,3,5,66730.0,53.0,MWR,10.0625,80,4800,0,4.2,90.0,6,22.0,1-2,2,0,Monterey,yes
43,1999,Opal,9.944444,991,1,3,5,23040.0,24.0,MWR,8.53125,85,66,0,4.0,79.0,5,27.0,1-1,2,1,Tulare,yes
50,1987,Irene,8.555556,960,1,1,3,1590.0,43.0,MWR,8.28125,85,200,0,5.0,64.0,1,57.0,3-1,2,1,Siskiyou,yes
75,1979,Flossy,8.5,981,1,1,21,6.0,26.0,MWR,9.46875,120,490,0,3.5,54.0,5,42.0,3-2,2,1,Los Angeles,yes
