feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
40,1996,Sandy,6.777778,909,1,4,8,4180.0,14.0,MWR,2.21875,120,21340
22,1952,Humberto,1.388889,937,1,2,5,700.0,28.0,MWR,8.3125,115,74
55,1959,Ginger,1.833333,960,1,3,3,12620.0,2.0,MWR,9.625,85,500
72,1964,Bob,6.0,968,0,3,1,,8.0,MWR,7.65625,120,21375
0,2004,Hazel,9.166667,965,1,3,3,51.0,11.0,MWR,1.875,120,39
26,1989,Betsy,1.055556,946,1,1,37,53270.0,15.0,MWR,8.71875,115,910
39,1985,Danny,9.055556,951,0,3,7,15850.0,50.0,MWR,8.625,120,3520
67,2007,Charley,3.833333,964,1,2,4,130.0,9.0,MWR,2.03125,120,7270
10,1956,Fran,10.444445,946,0,3,1,570.0,61.0,MWR,7.0625,105,18
44,2003,Florence,9.833333,975,1,1,1,35.0,57.0,MWR,8.9375,120,17250
83,1955,Bob,1.666667,995,1,3,2,250.0,28.0,MWR,9.25,120,2400
35,1976,Charley,2.388889,987,0,1,256,200.0,60.0,MWR,6.03125,80,88420
90,1979,Allen,9.166667,979,1,1,159,510.0,63.0,MWR,5.40625,85,3070
62,1950,Cindy,8.333333,987,1,1,3,4.0,5.0,MWR,7.03125,150,22650
12,1999,Inez,8.277778,949,0,1,3,58.0,8.0,MWR,2.0,105,2270
4,1958,Belle,2.222222,980,1,1,5,5.0,14.0,MWR,6.21875,90,4020
18,1954,Dennis,9.444444,950,1,2,6,730.0,22.0,MWR,2.21875,75,22690
28,1950,Beulah,5.944444,990,1,1,62,2030.0,,MWR,2.0625,85,810
49,1988,Bonnie,10.0,948,0,1,4,20430.0,21.0,MWR,3.375,85,7580
65,1985,Celia,8.777778,984,0,2,3,4980.0,9.0,MWR,2.90625,105,2930
15,1971,Carol,9.888889,959,1,1,8,7110.0,16.0,MWR,7.875,75,4230
68,1957,Cindy,7.944444,962,1,3,3,290.0,8.0,MWR,8.4375,75,9200
78,1989,Gloria,9.5,962,0,1,0,1.0,9.0,uri,8.21875,190,100
30,2008,Dolly,9.277778,971,1,1,3,430.0,9.0,MWR,10.03125,90,29330
33,2003,Georges,9.944444,984,1,2,75,16260.0,54.0,MWR,7.9375,105,580
11,2005,Wilma,9.333333,980,1,2,15,,30.0,MWR,7.0625,85,24590
66,1995,Floyd,9.444444,985,1,3,5,20510.0,5.0,MWR,9.21875,170,1730
69,1984,Ike,9.277778,964,1,1,0,2650.0,58.0,MWR,7.90625,85,1
31,2005,Gaston,8.5,966,1,3,0,20370.0,15.0,MWR,9.0,85,6
77,1955,Florence,9.055556,967,0,1,26,66.0,9.0,MWR,7.125,105,280
9,2005,Floyd,8.5,982,1,1,10,1260.0,42.0,MWR,2.40625,105,3100
70,1980,Babe,9.388889,956,0,3,1833,1310.0,54.0,MWR,8.9375,120,170
5,1963,Rita,8.111111,987,0,1,1,25960.0,5.0,MWR,7.65625,105,870
42,1959,Easy,8.333333,993,1,1,13,70.0,47.0,MWR,9.53125,105,260
47,2011,Elena,8.944444,942,1,1,51,500.0,10.0,MWR,1.875,105,7020
16,1998,Alma,2.333333,990,1,4,10,800.0,49.0,MWR,2.0,120,7660
45,1977,Isaac,6.888889,954,1,1,1,3620.0,44.0,uri,8.3125,85,340
34,1965,Fern,9.833333,986,0,1,0,14730.0,42.0,MWR,2.78125,105,6030
7,1954,Bret,9.5,952,0,1,21,5350.0,29.0,MWR,9.59375,125,4600
80,2008,Jeanne,2.888889,945,1,2,8,2700.0,8.0,MWR,8.65625,120,28500
27,1964,David,9.666667,950,1,3,84,91.0,1.0,MWR,8.5625,100,1480
19,1961,Gladys,1.888889,955,1,4,3,2130.0,34.0,MWR,2.96875,75,65
76,1989,Gracie,7.277778,982,1,3,20,20020.0,28.0,MWR,2.40625,115,180
25,2005,Danny,1.666667,987,1,3,5,410.0,18.0,MWR,9.1875,80,570
53,1971,Ethel,8.833333,1002,1,1,1,6190.0,28.0,MWR,2.0,80,2450
13,2004,Helene,9.0,934,1,1,1,58.0,8.0,MWR,2.90625,120,100
24,1967,Alicia,9.388889,987,1,1,3,540.0,49.0,MWR,9.34375,120,5760
3,1955,Dora,2.5,983,1,1,0,7550.0,15.0,MWR,1.59375,75,5610
17,2005,Emily,9.722222,938,0,5,15,5060.0,63.0,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),2.40625,145,62030
38,2004,Diana,9.388889,963,1,4,2,20000.0,27.0,MWR,1.5625,75,18130
8,2008,Edna,9.277778,958,0,2,3,800.0,49.0,MWR,8.0,115,1910
73,1966,Ione,1.666667,995,1,3,50,1650.0,59.0,MWR,7.65625,105,150
