chimpanzee,age,sex,hammer,nuts_opened,seconds,help,female,eval,rating,affairs,dyslexia_bin,bad_history,ndam15,n_focal,elapsedyrs,stdev_age
11,3,m,G,0,61.0,N,0.0,3.4,5,0,0.0,0,3100,5,34.0,4.14023787
11,3,m,G,0,37.0,N,1.0,3.5,5,0,0.0,0,3070,5,49.0,4.42495725
18,4,f,wood,0,20.0,N,0.0,3.5,5,2,0.0,0,320,5,24.0,7.47240717
18,4,f,G,0,14.0,y,0.0,4.9,5,0,,0,1380,5,11.0,2.98325724
18,4,f,L,0,13.0,N,1.0,4.5,5,0,0.0,0,1870,10,63.0,3.4773143
11,4,m,Q,0,24.0,N,0.0,4.5,4,0,0.0,0,110,10,47.0,2.62887685
11,4,m,Q,0,30.5,N,1.0,4.4,2,0,0.0,0,78,10,34.0,10.5751031
17,5,f,wood,0,135.0,N,0.0,3.5,5,1,0.0,0,180,5,15.0,3.2128737
7,5,m,G,3,24.0,N,0.0,4.5,5,0,0.0,0,6990,5,58.0,3.60915514
1,5,m,L,0,13.0,N,0.0,4.1,2,0,1.0,0,490,6,29.0,5.1293812
22,5,m,wood,0,34.0,N,0.0,4.0,1,0,0.0,0,88420,10,8.0,3.89582582
9,6,m,G,58,66.5,N,0.0,4.2,5,0,0.0,0,1310,13,39.0,17.258272
9,6,m,G,4,5.0,N,1.0,4.4,4,0,0.0,0,23070,10,5.0,2.33861853
9,6,m,G,21,24.0,N,1.0,4.5,2,7,0.0,0,8600,5,18.0,4.16498874
9,6,m,G,9,20.0,N,1.0,4.7,4,0,0.0,0,4290,13,,4.03507241
9,6,m,G,2,6.0,N,0.0,4.4,5,0,0.0,0,18,13,60.0,5.71046472
9,6,m,G,30,42.0,N,0.0,4.6,3,0,1.0,0,18130,13,52.0,5.1293812
9,6,m,G,19,43.0,N,1.0,3.3,2,0,0.0,0,930,5,45.0,1.26803942
9,6,m,G,13,26.5,N,0.0,3.6,5,0,0.0,1,5230,13,28.0,3.4773143
9,6,m,G,6,14.0,N,0.0,4.3,5,0,0.0,0,220,5,16.0,3.52464829
15,6,m,G,11,27.0,N,0.0,4.7,4,0,0.0,0,580,10,54.0,6.70718105
7,6,m,G,1,12.0,y,0.0,3.6,4,3,0.0,0,4230,5,15.0,8.74186019
9,6,m,G,2,17.0,N,0.0,4.7,5,1,,0,200,10,9.0,2.85690736
1,6,m,L,0,4.0,N,0.0,4.0,4,7,,0,7660,5,43.0,3.2920468
7,6,m,G,1,17.0,N,0.0,4.3,4,0,0.0,0,230,5,42.0,3.33164782
13,6,m,wood,0,17.0,N,0.0,4.0,4,3,0.0,0,1730,10,57.0,2.35865298
13,6,m,G,0,15.0,N,0.0,4.0,5,0,0.0,0,1910,10,15.0,2.429595478
7,6,m,G,0,12.0,y,0.0,4.2,4,0,,0,100,5,14.0,3.6143239
13,6,m,G,0,23.0,y,1.0,4.3,4,7,1.0,0,330,5,42.0,6.79442263
7,6,m,wood,0,47.0,N,0.0,3.9,4,0,0.0,0,14820,10,9.0,8.74186019
3,7,f,G,4,23.0,N,0.0,5.0,5,1,0.0,0,17250,6,58.0,11.5228136
3,7,f,L,0,16.0,N,0.0,4.7,4,0,1.0,1,9200,5,14.0,3.33164782
3,7,f,L,0,13.5,N,0.0,3.7,4,0,0.0,0,21375,10,59.0,3.79588028
19,7,m,G,8,16.0,N,0.0,3.7,4,0,1.0,0,2450,10,33.0,3.42374303
9,7,m,G,10,23.5,N,0.0,3.7,4,0,0.0,0,4600,6,28.0,4.0457765
9,7,m,G,11,33.0,N,1.0,4.8,2,7,0.0,0,62030,10,53.0,3.20634803
9,7,m,G,1,3.0,N,0.0,3.7,5,0,0.0,0,150,6,28.0,3.09453499
16,8,f,G,4,12.0,N,0.0,4.0,4,7,1.0,1,22650,10,41.0,2.86641
2,8,f,G,2,10.5,N,0.0,4.9,5,0,0.0,0,28500,5,59.0,2.10624751
2,8,f,G,1,12.0,N,0.0,4.0,1,0,1.0,0,12180,10,9.0,8.23260632
16,8,f,G,0,7.5,N,0.0,3.9,5,0,0.0,0,5760,5,46.0,3.63654073
16,8,f,G,0,32.0,N,1.0,4.4,4,0,0.0,1,340,5,50.0,5.56908606
9,8,m,G,36,38.0,N,1.0,3.9,4,1,1.0,0,24590,13,9.0,3.45050478
19,8,m,G,4,9.0,y,0.0,4.3,5,12,0.0,0,870,5,47.0,2.96878123
9,8,m,G,16,13.0,N,0.0,3.5,4,0,1.0,0,1,13,26.0,3.49137561
9,8,m,G,77,59.0,N,1.0,4.6,3,0,,0,610,6,55.0,3.46891175
9,8,m,G,41,40.0,N,0.0,3.5,4,12,0.0,0,20640,5,48.0,2.86641
19,8,m,G,22,36.0,N,0.0,4.3,4,0,0.0,0,65,5,60.0,2.81004779
9,8,m,G,49,51.0,N,0.0,4.3,5,0,0.0,0,39,13,53.0,3.29146087
19,8,m,G,37,60.0,N,1.0,4.5,3,1,0.0,0,74,10,36.0,3.66038599
19,8,m,G,31,71.0,y,0.0,3.2,4,0,0.0,0,2270,6,58.0,3.92661051
19,8,m,G,11,14.0,N,0.0,3.6,4,0,1.0,0,280,13,10.0,5.035316
9,8,m,G,5,10.0,N,0.0,4.0,4,0,0.0,0,3520,5,59.0,3.16442127
19,8,m,G,8,33.0,y,0.0,3.5,2,12,1.0,0,4800,13,5.0,2.69681693
9,8,m,L,0,11.0,N,1.0,3.8,2,7,0.0,0,7020,10,38.0,3.87558812
4,9,f,G,1,4.5,N,0.0,3.5,3,0,0.0,0,55,5,6.0,7.9144902
4,9,f,wood,0,17.0,N,0.0,4.3,3,0,0.0,0,22690,10,24.0,3.49014071
9,9,m,G,30,47.0,N,0.0,4.0,2,0,0.0,1,52270,10,1.0,3.35489121
9,9,m,G,13,24.0,N,0.0,4.7,4,0,0.0,0,4,5,25.0,3.92661051
9,9,m,G,15,34.5,N,0.0,4.2,4,0,0.0,1,12000,5,30.0,5.83722718
4,10,f,G,0,2.5,N,0.0,4.6,5,0,0.0,0,1480,5,28.0,2.35865298
8,11,f,G,4,13.0,N,0.0,5.0,4,0,0.0,0,6,5,9.0,4.87868148
14,12,f,G,10,10.0,N,0.0,4.0,3,0,0.0,0,170,10,28.0,2.38690817
21,13,f,G,5,13.0,N,0.0,4.0,2,12,1.0,0,9610,10,17.0,10.5
12,13,m,G,51,43.0,N,1.0,4.5,4,7,0.0,0,1850,10,18.0,5.44334199
5,13,m,G,3,6.0,N,0.0,4.4,5,0,0.0,0,7580,5,2.0,4.13857528
5,13,m,G,4,6.5,N,0.0,4.4,5,7,0.0,0,100,5,8.0,3.85801676
20,14,m,G,50,50.0,N,0.0,3.4,2,7,0.0,0,14350,6,34.0,2.43523526
20,14,m,G,36,48.0,N,0.0,3.5,5,0,0.0,0,4020,10,22.0,2.76002868
20,14,m,G,6,14.5,N,1.0,4.5,5,0,0.0,0,3340,13,28.0,2.69681693
20,14,m,G,3,8.5,N,0.0,3.9,4,0,0.0,0,370,10,8.0,3.63455838
20,14,m,G,4,15.0,N,0.0,3.5,3,0,0.0,0,260,5,24.0,18.0781611
20,14,m,G,7,17.0,N,0.0,4.6,4,0,0.0,0,570,13,42.0,4.90999368
20,15,m,G,41,56.5,N,0.0,4.2,5,0,0.0,0,1260,13,5.0,5.83722718
10,15,m,G,27,33.0,N,0.0,4.5,4,0,1.0,0,75260,13,21.0,6.474995012
6,15,m,G,30,36.0,N,0.0,4.2,3,12,0.0,0,810,5,17.0,2.18171291
20,15,m,G,17,42.0,N,0.0,4.1,5,0,0.0,0,21340,13,9.0,6.96111299
20,15,m,G,14,23.0,N,0.0,4.2,5,0,0.0,0,620,5,37.0,12.6
6,15,m,G,16,20.0,N,0.0,3.9,3,7,0.0,0,25070,10,44.0,3.09453499
10,15,m,G,7,12.0,N,0.0,3.3,4,0,1.0,0,6030,5,63.0,4.51398683
10,15,m,G,5,12.5,N,1.0,4.9,5,0,1.0,1,66,10,27.0,20.3446194
6,15,m,G,8,13.0,N,,3.4,5,0,0.0,0,18540,5,49.0,4.47291497
6,16,m,G,24,20.0,N,1.0,4.7,2,2,1.0,0,170,5,61.0,6.56320224
6,16,m,G,25,36.0,N,0.0,4.1,5,0,0.0,0,910,10,49.0,3.16346606
