chimpanzee,age,sex,hammer,nuts_opened,seconds,help
20,8,f,G,4,60.0,N
11,7,m,G,0,17.0,N
9,4,m,G,0,20.0,N
9,8,m,wood,5,13.0,N
9,15,m,G,2,23.0,N
20,6,m,G,0,47.0,N
22,6,m,G,58,56.5,N
9,4,f,G,17,12.0,N
18,15,m,G,1,36.0,N
5,14,m,wood,25,26.5,N
16,3,m,wood,21,47.0,N
19,6,m,wood,8,12.0,N
9,14,f,G,7,13.0,N
6,8,f,G,0,42.0,N
4,6,m,G,1,24.0,N
9,3,m,G,11,10.5,N
19,8,m,G,1,5.0,N
20,8,f,L,5,12.5,N
9,5,f,G,36,36.0,N
19,15,m,G,37,6.5,N
9,15,m,G,11,20.0,N
3,6,f,G,0,17.0,N
2,8,f,G,11,7.5,N
13,9,m,Q,22,37.0,N
1,9,m,L,14,43.0,N
20,6,m,G,1,11.0,N
11,8,f,G,51,42.0,N
9,6,m,G,0,23.0,N
3,6,f,G,9,10.0,N
9,4,m,G,36,66.5,N
9,8,m,G,0,23.0,N
6,14,m,wood,4,13.5,N
9,6,m,G,0,27.0,N
12,6,m,G,10,33.0,y
17,8,m,G,16,15.0,N
20,7,m,G,0,2.5,N
4,9,m,G,0,3.0,N
9,6,m,L,0,17.0,N
20,12,f,G,16,50.0,y
13,15,m,G,0,14.0,N
19,15,m,G,2,24.0,y
9,6,f,G,77,24.0,N
14,6,m,G,41,48.0,N
18,6,m,G,30,13.0,N
9,8,m,G,50,38.0,N
2,8,m,G,3,34.0,N
7,15,m,G,31,9.0,N
5,4,f,G,41,14.0,N
11,13,m,G,0,12.0,N
9,8,m,G,19,12.0,N
6,14,m,Q,8,16.0,N
8,6,m,G,0,6.0,N
19,5,m,G,3,17.0,N
9,15,m,G,30,20.0,N
6,6,m,G,0,13.0,N
9,14,f,L,0,12.0,N
7,8,m,G,0,14.5,y
16,11,m,G,4,33.0,N
13,16,m,G,3,13.0,N
9,5,m,wood,8,43.0,N
7,8,m,G,5,16.0,N
19,10,m,G,10,40.0,y
10,5,m,L,4,20.0,N
20,7,m,G,4,61.0,N
9,8,f,G,49,23.5,y
3,7,m,G,24,51.0,N
10,4,f,G,27,33.0,N
9,15,m,G,4,8.5,N
21,7,m,G,15,32.0,N
20,13,m,G,2,10.0,y
16,8,m,G,1,6.0,N
7,7,m,G,0,71.0,N
11,16,m,G,0,4.5,N
9,7,m,G,7,59.0,N
7,13,m,G,0,13.0,N
18,9,m,G,0,36.0,N
1,6,f,G,0,34.5,N
6,8,m,G,30,4.0,N
10,6,m,G,13,14.0,N
15,9,f,G,6,17.0,N
4,6,m,L,13,24.0,N
20,8,m,G,0,15.0,N
9,13,m,G,6,30.5,N
19,14,m,G,4,135.0,N
