tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,MH12320,6,4,38.8182459,3.80295048,0.75,Homo sapiens,Australian aboriginie
Anterior,BRK126260,0,8,32.5480799,4.28424336,0.5,Homo sapiens,French Cameroons
Posterior,IPHA.34,2,12,51.9,6.01663882,0.0,Homo sapiens,East Africa
Premolar,IPHA.47,1,12,33.1440427,2.81576611,0.25,Papio,East Africa
Anterior,BRK126764,9,8,11.2611071,4.08550898,0.25,Papio,Native Californian
Posterior,MH19784,0,6,18.5922731,2.91816725,0.75,Homo sapiens,Native Californian
Premolar,MH4763,2,8,17.3030178,3.95531929,0.25,Papio,Khoi-San or bushman half-caste
Anterior,MH4767,6,8,38.3400851,2.74721254,0.0,Pongo,Khoi-San or bushman half-caste
Anterior,BRK125832,0,12,24.2343641,3.37708808,0.0,Homo sapiens,Native Californian
Premolar,BRK126760,0,8,25.1150301,7.8,0.0,Papio,Khoi-San
Anterior,BRK126054,0,8,26.0065524,9.1,1.0,Homo sapiens,East Africa
Posterior,HTB2747,0,6,23.6198193,10.0,0.75,Papio,Buriat
Posterior,HTB1222,0,8,22.0893133,9.29798279,0.5,Homo sapiens,Australian aboriginie
Anterior,MH8057,4,9,15.3185476,9.02231946,0.0,Homo sapiens,East Africa
Anterior,HTB1758,0,12,27.7190342,7.2151844,0.25,Homo sapiens,East Africa
Anterior,BRK126261,0,12,35.8000964,3.68843519,0.25,Homo sapiens,French Cameroons
Posterior,UVS101,0,4,29.8890376,4.28424336,1.0,Homo sapiens,Borneo
Anterior,PMN1390,0,12,17.6784056,3.45050478,0.75,Pongo,Khoi-San
Posterior,BM1908.8.9.41,0,8,26.6524031,3.66420581,0.75,Papio,French Cameroons
Anterior,MH1503,0,12,17.6369048,5.69322104,0.75,Pongo,Chucki
Posterior,MH1505,0,12,20.2042991,8.82500633,0.75,Papio,West Africa
Premolar,AMNH99.1/105,0,11,24.6086959,4.59386268,1.0,Papio,Tasmanien
Anterior,BM1924.8.6.16,0,11,19.5297384,3.7272427,0.75,Homo sapiens,Afalou
Premolar,AMNH99.1/91-B,0,12,10.7760379,2.86641,0.75,Homo sapiens,Arabia
Posterior,AMNH99.1/99,4,12,20.2042991,6.06203036,0.25,Pongo,East Africa
Anterior,NMNH344713,0,12,43.749247,3.88831042,1.0,Pan,Chucki
Posterior,MH12327,0,4,59.6247021,4.43727895,0.75,Homo sapiens,Australian aboriginie
Posterior,NMNH225025,0,12,20.0102867,6.79442263,1.0,Homo sapiens,Australian aboriginie
Anterior,HTB1957,0,6,17.3783748,8.3,0.0,Homo sapiens,Tasmanien
Anterior,IPHA.7,0,8,25.2000219,10.0,0.25,Homo sapiens,Native Californian
Posterior,BM1884.10.30.1,0,8,23.6198193,2.43523526,1.0,Homo sapiens,West Africa
