rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,consumer_credit,help,height,education,uuid,married,female,school,year
1,yes,36,female,more,0.2899157,4.3,upper,yes,yes,24,43,1,1,N,185.0,17,f9b78c22-3fa5-4a9d-b697-ca70e5a794a3,1.0,0.0,Sunol Glen Unified,1950
2,no,59,female,more,-0.7377322,4.5,upper,yes,yes,17,20,2,1,N,192.0,14,5940aa1c-da60-4873-b97f-e4d89f2d1a85,1.0,1.0,Manzanita Elementary,1950
3,no,51,female,more,-0.5719836,3.7,upper,yes,yes,55,55,3,1,N,178.0,14,78dae403-7187-4be7-86de-8a1543649957,1.0,0.0,Thermalito Union Elementary,1952
4,no,40,male,more,-0.6779634,4.3,upper,yes,yes,40,46,4,1,y,193.0,17,2f391d00-fce2-4b0b-9e09-e98753d78adb,1.0,0.0,Golden Feather Union Elementary,1953
5,no,31,male,more,1.509794,4.4,upper,yes,yes,42,48,5,1,N,183.0,14,43bf127a-e9f8-4553-8ed9-5bd8a1da3ac0,1.0,1.0,Palermo Union Elementary,1953
6,no,62,female,more,0.5885687,4.2,upper,yes,yes,182,282,6,1,N,186.0,16,ad4283c9-d606-4e9c-b45f-7f660b31f5d3,0.0,0.0,Burrel Union Elementary,1954
7,no,33,male,more,-0.126001,4.0,upper,yes,yes,33,41,7,1,N,177.0,20,3979e883-9ca7-4771-a299-0d6a366f1a60,0.0,1.0,Holt Union Elementary,1954
8,no,51,male,more,-0.2581899,3.4,upper,yes,yes,25,41,8,5,N,179.0,16,0ea68c5a-057a-46c5-afda-4dbf75e4c5c4,1.0,0.0,Vineland Elementary,1954
9,no,33,female,more,0.1496926,4.5,upper,yes,yes,48,60,9,4,N,180.0,16,a75e076f-3028-44a1-af60-ca3b3bcaeed0,1.0,0.0,Orange Center Elementary,1955
10,no,47,male,more,0.540917,3.9,upper,yes,no,16,19,10,2,N,195.0,20,7c73f8eb-7012-45e2-b6ad-2197ba40b925,1.0,0.0,Del Paso Heights Elementary,1955
11,yes,35,female,more,0.2316134,3.1,upper,no,yes,18,25,11,1,N,175.0,14,71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,0.0,0.0,Le Grand Union Elementary,1955
12,no,37,female,more,-0.0666737,4.0,upper,yes,no,30,34,12,2,N,190.0,16,b74b7a54-edf6-4d3f-92d3-8dc119424956,0.0,0.0,West Fresno Elementary,1956
13,no,42,female,more,0.2168924,3.8,upper,yes,yes,28,40,13,5,N,181.0,14,c2330187-54a2-48ba-be2c-d317fea39438,1.0,1.0,Allensworth Elementary,1957
14,no,49,female,more,-0.2586962,3.4,upper,no,yes,30,36,14,1,N,180.0,14,5defc8cd-7312-4744-9ac0-ff39228637ed,1.0,1.0,Sunnyside Union Elementary,1958
15,no,37,female,more,0.5502878,2.9,upper,yes,yes,23,28,15,6,N,172.0,14,264b7cb3-a20d-4fe4-9f75-2a0dda8f6300,1.0,1.0,Woodville Elementary,1959
16,no,45,male,more,-0.0620358,4.5,upper,yes,yes,23,33,16,1,N,184.0,18,ce41ecb5-d3d6-467d-8d90-0da4db858b7c,1.0,0.0,Pixley Union Elementary,1959
