rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,defeats,other,gender_mf,english,calworks,rater2,victories,nuts_opened,height,eval
4,0,male,37.0,10.0,no,3,18,7,4,2,1,1,0.0,0.5102000237,0.25,0,0,185.0,4.3
5,0,female,27.0,4.0,no,4,14,6,4,0,1,0,4.583333492,15.41670036,0.75,1,0,192.0,4.5
11,0,female,32.0,15.0,yes,1,12,1,4,0,5,0,30.00000191,55.03229904,,0,0,178.0,3.7
16,0,male,57.0,15.0,yes,5,18,6,5,1,6,1,0.0,36.47539902,0.75,0,0,193.0,4.3
23,0,male,22.0,0.75,no,2,17,6,3,5,2,1,13.85767746,33.10860062,0.25,5,0,183.0,4.4
29,0,female,32.0,1.5,no,2,17,5,5,1,2,1,12.40875912,12.31879997,0.25,3,0,186.0,4.2
44,0,female,22.0,0.75,no,2,12,1,3,0,2,1,68.71794891,12.90320015,0.25,2,0,177.0,4.0
45,0,male,57.0,15.0,yes,2,14,4,4,1,6,1,46.95946121,18.80629921,0.0,0,0,179.0,3.4
47,0,female,32.0,15.0,yes,4,16,1,2,2,5,1,30.07915688,32.18999863,0.0,0,3,180.0,4.5
49,0,male,22.0,1.5,no,4,14,4,5,0,2,1,40.27592087,78.99420166,1.0,1,0,195.0,3.9
50,0,male,37.0,15.0,yes,2,20,7,2,0,2,0,52.91479874,18.60989952,0.25,1,0,175.0,3.1
55,0,male,27.0,4.0,yes,4,18,6,4,0,6,1,54.60993195,71.71309662,0.25,1,58,190.0,4.0
64,0,male,47.0,15.0,yes,5,17,6,4,1,1,1,42.71844482,22.42989922,0.25,0,4,181.0,3.8
80,0,female,22.0,1.5,no,2,17,5,4,0,5,1,20.53388023,24.6093998,0.25,1,21,180.0,3.4
86,0,female,27.0,4.0,no,4,14,5,4,1,6,1,80.1232605,14.63790035,0.0,1,9,172.0,2.9
93,0,female,37.0,15.0,yes,1,17,5,5,0,2,1,49.41314316,24.21419907,,0,2,184.0,4.5
108,0,female,37.0,15.0,yes,2,18,4,3,1,2,1,85.53971863,11.20160007,0.0,0,30,175.0,4.0
114,0,female,22.0,0.75,no,3,16,5,4,0,5,1,58.90736389,8.551099777,,1,19,188.0,3.8
115,0,female,22.0,1.5,no,2,16,5,5,1,2,1,77.0058136,21.28240013,0.0,1,13,178.0,4.3
116,0,female,27.0,10.0,yes,2,14,1,5,0,6,1,49.81398773,23.4375,0.25,1,6,183.0,3.4
123,0,female,22.0,1.5,no,2,16,5,5,6,2,1,40.68181992,34.77270126,0.25,10,11,180.0,3.4
127,0,female,22.0,1.5,no,2,16,5,5,1,1,1,16.21052551,21.64949989,0.0,0,1,196.0,3.3
129,0,female,27.0,10.0,yes,4,16,5,4,1,2,1,45.07486343,18.91110039,0.25,0,2,178.0,4.3
134,0,female,32.0,10.0,yes,3,14,1,5,4,4,1,39.07563019,43.85589981,0.0,2,0,187.0,4.4
137,0,male,37.0,4.0,yes,2,20,6,4,1,4,1,76.66525269,16.8010006,0.25,0,1,168.0,4.6
139,0,female,22.0,1.5,no,2,18,5,5,1,5,1,40.49118423,22.40719986,0.25,1,0,170.0,4.2
147,0,female,27.0,7.0,no,4,16,1,5,0,1,1,73.7202301,17.00149918,0.0,1,0,184.0,4.0
151,0,male,42.0,15.0,yes,5,20,6,4,9,4,1,70.01153564,15.07110023,0.25,3,0,183.0,3.3
153,0,male,27.0,4.0,yes,3,16,5,5,0,5,1,55.96221542,16.2928009,0.25,4,0,188.0,4.4
155,0,female,27.0,4.0,yes,3,17,5,4,0,6,1,11.06194687,14.49890041,1.0,1,0,191.0,2.3
162,0,male,42.0,15.0,yes,4,20,6,3,3,2,1,80.42008972,35.5625,0.5,3,4,180.0,3.5
163,0,female,22.0,1.5,no,3,16,5,5,0,5,1,63.13035583,15.31989956,0.0,2,0,181.0,4.7
165,0,male,27.0,0.417,no,4,17,6,4,0,5,1,65.12185669,29.76390076,0.0,2,0,188.0,3.9
168,0,female,42.0,15.0,yes,5,14,5,4,1,2,1,53.41640091,12.69200039,0.25,6,8,185.0,4.0
170,0,male,32.0,4.0,yes,1,18,6,4,0,2,1,49.82307053,17.44260025,0.25,1,10,181.0,4.3
172,0,female,22.0,1.5,no,4,16,5,3,2,2,1,35.46537018,19.15169907,0.5,0,11,171.0,3.8
184,0,female,42.0,15.0,yes,3,12,1,4,2,2,1,56.12552643,28.84729958,0.25,5,1,176.0,3.8
187,0,female,22.0,4.0,no,4,17,5,5,1,5,1,32.39436722,14.52700043,,0,4,168.0,4.0
192,0,male,22.0,1.5,yes,1,14,3,5,0,5,1,65.51210022,19.57169914,1.0,0,2,181.0,4.6
194,0,female,22.0,0.75,no,3,16,1,5,0,3,0,53.05544281,23.79599953,,1,1,175.0,3.5
210,0,male,32.0,10.0,yes,5,20,6,5,0,4,0,49.64253235,12.50640011,0.0,0,0,178.0,4.7
217,0,male,52.0,15.0,yes,5,18,6,3,0,4,0,45.10869598,22.2826004,0.0,1,0,177.0,4.2
220,0,female,22.0,0.417,no,5,14,1,4,0,6,0,30.32045937,33.90800095,0.25,1,36,179.0,3.4
224,0,female,27.0,4.0,yes,2,18,6,1,2,5,1,52.24312592,21.49860001,0.75,0,4,181.0,3.9
227,0,female,32.0,7.0,yes,5,17,5,3,0,2,1,36.80131531,24.65950012,0.25,1,16,184.0,4.5
228,0,male,22.0,4.0,no,3,16,5,5,0,2,0,30.28339958,8.218299866,0.25,0,77,178.0,4.7
239,0,female,27.0,7.0,yes,4,18,6,5,8,4,0,49.8645668,17.4531002,0.0,9,41,178.0,3.5
241,0,female,42.0,15.0,yes,2,18,5,4,0,4,1,13.75921345,19.77890015,0.25,1,22,177.0,3.7
245,0,male,27.0,1.5,yes,4,16,3,5,1,6,1,28.86370468,39.21839905,,0,49,175.0,4.0
249,0,male,42.0,15.0,yes,2,20,6,4,0,2,0,52.80478668,22.15780067,0.5,2,37,191.0,4.1
262,0,female,22.0,0.75,no,5,14,3,5,1,2,1,44.08506012,36.94509888,0.25,0,31,180.0,4.4
265,0,male,32.0,7.0,yes,2,20,6,4,0,6,1,35.25,27.26140022,0.5,2,11,172.0,4.2
267,0,male,27.0,4.0,yes,5,20,6,5,0,5,0,37.49446106,13.98849964,,2,5,176.0,4.5
269,0,male,27.0,10.0,yes,4,20,6,4,1,6,0,50.39059067,7.497499943,1.0,1,8,187.0,3.8
271,0,male,22.0,4.0,no,1,18,5,5,0,3,1,31.07257843,18.54809952,0.5,1,0,175.0,3.1
277,0,female,37.0,15.0,yes,4,14,3,1,0,4,1,18.26123238,20.92740059,,2,1,183.0,3.7
290,0,male,22.0,1.5,yes,5,16,4,4,3,3,0,34.70020676,28.34250069,0.25,4,0,180.0,3.9
292,0,female,37.0,15.0,yes,4,17,1,5,0,3,0,33.28894806,43.49760056,1.0,0,30,188.0,4.0
293,0,female,27.0,0.75,no,4,17,5,4,0,1,0,33.48770905,15.45950031,0.25,2,13,184.0,3.3
295,0,male,32.0,10.0,yes,4,20,6,4,0,1,0,38.15875244,11.28979969,0.25,1,15,189.0,3.1
299,0,female,47.0,15.0,yes,5,14,7,2,1,5,1,36.92946243,25.92110062,0.25,2,0,190.0,4.0
320,0,male,37.0,10.0,yes,3,20,6,4,0,6,1,32.98949051,58.75220108,0.0,0,4,190.0,4.3
321,0,female,22.0,0.75,no,2,16,5,5,1,2,1,58.21665573,10.91139984,,0,10,183.0,3.7
324,0,male,27.0,4.0,no,2,18,4,5,1,2,1,17.00364685,14.97679996,1.0,2,5,180.0,3.4
334,0,male,32.0,7.0,no,4,20,6,4,2,2,1,17.65935326,27.16819954,0.25,2,51,193.0,4.3
351,0,male,42.0,15.0,yes,2,17,3,5,1,6,0,7.321537495,46.88819885,,0,3,181.0,3.7
355,0,male,37.0,10.0,yes,4,20,6,4,0,5,1,31.19815636,17.70260048,0.5,0,4,180.0,4.2
361,0,female,47.0,15.0,yes,3,17,6,5,0,2,0,16.61744499,25.55929947,0.0,1,50,185.0,2.2
362,0,female,22.0,1.5,no,5,16,5,5,1,2,0,58.08103561,26.84140015,,0,36,180.0,3.0
366,0,female,27.0,1.5,no,2,16,6,4,0,6,0,55.89254379,22.92770004,0.0,0,6,191.0,4.3
370,0,female,27.0,4.0,no,3,17,5,5,1,1,0,5.485232353,19.83119965,0.25,0,3,185.0,4.6
374,0,female,32.0,10.0,yes,5,14,4,5,2,5,1,14.4291935,21.25880051,0.5,1,4,178.0,3.5
378,0,female,22.0,0.125,no,2,12,5,5,0,6,1,22.84569168,40.36700058,0.5,1,7,190.0,4.6
381,0,male,47.0,15.0,yes,4,14,4,3,0,2,1,38.78333664,40.55260086,0.25,0,41,179.0,3.7
382,0,male,32.0,15.0,yes,1,14,5,5,0,2,1,64.24632263,14.15439987,0.25,0,27,183.0,3.8
383,0,male,27.0,7.0,yes,4,16,5,5,1,5,0,25.22556496,15.76010036,,1,30,,3.6
384,0,female,22.0,1.5,yes,3,16,5,5,1,2,0,5.382436275,8.672100067,,1,17,185.0,4.4
400,0,male,27.0,4.0,yes,3,17,6,5,0,6,1,6.079027653,28.91570091,0.0,0,14,183.0,4.1
403,0,female,22.0,1.5,no,3,16,5,5,1,2,0,0.0,23.45680046,0.25,0,16,178.0,4.3
409,0,male,57.0,15.0,yes,2,14,7,2,0,1,0,0.0,21.76469994,0.75,1,7,194.0,4.0
412,0,male,17.5,1.5,yes,3,18,6,5,1,2,1,34.88917923,13.99110031,0.5,0,5,194.0,4.8
413,0,male,57.0,15.0,yes,4,20,6,5,1,4,1,13.05732441,29.93630028,0.25,0,8,186.0,3.5
416,0,female,22.0,0.75,no,2,16,3,4,0,4,0,36.0251236,22.22220039,,1,24,181.0,3.6
418,0,male,42.0,4.0,no,4,17,3,3,0,5,1,34.65346527,32.08679962,0.0,1,25,186.0,3.8
422,0,female,22.0,1.5,yes,4,12,1,5,0,1,1,28.69198227,21.5189991,0.25,1,0,193.0,4.7
435,0,female,22.0,0.417,no,1,17,6,4,3,4,1,1.795332193,29.44680023,0.25,3,0,195.0,4.9
439,0,female,32.0,15.0,yes,4,17,5,5,0,5,1,30.63328552,14.79030037,1.0,0,0,189.0,4.3
445,0,female,27.0,1.5,no,3,18,5,2,1,6,0,59.0334549,25.37940025,0.75,3,0,171.0,3.3
447,0,female,22.0,1.5,yes,3,14,1,5,1,2,1,13.55932236,21.04330063,0.25,0,0,183.0,3.4
448,0,female,37.0,15.0,yes,3,14,1,4,2,5,0,5.010019779,23.69939995,0.25,4,0,194.0,3.6
