rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
8690,2,female,18.131173084305015,10.392606664218903,no,2,13,1,2
249,10,female,11.65685027517101,16.771722757712983,yes,1,20,4,2
3375,10,male,9.61965581644083,13.124331930248115,yes,2,15,2,2
5225,5,male,23.05020651146975,14.724586430336977,yes,4,17,4,4
1401,2,female,20.7483800492404,12.47856181865436,yes,5,9,6,4
6308,0,female,11.948713694052373,11.967670455239332,no,4,17,2,1
2079,12,female,5.187550181716372,8.823825060588987,yes,5,9,7,5
7242,8,male,24.07264340719053,5.179044972897449,no,4,15,1,5
6792,4,female,13.620140099982622,0.9605979915931746,no,4,9,2,5
1597,4,male,14.699642286966625,17.97557008874247,no,3,17,3,4
6463,0,female,19.983144721353405,19.849354783918784,no,3,20,5,5
474,11,female,26.09408469443422,6.030749484926684,no,5,15,1,2
6809,1,male,16.13794942702919,13.402734408772165,yes,1,12,4,2
4054,9,male,27.55898926171169,1.847535627136386,yes,3,13,2,2
5218,0,female,1.5387335932582147,1.3576173576044273,yes,5,20,3,3
4858,0,male,2.3025603996349844,2.846884354434157,yes,4,15,2,4
5984,8,female,24.663603512114417,6.3550787264862585,yes,2,12,1,4
8128,3,male,43.44972827514026,7.333499453632969,yes,3,19,5,3
4234,12,male,20.86381806638054,-0.3799297363334677,yes,5,19,1,5
1656,7,female,36.54525855279963,12.109371712113353,no,3,17,1,1
5274,0,female,13.148685460164504,-1.9975518071440774,yes,4,10,7,4
2008,3,male,19.892862221285526,-5.598840083224269,yes,4,16,5,2
4041,3,female,2.7160225195250156,21.84376093022442,yes,3,20,5,2
7567,12,male,11.797787538732663,9.558096243199696,yes,5,10,7,1
7521,8,male,16.64884755674891,9.12318647819639,yes,5,14,6,1
6144,7,female,27.533592637330333,11.040733226087456,no,1,14,6,2
1090,7,male,1.4715973073137611,2.243733733313939,yes,1,18,4,2
2121,2,male,11.90406968699945,10.670124817434807,yes,3,13,6,1
570,0,female,11.968716334086553,5.634616163615093,yes,2,12,6,2
1318,2,female,18.554060649732378,3.647423531469716,no,2,13,3,4
2057,6,male,19.06226616417956,7.509552691935004,yes,1,15,3,3
3650,7,female,16.507136997280472,10.986063118964843,yes,5,20,7,2
3040,11,male,13.6565215504061,12.689186984137578,yes,4,9,3,2
2144,7,female,38.85339321441789,-0.5187856296120197,yes,2,17,3,5
5756,9,female,18.07582219086734,14.504935688901906,yes,3,9,2,3
4297,7,male,2.9787349565673864,2.307109020503286,yes,1,13,3,2
1077,6,female,19.31180047063088,6.2697214440759295,yes,3,17,1,5
107,10,female,22.795393281657724,10.859686939857546,yes,5,19,4,2
3034,6,female,24.68220690827986,9.36279154140537,yes,4,9,2,2
2797,9,female,28.52614104193082,18.547210188001987,no,3,11,5,5
489,10,female,15.428155425138144,3.715961796869353,yes,3,15,1,3
7513,4,male,19.30574249353699,3.923665324989074,yes,2,14,7,3
5593,9,female,16.447293826512258,6.346611693090324,no,5,14,7,5
3487,1,female,26.523615655903033,8.869862225484335,yes,5,20,4,1
1529,12,male,13.472684959223585,15.718056829962883,yes,5,17,6,4
3743,6,female,23.52268812424033,17.12992480901788,no,4,11,2,3
8740,6,female,14.260589488235556,7.581064476758905,yes,3,17,7,1
4729,6,male,22.550329510707,6.017002987982022,no,1,18,6,3
2857,10,female,13.428553855471192,3.913270547484564,no,3,10,1,1
6651,0,female,22.403722619556714,4.653978623587204,yes,1,17,3,4
8332,1,male,14.58984191670647,13.448278408083233,yes,4,17,5,5
7168,0,female,14.625828294224341,15.88071039142401,yes,1,10,2,4
5356,5,female,27.27716474758612,5.5200449665805005,yes,4,9,7,5
5362,11,female,10.026998195195588,5.866903440427988,yes,3,13,1,4
5008,3,male,7.355529923999889,-0.9166679918901437,yes,4,11,3,3
7278,6,male,10.461637364938195,1.3147365691934576,yes,3,19,7,1
1438,12,female,7.928738534194313,1.1846952770128985,no,4,18,6,4
7567,4,male,20.906385898774136,3.198809411785362,yes,3,20,1,4
1071,9,female,24.852415476733977,-0.2869066257136641,no,3,17,4,2
6461,8,female,15.024353806665392,2.556261435249974,no,3,11,2,3
1647,5,female,3.225420943726899,2.499099949581245,no,3,14,6,4
4765,5,female,4.6664213287258125,11.70391294959282,yes,5,9,7,3
5262,11,female,22.663705992240125,6.45680658563953,yes,2,16,7,5
3946,12,male,22.598826556106,8.313153250246044,yes,2,11,6,5
7590,6,female,15.148681124371635,8.790609430802252,yes,3,11,1,3
2406,11,female,17.997116835107327,8.80226586808102,yes,2,10,1,2
5822,11,male,30.090342910920995,-7.661666826045451,yes,5,13,1,1
8927,8,female,27.90638467111976,8.479092382139942,yes,4,9,7,5
2000,4,male,41.33529761445293,8.017836830406418,yes,5,17,1,1
2666,5,female,47.21586551710219,5.967169412728411,yes,1,12,7,1
3329,5,male,27.15691037871381,6.547220816557676,yes,3,13,5,1
1206,0,male,12.651495296486866,7.442832649242046,no,2,9,3,1
6162,7,female,26.76511855874266,0.25249874568533137,yes,3,12,6,4
8251,0,male,31.38424224235674,-0.012831247316152705,yes,2,12,2,4
7146,9,male,10.931489046945401,13.236676110163867,no,1,9,1,2
3613,4,female,16.80903527792945,6.736155153151956,yes,4,17,1,2
3153,9,male,16.1927923821562,11.630973575469714,yes,4,16,4,3
2456,8,male,25.778341844292306,0.0374690759683487,no,5,18,2,5
