tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop
Anterior,NMNH225029,3,8,57.02931594251026,18.83991129709239,0.34932654559771237,Homo sapiens,Chucki
Posterior,IPHA.2,9,11,22.05849297054727,17.64805629662622,0.24815703625326002,Homo sapiens,Afalou
Anterior,NMNH380466,3,4,44.40299208044652,17.053129343514033,0.46715363635124096,Homo sapiens,Australian aboriginie
Posterior,NMNH225032,4,11,52.08028460520556,15.983973257617649,0.00788479296051492,Homo sapiens,Chucki
Premolar,MH4765,2,11,28.57956108002089,19.281162810091743,-0.1171430968579058,Homo sapiens,Australian aboriginie
Premolar,MH22283,4,4,24.38991090551869,21.80517467951916,0.6552297740529405,Homo sapiens,Sami
Posterior,AMNH99.1/99,11,8,22.011877651296608,11.111485314953379,0.4610915544495807,Homo sapiens,Alaska
Posterior,BRK126107,0,12,31.24884678333165,10.404928762696459,1.2841218056800257,Homo sapiens,Native Californian
Posterior,NMNH344711,7,7,50.17627871227247,18.668760415285732,0.5401900244566186,Homo sapiens,Australian aboriginie
Anterior,BM1976.1426,8,9,20.625407889245835,11.782396461811048,0.6141320349511783,Pongo,Borneo
Anterior,AMNH99.1/86-D,11,10,19.037069087707255,21.19320521993903,0.3574805810047788,Homo sapiens,Alaska
Anterior,UVS38,8,8,54.438138047487065,15.894294414670657,0.9269778583483747,Homo sapiens,Khoi-San
Anterior,NMNH225028,12,2,10.940623316289255,12.994725118289187,0.601045092042233,Homo sapiens,Chucki
Anterior,IPHA.29,2,5,40.39181573154633,11.925960291592212,0.30384979461507455,Homo sapiens,Afalou
Posterior,BM1884.10.30.2,2,4,25.053848274873555,18.817075866268436,0.7264797356635757,Pongo,Borneo
Premolar,UCD2(2)b,9,4,25.105849496027464,9.04307709128932,0.4625432406307441,Homo sapiens,Native Californian
Anterior,HTB2027,1,4,14.324808687027254,10.15293831607681,0.47900187371706576,Pan,Ebolwa
Posterior,BM1976.1430,5,3,41.07494341539161,14.698026574494058,0.31549168555505114,Pongo,Borneo
Premolar,UVS62,4,5,32.153262199625566,18.061595918750704,0.5599931988812753,Homo sapiens,Khoi-San or bushman half-caste
Anterior,HTB3412,11,7,25.35542331929811,18.167293364619194,0.20944913491146905,Pan,West Africa
Posterior,BRK125598,8,13,28.17034510835923,21.889362799673634,0.2223459464296932,Homo sapiens,Native Californian
Premolar,NMNH329778,7,7,49.49152955224674,11.091854781731563,0.240599506860028,Homo sapiens,Australian aboriginie
Anterior,MH12328,6,8,28.837334876133394,15.482597164892047,0.5899116258025544,Homo sapiens,Chucki
Anterior,BM1939.1021,5,13,11.767124835227538,16.719721560769123,0.6303512250698434,Papio,West Africa
Posterior,NMNH278710,10,12,37.53850447091816,19.23134301471615,0.6666178741377685,Homo sapiens,Buriat
Anterior,BRK126100,4,11,36.02707666116295,17.953551356229077,0.5332772615168531,Homo sapiens,Native Californian
Posterior,UCD2(6)b,11,8,29.48033648170219,17.24153022185942,0.9689995984703448,Homo sapiens,Native Californian
Anterior,AMNH99.1/109,5,5,46.668938228440204,12.995873355684006,0.17999807499355297,Homo sapiens,Alaska
Anterior,BM1935.2.14.1,3,5,33.9583759930524,20.3235137540556,0.15405859670465316,Papio,East Africa
Premolar,HTB1890,0,4,25.287499624054437,12.209031122009925,0.44383792194094696,Pan,French Cameroons
Anterior,IPHA.15,4,14,28.58866907349414,18.030558300764667,0.6157176030991631,Homo sapiens,Afalou
Anterior,BRK126118,4,10,31.30014934565998,18.009654117152138,0.9031155727013788,Homo sapiens,Native Californian
Posterior,MH4459,11,13,29.39317859751015,11.173430348512131,0.4413407963961827,Homo sapiens,Australian aboriginie
Anterior,BRK126259,6,3,25.125706816191954,11.773727718010644,0.9460024838348756,Homo sapiens,Native Californian
Premolar,HTB1726,0,14,32.4043017662677,12.467222283141037,-0.28870433273668994,Pan,Ebolwa
Premolar,MH1525,1,10,43.56737250653259,6.716164202950148,0.9571074174702177,Homo sapiens,Australian aboriginie
Anterior,BM1908.8.9.41,0,11,53.125354800198735,10.550465660412819,1.0004544686238566,Papio,East Africa
Premolar,MH12328,4,5,33.6357193990553,6.494909807611382,0.3476364595202799,Homo sapiens,Chucki
Posterior,HTB1721,10,5,30.087430624534598,12.257883443242621,0.5035432767689455,Pan,Ebolwa
