rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
368,62440,Brittan Elementary,Sutter,KK-08,23313,601.7847021255761,15.612619426415169,31.31877529810289,1961,2080.3416396373723,20.256792358030587,26.58784685707958,16.424667235615303,25.922031255924527
216,62443,Placer Hills Union Elementary,Placer,KK-08,1287,647.201260258712,38.90319242647263,71.58237350413731,2356,2667.3309963168936,24.222752912130385,16.03679086106481,73.28027927727685,72.26619497081893
395,68432,Susanville Elementary,Lassen,KK-08,14849,600.3121504503354,33.628980680329256,22.25855806406486,1426,2441.971968076152,26.7213457627391,58.50855458042772,54.9186242400802,46.79471204654229
167,68522,Palmdale Elementary,Los Angeles,KK-08,8353,778.4811067573423,41.39120116359951,65.29473336115352,694,2232.4895306985263,26.018569055107395,34.77881282383898,29.542635310253132,49.837422983615205
382,70463,Keppel Union Elementary,Los Angeles,KK-08,25289,548.6383214560288,39.82377813539148,12.336584784287005,2025,1977.8740895787098,25.351550032885623,24.522146941308108,47.86047585549577,49.6987902097065
221,63439,Magnolia Union Elementary,Imperial,KK-08,13257,1140.7420105312644,53.321729103023316,79.37124092226942,1195,1659.2144081605086,20.881349166297383,57.69022562667493,37.71516962569549,27.287788392631608
258,74868,Westmorland Union Elementary,Imperial,KK-08,4560,648.5917278085793,34.59051389450103,38.70716416723768,1832,2263.6719366428547,14.78732014771496,16.157512318151266,6.777026628154658,49.13770271951449
62,62314,Brittan Elementary,Sutter,KK-08,21449,483.5851797670721,53.988090501707255,1.1935016066142055,468,1583.5737941223454,23.826134993503747,24.672112624672366,65.80433351711439,58.93000430068406
89,73378,Exeter Union Elementary,Tulare,KK-08,23000,641.2836440604365,45.04134749102685,32.775120875792375,2097,1914.9062755280281,31.247158586205984,55.44694903682374,31.623816255778426,51.623080010234375
201,63858,Nuestro Elementary,Sutter,KK-08,12232,547.3905876005379,38.58447059394327,54.149578151069235,3271,2338.3369610854397,28.821647005008572,13.775330382791807,63.53183378948,50.69021785445933
408,72715,Lowell Joint Elementary,Los Angeles,KK-08,10276,408.0383024450956,40.028478576922176,-4.655146975437262,3160,2775.370978736136,32.83926231359564,29.902481166840044,55.46070593290996,43.58033195037518
292,69564,El Monte City Elementary,Los Angeles,KK-08,25330,642.5891353567304,30.130995548898454,56.00807464790919,3243,2056.7298268759173,29.606200440125875,58.46061240469608,76.99498213669442,94.28711109688858
80,61718,Nevada City Elementary,Nevada,KK-08,6427,835.6221996056996,49.89171037903391,54.42215208076415,2984,1512.7661967639501,25.399466759618562,64.31639077887691,66.65158574792241,54.458883946158515
293,70662,Little Lake City Elementary,Los Angeles,KK-08,15668,491.21848186038005,42.83334295998348,83.18407369117632,339,2141.208537738822,25.553677582863905,56.241235685562216,25.333336941736526,33.080968635348526
189,75088,Rescue Union Elementary,El Dorado,KK-08,10020,892.7095868902468,42.17690096791311,23.713101477345894,526,1599.2555706507492,30.957569760734454,33.78855295925234,15.37624576404184,0.8192308617177915
188,64253,New Jerusalem Elementary,San Joaquin,KK-08,10004,864.0637174052456,32.57924534987369,86.91393664993745,840,1898.3573409975857,22.810733595082603,47.1125191282185,45.82575378373707,52.89791491965588
137,74146,Big Springs Union Elementary,Siskiyou,KK-08,24828,775.5378915274152,27.136388029298413,75.49131635244429,2347,2043.8497014681948,36.244169884748004,19.4873485636768,23.31463339212205,47.43848598930147
154,65679,Reeds Creek Elementary,Tehama,KK-08,26956,791.048218009572,48.49924855869484,67.54489252918658,972,1443.240658068996,30.21839983211611,53.42304174566678,91.59949390493772,46.977342333545096
64,64398,Gravenstein Union Elementary,Sonoma,KK-08,5516,417.4632039645839,36.61353588195482,65.39136911498197,3288,1848.6897702843553,14.219790729207208,52.13603826616852,45.97685214625216,51.38594941217474
349,73686,Sundale Union Elementary,Tulare,KK-08,16450,671.3257647741282,33.12968564115021,1.9001313458934916,960,2824.2783148697476,17.81895619158325,44.77154749060162,55.81105505844893,49.617390905682456
75,64622,Rocklin Unified,Placer,KK-08,10096,536.6873820609243,42.10179201222442,30.93565564927158,2827,1644.6267507959778,38.07941459935647,80.41197102398581,52.30263482125079,44.993211122549106
17,67617,Portola Valley Elementary,San Mateo,KK-08,22267,719.1812822028297,39.14843796110113,23.082970064051327,1987,3248.670383287924,23.1844465928051,48.4155837204395,26.834697834322547,58.89459137265231
82,65406,Foresthill Union Elementary,Placer,KK-08,24540,880.0611126386716,51.31285246088069,144.72969770705376,992,1710.076003424856,27.85036169137877,58.781791940482826,49.617306714253054,64.04504957047686
408,71012,Knights Ferry Elementary,Stanislaus,KK-08,3039,678.1796361593031,51.49265302617822,34.520993878203086,207,2615.205785512549,31.6174845711488,50.409572117837364,25.568381308628915,86.11152463601113
107,69408,Cinnabar Elementary,Sonoma,KK-06,131,818.9282781066705,28.729417194975646,51.52134713360478,2153,341.2609410273219,16.653930560378413,38.18287792265729,64.11723598835694,69.09378609017703
125,65667,Forestville Union Elementary,Sonoma,KK-08,16317,703.309237181453,24.028090786068855,56.32588240811858,2680,2180.947992158654,28.164460025140777,71.67550715921183,31.53525146183533,39.63185978818198
263,70031,Black Butte Union Elementary,Shasta,KK-08,4975,659.3538180394332,51.151150736745535,76.4099490686313,446,1844.7557317018293,26.267049400929807,52.410274909832225,56.58150255348859,40.34732921464972
359,70062,Pleasant Valley Elementary,Ventura,KK-08,26983,1192.3258279294541,16.299087375593277,73.52428059946507,1918,3273.326679891732,27.4262919437203,71.30651236466424,38.19684662232734,83.81786200075533
151,63050,Pleasant View Elementary,Tulare,KK-08,27048,937.3214596870341,38.54837249049028,-20.557211061159208,2358,1871.8828710223718,16.96869958222883,37.129592753772855,63.1575304999577,27.77507262905593
31,72716,Buellton Union Elementary,Santa Barbara,KK-08,25472,471.5852013175462,35.789081459527125,66.76152308406121,2895,3482.3386110519505,25.790268527055545,41.11586700404228,73.21671852920805,57.52883010988304
300,64758,Campbell Union Elementary,Santa Clara,KK-08,901,739.7913057788313,45.367022988835146,42.59292032154572,981,1774.636288795148,15.852625613584033,48.502760071064664,61.847689370587375,51.874832391796325
358,73729,Gold Trail Union Elementary,El Dorado,KK-08,4679,899.363578477228,25.185876775013703,57.1675648202419,545,2254.4494130577873,33.22802670883328,49.28281460946615,57.86229767879707,79.58033822500757
202,65334,Bakersfield City Elementary,Kern,KK-08,9132,627.8929749748734,41.022808061901834,72.42779687742933,531,1117.6550924069606,30.462689312940398,57.83633766318001,72.47977800214765,82.37455881854501
356,67930,Santa Rita Union Elementary,Monterey,KK-08,24033,417.3486513881323,40.33798660793482,91.31069298156804,72,1492.2582527732015,21.653580602721927,27.249756615762593,48.152362670460825,64.03039846208031
200,63215,Savanna Elementary,Orange,KK-06,10787,530.5668904250863,28.047168149148867,46.47177791126127,28,1555.0129430477377,25.39265375976236,43.21376393673649,39.125159369162596,38.25958409892023
93,68381,Janesville Union Elementary,Lassen,KK-08,14034,708.748166661803,26.11155159978393,67.85377780592262,50,2537.284245215139,27.52864163240511,28.65440027936378,55.49839266682296,57.874138727232236
195,68985,Susanville Elementary,Lassen,KK-08,10389,274.7594830756479,40.55680145209136,26.27408866505537,99,1953.0212272724243,23.841130957541687,13.52875167354589,67.6027051534158,55.76080437981906
315,67697,Shaffer Union Elementary,Lassen,KK-08,23344,1167.4059823621742,57.065756763263316,42.50046740621521,1470,1270.9537075005796,28.28386318773225,28.003384969856597,46.14968657854981,40.63223170494
365,66171,Weed Union Elementary,Siskiyou,KK-08,17543,408.4503713873267,31.71260877215808,55.49528973071712,2678,1393.5049831747492,36.538638040168735,55.603398248606304,61.62208022213068,47.062167959547686
4,64643,Hawthorne Elementary,Los Angeles,KK-08,18610,635.3780461257536,31.663863716530283,30.287228994536406,2316,2607.1732546150592,21.847761042028697,49.033332139136846,48.591922391798384,63.02505372324598
136,65902,Union Hill Elementary,Nevada,KK-08,14836,921.1707370781512,29.853561567159243,102.8643974243426,1897,1668.1465606667207,43.88833009061517,21.111931645066797,35.87068795325515,76.6662550505524
189,61422,Whittier City Elementary,Los Angeles,KK-08,6221,587.2306137026117,53.745377070403435,68.07537248621568,2414,1496.1121627362106,26.844304366215972,8.217278294009311,21.99419831020583,37.76359221264229
162,73083,Etiwanda Elementary,San Bernardino,KK-08,17702,782.5173556566913,32.42711899577154,99.72686249141003,1587,2330.1092476476906,24.98790912423359,74.76055480319108,38.400045213727864,66.48981250194997
205,66468,Freshwater Elementary,Humboldt,KK-06,23558,788.055683316094,27.38417518339012,60.65665806993499,636,2828.396309868782,39.4187864888531,17.597652635797758,14.677635005727254,44.751610730770636
2,64083,Big Springs Union Elementary,Siskiyou,KK-08,19016,981.0407371755794,48.66942905756648,67.34916507599013,436,2102.165701296593,33.477720878029174,32.85546782911436,60.267241079009956,36.42665146654816
220,75323,Soquel Elementary,Santa Cruz,KK-08,6763,727.9611489062727,31.944456195266262,51.01741709560229,1922,1346.138475494115,19.2421611170473,60.09488787683115,38.8146259257514,56.26928318042543
367,68326,Redwood City Elementary,San Mateo,KK-08,22895,581.4957677552575,41.16271758629342,28.338883800907574,2667,2211.2306394293173,18.360819297758084,37.180559822699074,65.61786885364336,62.627239530693174
31,61546,Westmorland Union Elementary,Imperial,KK-08,15631,904.3585892873191,38.18527352514023,58.62533188261653,2491,2827.3832912476323,33.36812455615904,14.874874444964277,45.372361816256216,71.91215821748364
64,67656,Bonsall Union Elementary,San Diego,KK-08,7268,810.2840008546732,44.60119715942557,18.990974577843048,1101,2672.9356426821137,24.42800023423891,44.779100536546366,44.89600824774818,71.20236248624477
279,63749,Marcum-Illinois Union Elementary,Sutter,KK-08,19024,826.9990824765351,54.060333340494765,79.61955667074773,2631,3358.6975924891867,23.344879323426003,40.288739133471296,57.500714639741076,45.04191040096621
35,64698,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,KK-08,184,748.8478440250178,44.410999730434405,2.0546933898665714,23,941.9023927455484,10.619191323548495,41.30861354938598,31.12909968041409,52.673623803825805
281,67529,Ballard Elementary,Santa Barbara,KK-06,853,461.8550551074154,31.707414888595864,48.334594165188655,3096,1061.2577171244036,22.674560236599525,47.305712255789615,78.70600206694752,82.58977984483965
377,73903,Greenfield Union Elementary,Kern,KK-08,215,974.4006871663469,35.957441338535894,57.39089451871597,2094,1976.685789576474,30.601817313663332,25.584666064342546,27.99306259979755,73.73702766047145
92,62717,Fort Jones Union Elementary,Siskiyou,KK-06,13461,990.3847675163707,42.1767105942928,45.69175203502364,1698,2206.649656281575,26.602129882924288,48.19793881591326,60.13474017510626,76.93281566321235
411,74072,Sunnyside Union Elementary,Tulare,KK-08,6969,778.1945308168057,35.37824754849563,39.50138973576978,3174,1221.4349223857926,21.962211848637676,50.904514594316865,60.13465314760498,58.58277554230562
135,69931,Antelope Elementary,Tehama,KK-08,25388,416.9560382910765,37.817199369452574,34.692018987558335,665,2134.9333972807353,29.539216379611062,36.14150719782486,36.92285582618571,72.66527033413068
248,70857,Harmony Union Elementary,Sonoma,KK-08,16777,642.8254751388934,37.59123938123906,56.738530046679344,484,975.9057114265731,22.501960098328833,16.755577572047745,49.752551950743886,64.14541874986907
28,70024,Hydesville Elementary,Humboldt,KK-08,7671,793.0768384598293,39.621658787027854,45.2067808409285,2322,2242.182388717632,30.671945321457727,70.92653023197374,41.588696099596476,67.56227589997711
13,72104,Salinas City Elementary,Monterey,KK-06,13650,525.0351314956567,36.68439512788462,61.016938219301885,2307,1071.907324010408,14.026053909225347,24.490115552612583,69.8153044080164,68.29842910813588
406,68636,Knights Ferry Elementary,Stanislaus,KK-08,4867,748.6108885197862,49.599090289060314,75.33817823111715,498,763.1472321868662,23.792540974760968,48.71455362561978,61.5865078201536,58.950600218758446
331,71611,Union Elementary,Santa Clara,KK-08,2669,799.9499765345905,38.319826782939856,28.61039017982379,159,819.9281945630935,25.237001475652228,38.57241336057027,53.37482767935195,27.86089349085818
93,62004,Lucerne Elementary,Lake,KK-08,24303,777.7007699681676,40.7784980720042,74.97440709027866,1669,280.6476489123563,18.065550206865574,85.28446048155396,47.57094299874505,50.6526744084254
371,68371,Douglas City Elementary,Trinity,KK-08,19713,929.6490752329232,40.20814473081031,138.7744043861403,1186,1061.9242324379188,37.78440609845401,52.379193825471134,44.72970726821927,85.70013404357955
85,72765,Evergreen Elementary,Santa Clara,KK-08,3105,760.7060166717114,55.89807487151942,63.03284264776075,679,1866.410217041207,22.849711485035755,33.560316426783686,85.69071198416009,89.8014105798544
311,69204,Ontario-Montclair Elementary,San Bernardino,KK-08,21085,626.1099992260872,52.21059419180639,35.829981239724304,2179,2328.69088258109,6.327853315722621,32.046577011940414,45.30799293253008,55.678038700944356
26,70270,Loleta Union Elementary,Humboldt,KK-08,1491,473.6403082930984,53.07058612095047,43.17491593530155,2364,1911.8702100995315,27.770437377189584,40.52462580101728,65.75344843801916,60.25730319005379
329,68554,Santa Paula Elementary,Ventura,KK-08,25135,774.016734812977,43.244879603500316,89.82483924598858,390,3109.5705632747577,24.085750134041394,41.10729595536897,51.04006184212316,70.65547015111869
305,68632,Wheatland Elementary,Yuba,KK-08,20230,654.9865711389594,57.020522882375246,67.3175347803749,2403,1386.8031009901695,25.728577228512414,45.699608845336726,60.119561970043485,32.84270643550565
394,72618,Franklin-McKinley Elementary,Santa Clara,KK-08,10890,1025.0260069140425,32.94018475212053,49.515641216473504,491,1789.161762144126,19.09730306245322,61.7752713565635,58.151099092296974,45.41166817921625
376,69278,Rescue Union Elementary,El Dorado,KK-08,11478,774.5328654212385,27.205932894452125,66.30673413757589,696,1772.6817215867356,26.914567902781567,42.607622005649546,79.71579941748203,52.09683602799618
338,74219,Ballard Elementary,Santa Barbara,KK-06,18947,678.3688163299114,29.22519808975054,52.83052772604867,692,1713.3539726060785,17.209958622091,48.322856337822735,59.80442993916916,35.03064241406632
204,64799,Manzanita Elementary,Butte,KK-08,11062,865.4033624759415,33.8634635924265,44.55237342803908,1553,1557.8527344179715,27.897922200386592,13.582699158643049,33.61543955966883,80.48977116163842
246,62889,Ross Valley Elementary,Marin,KK-08,9420,458.1526617276622,49.51904892805395,38.042000474352974,47,1613.7606382720346,20.026695173111143,47.438166173737024,42.82166257618701,69.2461046691441
60,62630,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,16195,391.22196328532084,64.54155534521499,60.122762995681995,2335,1042.773037327724,22.05633099323421,63.41785755948199,86.84703831379304,32.50915448566727
98,65792,Hollister School District,San Benito,KK-08,282,933.8273885722294,31.984698764091497,40.591307719458285,2573,2619.49003633731,29.57388932651518,63.73478565456563,26.552008408404387,43.82035596705187
342,71183,Columbia Union Elementary,Tuolumne,KK-08,24215,692.2637947856845,40.813522687949195,52.57291752871844,2335,1959.8985426424463,31.765642084740524,52.16287177881192,28.700044605449204,67.93888897034955
406,67266,Pleasant Valley Elementary,Nevada,KK-08,13397,658.1542085265913,46.86121781442799,53.43616176102928,1281,2128.0783751458775,23.202183867057734,49.957864884388904,54.470746264238485,83.37274217280515
189,65033,Fullerton Elementary,Orange,KK-08,3740,848.8152022089012,42.83767448558722,40.57766329530043,2440,1741.0592171370804,34.97043109543177,70.44162038420383,35.291798440542685,32.17042753335658
68,71769,Montecito Union Elementary,Santa Barbara,KK-06,10276,183.98007423391164,27.040443600480405,93.4799904228905,873,1942.2117502363199,26.693016405914605,22.104598873165614,42.56924224245899,85.84309739850161
337,75017,Etna Union Elementary,Siskiyou,KK-06,27166,748.5906394425778,29.438923584683323,72.18826720459975,1934,2427.336025901035,21.77939038635357,94.88251388769828,84.69013508977605,37.2222872039278
205,62635,Delano Union Elementary,Kern,KK-08,9412,651.0675590496944,36.902279270604915,36.73758816881252,734,2644.5572629330118,28.08169392551905,75.03441506880232,49.9750567558543,43.60393032212231
204,63843,McSwain Union Elementary,Merced,KK-08,16739,619.3019131850696,48.23076057177941,47.8443893277883,2539,2416.304833578224,26.379324456565453,7.952189234707383,29.10194057283558,64.60699303515604
418,68564,Whisman Elementary,Santa Clara,KK-08,519,795.3323869261962,38.142434729459595,29.645594284142696,2788,1912.311681605186,24.69223050922638,7.211770384287043,60.10138099838953,38.6982127588828
65,72760,Gratton Elementary,Stanislaus,KK-08,14289,460.4801442316875,40.36435829078666,-6.315956461182914,999,1568.9315268891705,27.53967156568355,57.934099938091066,22.717029270887227,86.11613333796873
